START-OF-LOG: 3.0
CALLSIGN: WB9QAF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 32487
NAME: Paul Christy
LOCATION: NE
OPERATORS: WB9QAF
CLUB:
CERTIFICATE: NO
CREATED-BY: WriteLog V11.31A
SOAPBOX: Ran QRP with KX3 and 560' loop antenna erected with assistance of
SOAPBOX: a drone and wife at an average of 30' above the ground with
SOAPBOX: 4 to 1 balun and short coax run.  Entered as assisted although I did
SOAPBOX: not use any spotting assistance whatsoever, just used the CW
QSO: 21052 CW 2015-11-28 1522 WB9QAF        599     04 TM6X          599     14
QSO: 21065 CW 2015-11-28 1525 WB9QAF        599     04 OK5D          599     15
QSO: 21076 CW 2015-11-28 1527 WB9QAF        599     04 AA2A          599      5
QSO: 21082 CW 2015-11-28 1534 WB9QAF        599     04 K3RV          599      5
QSO: 14028 CW 2015-11-28 1548 WB9QAF        599     04 W6PH          599      3
QSO: 21049 CW 2015-11-28 1603 WB9QAF        599     04 IB9T          599     15
QSO: 21080 CW 2015-11-28 1608 WB9QAF        599     04 K1KP          599      5
QSO: 14051 CW 2015-11-28 1636 WB9QAF        599     04 JA7ZFN        599     25
QSO: 28007 CW 2015-11-28 1642 WB9QAF        599     04 XE1XR         599      6
QSO: 21002 CW 2015-11-28 1707 WB9QAF        599     04 W7RN          599      3
QSO: 21010 CW 2015-11-28 1710 WB9QAF        599     04 VA2EW         599      5
QSO: 21029 CW 2015-11-28 1716 WB9QAF        599     04 TM6M          599     14
QSO: 21042 CW 2015-11-28 1722 WB9QAF        599     04 VC7O          599      3
QSO: 21046 CW 2015-11-28 1724 WB9QAF        599     04 VE3JM         599      4
QSO: 28013 CW 2015-11-28 1743 WB9QAF        599     04 ZF2MJ         599      8
QSO: 28015 CW 2015-11-28 1745 WB9QAF        599     04 ZF2ET         599      8
QSO: 28017 CW 2015-11-28 1746 WB9QAF        599     04 D4C           599     35
QSO: 28036 CW 2015-11-28 1803 WB9QAF        599     04 KH7M          599     31
QSO: 28042 CW 2015-11-28 1805 WB9QAF        599     04 CE3CT         599     12
QSO: 28050 CW 2015-11-28 1808 WB9QAF        599     04 LU8YE         599     13
QSO: 21068 CW 2015-11-28 1823 WB9QAF        599     04 KP2M          599      8
QSO: 21083 CW 2015-11-28 1827 WB9QAF        599     04 CR300         599     33
QSO: 21089 CW 2015-11-28 1829 WB9QAF        599     04 C6AUM         599      8
QSO: 14013 CW 2015-11-28 1840 WB9QAF        599     04 CJ3A          599      4
QSO: 14033 CW 2015-11-28 1847 WB9QAF        599     04 TM6M          599     14
QSO: 14075 CW 2015-11-28 1918 WB9QAF        599     04 VE6BBP        599      4
QSO: 14083 CW 2015-11-28 1920 WB9QAF        599     04 ZF2MJ         599      8
QSO: 21010 CW 2015-11-28 1928 WB9QAF        599     04 VE7SV         599      3
QSO: 21029 CW 2015-11-28 1933 WB9QAF        599     04 VA7ST         599      3
QSO: 21099 CW 2015-11-28 1945 WB9QAF        599     04 KH6J          599     31
QSO: 21126 CW 2015-11-28 1952 WB9QAF        599     04 HI3TEJ        599      8
QSO: 28044 CW 2015-11-28 2000 WB9QAF        599     04 TI5W          599      7
QSO: 28071 CW 2015-11-28 2009 WB9QAF        599     04 XR2K          599     12
QSO: 28074 CW 2015-11-28 2011 WB9QAF        599     04 FY/F5HRY      599      9
QSO: 28004 CW 2015-11-28 2205 WB9QAF        599     04 KH6J          599     31
QSO: 28029 CW 2015-11-28 2224 WB9QAF        599     04 ZL4YL         599     32
QSO: 21008 CW 2015-11-28 2236 WB9QAF        599     04 JE1ZWT        599     25
QSO: 21016 CW 2015-11-28 2245 WB9QAF        599     04 LU6UO         599     13
QSO: 21047 CW 2015-11-28 2307 WB9QAF        599     04 ZF2MJ         599      8
QSO: 21051 CW 2015-11-28 2308 WB9QAF        599     04 KH6LC         599     31
QSO: 21064 CW 2015-11-28 2310 WB9QAF        599     04 CE3DNP        599     12
QSO: 21094 CW 2015-11-28 2315 WB9QAF        599     04 PP5NY         599     11
QSO: 14013 CW 2015-11-29 0113 WB9QAF        599     04 YV5IUA        599      9
QSO: 14021 CW 2015-11-29 0118 WB9QAF        599     04 RT0F          599     19
QSO: 14047 CW 2015-11-29 0123 WB9QAF        599     04 KP3Z          599      8
QSO:  7015 CW 2015-11-29 0220 WB9QAF        599     04 S51YI         599     15
QSO:  1821 CW 2015-11-29 0232 WB9QAF        599     04 N0FW          599      4
QSO:  7033 CW 2015-11-29 0241 WB9QAF        599     04 VE6SV         599      4
QSO:  7049 CW 2015-11-29 0252 WB9QAF        599     04 S50C          599     15
QSO:  7052 CW 2015-11-29 0254 WB9QAF        599     04 S56X          599     15
QSO:  7056 CW 2015-11-29 0303 WB9QAF        599     04 E7DX          599     15
QSO:  7058 CW 2015-11-29 0306 WB9QAF        599     04 ED8X          599     33
QSO:  7059 CW 2015-11-29 0308 WB9QAF        599     04 TO8M          599      8
QSO:  7094 CW 2015-11-29 0321 WB9QAF        599     04 VE3PN         599      4
QSO:  1822 CW 2015-11-29 0335 WB9QAF        599     04 XE2X          599      6
QSO:  7005 CW 2015-11-29 0345 WB9QAF        599     04 VE3EJ         599      4
QSO:  7028 CW 2015-11-29 0353 WB9QAF        599     04 IR4X          599     15
QSO:  7057 CW 2015-11-29 0403 WB9QAF        599     04 KH6LC         599     31
QSO:  7084 CW 2015-11-29 0408 WB9QAF        599     04 XE2S          599      6
QSO:  3506 CW 2015-11-29 0425 WB9QAF        599     04 VE5GC         599      4
QSO: 21037 CW 2015-11-29 1528 WB9QAF        599     04 SO2R          599     15
QSO: 21039 CW 2015-11-29 1532 WB9QAF        599     04 SN2M          599     15
QSO: 21042 CW 2015-11-29 1533 WB9QAF        599     04 ED8X          599     33
QSO: 21059 CW 2015-11-29 1543 WB9QAF        599     04 OK1DOL        599     15
QSO: 21066 CW 2015-11-29 1547 WB9QAF        599     04 EA2EA         599     14
QSO: 21079 CW 2015-11-29 1551 WB9QAF        599     04 SM5COP        599     14
QSO: 21136 CW 2015-11-29 1600 WB9QAF        599     04 OK5D          599     15
QSO: 14002 CW 2015-11-29 1609 WB9QAF        599     04 OK2RJC        599     15
QSO: 14018 CW 2015-11-29 1622 WB9QAF        599     04 DR5N          599     14
QSO: 14026 CW 2015-11-29 1627 WB9QAF        599     04 UX4U          599     16
QSO: 14028 CW 2015-11-29 1630 WB9QAF        599     04 OK2D          599     15
QSO: 14036 CW 2015-11-29 1659 WB9QAF        599     04 9A1A          599     15
QSO: 28009 CW 2015-11-29 2115 WB9QAF        599     04 ZM1A          599     32
QSO: 28015 CW 2015-11-29 2117 WB9QAF        599     04 VC7O          599      3
QSO: 28023 CW 2015-11-29 2130 WB9QAF        599     04 P40L          599      9
QSO: 21002 CW 2015-11-29 2142 WB9QAF        599     04 CW5W          599     13
QSO: 21019 CW 2015-11-29 2149 WB9QAF        599     04 PW2D          599     11
QSO: 21045 CW 2015-11-29 2201 WB9QAF        599     04 VA7RR         599      3
QSO: 21056 CW 2015-11-29 2203 WB9QAF        599     04 LT1F          599     13
QSO: 14019 CW 2015-11-29 2242 WB9QAF        599     04 VA2EW         599      5
QSO: 14022 CW 2015-11-29 2246 WB9QAF        599     04 PJ2T          599      9
QSO: 14025 CW 2015-11-29 2251 WB9QAF        599     04 YW4D          599      9
QSO: 14037 CW 2015-11-29 2254 WB9QAF        599     04 P40W          599      9
QSO: 14039 CW 2015-11-29 2303 WB9QAF        599     04 PJ4A          599      9
QSO: 14043 CW 2015-11-29 2307 WB9QAF        599     04 EA8CUU        599     33
QSO: 14049 CW 2015-11-29 2312 WB9QAF        599     04 VA7ST         599      3
QSO: 14056 CW 2015-11-29 2317 WB9QAF        599     04 PJ4Q          599      9
QSO: 14075 CW 2015-11-29 2323 WB9QAF        599     04 VE3JM         599      4
QSO: 14055 CW 2015-11-29 2331 WB9QAF        599     04 LT1F          599     13
QSO: 28020 CW 2015-11-29 2335 WB9QAF        599     04 ZM2B          599     32
QSO: 21059 CW 2015-11-29 2346 WB9QAF        599     04 TI5W          599      7
QSO: 14065 CW 2015-11-29 2357 WB9QAF        599     04 C6ARU         599      8
END-OF-LOG:
