START-OF-LOG: 3.0
CALLSIGN: W6NF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 160776
NAME: Jack Parker
LOCATION: MN
OPERATORS: W6NF
CLUB: Radiosport Manitoba
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5327.0
SOAPBOX: My newly erected 135-foot long-wire worked very well.
SOAPBOX: With the feed end at 25-feet and the far end (temporarily)
SOAPBOX: at 10 feet, it is not high enough to be effective on
SOAPBOX: 160/80 and displayed fair performance on 40. On 20/15/10,
QSO:  3500 CW 2015-11-28 0351 W6NF          599 4      VA7ST         599 03
QSO:  7000 CW 2015-11-28 0421 W6NF          599 4      ED8X          599 33
QSO:  7000 CW 2015-11-28 0435 W6NF          599 4      KH7M          599 31
QSO:  7000 CW 2015-11-28 0436 W6NF          599 4      EF8R          599 33
QSO:  7000 CW 2015-11-28 0439 W6NF          599 4      P40L          599 09
QSO:  7000 CW 2015-11-28 0517 W6NF          599 4      PJ2T          599 09
QSO:  7000 CW 2015-11-28 0523 W6NF          599 4      G5W           599 14
QSO:  7000 CW 2015-11-28 0529 W6NF          599 4      KH6LC         599 31
QSO:  7000 CW 2015-11-28 0537 W6NF          599 4      EI7M          599 14
QSO:  7000 CW 2015-11-28 0542 W6NF          599 4      DR4A          599 14
QSO:  7000 CW 2015-11-28 0602 W6NF          599 4      KH6J          599 31
QSO:  7000 CW 2015-11-28 0608 W6NF          599 4      ZD8W          599 36
QSO:  1800 CW 2015-11-28 0613 W6NF          599 4      K0IDX         599 04
QSO:  7000 CW 2015-11-28 0917 W6NF          599 4      PJ4Q          599 09
QSO:  7000 CW 2015-11-28 0923 W6NF          599 4      ZF2MJ         599 08
QSO:  7000 CW 2015-11-28 0924 W6NF          599 4      J3/KO8SCA     599 08
QSO:  7000 CW 2015-11-28 0925 W6NF          599 4      VY2TT         599 05
QSO:  7000 CW 2015-11-28 0930 W6NF          599 4      CO7EH         599 08
QSO:  7000 CW 2015-11-28 0934 W6NF          599 4      TO8M          599 08
QSO:  7000 CW 2015-11-28 0946 W6NF          599 4      TI5W          599 07
QSO:  7000 CW 2015-11-28 0950 W6NF          599 4      NP2P          599 08
QSO:  7000 CW 2015-11-28 1000 W6NF          599 4      TO4GU         599 08
QSO:  1800 CW 2015-11-28 1005 W6NF          599 4      VE3ZI         599 04
QSO:  1800 CW 2015-11-28 1006 W6NF          599 4      K3LR          599 05
QSO:  7000 CW 2015-11-28 1010 W6NF          599 4      VE2IM         599 02
QSO:  7000 CW 2015-11-28 1012 W6NF          599 4      VE7GL         599 03
QSO:  7000 CW 2015-11-28 1016 W6NF          599 4      NP4A          599 08
QSO:  7000 CW 2015-11-28 1018 W6NF          599 4      VP5CW         599 08
QSO: 14000 CW 2015-11-28 1413 W6NF          599 4      OK2RRR        599 15
QSO: 14000 CW 2015-11-28 1415 W6NF          599 4      RT4R          599 16
QSO: 14000 CW 2015-11-28 1417 W6NF          599 4      OH5Z          599 15
QSO: 14000 CW 2015-11-28 1419 W6NF          599 4      SP3LPG        599 15
QSO: 14000 CW 2015-11-28 1422 W6NF          599 4      OZ7A          599 14
QSO: 14000 CW 2015-11-28 1426 W6NF          599 4      9A1A          599 15
QSO: 14000 CW 2015-11-28 1428 W6NF          599 4      S52ZW         599 15
QSO: 14000 CW 2015-11-28 1431 W6NF          599 4      SO4R          599 15
QSO: 14000 CW 2015-11-28 1435 W6NF          599 4      DR1B          599 14
QSO: 14000 CW 2015-11-28 1436 W6NF          599 4      OG7A          599 15
QSO: 14000 CW 2015-11-28 1439 W6NF          599 4      RN3F          599 16
QSO: 14000 CW 2015-11-28 1442 W6NF          599 4      DL1KWK        599 14
QSO: 14000 CW 2015-11-28 1447 W6NF          599 4      SJ2W          599 14
QSO: 14000 CW 2015-11-28 1452 W6NF          599 4      LZ5Z          599 20
QSO: 14000 CW 2015-11-28 1454 W6NF          599 4      RT5G          599 16
QSO: 14000 CW 2015-11-28 1500 W6NF          599 4      YN2CC         599 07
QSO: 14000 CW 2015-11-28 1511 W6NF          599 4      YT1A          599 15
QSO: 21000 CW 2015-11-28 1518 W6NF          599 4      LZ9W          599 20
QSO: 21000 CW 2015-11-28 1519 W6NF          599 4      OL3Z          599 15
QSO: 21000 CW 2015-11-28 1525 W6NF          599 4      LX7I          599 14
QSO: 21000 CW 2015-11-28 1545 W6NF          599 4      EW4A          599 16
QSO: 21000 CW 2015-11-28 1546 W6NF          599 4      PA2PKZ        599 14
QSO: 21000 CW 2015-11-28 1548 W6NF          599 4      E7DX          599 15
QSO: 21000 CW 2015-11-28 1550 W6NF          599 4      OK7AW         599 15
QSO: 21000 CW 2015-11-28 1552 W6NF          599 4      TM6M          599 14
QSO: 21000 CW 2015-11-28 1556 W6NF          599 4      UW3M          599 16
QSO: 21000 CW 2015-11-28 1606 W6NF          599 4      ID9T          599 15
QSO: 21000 CW 2015-11-28 1608 W6NF          599 4      S53X          599 15
QSO: 21000 CW 2015-11-28 1616 W6NF          599 4      S57AW         599 15
QSO: 21000 CW 2015-11-28 1617 W6NF          599 4      F5IN          599 14
QSO: 21000 CW 2015-11-28 1621 W6NF          599 4      HA7GN         599 15
QSO: 28000 CW 2015-11-28 1628 W6NF          599 4      EA1YG         599 14
QSO: 28000 CW 2015-11-28 1633 W6NF          599 4      CR5A          599 14
QSO: 28000 CW 2015-11-28 1637 W6NF          599 4      ED1R          599 14
QSO: 28000 CW 2015-11-28 1639 W6NF          599 4      CN2AA         599 33
QSO: 28000 CW 2015-11-28 1642 W6NF          599 4      EA4TX         599 14
QSO: 28000 CW 2015-11-28 1644 W6NF          599 4      EF8R          599 33
QSO: 21000 CW 2015-11-28 1657 W6NF          599 4      N7DD          599 03
QSO: 21000 CW 2015-11-28 1658 W6NF          599 4      K2AX          599 05
QSO: 21000 CW 2015-11-28 1704 W6NF          599 4      F6HKA         599 14
QSO: 21000 CW 2015-11-28 1709 W6NF          599 4      K5TR          599 04
QSO: 28000 CW 2015-11-28 1720 W6NF          599 4      CE3CT         599 12
QSO: 28000 CW 2015-11-28 1727 W6NF          599 4      D4C           599 35
QSO: 28000 CW 2015-11-28 1736 W6NF          599 4      LO5D          599 13
QSO: 28000 CW 2015-11-28 1739 W6NF          599 4      CO8DM         599 08
QSO: 28000 CW 2015-11-28 1742 W6NF          599 4      ZF2MJ         599 08
QSO: 28000 CW 2015-11-28 1745 W6NF          599 4      C6AKQ         599 08
QSO: 28000 CW 2015-11-28 1746 W6NF          599 4      LP1H          599 13
QSO: 28000 CW 2015-11-28 1746 W6NF          599 4      PJ4A          599 09
QSO: 28000 CW 2015-11-28 1751 W6NF          599 4      CR3L          599 33
QSO: 28000 CW 2015-11-28 1754 W6NF          599 4      PJ4Q          599 09
QSO: 28000 CW 2015-11-28 1755 W6NF          599 4      LT1F          599 13
QSO: 28000 CW 2015-11-28 1755 W6NF          599 4      P40L          599 09
QSO: 28000 CW 2015-11-28 1757 W6NF          599 4      XE1XR         599 06
QSO: 28000 CW 2015-11-28 1759 W6NF          599 4      PP1CZ         599 11
QSO: 28000 CW 2015-11-28 1822 W6NF          599 4      KH6J          599 31
QSO: 28000 CW 2015-11-28 1831 W6NF          599 4      CW5W          599 13
QSO: 21000 CW 2015-11-28 1835 W6NF          599 4      VA7ST         599 03
QSO: 21000 CW 2015-11-28 1838 W6NF          599 4      VE3RZ         599 04
QSO: 21000 CW 2015-11-28 1839 W6NF          599 4      LU8YE         599 13
QSO: 21000 CW 2015-11-28 1843 W6NF          599 4      CR3L          599 33
QSO: 21000 CW 2015-11-28 1845 W6NF          599 4      EF8R          599 33
QSO: 21000 CW 2015-11-28 1846 W6NF          599 4      VC7O          599 03
QSO: 21000 CW 2015-11-28 1849 W6NF          599 4      C92ZO         599 37
QSO: 21000 CW 2015-11-28 1853 W6NF          599 4      VE1OP         599 05
QSO: 21000 CW 2015-11-28 1854 W6NF          599 4      D4C           599 35
QSO: 21000 CW 2015-11-28 1856 W6NF          599 4      XE1AY         599 06
QSO: 21000 CW 2015-11-28 1900 W6NF          599 4      KP2M          599 08
QSO: 21000 CW 2015-11-28 1914 W6NF          599 4      FG/F6ARC      599 08
QSO: 21000 CW 2015-11-28 1916 W6NF          599 4      PJ4A          599 09
QSO: 21000 CW 2015-11-28 1919 W6NF          599 4      V47T          599 08
QSO: 28000 CW 2015-11-28 1927 W6NF          599 4      CW4MAX        599 13
QSO: 28000 CW 2015-11-28 1927 W6NF          599 4      TO8M          599 08
QSO: 28000 CW 2015-11-28 1929 W6NF          599 4      PZ5W          599 09
QSO: 28000 CW 2015-11-28 1930 W6NF          599 4      PY5FB         599 11
QSO: 28000 CW 2015-11-28 1931 W6NF          599 4      LU1DZ         599 13
QSO: 28000 CW 2015-11-28 1932 W6NF          599 4      VC1E          599 05
QSO: 28000 CW 2015-11-28 1936 W6NF          599 4      YW4D          599 09
QSO: 28000 CW 2015-11-28 1942 W6NF          599 4      TI5W          599 07
QSO: 21000 CW 2015-11-28 1950 W6NF          599 4      KP3Z          599 08
QSO: 21000 CW 2015-11-28 1952 W6NF          599 4      KH6LC         599 31
QSO: 21000 CW 2015-11-28 2051 W6NF          599 4      OH1F          599 15
QSO: 21000 CW 2015-11-28 2055 W6NF          599 4      OH0V          599 15
QSO: 21000 CW 2015-11-28 2101 W6NF          599 4      YV5KG         599 09
QSO: 14000 CW 2015-11-28 2109 W6NF          599 4      HR2J          599 07
QSO: 14000 CW 2015-11-28 2110 W6NF          599 4      VE9AA         599 05
QSO: 14000 CW 2015-11-28 2117 W6NF          599 4      OZ5B          599 14
QSO: 14000 CW 2015-11-28 2119 W6NF          599 4      P40L          599 09
QSO: 14000 CW 2015-11-28 2120 W6NF          599 4      OH0X          599 15
QSO: 14000 CW 2015-11-28 2122 W6NF          599 4      D4C           599 35
QSO: 14000 CW 2015-11-28 2126 W6NF          599 4      VP2VVV        599 08
QSO: 14000 CW 2015-11-28 2128 W6NF          599 4      KH6LC         599 31
QSO: 14000 CW 2015-11-28 2130 W6NF          599 4      YL2KO         599 15
QSO: 14000 CW 2015-11-28 2130 W6NF          599 4      VE6JY         599 04
QSO: 14000 CW 2015-11-28 2131 W6NF          599 4      PV0C          599 11
QSO: 14000 CW 2015-11-28 2133 W6NF          599 4      YV5IUA        599 09
QSO: 14000 CW 2015-11-28 2134 W6NF          599 4      VE3YAA        599 04
QSO: 14000 CW 2015-11-28 2135 W6NF          599 4      RT1O          599 16
QSO: 14000 CW 2015-11-28 2141 W6NF          599 4      LA9OI         599 14
QSO: 21000 CW 2015-11-28 2145 W6NF          599 4      P40L          599 09
QSO: 21000 CW 2015-11-28 2159 W6NF          599 4      ZM1A          599 32
QSO: 21000 CW 2015-11-28 2200 W6NF          599 4      VK2IA         599 30
QSO: 21000 CW 2015-11-28 2203 W6NF          599 4      LT1F          599 13
QSO: 28000 CW 2015-11-28 2208 W6NF          599 4      KH7M          599 31
QSO: 28000 CW 2015-11-28 2209 W6NF          599 4      YN2CC         599 07
QSO: 28000 CW 2015-11-28 2210 W6NF          599 4      WL7E          599 01
QSO: 21000 CW 2015-11-28 2236 W6NF          599 4      JE1ZWT        599 25
QSO: 21000 CW 2015-11-28 2238 W6NF          599 4      LU6UO         599 13
QSO: 21000 CW 2015-11-28 2243 W6NF          599 4      JA7ZFN        599 25
QSO: 21000 CW 2015-11-28 2246 W6NF          599 4      PX2V          599 11
QSO: 21000 CW 2015-11-28 2249 W6NF          599 4      LP1H          599 13
QSO: 21000 CW 2015-11-28 2254 W6NF          599 4      PY4YY         599 11
QSO: 21000 CW 2015-11-28 2255 W6NF          599 4      PW2D          599 11
QSO: 21000 CW 2015-11-28 2257 W6NF          599 4      LU7HF         599 13
QSO: 14000 CW 2015-11-28 2301 W6NF          599 4      RT0C          599 19
QSO: 14000 CW 2015-11-28 2303 W6NF          599 4      KP2Q          599 08
QSO: 14000 CW 2015-11-28 2307 W6NF          599 4      HK1R          599 09
QSO: 14000 CW 2015-11-28 2309 W6NF          599 4      P40C          599 09
QSO: 14000 CW 2015-11-28 2310 W6NF          599 4      VA2EW         599 05
QSO: 14000 CW 2015-11-28 2312 W6NF          599 4      YV5IUA        599 09
QSO: 14000 CW 2015-11-28 2313 W6NF          599 4      XE1EE         599 06
QSO: 14000 CW 2015-11-28 2326 W6NF          599 4      FY5KE         599 09
QSO: 14000 CW 2015-11-29 0034 W6NF          599 4      DP1POL        599 38
QSO: 14000 CW 2015-11-29 0037 W6NF          599 4      JR5YCE        599 25
QSO: 14000 CW 2015-11-29 0039 W6NF          599 4      ZD8W          599 36
QSO: 14000 CW 2015-11-29 0041 W6NF          599 4      PJ2T          599 09
QSO: 14000 CW 2015-11-29 0042 W6NF          599 4      KP2M          599 08
QSO: 14000 CW 2015-11-29 0052 W6NF          599 4      RT0C          599 19
QSO: 14000 CW 2015-11-29 0102 W6NF          599 4      CJ3A          599 04
QSO: 14000 CW 2015-11-29 0105 W6NF          599 4      KP3Z          599 08
QSO: 14000 CW 2015-11-29 0108 W6NF          599 4      PR2F          599 11
QSO: 14000 CW 2015-11-29 0109 W6NF          599 4      CE3AA         599 12
QSO: 14000 CW 2015-11-29 0122 W6NF          599 4      LT1F          599 13
QSO:  7000 CW 2015-11-29 0130 W6NF          599 4      HG1S          599 15
QSO:  7000 CW 2015-11-29 0131 W6NF          599 4      VE3EJ         599 04
QSO:  7000 CW 2015-11-29 0133 W6NF          599 4      S53A          599 15
QSO:  7000 CW 2015-11-29 0141 W6NF          599 4      IR4M          599 15
QSO:  7000 CW 2015-11-29 0533 W6NF          599 4      HC2AO         599 10
QSO:  7000 CW 2015-11-29 1356 W6NF          599 4      VA7DZ         599 03
QSO:  7000 CW 2015-11-29 1400 W6NF          599 4      SN8N          599 15
QSO: 14000 CW 2015-11-29 1408 W6NF          599 4      F2DX          599 14
QSO: 14000 CW 2015-11-29 1412 W6NF          599 4      SP9LJD        599 15
QSO: 14000 CW 2015-11-29 1414 W6NF          599 4      OK2RJC        599 15
QSO: 14000 CW 2015-11-29 1420 W6NF          599 4      DR1D          599 14
QSO: 14000 CW 2015-11-29 1423 W6NF          599 4      HG7T          599 15
QSO: 14000 CW 2015-11-29 1430 W6NF          599 4      LY7A          599 15
QSO: 14000 CW 2015-11-29 1436 W6NF          599 4      OK5ZZ         599 15
QSO: 14000 CW 2015-11-29 1438 W6NF          599 4      SG1A          599 14
QSO: 14000 CW 2015-11-29 1517 W6NF          599 4      S50B          599 15
QSO: 14000 CW 2015-11-29 1521 W6NF          599 4      UW2M          599 16
QSO: 21000 CW 2015-11-29 1524 W6NF          599 4      IR4M          599 15
QSO: 21000 CW 2015-11-29 1525 W6NF          599 4      DL2DX         599 14
QSO: 21000 CW 2015-11-29 1527 W6NF          599 4      G2F           599 14
QSO: 21000 CW 2015-11-29 1529 W6NF          599 4      HB9CA         599 14
QSO: 21000 CW 2015-11-29 1532 W6NF          599 4      HG6N          599 15
QSO: 21000 CW 2015-11-29 1533 W6NF          599 4      ED5O          599 14
QSO: 21000 CW 2015-11-29 1537 W6NF          599 4      HA8VV         599 15
QSO: 21000 CW 2015-11-29 1538 W6NF          599 4      9A1A          599 15
QSO: 21000 CW 2015-11-29 1544 W6NF          599 4      OL4A          599 15
QSO: 21000 CW 2015-11-29 1547 W6NF          599 4      DK8ZB         599 14
QSO: 21000 CW 2015-11-29 1549 W6NF          599 4      OL7M          599 15
QSO: 21000 CW 2015-11-29 1551 W6NF          599 4      II9P          599 15
QSO: 21000 CW 2015-11-29 1552 W6NF          599 4      DL0GL         599 14
QSO: 21000 CW 2015-11-29 1554 W6NF          599 4      OM2VL         599 15
QSO: 21000 CW 2015-11-29 1555 W6NF          599 4      SO2R          599 15
QSO: 21000 CW 2015-11-29 1557 W6NF          599 4      SN8B          599 15
QSO: 21000 CW 2015-11-29 1602 W6NF          599 4      HA3NU         599 15
QSO: 21000 CW 2015-11-29 1603 W6NF          599 4      S50R          599 15
QSO: 21000 CW 2015-11-29 1605 W6NF          599 4      9A5Y          599 15
QSO: 21000 CW 2015-11-29 1606 W6NF          599 4      ON6NL         599 14
QSO: 21000 CW 2015-11-29 1608 W6NF          599 4      OK1DOL        599 15
QSO: 21000 CW 2015-11-29 1609 W6NF          599 4      EA3CX         599 14
QSO: 21000 CW 2015-11-29 1611 W6NF          599 4      S58N          599 15
QSO: 21000 CW 2015-11-29 1614 W6NF          599 4      PA0O          599 14
QSO: 21000 CW 2015-11-29 1614 W6NF          599 4      DR4A          599 14
QSO: 28000 CW 2015-11-29 1616 W6NF          599 4      C6AKQ         599 08
QSO: 21000 CW 2015-11-29 1619 W6NF          599 4      PA3AAV        599 14
QSO: 21000 CW 2015-11-29 1620 W6NF          599 4      HG1S          599 15
QSO: 21000 CW 2015-11-29 1626 W6NF          599 4      DJ5MW         599 14
QSO: 21000 CW 2015-11-29 1741 W6NF          599 4      CR3OO         599 33
QSO: 21000 CW 2015-11-29 1744 W6NF          599 4      ZF2MJ         599 08
QSO: 21000 CW 2015-11-29 1746 W6NF          599 4      CN2AA         599 33
QSO: 21000 CW 2015-11-29 1751 W6NF          599 4      PJ4Q          599 09
QSO: 21000 CW 2015-11-29 1755 W6NF          599 4      KH6J          599 31
QSO: 21000 CW 2015-11-29 1757 W6NF          599 4      CR6K          599 14
QSO: 28000 CW 2015-11-29 1800 W6NF          599 4      AJ4F          599 04
QSO: 28000 CW 2015-11-29 1803 W6NF          599 4      PP1CZ         599 11
QSO: 28000 CW 2015-11-29 1805 W6NF          599 4      PW2D          599 11
QSO: 28000 CW 2015-11-29 1814 W6NF          599 4      ZS1EL         599 38
QSO: 21000 CW 2015-11-29 1818 W6NF          599 4      EA8CN         599 33
QSO: 21000 CW 2015-11-29 1819 W6NF          599 4      VE3EJ         599 04
QSO: 21000 CW 2015-11-29 1822 W6NF          599 4      VA7RR         599 03
QSO: 21000 CW 2015-11-29 1823 W6NF          599 4      ED8X          599 33
QSO: 21000 CW 2015-11-29 1826 W6NF          599 4      VE7VR         599 03
QSO: 21000 CW 2015-11-29 1826 W6NF          599 4      VA7DZ         599 03
QSO: 21000 CW 2015-11-29 1829 W6NF          599 4      EF8U          599 33
QSO: 14000 CW 2015-11-29 1834 W6NF          599 4      DK8ZB         599 14
QSO: 14000 CW 2015-11-29 1835 W6NF          599 4      PA4O          599 14
QSO: 14000 CW 2015-11-29 1837 W6NF          599 4      EF8R          599 33
QSO: 14000 CW 2015-11-29 1839 W6NF          599 4      EF8U          599 33
QSO: 14000 CW 2015-11-29 1845 W6NF          599 4      EI1Y          599 14
QSO: 14000 CW 2015-11-29 1845 W6NF          599 4      GD6IA         599 14
QSO: 14000 CW 2015-11-29 1850 W6NF          599 4      EI7M          599 14
QSO: 14000 CW 2015-11-29 1852 W6NF          599 4      CR3L          599 33
QSO: 14000 CW 2015-11-29 1854 W6NF          599 4      PI4CC         599 14
QSO: 14000 CW 2015-11-29 1857 W6NF          599 4      SB3W          599 14
QSO: 14000 CW 2015-11-29 1857 W6NF          599 4      M6T           599 14
QSO: 14000 CW 2015-11-29 1859 W6NF          599 4      MW5R          599 14
QSO: 14000 CW 2015-11-29 1900 W6NF          599 4      TI5W          599 07
QSO: 28000 CW 2015-11-29 1910 W6NF          599 4      VC7O          599 03
END-OF-LOG:
