START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ World Wide Log 2.2
CONTEST: CQ-WW-CW
CALLSIGN: WA8REI
CLAIMED-SCORE: 27965
OPERATORS: WA8REI
LOCATION: MI
CLUB:
NAME: KEN LOUKS
SOAPBOX:
SOAPBOX:  5 watts to a Mosley PRO 67B yagi.  20 m. SBSO.  EXCELLENT CONDX
QSO: 14000 CW 2015-11-29 1902 WA8REI        599 04     VE2SSS        599 05
QSO: 14000 CW 2015-11-29 1913 WA8REI        599 04     VE2IM         599 02
QSO: 14000 CW 2015-11-29 1914 WA8REI        599 04     TI5W          599 07
QSO: 14000 CW 2015-11-29 1915 WA8REI        599 04     VP2VVV        599 08
QSO: 14000 CW 2015-11-29 1930 WA8REI        599 04     TM4Q          599 14
QSO: 14000 CW 2015-11-29 1935 WA8REI        599 04     F6HKA         599 14
QSO: 14000 CW 2015-11-29 1944 WA8REI        599 04     EF8R          599 33
QSO: 14000 CW 2015-11-29 1945 WA8REI        599 04     VA2WA         599 05
QSO: 14000 CW 2015-11-29 1947 WA8REI        599 04     SM2T          599 14
QSO: 14000 CW 2015-11-29 1949 WA8REI        599 04     OH0V          599 15
QSO: 14000 CW 2015-11-29 1956 WA8REI        599 04     C6ARU         599 08
QSO: 14000 CW 2015-11-29 1957 WA8REI        599 04     FY5KE         599 09
QSO: 14000 CW 2015-11-29 1958 WA8REI        599 04     CR3OO         599 33
QSO: 14000 CW 2015-11-29 1959 WA8REI        599 04     SK3W          599 14
QSO: 14000 CW 2015-11-29 2001 WA8REI        599 04     CR6K          599 14
QSO: 14000 CW 2015-11-29 2011 WA8REI        599 04     PJ4Q          599 09
QSO: 14000 CW 2015-11-29 2017 WA8REI        599 04     VO2NSK        599 02
QSO: 14000 CW 2015-11-29 2020 WA8REI        599 04     EA7PP         599 14
QSO: 14000 CW 2015-11-29 2234 WA8REI        599 04     RT0F          599 19
QSO: 14000 CW 2015-11-29 2236 WA8REI        599 04     D4C           599 35
QSO: 14000 CW 2015-11-29 2236 WA8REI        599 04     ZD8W          599 36
QSO: 14000 CW 2015-11-29 2237 WA8REI        599 04     VA7ST         599 03
QSO: 14000 CW 2015-11-29 2241 WA8REI        599 04     VE6JY         599 04
QSO: 14000 CW 2015-11-29 2254 WA8REI        599 04     7N4SJX        599 25
QSO: 14000 CW 2015-11-29 2255 WA8REI        599 04     JH4UYB        599 25
QSO: 14000 CW 2015-11-29 2256 WA8REI        599 04     JG2KKG        599 25
QSO: 14000 CW 2015-11-29 2259 WA8REI        599 04     VE7VR         599 03
QSO: 14000 CW 2015-11-29 2300 WA8REI        599 04     JH4ATB        599 25
QSO: 14000 CW 2015-11-29 2317 WA8REI        599 04     KH6LC         599 31
QSO: 14000 CW 2015-11-29 2323 WA8REI        599 04     JA7FTR        599 25
QSO: 14000 CW 2015-11-29 2327 WA8REI        599 04     JA3YBK        599 25
QSO: 14000 CW 2015-11-29 2331 WA8REI        599 04     CE3FT         599 12
QSO: 14000 CW 2015-11-29 2346 WA8REI        599 04     OA4SS         599 10
QSO: 14000 CW 2015-11-29 2349 WA8REI        599 04     LT1F          599 13
QSO: 14000 CW 2015-11-29 2352 WA8REI        599 04     CE3AA         599 12
QSO: 14000 CW 2015-11-29 2358 WA8REI        599 04     LW3DG         599 13
END-OF-LOG:
