START-OF-LOG: 3.0
CALLSIGN: DM9KT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 9718
NAME: Tino Klapproth
LOCATION: DX
OPERATORS: DM9KT
CLUB: DARC
CERTIFICATE: NO
CREATED-BY: Win-Test 4.18.0
SOAPBOX: wkd with Yaesu FT-817nd 5 Watts and G5RV abt 7m Heigh.
QSO:  7010 CW 2015-11-28 1538 DM9KT         599 14     9A5X          599 15     0
QSO:  7011 CW 2015-11-28 1539 DM9KT         599 14     SP9W          599 15     0
QSO:  7015 CW 2015-11-28 1545 DM9KT         599 14     OL1M          599 15     0
QSO:  7017 CW 2015-11-28 1547 DM9KT         599 14     S53F          599 15     0
QSO:  7023 CW 2015-11-28 1551 DM9KT         599 14     IZ4DYX        599 15     0
QSO:  7024 CW 2015-11-28 1555 DM9KT         599 14     GM3X          599 14     0
QSO:  7027 CW 2015-11-28 1557 DM9KT         599 14     PA5KT         599 14     0
QSO:  7028 CW 2015-11-28 1600 DM9KT         599 14     OL0W          599 15     0
QSO:  7029 CW 2015-11-28 1614 DM9KT         599 14     9A1A          599 15     0
QSO:  7035 CW 2015-11-28 1653 DM9KT         599 14     UP2L          599 17     0
QSO:  3500 CW 2015-11-28 1656 DM9KT         599 14     SM0W          599 14     0
QSO:  3502 CW 2015-11-28 1659 DM9KT         599 14     UT1S          599 14     0
QSO:  3505 CW 2015-11-28 1700 DM9KT         599 14     YT1X          599 15     0
QSO:  3508 CW 2015-11-28 1700 DM9KT         599 14     OK1HGM        599 15     0
QSO:  3510 CW 2015-11-28 1702 DM9KT         599 14     OK1DJS        599 15     0
QSO:  3512 CW 2015-11-28 1703 DM9KT         599 14     OH0V          599 15     0
QSO:  3521 CW 2015-11-28 1704 DM9KT         599 14     DF0HQ         599 14     0
QSO:  3523 CW 2015-11-28 1705 DM9KT         599 14     S56M          599 15     0
QSO:  3526 CW 2015-11-28 1707 DM9KT         599 14     HA8A          599 15     0
QSO:  3527 CW 2015-11-28 1709 DM9KT         599 14     GS8VL         599 14     0
QSO:  3529 CW 2015-11-28 1710 DM9KT         599 14     9A4M          599 15     0
QSO:  3534 CW 2015-11-28 1714 DM9KT         599 14     OH3FM         599 15     0
QSO:  3537 CW 2015-11-28 1717 DM9KT         599 14     YU5T          599 15     0
QSO:  3540 CW 2015-11-28 1718 DM9KT         599 14     IK0VVE        599 15     0
QSO:  3543 CW 2015-11-28 1719 DM9KT         599 14     HA2NA         599 15     0
QSO:  3544 CW 2015-11-28 1720 DM9KT         599 14     9A1AA         599 15     0
QSO:  3547 CW 2015-11-28 1722 DM9KT         599 14     DK65DARC      599 14     0
QSO:  1814 CW 2015-11-28 1841 DM9KT         599 14     S58MU         599 15     0
QSO:  1810 CW 2015-11-28 1842 DM9KT         599 14     DF0HQ         599 14     0
QSO:  1815 CW 2015-11-28 1852 DM9KT         599 14     OK2W          599 15     0
QSO:  1824 CW 2015-11-28 1936 DM9KT         599 14     LY7M          599 15     0
QSO:  1833 CW 2015-11-28 2037 DM9KT         599 14     EW2M          599 16     0
QSO:  1843 CW 2015-11-28 2042 DM9KT         599 14     OH0Z          599 15     0
QSO:  3500 CW 2015-11-28 2043 DM9KT         599 14     DL6JF         599 14     0
QSO:  7011 CW 2015-11-28 2100 DM9KT         599 14     RT5G          599 16     0
QSO:  7015 CW 2015-11-28 2102 DM9KT         599 14     UA3R          599 16     0
QSO:  7018 CW 2015-11-28 2104 DM9KT         599 14     ED2C          599 14     0
QSO:  7058 CW 2015-11-28 2111 DM9KT         599 14     9H6A          599 15     0
QSO:  7062 CW 2015-11-28 2113 DM9KT         599 14     UT7E          599 16     0
QSO:  3500 CW 2015-11-28 2127 DM9KT         599 14     OK2RRR        599 15     0
QSO:  3501 CW 2015-11-28 2128 DM9KT         599 14     II9P          599 15     0
QSO:  3503 CW 2015-11-28 2131 DM9KT         599 14     DK3YD         599 14     0
QSO: 14029 CW 2015-11-29 0836 DM9KT         599 14     SW3JH         599 20     0
QSO: 14033 CW 2015-11-29 0840 DM9KT         599 14     RG3P          599 16     0
QSO: 14035 CW 2015-11-29 0912 DM9KT         599 14     OM0M          599 15     0
QSO: 14045 CW 2015-11-29 0913 DM9KT         599 14     II9W          599 15     0
QSO: 14064 CW 2015-11-29 0915 DM9KT         599 14     YL9T          599 15     0
QSO: 14070 CW 2015-11-29 0919 DM9KT         599 14     JA8RWU        599 25     0
QSO: 21008 CW 2015-11-29 1029 DM9KT         599 14     RW9USA        599 18     0
QSO:  7022 CW 2015-11-29 2026 DM9KT         599 14     RL5A          599 16     0
QSO:  7016 CW 2015-11-29 2030 DM9KT         599 14     ED1R          599 14     0
QSO:  7005 CW 2015-11-29 2032 DM9KT         599 14     ED9U          599 33     0
QSO:  3501 CW 2015-11-29 2037 DM9KT         599 14     IH9R          599 33     0
QSO:  3507 CW 2015-11-29 2040 DM9KT         599 14     ON4IA         599 14     0
QSO:  3509 CW 2015-11-29 2041 DM9KT         599 14     OM7M          599 15     0
QSO:  3510 CW 2015-11-29 2104 DM9KT         599 14     OE2BZL        599 15     0
QSO:  3511 CW 2015-11-29 2105 DM9KT         599 14     DR5N          599 14     0
QSO:  3512 CW 2015-11-29 2106 DM9KT         599 14     YT5A          599 15     0
QSO:  3514 CW 2015-11-29 2106 DM9KT         599 14     S57Z          599 15     0
QSO:  3514 CW 2015-11-29 2107 DM9KT         599 14     OL4W          599 15     0
QSO:  3515 CW 2015-11-29 2109 DM9KT         599 14     OG9W          599 15     0
QSO:  3520 CW 2015-11-29 2112 DM9KT         599 14     HG6N          599 15     0
QSO:  3521 CW 2015-11-29 2113 DM9KT         599 14     OM7JG         599 15     0
QSO:  3522 CW 2015-11-29 2114 DM9KT         599 14     E7DX          599 15     0
QSO:  3522 CW 2015-11-29 2114 DM9KT         599 14     US5WE         599 16     0
QSO:  3525 CW 2015-11-29 2117 DM9KT         599 14     IK2CLB        599 15     0
QSO:  3525 CW 2015-11-29 2118 DM9KT         599 14     S51W          599 15     0
QSO:  3530 CW 2015-11-29 2121 DM9KT         599 14     DL3ANK        599 14     0
QSO:  3532 CW 2015-11-29 2122 DM9KT         599 14     LY2W          599 15     0
QSO:  3532 CW 2015-11-29 2123 DM9KT         599 14     PA4O          599 14     0
QSO:  3533 CW 2015-11-29 2124 DM9KT         599 14     SP2YWL        599 15     0
QSO:  3534 CW 2015-11-29 2124 DM9KT         599 14     HG7T          599 15     0
QSO:  3538 CW 2015-11-29 2129 DM9KT         599 14     TK0C          599 15     0
QSO:  3538 CW 2015-11-29 2130 DM9KT         599 14     OM2015TITANIC 599 15     0
QSO:  3539 CW 2015-11-29 2130 DM9KT         599 14     SP2QG         599 15     0
QSO:  3540 CW 2015-11-29 2132 DM9KT         599 14     UW9I          599 16     0
END-OF-LOG:
