START-OF-LOG: 3.0
CALLSIGN: N2RJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 22932
NAME: Ria Jairam
LOCATION: NNJ
OPERATORS: N2RJ
CLUB: Frankford Radio Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5325.0
SOAPBOX: Good test, wish I could do full time. Next time!
QSO:  7024 CW 2015-11-29 0304 N2RJ          599 5      HB9FBM        599 14
QSO:  7027 CW 2015-11-29 0402 N2RJ          599 5      PP5BZ         599 11
QSO:  7027 CW 2015-11-29 0403 N2RJ          599 5      S53A          599 15
QSO:  7030 CW 2015-11-29 0417 N2RJ          599 5      HG1S          599 15
QSO:  7031 CW 2015-11-29 0418 N2RJ          599 5      CO7EH         599 08
QSO: 14000 CW 2015-11-29 1622 N2RJ          599 5      P33W          599 20
QSO: 14001 CW 2015-11-29 1622 N2RJ          599 5      DF0HQ         599 14
QSO: 14004 CW 2015-11-29 1653 N2RJ          599 5      YT5A          599 15
QSO: 14006 CW 2015-11-29 1656 N2RJ          599 5      SM5CEU        599 14
QSO: 14006 CW 2015-11-29 1658 N2RJ          599 5      OM3RRC        599 15
QSO: 14008 CW 2015-11-29 1700 N2RJ          599 5      P40W          599 09
QSO: 14009 CW 2015-11-29 1702 N2RJ          599 5      LY4A          599 15
QSO: 14011 CW 2015-11-29 1708 N2RJ          599 5      OK3EU         599 15
QSO: 14012 CW 2015-11-29 1708 N2RJ          599 5      OM2VL         599 15
QSO: 14013 CW 2015-11-29 1719 N2RJ          599 5      F2DX          599 14
QSO: 14014 CW 2015-11-29 1719 N2RJ          599 5      OL3Z          599 15
QSO: 14014 CW 2015-11-29 1721 N2RJ          599 5      ED2C          599 14
QSO: 14075 CW 2015-11-29 1723 N2RJ          599 5      ZA1WW         599 15
QSO: 14002 CW 2015-11-29 1725 N2RJ          599 5      OK2RJC        599 15
QSO: 14020 CW 2015-11-29 1730 N2RJ          599 5      OE3S          599 15
QSO: 14008 CW 2015-11-29 1735 N2RJ          599 5      TM1A          599 14
QSO: 14013 CW 2015-11-29 1736 N2RJ          599 5      VC7O          599 03
QSO: 14019 CW 2015-11-29 1736 N2RJ          599 5      DR1D          599 14
QSO: 14019 CW 2015-11-29 1737 N2RJ          599 5      M6T           599 14
QSO: 14023 CW 2015-11-29 1742 N2RJ          599 5      OL4A          599 15
QSO: 14025 CW 2015-11-29 1744 N2RJ          599 5      DF3CB         599 14
QSO: 14024 CW 2015-11-29 1749 N2RJ          599 5      DL0CS         599 14
QSO: 14020 CW 2015-11-29 1749 N2RJ          599 5      OM7M          599 15
QSO: 14008 CW 2015-11-29 1750 N2RJ          599 5      TF3JB         599 40
QSO: 14014 CW 2015-11-29 1811 N2RJ          599 5      GU4CHY        599 14
QSO: 14012 CW 2015-11-29 1818 N2RJ          599 5      W0SN          599 04
QSO: 14027 CW 2015-11-29 1824 N2RJ          599 5      EF8U          599 33
QSO: 14030 CW 2015-11-29 1827 N2RJ          599 5      CN2AA         599 33
QSO: 14031 CW 2015-11-29 1829 N2RJ          599 5      RT1O          599 16
QSO: 14032 CW 2015-11-29 1837 N2RJ          599 5      GD6IA         599 14
QSO: 14011 CW 2015-11-29 1840 N2RJ          599 5      S57AL         599 15
QSO: 21092 CW 2015-11-29 1846 N2RJ          599 5      CE0Y/R4WAA    599 12
QSO: 21047 CW 2015-11-29 1850 N2RJ          599 5      OH8X          599 15
QSO: 21001 CW 2015-11-29 1929 N2RJ          599 5      FM5FJ         599 08
QSO: 21006 CW 2015-11-29 1931 N2RJ          599 5      FY5FY         599 09
QSO: 21007 CW 2015-11-29 1938 N2RJ          599 5      HK1ANP        599 09
QSO: 21012 CW 2015-11-29 1950 N2RJ          599 5      ZT6T          599 38
QSO: 21014 CW 2015-11-29 1955 N2RJ          599 5      VE7VR         599 03
QSO: 21015 CW 2015-11-29 2002 N2RJ          599 5      KV0Q          599 04
QSO: 21002 CW 2015-11-29 2004 N2RJ          599 5      ZW5B          599 11
QSO: 21010 CW 2015-11-29 2016 N2RJ          599 5      CX2AQ         599 13
QSO: 21032 CW 2015-11-29 2019 N2RJ          599 5      VK2IA         599 30
QSO: 14021 CW 2015-11-29 2028 N2RJ          599 5      TX8D          599 32
QSO: 14009 CW 2015-11-29 2030 N2RJ          599 5      KP2M          599 08
QSO: 14015 CW 2015-11-29 2039 N2RJ          599 5      PW2D          599 11
QSO: 14011 CW 2015-11-29 2040 N2RJ          599 5      VA2WA         599 05
QSO: 14014 CW 2015-11-29 2046 N2RJ          599 5      OH0X          599 15
QSO: 14014 CW 2015-11-29 2053 N2RJ          599 5      CE3AA         599 12
QSO: 14002 CW 2015-11-29 2054 N2RJ          599 5      VE7SV         599 03
QSO: 14013 CW 2015-11-29 2058 N2RJ          599 5      VA2EW         599 05
QSO: 14006 CW 2015-11-29 2103 N2RJ          599 5      XE1MM         599 06
QSO: 28026 CW 2015-11-29 2113 N2RJ          599 5      ZL4YL         599 32
QSO: 14040 CW 2015-11-29 2338 N2RJ          599 5      OA4SS         599 10
END-OF-LOG:
