START-OF-LOG: 3.0
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
LOCATION: DX
CONTEST: EA-MAJESTAD-CW
CALLSIGN: DO2MS
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 6875
OPERATORS: 
CLUB: 
NAME: Michael Stipka
SPECIFIC: 
SOAPBOX: I had a lot of fun , thank you !!
QSO: 21000 CW 2015-05-16 1342 DO2MS         599 020    K3RA          599 130    0
QSO: 28000 CW 2015-05-16 1354 DO2MS         599 021    ZX1X          599 053    0
QSO: 21000 CW 2015-05-16 1405 DO2MS         599 022    SV9RNG        599 090    0
QSO: 21000 CW 2015-05-16 1407 DO2MS         599 023    AA3B          599 105    0
QSO: 21000 CW 2015-05-16 1411 DO2MS         599 024    RL4A          599 211    0
QSO: 28000 CW 2015-05-16 1430 DO2MS         599 025    PY2XC         599 032    0
QSO: 28000 CW 2015-05-16 1434 DO2MS         599 026    IK0YUU        599 020    0
QSO: 21000 CW 2015-05-16 1447 DO2MS         599 027    EA1VT         599 C      0
QSO: 21000 CW 2015-05-16 1454 DO2MS         599 028    I6FDJ         599 116    0
QSO: 21000 CW 2015-05-16 1506 DO2MS         599 029    AO150H        599 BB     0
QSO: 21000 CW 2015-05-16 1510 DO2MS         599 030    LY2AX         599 131    0
QSO: 21000 CW 2015-05-16 1517 DO2MS         599 031    VE2CWT        599 059    0
QSO:  3500 CW 2015-05-17 0233 DO2MS         599 032    LY7M          599 323    0
QSO:  3500 CW 2015-05-17 0234 DO2MS         599 033    DK2CF         599 205    0
QSO:  3500 CW 2015-05-17 0249 DO2MS         599 034    HG7T          599 137    0
QSO:  3500 CW 2015-05-17 0259 DO2MS         599 035    ED1R          599 AV     0
QSO:  3500 CW 2015-05-17 0304 DO2MS         599 036    PA5KT         599 027    0
QSO:  3500 CW 2015-05-17 0315 DO2MS         599 037    DL5YL         599 140    0
QSO:  3500 CW 2015-05-17 0317 DO2MS         599 038    OM7AA         599 081    0
QSO:  3500 CW 2015-05-17 0323 DO2MS         599 039    EA4GB         599 TO     0
QSO:  3500 CW 2015-05-17 0326 DO2MS         599 040    ON5JT         599 176    0
QSO:  3500 CW 2015-05-17 0332 DO2MS         599 041    EI3KI         599 643    0
QSO:  3500 CW 2015-05-17 0335 DO2MS         599 042    F5IN          599 318    0
QSO: 21000 CW 2015-05-17 0410 DO2MS         599 043    UN4PG         599 110    0
QSO: 21000 CW 2015-05-17 0412 DO2MS         599 044    RG9A          599 1027   0
QSO: 21000 CW 2015-05-17 0430 DO2MS         599 045    4X0A          599 168    0
QSO: 21000 CW 2015-05-17 0517 DO2MS         599 046    R0QA          599 047    0
QSO: 21000 CW 2015-05-17 0530 DO2MS         599 047    OH6BA         599 188    0
QSO: 21000 CW 2015-05-17 0540 DO2MS         599 048    SV5/DL3DRN    599 203    0
QSO: 21000 CW 2015-05-17 0555 DO2MS         599 049    UN3M          599 019    0
QSO: 21000 CW 2015-05-17 0608 DO2MS         599 050    R9FM          599 036    0
QSO: 21000 CW 2015-05-17 0611 DO2MS         599 051    UA0OD         599 034    0
QSO: 21000 CW 2015-05-17 0636 DO2MS         599 052    RF9C          599 375    0
QSO: 21000 CW 2015-05-17 0639 DO2MS         599 053    RM6A          599 009    0
QSO: 21000 CW 2015-05-17 0647 DO2MS         599 054    UA6ME         599 077    0
QSO: 21000 CW 2015-05-17 0700 DO2MS         599 055    CR7AJL        599 459    0
QSO: 21000 CW 2015-05-17 0715 DO2MS         599 056    EA4SV         599 BA     0
QSO: 21000 CW 2015-05-17 0720 DO2MS         599 057    RK4HCT        599 381    0
QSO: 21000 CW 2015-05-17 0733 DO2MS         599 058    JE1SGH        599 029    0
QSO: 21000 CW 2015-05-17 0739 DO2MS         599 059    SF3A          599 378    0
QSO: 21000 CW 2015-05-17 0744 DO2MS         599 060    LZ5XX         599 404    0
QSO: 21000 CW 2015-05-17 0752 DO2MS         599 061    ES5KJ         599 262    0
QSO: 21000 CW 2015-05-17 0803 DO2MS         599 062    RU4SO         599 030    0
QSO: 21000 CW 2015-05-17 0805 DO2MS         599 063    EF0F          599 SNR    0
QSO: 21000 CW 2015-05-17 0806 DO2MS         599 064    LY9Y          599 964    0
QSO: 21000 CW 2015-05-17 0810 DO2MS         599 065    OG6N          599 646    0
QSO: 21000 CW 2015-05-17 0814 DO2MS         599 066    YO3APJ        599 249    0
QSO: 21000 CW 2015-05-17 0817 DO2MS         599 067    RX6AM         599 393    0
QSO: 21000 CW 2015-05-17 0820 DO2MS         599 068    SE5L          599 289    0
QSO: 21000 CW 2015-05-17 0831 DO2MS         599 069    LY2K          599 949    0
QSO: 21000 CW 2015-05-17 0835 DO2MS         599 070    LY7Z          599 297    0
QSO: 21000 CW 2015-05-17 0839 DO2MS         599 071    SE4E          599 591    0
QSO: 21000 CW 2015-05-17 0841 DO2MS         599 072    SG5G          599 085    0
QSO: 28000 CW 2015-05-17 0845 DO2MS         599 073    YR5T          599 367    0
QSO: 28000 CW 2015-05-17 0850 DO2MS         599 074    SF3A          599 416    0
QSO: 28000 CW 2015-05-17 0852 DO2MS         599 075    SB0A          599 210    0
QSO: 21000 CW 2015-05-17 0904 DO2MS         599 076    EA8CSG        599 TF     0
QSO: 21000 CW 2015-05-17 0906 DO2MS         599 077    EF5T          599 MU     0
QSO: 21000 CW 2015-05-17 0910 DO2MS         599 078    SE6W          599 271    0
QSO: 21000 CW 2015-05-17 0916 DO2MS         599 079    EV1R          599 493    0
QSO: 21000 CW 2015-05-17 0923 DO2MS         599 080    LY2NK         599 990    0
QSO: 21000 CW 2015-05-17 0925 DO2MS         599 081    RD3AT         599 503    0
QSO: 21000 CW 2015-05-17 0934 DO2MS         599 082    AO15U         599 TF     0
QSO: 28000 CW 2015-05-17 1002 DO2MS         599 083    EF8U          599 GC     0
QSO: 28000 CW 2015-05-17 1006 DO2MS         599 084    YL5X          599 556    0
QSO: 28000 CW 2015-05-17 1010 DO2MS         599 085    EV1R          599 536    0
QSO: 28000 CW 2015-05-17 1013 DO2MS         599 086    SM5KQS        599 222    0
QSO: 28000 CW 2015-05-17 1019 DO2MS         599 087    LY2FN         599 420    0
QSO: 28000 CW 2015-05-17 1021 DO2MS         599 088    UN6P          599 130    0
QSO: 28000 CW 2015-05-17 1025 DO2MS         599 089    SP5G          599 137    0
QSO: 28000 CW 2015-05-17 1027 DO2MS         599 090    YL3GAZ        599 259    0
QSO: 21000 CW 2015-05-17 1039 DO2MS         599 091    IT9CJC        599 089    0
QSO: 21000 CW 2015-05-17 1047 DO2MS         599 092    SC0N          599 459    0
QSO: 21000 CW 2015-05-17 1049 DO2MS         599 093    OH2F          599 149    0
QSO: 21000 CW 2015-05-17 1053 DO2MS         599 094    VE1DT         599 301    0
QSO: 21000 CW 2015-05-17 1106 DO2MS         599 095    SV1JG         599 219    0
QSO: 21000 CW 2015-05-17 1109 DO2MS         599 096    RK9KWM        599 437    0
QSO: 21000 CW 2015-05-17 1111 DO2MS         599 097    LA5LOA        599 635    0
QSO: 21000 CW 2015-05-17 1114 DO2MS         599 098    OG5N          599 659    0
QSO: 21000 CW 2015-05-17 1116 DO2MS         599 099    YO2RR         599 339    0
QSO: 21000 CW 2015-05-17 1118 DO2MS         599 100    AO150G        599 CO     0
QSO: 28000 CW 2015-05-17 1124 DO2MS         599 101    LY9Y          599 1135   0
END-OF-LOG:
