START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: IK0ZSN
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: JN61GU
CLAIMED-SCORE:
NAME: Mirko
OPERATORS: IK0ZSN
CREATED-BY:
SOAPBOX: This was a fun contest. Thank you.
QSO: 14091 DG 2021-08-28 1450 IK0ZSN JN61   EA4BAS IN80
QSO: 14091 DG 2021-08-28 1453 IK0ZSN JN61   GJ0KYZ IN89
QSO: 14091 DG 2021-08-28 1459 IK0ZSN JN61   PH5M   JO21
QSO: 14092 DG 2021-08-28 1508 IK0ZSN JN61   SE6K   JO66
QSO: 14092 DG 2021-08-28 1523 IK0ZSN JN61   ZW5B   GG54
QSO: 14092 DG 2021-08-28 1528 IK0ZSN JN61   7Z1IS  LL34
QSO:  7092 DG 2021-08-28 1537 IK0ZSN JN61   DC4CP  JO30
QSO:  7092 DG 2021-08-28 1538 IK0ZSN JN61   F6ITD  JN03
QSO:  7092 DG 2021-08-28 1541 IK0ZSN JN61   OK1BR  JO60
QSO:  7092 DG 2021-08-28 1544 IK0ZSN JN61   DM8MH  JO51
QSO:  7092 DG 2021-08-28 1545 IK0ZSN JN61   S53AK  JN76
QSO:  7092 DG 2021-08-28 1547 IK0ZSN JN61   G0HDV  IO93
QSO:  7092 DG 2021-08-28 1548 IK0ZSN JN61   DM8MH  JO51
QSO:  7092 DG 2021-08-28 1552 IK0ZSN JN61   DK0BT  JN59
QSO:  7091 DG 2021-08-28 1555 IK0ZSN JN61   DF4ZL  JN49
QSO:  7091 DG 2021-08-28 1557 IK0ZSN JN61   DK0BT  JN59
QSO:  7091 DG 2021-08-28 1558 IK0ZSN JN61   DL0PE  JO52
QSO:  7092 DG 2021-08-28 1608 IK0ZSN JN61   DM5WH  JO40
QSO:  7092 DG 2021-08-28 1618 IK0ZSN JN61   DL4A   JN48
QSO:  7092 DG 2021-08-28 1628 IK0ZSN JN61   LA3WAA JP53
QSO:  7092 DG 2021-08-28 1632 IK0ZSN JN61   UX7QV  KN87
QSO:  7091 DG 2021-08-28 1637 IK0ZSN JN61   OE1GAQ JN88
QSO:  7091 DG 2021-08-28 1639 IK0ZSN JN61   PA3EOU JO22
QSO: 14092 DG 2021-08-28 1645 IK0ZSN JN61   YB6RMT NJ81
QSO: 14092 DG 2021-08-28 1653 IK0ZSN JN61   K5ZD   FN42
QSO: 14092 DG 2021-08-28 1655 IK0ZSN JN61   4X1ST  KM72
QSO: 14092 DG 2021-08-28 1658 IK0ZSN JN61   UP4L   MO13
QSO: 14092 DG 2021-08-28 1700 IK0ZSN JN61   SV3SKM KM08
QSO: 14092 DG 2021-08-28 1701 IK0ZSN JN61   BG3ILY ON40
QSO: 14092 DG 2021-08-28 1705 IK0ZSN JN61   AA3B   FN20
QSO: 14092 DG 2021-08-28 1706 IK0ZSN JN61   R0AX   NO56
QSO: 14092 DG 2021-08-28 1719 IK0ZSN JN61   KA2K   FM29
QSO: 14092 DG 2021-08-28 1719 IK0ZSN JN61   YB1MAE OI43
QSO: 14092 DG 2021-08-28 1725 IK0ZSN JN61   UZ1WW  KN19
QSO:  7092 DG 2021-08-28 1734 IK0ZSN JN61   SP2GCJ JO93
QSO:  7091 DG 2021-08-28 1755 IK0ZSN JN61   EA5IXO IM99
QSO:  7091 DG 2021-08-28 1758 IK0ZSN JN61   R6DM   KN94
QSO:  7091 DG 2021-08-28 1800 IK0ZSN JN61   RA2FCL KO04
QSO:  7091 DG 2021-08-28 1801 IK0ZSN JN61   PA0PIW JO22
QSO:  7091 DG 2021-08-28 1802 IK0ZSN JN61   SE0X   JO99
QSO:  7091 DG 2021-08-28 1803 IK0ZSN JN61   GJ0KYZ IN89
QSO:  7091 DG 2021-08-28 1805 IK0ZSN JN61   OZ1DAE JO65
QSO:  7091 DG 2021-08-28 1809 IK0ZSN JN61   YO9BCM KN35
QSO:  7091 DG 2021-08-28 1810 IK0ZSN JN61   UA1AOS KP50
QSO:  7091 DG 2021-08-28 1811 IK0ZSN JN61   PC2F   JO22
QSO:  7091 DG 2021-08-28 1813 IK0ZSN JN61   ON3CQ  JO21
QSO:  7091 DG 2021-08-28 1815 IK0ZSN JN61   OH3FM  KP21
QSO: 21090 DG 2021-08-28 1828 IK0ZSN JN61   CX7SS  GF25
QSO: 14090 DG 2021-08-28 1835 IK0ZSN JN61   YU5R   KN04
QSO: 14090 DG 2021-08-28 1836 IK0ZSN JN61   UB7K   KN85
QSO: 14090 DG 2021-08-28 1839 IK0ZSN JN61   DJ5CT  JO30
QSO: 14090 DG 2021-08-28 1843 IK0ZSN JN61   LY2PAD KO14
QSO: 14090 DG 2021-08-28 1846 IK0ZSN JN61   5P1KZX JO57
QSO: 14090 DG 2021-08-28 1847 IK0ZSN JN61   ON6NL  JO21
QSO: 14090 DG 2021-08-28 1851 IK0ZSN JN61   ON8GDV JO20
QSO: 14090 DG 2021-08-28 1853 IK0ZSN JN61   IK2CMI JN45
QSO: 14090 DG 2021-08-28 1855 IK0ZSN JN61   N8AID  FM07
QSO: 14090 DG 2021-08-28 1856 IK0ZSN JN61   PE1LDS JO22
QSO: 14090 DG 2021-08-28 1857 IK0ZSN JN61   SV3SFH KM08
QSO: 14090 DG 2021-08-28 1858 IK0ZSN JN61   PE1CPJ JO21
QSO: 14090 DG 2021-08-28 1903 IK0ZSN JN61   PA4O   JO33
QSO: 14090 DG 2021-08-28 1906 IK0ZSN JN61   OK1BR  JO60
QSO: 14090 DG 2021-08-28 1908 IK0ZSN JN61   PD0ME  JO32
QSO: 14090 DG 2021-08-28 1911 IK0ZSN JN61   DL4A   JN48
QSO: 14090 DG 2021-08-28 1912 IK0ZSN JN61   DK2CC  JO63
QSO: 14090 DG 2021-08-28 1924 IK0ZSN JN61   CT7AKG IN60
QSO: 14090 DG 2021-08-28 1926 IK0ZSN JN61   SP9DLY JO90
QSO: 14090 DG 2021-08-28 1930 IK0ZSN JN61   SP3PDA JO82
QSO: 14090 DG 2021-08-28 1931 IK0ZSN JN61   ON8BB  JO21
QSO: 14090 DG 2021-08-28 1937 IK0ZSN JN61   S51DD  JN76
QSO: 14090 DG 2021-08-28 1944 IK0ZSN JN61   VP8ADR GD08
QSO: 14090 DG 2021-08-28 1946 IK0ZSN JN61   WP3C   FK68
QSO: 14090 DG 2021-08-28 1948 IK0ZSN JN61   HA1DAE JN87
QSO: 14090 DG 2021-08-28 1949 IK0ZSN JN61   5B4AMM KM65
QSO: 14090 DG 2021-08-28 1955 IK0ZSN JN61   PY7XC  HI21
QSO: 14090 DG 2021-08-28 1957 IK0ZSN JN61   LZ2JA  KN22
QSO: 14090 DG 2021-08-28 2001 IK0ZSN JN61   CX3AL  GF15
QSO: 14090 DG 2021-08-28 2002 IK0ZSN JN61   S50TTT JN76
QSO: 14090 DG 2021-08-28 2003 IK0ZSN JN61   HB9CZF JN47
QSO: 14090 DG 2021-08-28 2006 IK0ZSN JN61   EA3HKA JN11
QSO:  7092 DG 2021-08-28 2011 IK0ZSN JN61   7Z1IS  LL34
QSO:  7092 DG 2021-08-28 2012 IK0ZSN JN61   G8RZ   IO84
QSO:  7092 DG 2021-08-28 2014 IK0ZSN JN61   9A2EU  JN75
QSO:  7092 DG 2021-08-28 2017 IK0ZSN JN61   A65DR  LL75
QSO:  7092 DG 2021-08-28 2019 IK0ZSN JN61   UT3N   KN49
QSO:  7092 DG 2021-08-28 2021 IK0ZSN JN61   SO1RON JO73
QSO:  7092 DG 2021-08-28 2024 IK0ZSN JN61   G3VGZ  IO94
QSO:  7092 DG 2021-08-28 2026 IK0ZSN JN61   YL1ZF  KO27
QSO:  7092 DG 2021-08-28 2030 IK0ZSN JN61   DF1LON JO31
QSO:  7092 DG 2021-08-28 2036 IK0ZSN JN61   SM5EPO JP80
QSO:  7092 DG 2021-08-28 2043 IK0ZSN JN61   PA4O   JO33
QSO:  7092 DG 2021-08-28 2044 IK0ZSN JN61   SO5E   KO02
QSO:  7092 DG 2021-08-28 2046 IK0ZSN JN61   OM8CD  KN09
QSO:  7092 DG 2021-08-28 2049 IK0ZSN JN61   SP2TQQ JO94
QSO:  7092 DG 2021-08-28 2052 IK0ZSN JN61   IK2CMI JN45
QSO: 14092 DG 2021-08-28 2101 IK0ZSN JN61   EB3JT  JN01
QSO: 14092 DG 2021-08-28 2104 IK0ZSN JN61   W3LL   FM19
QSO: 14092 DG 2021-08-28 2108 IK0ZSN JN61   K9OM   EN65
QSO: 14092 DG 2021-08-28 2114 IK0ZSN JN61   K5VIP  FM16
QSO: 14091 DG 2021-08-28 2128 IK0ZSN JN61   HI8JSG FK58
QSO:  3591 DG 2021-08-28 2135 IK0ZSN JN61   IK2SBB JN45
QSO:  3591 DG 2021-08-28 2146 IK0ZSN JN61   9A5CC  JN83
QSO:  7091 DG 2021-08-28 2201 IK0ZSN JN61   EA6EE  JM19
QSO:  7091 DG 2021-08-28 2207 IK0ZSN JN61   LX1HD  JN39
QSO:  7091 DG 2021-08-28 2212 IK0ZSN JN61   UR6QS  KN77
QSO:  7092 DG 2021-08-28 2215 IK0ZSN JN61   TA4RC  KM59
QSO:  7092 DG 2021-08-28 2219 IK0ZSN JN61   LC6C   JP20
QSO:  7092 DG 2021-08-28 2220 IK0ZSN JN61   3V2LCS QP20
QSO:  7092 DG 2021-08-28 2222 IK0ZSN JN61   N3QE   FM19
QSO:  7092 DG 2021-08-28 2228 IK0ZSN JN61   5B4AMM KM65
QSO:  7092 DG 2021-08-28 2230 IK0ZSN JN61   NP4TX  FK68
QSO:  7092 DG 2021-08-28 2238 IK0ZSN JN61   LA5LJA JP50
QSO:  7092 DG 2021-08-28 2241 IK0ZSN JN61   M0URL  IO91
QSO:  7091 DG 2021-08-28 2245 IK0ZSN JN61   KP2B   FK77
QSO:  7091 DG 2021-08-28 2245 IK0ZSN JN61   UA9FAR LO87
QSO:  7091 DG 2021-08-28 2250 IK0ZSN JN61   VA3DF  EN92
QSO:  7091 DG 2021-08-28 2251 IK0ZSN JN61   YB2IQ  OI52
QSO:  7091 DG 2021-08-28 2256 IK0ZSN JN61   ZW5B   GG54
QSO:  7092 DG 2021-08-28 2305 IK0ZSN JN61   CT3KN  IM12
QSO:  7091 DG 2021-08-28 2309 IK0ZSN JN61   HA1DAE JN87
QSO:  7091 DG 2021-08-28 2312 IK0ZSN JN61   LY2PAD KO14
QSO:  7090 DG 2021-08-28 2323 IK0ZSN JN61   R7RBE  KN64
QSO:  7090 DG 2021-08-28 2335 IK0ZSN JN61   UT2UB  KO50
QSO:  7090 DG 2021-08-28 2339 IK0ZSN JN61   K3AJ   FM19
QSO: 14091 DG 2021-08-29 0830 IK0ZSN JN61   YL1ZF  KO27
QSO: 14092 DG 2021-08-29 0839 IK0ZSN JN61   G3YJQ  IO70
QSO: 14092 DG 2021-08-29 0840 IK0ZSN JN61   A65DR  LL75
QSO: 14092 DG 2021-08-29 0842 IK0ZSN JN61   F4DXX  IN97
QSO: 14092 DG 2021-08-29 0845 IK0ZSN JN61   EI3GRB IO52
QSO: 14092 DG 2021-08-29 0847 IK0ZSN JN61   RU2F   KO04
QSO: 14092 DG 2021-08-29 0848 IK0ZSN JN61   OH3PYY KP10
QSO: 14092 DG 2021-08-29 0851 IK0ZSN JN61   SP6EIY JO80
QSO: 14092 DG 2021-08-29 0904 IK0ZSN JN61   UZ2I   KN88
QSO: 14092 DG 2021-08-29 0909 IK0ZSN JN61   SG5Z   JO89
QSO: 28092 DG 2021-08-29 0919 IK0ZSN JN61   TA2E   KN51
QSO: 21092 DG 2021-08-29 1005 IK0ZSN JN61   YO9FFX KN24
QSO: 21092 DG 2021-08-29 1017 IK0ZSN JN61   SP2GCJ JO93
QSO: 21092 DG 2021-08-29 1024 IK0ZSN JN61   EI3GRB IO52
QSO: 21092 DG 2021-08-29 1028 IK0ZSN JN61   YL1ZF  KO27
QSO: 21092 DG 2021-08-29 1039 IK0ZSN JN61   VU2IBI MK82
QSO: 21092 DG 2021-08-29 1058 IK0ZSN JN61   YU1UN  JN93
QSO: 21092 DG 2021-08-29 1101 IK0ZSN JN61   HG5OGI JN97
QSO:  7092 DG 2021-08-29 1106 IK0ZSN JN61   UZ1WW  KN19
QSO:  7092 DG 2021-08-29 1108 IK0ZSN JN61   F5FDC  JN04
QSO:  7092 DG 2021-08-29 1114 IK0ZSN JN61   SP9MRP JO90
QSO:  7092 DG 2021-08-29 1115 IK0ZSN JN61   9A3QB  JN95
QSO:  7092 DG 2021-08-29 1117 IK0ZSN JN61   SQ9GOL JO90
QSO:  7092 DG 2021-08-29 1122 IK0ZSN JN61   UW5EJX IN54
QSO:  7092 DG 2021-08-29 1123 IK0ZSN JN61   HG5OGI JN97
QSO: 14092 DG 2021-08-29 1133 IK0ZSN JN61   9A1AD  JN85
QSO: 14092 DG 2021-08-29 1136 IK0ZSN JN61   CT4QYP QJ05
QSO: 14092 DG 2021-08-29 1148 IK0ZSN JN61   MM0EAX IO89
QSO: 14092 DG 2021-08-29 1150 IK0ZSN JN61   LA2T   JP53
QSO: 14092 DG 2021-08-29 1157 IK0ZSN JN61   OM7JG  JN98
QSO: 14092 DG 2021-08-29 1158 IK0ZSN JN61   OE1GAQ JN88
END-OF-LOG:
