START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ2DVI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IZ2DVI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2012.
QSO: 28000 PH 2012-03-24 1102 IZ2DVI        59 LA6KOA        59 258
QSO: 21320 PH 2012-03-25 0907 IZ2DVI        59 117 D44AC         59 2632
QSO: 14000 PH 2012-03-25 0911 IZ2DVI        59 118 TF3CW         59 1252
QSO: 21329 PH 2012-03-25 0915 IZ2DVI        59 0119 SV9GPV        59 1714
QSO: 21257 PH 2012-03-25 0925 IZ2DVI        59 120 A73A          59 1636
QSO: 28455 PH 2012-03-25 0926 IZ2DVI        59 0121 7Z1SJ         59 2655
QSO: 14260 PH 2012-03-25 0951 IZ2DVI        59 123 GM7V          59 1582
QSO: 14286 PH 2012-03-25 0952 IZ2DVI        59 124 OH0X          59 1559
QSO: 28000 PH 2012-03-25 1030 IZ2DVI        59 0126 VR2XMT        59 0728
QSO: 28000 PH 2012-03-25 1035 IZ2DVI        59 127 DL7BC         59 1064
QSO: 28407 PH 2012-03-25 1042 IZ2DVI        59 0128 4X0A          59 0965
QSO: 21381 PH 2012-03-25 1053 IZ2DVI        59 129 CS2C          59 2430
QSO:  7145 PH 2012-03-25 1105 IZ2DVI        59 130 HG1S          59 1616
QSO: 28000 PH 2012-03-25 1111 IZ2DVI        59 0131 CR2T          59 0969
QSO: 21000 PH 2012-03-25 1114 IZ2DVI        59 132 EX7ML         59 619
QSO: 14296 PH 2012-03-25 1411 IZ2DVI        59 133 E7DX          59 3376
QSO:  7183 PH 2012-03-25 1418 IZ2DVI        59 0135 OM4C          59 1308
QSO: 21000 PH 2012-03-25 1435 IZ2DVI        59 136 NX0X          59 2463
QSO: 28407 PH 2012-03-25 1441 IZ2DVI        59 137 8P5A          59 4756
QSO: 21000 PH 2012-03-25 1447 IZ2DVI        59 0138 VC3B          59 0889
QSO: 21193 PH 2012-03-25 1450 IZ2DVI        59 0139 PJ4Z          59 2017
QSO: 28546 PH 2012-03-25 1500 IZ2DVI        59 0140 CE2LS         59 1156
QSO:  7000 PH 2012-03-25 1549 IZ2DVI        59 0141 TM7F          59 2134
QSO:  7187 PH 2012-03-25 1610 IZ2DVI        59 0142 S50XX         59 1484
QSO: 28461 PH 2012-03-25 1753 IZ2DVI        59 143 CR3A          59 1757
QSO: 14349 PH 2012-03-25 1802 IZ2DVI        59 144 ES9C          59 5237
QSO: 21296 PH 2012-03-25 1823 IZ2DVI        59 146 CN8WW         59 94
QSO: 21324 PH 2012-03-25 1826 IZ2DVI        59 148 LX7I          59 3480
QSO:  7159 PH 2012-03-25 1837 IZ2DVI        59 0149 GI7AXB        59 0673
QSO:  7000 PH 2012-03-25 1841 IZ2DVI        59 0151 Z33F          59 0594
QSO:  3792 PH 2012-03-25 1849 IZ2DVI        59 0152 EI9HX         59 2002
QSO: 14209 PH 2012-03-25 1909 IZ2DVI        59 153 TF1CY         59 0776
QSO: 21386 PH 2012-03-25 1917 IZ2DVI        59 155 KH7X          59 4122
END-OF-LOG:
