START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO: 21000 PH 2016-03-26 1442 IZ5JLF        59     129 WC5T          59     730
QSO: 21000 PH 2016-03-26 1446 IZ5JLF        59     130 CR3W          59     787
QSO: 21000 PH 2016-03-26 1450 IZ5JLF        59     131 D41CV         59     899
QSO: 21000 PH 2016-03-26 1456 IZ5JLF        59     132 NE1C          59     282
QSO: 21000 PH 2016-03-26 1505 IZ5JLF        59     133 K1LZ          59    1718
QSO: 21000 PH 2016-03-26 1511 IZ5JLF        59     134 AK1W          59     400
QSO: 21000 PH 2016-03-26 1512 IZ5JLF        59     135 KT5J          59    1760
QSO: 21000 PH 2016-03-26 1515 IZ5JLF        59     136 NZ3D          59     961
QSO: 21000 PH 2016-03-26 1522 IZ5JLF        59     137 KB3WD         59    1164
QSO: 21000 PH 2016-03-26 1524 IZ5JLF        59     138 OD5PY         59     323
QSO: 21000 PH 2016-03-26 1528 IZ5JLF        59     139 VC2A          59     816
QSO: 21000 PH 2016-03-26 1532 IZ5JLF        59     140 WK5T          59     100
QSO: 21000 PH 2016-03-26 1535 IZ5JLF        59     141 KU2M          59     638
QSO: 21000 PH 2016-03-26 1536 IZ5JLF        59     142 KQ2M          59    1309
QSO: 21000 PH 2016-03-26 1537 IZ5JLF        59     143 VE9CB         59    1142
QSO: 21000 PH 2016-03-26 1542 IZ5JLF        59     144 WQ6SL         59     960
QSO: 21000 PH 2016-03-26 1546 IZ5JLF        59     145 WU3A          59    1075
QSO: 21000 PH 2016-03-26 1551 IZ5JLF        59     146 HZ1DG         59     044
QSO: 21000 PH 2016-03-26 1553 IZ5JLF        59     147 WQ5MM         59    1456
QSO: 21000 PH 2016-03-26 1555 IZ5JLF        59     148 NR5M          59    1465
QSO: 21000 PH 2016-03-26 1558 IZ5JLF        59     149 WD5K          59     477
QSO: 21000 PH 2016-03-26 1602 IZ5JLF        59     150 FY5FY         59    1389
QSO: 21000 PH 2016-03-26 1605 IZ5JLF        59     151 K3UA          59     802
QSO: 21000 PH 2016-03-26 1612 IZ5JLF        59     152 VE9ML         59     463
QSO: 21000 PH 2016-03-26 1618 IZ5JLF        59     153 XL3T          59    1285
QSO: 21000 PH 2016-03-26 1620 IZ5JLF        59     154 VA3SWG        59     437
QSO: 21000 PH 2016-03-26 1622 IZ5JLF        59     155 NM5O          59     750
QSO: 21000 PH 2016-03-26 1625 IZ5JLF        59     156 KR4Z          59     283
QSO: 21000 PH 2016-03-26 1629 IZ5JLF        59     157 KE2VB         59     935
QSO: 21000 PH 2016-03-26 1635 IZ5JLF        59     158 WB2ZAB        59     482
QSO: 21000 PH 2016-03-26 1638 IZ5JLF        59     159 4X/K2RR       59     077
QSO: 21000 PH 2016-03-26 1640 IZ5JLF        59     160 N7RQ          59     318
QSO: 21000 PH 2016-03-26 1644 IZ5JLF        59     161 VY2ZM         59    1745
QSO: 28000 PH 2016-03-26 1653 IZ5JLF        59     162 PX2F          59     331
QSO: 28000 PH 2016-03-26 1655 IZ5JLF        59     163 LT1F          59    1181
QSO: 14000 PH 2016-03-26 1703 IZ5JLF        59     164 GM9N          59     225
QSO: 14000 PH 2016-03-26 1707 IZ5JLF        59     165 JE1ZWT        59     321
QSO: 14000 PH 2016-03-26 1708 IZ5JLF        59     166 RT9T/3        59     177
QSO: 14000 PH 2016-03-26 1709 IZ5JLF        59     167 OH0X          59    1858
QSO: 14000 PH 2016-03-26 1711 IZ5JLF        59     168 ED1B          59     208
QSO: 14000 PH 2016-03-26 1712 IZ5JLF        59     169 RX7K          59     249
QSO: 14000 PH 2016-03-26 1714 IZ5JLF        59     170 UW2M          59    1668
QSO: 14000 PH 2016-03-26 1715 IZ5JLF        59     171 ES5TV         59    1989
QSO: 14000 PH 2016-03-26 1716 IZ5JLF        59     172 EA1CS         59     154
QSO: 14000 PH 2016-03-26 1721 IZ5JLF        59     173 M0RNR         59     168
QSO: 14000 PH 2016-03-26 1728 IZ5JLF        59     174 9M2SI         59     523
QSO: 14000 PH 2016-03-26 1730 IZ5JLF        59     175 RG5R          59     619
QSO: 14000 PH 2016-03-26 1731 IZ5JLF        59     176 UV5U          59     145
QSO: 14000 PH 2016-03-26 1732 IZ5JLF        59     177 NL7V          59     432
QSO: 14000 PH 2016-03-26 1736 IZ5JLF        59     178 P3F           59    1871
QSO: 14000 PH 2016-03-26 1741 IZ5JLF        59     179 EA1XT         59     404
QSO: 14000 PH 2016-03-26 1742 IZ5JLF        59     180 SC90SSA       59     228
QSO: 14000 PH 2016-03-26 1748 IZ5JLF        59     181 SZ3P          59     756
QSO: 21000 PH 2016-03-26 2008 IZ5JLF        59     182 NV9L          59    1423
QSO: 21000 PH 2016-03-26 2010 IZ5JLF        59     183 CB1H          59     674
QSO: 21000 PH 2016-03-26 2017 IZ5JLF        59     184 WP2Z          59    1676
QSO: 21000 PH 2016-03-26 2021 IZ5JLF        59     185 IZ5CMI        59     050
QSO: 21000 PH 2016-03-26 2023 IZ5JLF        59     186 WZ4F          59    1563
QSO: 21000 PH 2016-03-26 2025 IZ5JLF        59     187 WX3B          59    1088
QSO: 21000 PH 2016-03-26 2026 IZ5JLF        59     188 KS9K          59     744
QSO: 21000 PH 2016-03-26 2028 IZ5JLF        59     189 W8MJ          59    1226
QSO: 14000 PH 2016-03-26 2041 IZ5JLF        59     190 KQ2M          59    2122
QSO: 14000 PH 2016-03-26 2044 IZ5JLF        59     191 VE3MIS        59     268
QSO: 14000 PH 2016-03-26 2045 IZ5JLF        59     192 VE9CB         59    1774
QSO: 14000 PH 2016-03-26 2046 IZ5JLF        59     193 RD1T          59     053
QSO: 14000 PH 2016-03-26 2052 IZ5JLF        59     194 WX3B          59     980
QSO: 14000 PH 2016-03-26 2055 IZ5JLF        59     195 K4BAI         59     753
QSO: 14000 PH 2016-03-26 2057 IZ5JLF        59     196 K3ZO          59    1393
QSO: 14000 PH 2016-03-26 2059 IZ5JLF        59     197 NE1C          59     798
QSO: 14000 PH 2016-03-26 2110 IZ5JLF        59     198 NA8V          59    1304
QSO: 14000 PH 2016-03-26 2111 IZ5JLF        59     199 K3MD          59     773
QSO: 14000 PH 2016-03-26 2117 IZ5JLF        59     200 VE3DZ         59    1127
QSO: 14000 PH 2016-03-26 2121 IZ5JLF        59     201 KU3K          59    1941
QSO: 14000 PH 2016-03-26 2123 IZ5JLF        59     202 KC3R          59    1265
