START-OF-LOG: 3.0
CALLSIGN: 9M4CKB
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 27057
NAME: PERSATUAN RADIO AMATOR DAN REKREASI KOTA BHARU
LOCATION: DX
OPERATORS: 9W2KEY 9W2AEC 9W2MAX
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5555.0
SOAPBOX: OUR FIRST TRY TO JOINT THIS CONTEST WITH MULTI OPERATOR
QSO: 21000 PH 2016-03-26 0407 9M4CKB        59  0024   YB9KA         59  0086   0
QSO: 21000 PH 2016-03-26 0413 9M4CKB        59  0025   BD5FFK        59  0156   0
QSO: 21000 PH 2016-03-26 0534 9M4CKB        59  0026   VK3JA         59  0101   0
QSO: 21000 PH 2016-03-26 0603 9M4CKB        59  0027   OK7W          59  0036   0
QSO: 21000 PH 2016-03-26 0706 9M4CKB        59  0028   YB8KA         59  0103   0
QSO: 21000 PH 2016-03-26 0726 9M4CKB        59  0029   YC8UTI        59  0096   0
QSO: 21000 PH 2016-03-26 0733 9M4CKB        59  0030   4L0A          59  0909   0
QSO: 21000 PH 2016-03-26 0749 9M4CKB        59  0031   LY1R          59  0067   0
QSO: 21000 PH 2016-03-26 0833 9M4CKB        59  0032   BD7BM         59  0432   0
QSO: 21000 PH 2016-03-26 0839 9M4CKB        59  0033   S59A          59  0268   0
QSO: 21000 PH 2016-03-26 0842 9M4CKB        59  0034   VK4NM         59  0001   0
QSO: 14000 PH 2016-03-26 0853 9M4CKB        59  0035   VU1AV         59  0200   0
QSO: 14000 PH 2016-03-26 0855 9M4CKB        59  0036   DU1JI         59  0085   0
QSO: 14000 PH 2016-03-26 0858 9M4CKB        59  0037   HS3ANP        59  0032   0
QSO: 14000 PH 2016-03-26 0909 9M4CKB        59  0038   9M2SI         59  0271   0
QSO: 14000 PH 2016-03-26 0912 9M4CKB        59  0039   V58AVE        59  0087   0
QSO: 14000 PH 2016-03-26 0915 9M4CKB        59  0040   YB2DX         59  0507   0
QSO: 21000 PH 2016-03-26 1009 9M4CKB        59  0041   KH2KY         59  0623   0
QSO: 21000 PH 2016-03-26 1013 9M4CKB        59  0042   YL2SM         59  0601   0
QSO: 14000 PH 2016-03-26 1022 9M4CKB        59  0043   YB8SNX        59  0100   0
QSO: 14000 PH 2016-03-26 1023 9M4CKB        59  0044   YB1C          59  0068   0
QSO:  7000 PH 2016-03-26 1035 9M4CKB        59  0045   4H1T          59  0546   0
QSO:  7000 PH 2016-03-26 1045 9M4CKB        59  0046   DU1AU         59  0299   0
QSO:  7000 PH 2016-03-26 1046 9M4CKB        59  0047   9M4DX         59  0069   0
QSO:  7000 PH 2016-03-26 1052 9M4CKB        59  0048   YG9CMT        59  0015   0
QSO:  7000 PH 2016-03-26 1053 9M4CKB        59  0049   9M2ZAK        59  0028   0
QSO:  7000 PH 2016-03-26 1058 9M4CKB        59  0050   DU1JM         59  0179   0
QSO:  7000 PH 2016-03-26 1100 9M4CKB        59  0051   9M2GET        59  0453   0
QSO: 14000 PH 2016-03-26 1103 9M4CKB        59  0052   9M6SDX        59  0221   0
QSO: 21000 PH 2016-03-26 1112 9M4CKB        59  0053   YB1CX         59  0022   0
QSO: 21000 PH 2016-03-26 1113 9M4CKB        59  0054   YC2OBI        59  0009   0
QSO: 21000 PH 2016-03-26 1115 9M4CKB        59  0055   YE1GD         59  0026   0
QSO: 21000 PH 2016-03-26 1116 9M4CKB        59  0056   YB9GV         59  0112   0
QSO: 21000 PH 2016-03-26 1119 9M4CKB        59  0057   YC1KA         59  0027   0
QSO: 21000 PH 2016-03-26 1121 9M4CKB        59  0058   YB3TET        59  0016   0
QSO: 21000 PH 2016-03-26 1141 9M4CKB        59  0059   YB1C          59  0249   0
QSO: 21000 PH 2016-03-26 1146 9M4CKB        59  0060   YC6JV         59  0144   0
QSO: 21000 PH 2016-03-26 1153 9M4CKB        59  0061   FS7AB         59  0301   0
QSO: 21000 PH 2016-03-26 1217 9M4CKB        59  0062   YB0NDT        59  0568   0
QSO: 21000 PH 2016-03-26 1227 9M4CKB        59  0063   YC8QT         59  0015   0
QSO:  7000 PH 2016-03-26 1253 9M4CKB        59  0064   YB6IXJ        59  0028   0
QSO: 14000 PH 2016-03-26 1313 9M4CKB        59  0065   VU2YVK        59  0567   0
QSO: 14000 PH 2016-03-26 1315 9M4CKB        59  0066   HS0ZHC        59  0653   0
QSO: 21000 PH 2016-03-26 1345 9M4CKB        59  0067   E7DX          59  1367   0
QSO:  7000 PH 2016-03-26 1415 9M4CKB        59  0068   9M2PUL        59  0043   0
QSO:  7000 PH 2016-03-26 1419 9M4CKB        59  0069   YB1AR         59  0399   0
QSO: 14000 PH 2016-03-26 1431 9M4CKB        59  0070   YE1JAT        59  0400   0
QSO: 21000 PH 2016-03-26 1440 9M4CKB        59  0071   IR4M          59  1534   0
QSO: 21000 PH 2016-03-26 1503 9M4CKB        59  0072   YE1R          59  0152   0
QSO:  7000 PH 2016-03-26 1516 9M4CKB        59  0073   XW1IC         59  1267   0
QSO: 14000 PH 2016-03-26 1535 9M4CKB        59  0074   YB5BOY        59  0215   0
QSO: 14000 PH 2016-03-26 1547 9M4CKB        59  0075   YE1ZAT        59  0730   0
QSO: 14000 PH 2016-03-26 1554 9M4CKB        59  0076   IK0PHY        59  0856   0
QSO:  7000 PH 2016-03-26 1619 9M4CKB        59  0077   HS0ZCW        59  0389   0
QSO: 14000 PH 2016-03-26 1626 9M4CKB        59  0078   SJ2W          59  1689   0
QSO: 14000 PH 2016-03-26 1629 9M4CKB        59  0079   YB8HI         59  0121   0
QSO: 14000 PH 2016-03-26 1630 9M4CKB        59  0080   YB0JS         59  0082   0
QSO:  7000 PH 2016-03-26 1648 9M4CKB        59  0081   9W2AHU        59  0037   0
QSO: 14000 PH 2016-03-26 1710 9M4CKB        59  0082   YB0IBM        59  0043   0
QSO: 14000 PH 2016-03-26 1720 9M4CKB        59  0083   UW2M          59  1679   0
QSO: 14000 PH 2016-03-26 1749 9M4CKB        59  0084   D41CV         59  1834   0
QSO:  7000 PH 2016-03-26 1936 9M4CKB        59  0085   HS0AC         59  0184   0
QSO: 21000 PH 2016-03-26 2353 9M4CKB        59  0086   KX7M          59  1170   0
QSO: 21000 PH 2016-03-27 0006 9M4CKB        59  0087   JA3JOT        59  0149   0
QSO: 21000 PH 2016-03-27 0013 9M4CKB        59  0088   YC8RBI        59  0182   0
QSO: 21000 PH 2016-03-27 0017 9M4CKB        59  0089   DU1AV         59  0465   0
QSO: 21000 PH 2016-03-27 0019 9M4CKB        59  0090   4F3FSK        59  0249   0
QSO: 14000 PH 2016-03-27 0028 9M4CKB        59  0091   E2X           59  0530   0
QSO: 14000 PH 2016-03-27 0033 9M4CKB        59  0092   E21YDP        59  0364   0
QSO: 21000 PH 2016-03-27 0036 9M4CKB        59  0093   DU3BC         59  0134   0
QSO: 21000 PH 2016-03-27 0038 9M4CKB        59  0094   BA8CY         59  0589   0
QSO: 21000 PH 2016-03-27 0047 9M4CKB        59  0095   4H0GAR        59  0322   0
QSO: 21000 PH 2016-03-27 0049 9M4CKB        59  0096   YB8IBD        59  0318   0
QSO: 21000 PH 2016-03-27 0056 9M4CKB        59  0097   BW0PX         59  0826   0
QSO: 21000 PH 2016-03-27 0105 9M4CKB        59  0098   4H1T          59  0734   0
QSO: 21000 PH 2016-03-27 0107 9M4CKB        59  0099   DU1RB         59  0489   0
QSO: 21000 PH 2016-03-27 0111 9M4CKB        59  0100   VK4KW         59  1350   0
QSO: 21000 PH 2016-03-27 0116 9M4CKB        59  0101   BW/JL3RDC     59  0157   0
QSO: 14000 PH 2016-03-27 0121 9M4CKB        59  0102   BP0P          59  0121   0
QSO: 21000 PH 2016-03-27 1051 9M4CKB        59  0103   HG7T          59  0912   0
QSO: 21000 PH 2016-03-27 1103 9M4CKB        59  0104   HG1S          59  3036   0
QSO: 21000 PH 2016-03-27 1110 9M4CKB        59  0105   JA4MMO        59  0230   0
QSO: 14000 PH 2016-03-27 1123 9M4CKB        59  0106   HS4UEL        59  0539   0
QSO: 14000 PH 2016-03-27 1143 9M4CKB        59  0107   YC1CZZ        59  0110   0
QSO:  7000 PH 2016-03-27 1213 9M4CKB        59  0108   YB6HAI        59  0349   0
QSO:  7000 PH 2016-03-27 1236 9M4CKB        59  0109   JE1ZWT        59  0011   0
QSO: 21000 PH 2016-03-27 1250 9M4CKB        59  0110   YB3EDD        59  0472   0
QSO: 21000 PH 2016-03-27 1325 9M4CKB        59  0111   OM5ZW         59  2722   0
QSO: 14000 PH 2016-03-27 1340 9M4CKB        59  0112   DX7EVM        59  0340   0
QSO: 14000 PH 2016-03-27 1343 9M4CKB        59  0113   V84O          59  0407   0
QSO: 14000 PH 2016-03-27 1349 9M4CKB        59  0114   9M6LZY        59  0135   0
QSO: 21000 PH 2016-03-27 1354 9M4CKB        59  0115   DL2ARD        59  1997   0
QSO: 21000 PH 2016-03-27 1404 9M4CKB        59  0116   9A77A         59  3452   0
QSO: 21000 PH 2016-03-27 1409 9M4CKB        59  0117   PI4DX         59  3105   0
QSO: 21000 PH 2016-03-27 1415 9M4CKB        59  0118   OK1WCF        59  1325   0
QSO: 21000 PH 2016-03-27 1418 9M4CKB        59  0119   D41CW         59  2460   0
QSO: 21000 PH 2016-03-27 1435 9M4CKB        59  0120   S55T          59  2359   0
QSO: 21000 PH 2016-03-27 1437 9M4CKB        59  0121   S50A          59  1439   0
QSO: 14000 PH 2016-03-27 1451 9M4CKB        59  0122   US5D          59  1095   0
QSO: 14000 PH 2016-03-27 1511 9M4CKB        59  0123   E7DX          59  3690   0
QSO: 21000 PH 2016-03-27 1549 9M4CKB        59  0124   5E5E          59  2777   0
QSO: 14000 PH 2016-03-27 1608 9M4CKB        59  0125   OP4K          59  2039   0
QSO: 21000 PH 2016-03-27 2331 9M4CKB        59  0126   JA2BNN        59  0280   0
END-OF-LOG:
