START-OF-LOG: 3.0
CREATED-BY: Notepad
CATEGORY-LOCATION: DX
CONTEST: REF-CW
CALLSIGN: GM0OAA
CATEGORY: SINGLE-OP ALL CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: CW
CLAIMED-SCORE: 6808
OPERATORS: GM0OAA
NAME: Mike Wigg
SOAPBOX: TRX Ten Tec Argosy 23/30 Watts + LW Antenne
QSO: 14029 CW 2012-01-28 1429 GM0OAA        599 048    F5KCC         599 89
QSO: 14038 CW 2012-01-28 1433 GM0OAA        599 049    F8KHO         599 51
QSO: 14017 CW 2012-01-28 1436 GM0OAA        599 050    F5LPY         599 55
QSO: 14018 CW 2012-01-28 1438 GM0OAA        599 051    F5MDB         599 70
QSO: 14031 CW 2012-01-28 1445 GM0OAA        599 052    F2QH          599 95
QSO: 14039 CW 2012-01-28 1454 GM0OAA        599 053    F5LCH         599 85
QSO: 14031 CW 2012-01-28 1501 GM0OAA        599 054    F6HJO/P       599 21
QSO: 14021 CW 2012-01-28 1515 GM0OAA        599 055    F6CXJ         599 47
QSO: 14022 CW 2012-01-28 1517 GM0OAA        599 056    TM6GGR        599 37
QSO:  7016 CW 2012-01-28 1525 GM0OAA        599 057    F8IQS         599 14
QSO:  7020 CW 2012-01-28 1533 GM0OAA        599 058    F6EVG         599 08
QSO:  7016 CW 2012-01-28 1548 GM0OAA        599 059    F5UOW         599 14
QSO:  7014 CW 2012-01-28 1551 GM0OAA        599 060    F6KUQ         599 33
QSO:  7012 CW 2012-01-28 1554 GM0OAA        599 061    F5NTZ         599 77
QSO:  7012 CW 2012-01-28 1606 GM0OAA        599 062    F6EJN         599 81
QSO:  7018 CW 2012-01-28 1628 GM0OAA        599 063    F6ACV         599 78
QSO:  7019 CW 2012-01-28 1635 GM0OAA        599 064    F6ENO         599 51
QSO:  7020 CW 2012-01-28 1646 GM0OAA        599 065    F5AIB         599 54
QSO:  3516 CW 2012-01-28 2230 GM0OAA        599 066    F4KIO         599 35
QSO:  3522 CW 2012-01-28 2235 GM0OAA        599 067    F5JFU         599 58
QSO:  3529 CW 2012-01-28 2238 GM0OAA        599 068    F8BPN         599 19
QSO:  3539 CW 2012-01-28 2242 GM0OAA        599 069    F5VHY         599 47
QSO:  3544 CW 2012-01-28 2244 GM0OAA        599 070    F6KNB         599 33
QSO:  3539 CW 2012-01-28 2247 GM0OAA        599 071    F5KCC         599 89
QSO:  3510 CW 2012-01-28 2255 GM0OAA        599 072    F8KCF         599 74
QSO:  3512 CW 2012-01-28 2258 GM0OAA        599 073    F5KMB/P       599 60
QSO:  3518 CW 2012-01-29 0250 GM0OAA        599 074    F6KLO         599 19
QSO:  3521 CW 2012-01-29 0251 GM0OAA        599 075    TM1T          599 44
QSO:  3532 CW 2012-01-29 0253 GM0OAA        599 076    TM6D          599 48
QSO:  3523 CW 2012-01-29 0259 GM0OAA        599 077    TM57M         599 57
QSO:  3519 CW 2012-01-29 0305 GM0OAA        599 078    F6REF         599 00
QSO:  7010 CW 2012-01-29 0313 GM0OAA        599 079    F5KDK/P       599 83
QSO:  7012 CW 2012-01-29 0736 GM0OAA        599 080    F5JFU         599 58
QSO:  7017 CW 2012-01-29 0742 GM0OAA        599 081    F5PAL         599 63
QSO:  7021 CW 2012-01-29 0748 GM0OAA        599 082    F8DZY         599 47
QSO:  7010 CW 2012-01-29 0759 GM0OAA        599 083    F6KDL         599 68
QSO:  7012 CW 2012-01-29 0805 GM0OAA        599 084    F5LGF         599 67
QSO:  7014 CW 2012-01-29 0809 GM0OAA        599 085    F5QF          599 77
QSO:  7015 CW 2012-01-29 0811 GM0OAA        599 086    F5NQL         599 89
QSO:  7020 CW 2012-01-29 0819 GM0OAA        599 087    F6HJO/P       599 21
QSO:  7020 CW 2012-01-29 0821 GM0OAA        599 088    F5XX          599 81
QSO:  7029 CW 2012-01-29 0826 GM0OAA        599 089    F5LCH         599 85
QSO:  7031 CW 2012-01-29 0830 GM0OAA        599 090    TM1T          599 44
QSO: 14021 CW 2012-01-29 0835 GM0OAA        599 091    F8DZY         599 47
QSO: 14022 CW 2012-01-29 0844 GM0OAA        599 092    F8KCF         599 74
END-OF-LOG:
