START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: M0VCP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: M0VCP
CLAIMED-SCORE: 4410
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: NONE
CATEGORY-MODE: CW
NAME: Simon Pryke
SOAPBOX: enjoyable contest, no propagation on the higher bands, most activity
QSO:  7000 CW 2021-09-18 1736 M0VCP         599     28 OG6N          599    579 0
QSO:  7000 CW 2021-09-18 1757 M0VCP         599     29 OH0T          599    972 0
QSO:  7000 CW 2021-09-18 1801 M0VCP         599     30 LN8W          599    488 0
QSO:  7000 CW 2021-09-18 1809 M0VCP         599     31 OF1F          599    479 0
QSO:  7000 CW 2021-09-18 1827 M0VCP         599     32 OZ1IKY        599    622 0
QSO:  7000 CW 2021-09-18 1833 M0VCP         599     33 OF9W          599    470 0
QSO:  7000 CW 2021-09-18 1853 M0VCP         599     34 SD6M          599    464 0
QSO:  7000 CW 2021-09-18 1859 M0VCP         599     35 SE6J          599    275 0
QSO: 14000 CW 2021-09-18 1910 M0VCP         599     36 OF2BH         599   1054 0
QSO:  7000 CW 2021-09-18 1950 M0VCP         599     37 SE5B          599    288 0
QSO:  7000 CW 2021-09-18 1954 M0VCP         599     38 SK3W          599    499 0
QSO:  7000 CW 2021-09-18 2000 M0VCP         599     39 OH2BA         599    208 0
QSO:  7000 CW 2021-09-18 2002 M0VCP         599     40 SE5E          599   1042 0
QSO:  7000 CW 2021-09-18 2013 M0VCP         599     41 SM5EPO        599    652 0
QSO:  7000 CW 2021-09-18 2016 M0VCP         599     42 OH3Z          599    371 0
QSO:  7000 CW 2021-09-18 2023 M0VCP         599     43 OH2PM         599    841 0
QSO:  7000 CW 2021-09-18 2026 M0VCP         599     44 SC3A          599    745 0
QSO:  7000 CW 2021-09-18 2031 M0VCP         599     45 OF2BH         599   1264 0
QSO:  7000 CW 2021-09-18 2033 M0VCP         599     46 OH0Z          599   1175 0
QSO:  7000 CW 2021-09-18 2036 M0VCP         599     47 SJ2W          599   1186 0
QSO:  7000 CW 2021-09-18 2104 M0VCP         599     48 OH7N          599    674 0
QSO:  3500 CW 2021-09-18 2123 M0VCP         599     49 LA5UF         599    376 0
QSO:  7000 CW 2021-09-18 2141 M0VCP         599     50 SC7DX         599    541 0
QSO:  7000 CW 2021-09-18 2225 M0VCP         599     51 OX3LX         599    447 0
QSO:  7000 CW 2021-09-18 2255 M0VCP         599     52 OG4X          599   1068 0
QSO:  7000 CW 2021-09-19 0523 M0VCP         599     53 SM5IMO        599   1004 0
QSO:  7000 CW 2021-09-19 0534 M0VCP         599     54 SD7W          599    772 0
QSO:  7000 CW 2021-09-19 0542 M0VCP         599     55 LA7AZ         599    184 0
QSO:  7000 CW 2021-09-19 0545 M0VCP         599     56 SD1A          599    498 0
QSO:  7000 CW 2021-09-19 0548 M0VCP         599     57 SI6T          599    351 0
QSO:  7000 CW 2021-09-19 0553 M0VCP         599     58 SK0QO         599    794 0
QSO:  7000 CW 2021-09-19 0606 M0VCP         599     59 OZ8SW         599    850 0
QSO:  7000 CW 2021-09-19 0609 M0VCP         599     60 OV2T          599   1043 0
QSO:  7000 CW 2021-09-19 0618 M0VCP         599     61 OZ2U          599    548 0
QSO:  7000 CW 2021-09-19 0627 M0VCP         599     62 OZ4UN         599    754 0
QSO:  7000 CW 2021-09-19 0631 M0VCP         599     63 OF5YU         599    610 0
QSO:  7000 CW 2021-09-19 0636 M0VCP         599     64 SB7S          599   1007 0
QSO:  7000 CW 2021-09-19 0637 M0VCP         599     65 OV3X          599    918 0
QSO:  7000 CW 2021-09-19 0640 M0VCP         599     66 OZ/DF4ZL      599    632 0
QSO:  7000 CW 2021-09-19 0644 M0VCP         599     67 OF1TX         599   1251 0
QSO:  7000 CW 2021-09-19 0648 M0VCP         599     68 OU4N          599    532 0
QSO: 14000 CW 2021-09-19 0658 M0VCP         599     69 OH7K          599    826 0
QSO: 14000 CW 2021-09-19 0701 M0VCP         599     70 OH8WW         599   1214 0
QSO: 14000 CW 2021-09-19 0713 M0VCP         599     71 OF4X          599   1247 0
QSO: 14000 CW 2021-09-19 0717 M0VCP         599     72 OH7KBF        599    675 0
QSO: 14000 CW 2021-09-19 0721 M0VCP         599     73 OH5XO         599    203 0
QSO: 14000 CW 2021-09-19 0731 M0VCP         599     74 OF3FM         599   1084 0
QSO: 14000 CW 2021-09-19 0747 M0VCP         599     75 OF4BCS        599    474 0
QSO: 14000 CW 2021-09-19 0752 M0VCP         599     76 OH6CT         599   1050 0
QSO: 14000 CW 2021-09-19 0755 M0VCP         599     77 OF5TS         599   1219 0
QSO: 14000 CW 2021-09-19 0806 M0VCP         599     78 OF8L          599    852 0
QSO: 14000 CW 2021-09-19 0840 M0VCP         599     79 OG7A          599   1243 0
QSO:  7000 CW 2021-09-19 0845 M0VCP         599     80 LB6GG         599    882 0
QSO:  7000 CW 2021-09-19 0859 M0VCP         599     81 OH2BAH        599   1293 0
QSO:  7000 CW 2021-09-19 0902 M0VCP         599     82 OZ1IVA        599    484 0
QSO:  7000 CW 2021-09-19 0911 M0VCP         599     83 OZ2A          599    809 0
QSO:  7000 CW 2021-09-19 0915 M0VCP         599     84 OZ3TQ         599    306 0
QSO:  7000 CW 2021-09-19 0918 M0VCP         599     85 LA8OM         599   1542 0
QSO:  7000 CW 2021-09-19 0921 M0VCP         599     86 OZ2TF         599    881 0
QSO: 14000 CW 2021-09-19 0942 M0VCP         599     87 OF5Z          599   2152 0
QSO: 14000 CW 2021-09-19 0948 M0VCP         599     88 OF3AD         599    959 0
QSO: 14000 CW 2021-09-19 1007 M0VCP         599     89 OH6RE         599    291 0
QSO: 14000 CW 2021-09-19 1011 M0VCP         599     90 OH5NE         599    223 0
QSO: 14000 CW 2021-09-19 1033 M0VCP         599     91 TF3EO         599    236 0
QSO: 14000 CW 2021-09-19 1038 M0VCP         599     92 OF8CW         599    411 0
QSO: 14000 CW 2021-09-19 1109 M0VCP         599     93 TF3W          599    188 0
QSO: 14000 CW 2021-09-19 1131 M0VCP         599     94 SM3EAE        599    575 0
QSO: 14000 CW 2021-09-19 1136 M0VCP         599     95 SG0M          599    597 0
QSO: 14000 CW 2021-09-19 1145 M0VCP         599     96 SM6M          599   1542 0
QSO: 14000 CW 2021-09-19 1147 M0VCP         599     97 SM5EPO        599   1083 0
QSO: 14000 CW 2021-09-19 1149 M0VCP         599     98 OH8X          599   1649 0
QSO: 14000 CW 2021-09-19 1155 M0VCP         599     99 SM2U          599   1539 0
END-OF-LOG:
