START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: IO85SX
CLAIMED-SCORE: 4905120
NAME: Bob Glasgow
OPERATORS: GM4UYZ MM0DXC MM0VPR MM0CCC MM5AHO M0RNR MM0NBW 2M0EGH M0THL GM4GZW
OPERATORS: MM0XAB 2M0ILZ 2M0PGO
CLUB: COCKENZIE AND PORT SETON ARC
CREATED-BY: Win-Test 4.47.0
SOAPBOX: Another fantastic contest enjoyed by all. The weather from start to finish
SOAPBOX: was a howling gale and torrential rain.
SOAPBOX: We also got the chance to introduce two people to contesting, father and
SOAPBOX: son (13 years old). They are both recently licensed and took to operating
SOAPBOX: like ducks to water. Great additions to our contest team
QSO:  1900 PH 2023-10-28 0043 GM2T   59   14 OK4U   59   15 1
QSO:  3709 PH 2023-10-28 0043 GM2T   59   14 PA2TMS 59   14 0
QSO:  3707 PH 2023-10-28 0043 GM2T   59   14 OL9R   59   15 0
QSO:  3699 PH 2023-10-28 0044 GM2T   59   14 S56B   59   15 0
QSO:  3696 PH 2023-10-28 0044 GM2T   59   14 E71A   59   15 0
QSO:  1903 PH 2023-10-28 0044 GM2T   59   14 LY4L   59   15 1
QSO:  3716 PH 2023-10-28 0044 GM2T   59   14 MM2N   59   14 0
QSO:  3650 PH 2023-10-28 0045 GM2T   59   14 TM2RJ  59   14 0
QSO:  3618 PH 2023-10-28 0045 GM2T   59   14 M4Y    59   14 0
QSO:  3614 PH 2023-10-28 0045 GM2T   59   14 OY6A   59   14 0
QSO:  3762 PH 2023-10-28 0046 GM2T   59   14 RU1A   59   16 0
QSO:  1876 PH 2023-10-28 0046 GM2T   59   14 RM3DA  59   16 1
QSO:  3741 PH 2023-10-28 0046 GM2T   59   14 DP9A   59   14 0
QSO:  3730 PH 2023-10-28 0047 GM2T   59   14 DM7XX  59   14 0
QSO:  3733 PH 2023-10-28 0047 GM2T   59   14 II8K   59   15 0
QSO:  3793 PH 2023-10-28 0047 GM2T   59   14 IR0A   59   15 0
QSO:  3779 PH 2023-10-28 0048 GM2T   59   14 YU1LD  59   15 0
QSO:  3717 PH 2023-10-28 0048 GM2T   59   14 CR6K   59   14 0
QSO:  3687 PH 2023-10-28 0049 GM2T   59   14 IR4X   59   15 0
QSO:  7137 PH 2023-10-28 0050 GM2T   59   14 YT1A   59   15 1
QSO:  3783 PH 2023-10-28 0050 GM2T   59   14 YU0U   59   15 0
QSO:  7050 PH 2023-10-28 0050 GM2T   59   14 EE3O   59   14 1
QSO:  3677 PH 2023-10-28 0051 GM2T   59   14 SP7MC  59   15 0
QSO:  7044 PH 2023-10-28 0051 GM2T   59   14 LZ5Y   59   20 1
QSO:  3652 PH 2023-10-28 0051 GM2T   59   14 PA3AAV 59   14 0
QSO:  7052 PH 2023-10-28 0052 GM2T   59   14 YO8SBQ 59   20 1
QSO:  3607 PH 2023-10-28 0052 GM2T   59   14 DL4SKF 59   14 0
QSO:  7062 PH 2023-10-28 0053 GM2T   59   14 IZ1OSP 59   15 1
QSO:  3600 PH 2023-10-28 0053 GM2T   59   14 OE2S   59   15 0
QSO:  3603 PH 2023-10-28 0053 GM2T   59   14 DP4G   59   14 0
QSO:  7068 PH 2023-10-28 0054 GM2T   59   14 UW5ZM  59   16 1
QSO:  3635 PH 2023-10-28 0054 GM2T   59   14 TM1A   59   14 0
QSO:  7153 PH 2023-10-28 0055 GM2T   59   14 9A7A   59   15 1
QSO:  7196 PH 2023-10-28 0055 GM2T   59   14 SP8R   59   15 1
QSO:  3748 PH 2023-10-28 0055 GM2T   59   14 S51CK  59   15 0
QSO:  7173 PH 2023-10-28 0056 GM2T   59   14 CR6P   59   14 1
QSO:  3760 PH 2023-10-28 0056 GM2T   59   14 SO7M   59   15 0
QSO:  3753 PH 2023-10-28 0056 GM2T   59   14 SE0X   59   14 0
QSO:  3672 PH 2023-10-28 0057 GM2T   59   14 HB9PUE 59   14 0
QSO:  7117 PH 2023-10-28 0057 GM2T   59   14 LN8W   59   14 1
QSO:  3732 PH 2023-10-28 0057 GM2T   59   14 M6C    59   14 0
QSO:  3620 PH 2023-10-28 0058 GM2T   59   14 DR0W   59   14 0
QSO:  3624 PH 2023-10-28 0059 GM2T   59   14 TM3Z   59   14 0
QSO:  3626 PH 2023-10-28 0059 GM2T   59   14 YP0C   59   20 0
QSO:  3714 PH 2023-10-28 0100 GM2T   59   14 OM0R   59   15 0
QSO:  3622 PH 2023-10-28 0100 GM2T   59   14 DA0BCC 59   14 0
QSO:  3617 PH 2023-10-28 0100 GM2T   59   14 OR1Z   59   14 0
QSO:  1906 PH 2023-10-28 0101 GM2T   59   14 HB9CVQ 59   14 1
QSO:  3681 PH 2023-10-28 0102 GM2T   59   14 II7R   59   15 0
QSO:  1913 PH 2023-10-28 0102 GM2T   59   14 LY2ZO  59   15 1
QSO:  1890 PH 2023-10-28 0105 GM2T   59   14 GI4SNA 59   14 1
QSO:  1890 PH 2023-10-28 0105 GM2T   59   14 HA3NU  59   15 1
QSO:  1890 PH 2023-10-28 0105 GM2T   59   14 HG6N   59   15 1
QSO:  3789 PH 2023-10-28 0106 GM2T   59   14 KC1XX  59   05 0
QSO:  1890 PH 2023-10-28 0106 GM2T   59   14 DM1KM  59   14 1
QSO:  1890 PH 2023-10-28 0107 GM2T   59   14 YO8WW  59   20 1
QSO:  3789 PH 2023-10-28 0107 GM2T   59   14 K3MM   59   05 0
QSO:  1890 PH 2023-10-28 0108 GM2T   59   14 OT7L   59   14 1
QSO:  1890 PH 2023-10-28 0108 GM2T   59   14 HA5PP  59   15 1
QSO:  1890 PH 2023-10-28 0109 GM2T   59   14 OK2MBP 59   15 1
QSO:  3777 PH 2023-10-28 0110 GM2T   59   14 J42L   59   20 0
QSO:  3644 PH 2023-10-28 0111 GM2T   59   14 MI5K   59   14 0
QSO:  1850 PH 2023-10-28 0111 GM2T   59   14 SN7Q   59   15 1
QSO:  3736 PH 2023-10-28 0111 GM2T   59   14 II9P   59   15 0
QSO:  7110 PH 2023-10-28 0113 GM2T   59   14 E7AA   59   15 0
QSO:  1890 PH 2023-10-28 0113 GM2T   59   14 DK5MB  59   14 1
QSO:  7082 PH 2023-10-28 0114 GM2T   59   14 4L2M   59   21 0
QSO:  1890 PH 2023-10-28 0114 GM2T   59   14 SP7Y   59   15 1
QSO:  1890 PH 2023-10-28 0114 GM2T   59   14 DM5EE  59   14 1
QSO:  1890 PH 2023-10-28 0115 GM2T   59   14 2E0PLA 59   14 1
QSO:  7066 PH 2023-10-28 0115 GM2T   59   14 VE3JM  59   04 0
QSO:  1890 PH 2023-10-28 0115 GM2T   59   14 SN7O   59   15 1
QSO:  1890 PH 2023-10-28 0116 GM2T   59   14 DL0LA  59   14 1
QSO:  1890 PH 2023-10-28 0116 GM2T   59   14 OT7T   59   14 1
QSO:  1890 PH 2023-10-28 0117 GM2T   59   14 SP1NY  59   15 1
QSO:  1890 PH 2023-10-28 0118 GM2T   59   14 OM0RX  59   15 1
QSO:  1890 PH 2023-10-28 0118 GM2T   59   14 EI1E   59   14 1
QSO:  7188 PH 2023-10-28 0119 GM2T   59   14 YT0C   59   15 0
QSO:  1890 PH 2023-10-28 0119 GM2T   59   14 SP6VWX 59   15 1
QSO:  7184 PH 2023-10-28 0119 GM2T   59   14 LZ5R   59   20 0
QSO:  7183 PH 2023-10-28 0120 GM2T   59   14 YT5A   59   15 0
QSO:  7179 PH 2023-10-28 0121 GM2T   59   14 ED5R   59   14 0
QSO:  7170 PH 2023-10-28 0124 GM2T   59   14 IQ4A   59   15 0
QSO:  7170 PH 2023-10-28 0124 GM2T   59   14 IO8V   59   15 0
QSO:  7168 PH 2023-10-28 0125 GM2T   59   14 IR2Q   59   15 0
QSO:  7165 PH 2023-10-28 0126 GM2T   59   14 9A1A   59   15 0
QSO:  1876 PH 2023-10-28 0126 GM2T   59   14 HA2KMR 59   15 1
QSO:  1858 PH 2023-10-28 0126 GM2T   59   14 OM0R   59   15 1
QSO:  7161 PH 2023-10-28 0126 GM2T   59   14 IQ2MI  59   15 0
QSO:  7102 PH 2023-10-28 0127 GM2T   59   14 IO9A   59   15 0
QSO:  1889 PH 2023-10-28 0127 GM2T   59   14 YL1ZF  59   15 1
QSO:  7042 PH 2023-10-28 0128 GM2T   59   14 4Z4AK  59   20 0
QSO:  7126 PH 2023-10-28 0129 GM2T   59   14 TA7OM  59   20 0
QSO:  7098 PH 2023-10-28 0130 GM2T   59   14 A61BR  59   21 0
QSO:  1889 PH 2023-10-28 0130 GM2T   59   14 DL0HMK 59   14 1
QSO:  1889 PH 2023-10-28 0133 GM2T   59   14 EI7M   59   14 1
QSO:  1889 PH 2023-10-28 0133 GM2T   59   14 DL4ZA  59   14 1
QSO:  1889 PH 2023-10-28 0133 GM2T   59   14 G7C    59   14 1
QSO:  1889 PH 2023-10-28 0134 GM2T   59   14 K3ZM   59   05 1
QSO:  7107 PH 2023-10-28 0134 GM2T   59   14 TM7A   59   14 0
QSO:  1889 PH 2023-10-28 0135 GM2T   59   14 G4R    59   14 1
QSO:  7093 PH 2023-10-28 0136 GM2T   59   14 IO6A   59   15 0
