START-OF-LOG: 3.0
CALLSIGN: K1LT
LOCATION: OH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 28137
CLUB: Mad River Radio Club
CONTEST: CQ-WPX-SSB
CREATED-BY: WriteLog V10.69D
NAME: Victor A. Kean, Jr.
OPERATORS: K1LT
SOAPBOX: Just chased DX.  Nice to hear 15 meters wide open.
QSO: 21396 PH 2011-03-27 2128 K1LT           59   91 OZ1HHH         59 76
QSO: 21396 PH 2011-03-27 2129 K1LT           59   92 CT1EVE         59 874
QSO: 28345 PH 2011-03-27 2134 K1LT           59   93 3D2A           59 1396
QSO: 28473 PH 2011-03-27 2138 K1LT           59   94 VK4NM          59 1925
QSO: 28449 PH 2011-03-27 2139 K1LT           59   95 AH7NA          59 1489
QSO: 28458 PH 2011-03-27 2142 K1LT           59   96 8P9UU          59 852
QSO: 28468 PH 2011-03-27 2144 K1LT           59   97 CX3TQ          59 315
QSO: 28480 PH 2011-03-27 2147 K1LT           59   98 KH6/AI5P       59 904
QSO: 28321 PH 2011-03-27 2148 K1LT           59   99 ZX2B           59 3215
QSO: 14186 PH 2011-03-27 2152 K1LT           59  100 JW7QIA         59 21
QSO: 14269 PH 2011-03-27 2153 K1LT           59  101 5D5A           59 2256
QSO: 14155 PH 2011-03-27 2154 K1LT           59  102 TF3CW          59 3150
QSO: 14332 PH 2011-03-27 2155 K1LT           59  103 OM5M           59 2603
END-OF-LOG:
