START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: VK4BL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-OVERLAY: TB-WIRES
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 29799
CLUB:
CONTEST: CQ-WPX-SSB
CREATED-BY: WriteLog V10.83E
NAME: AL McDIVITT
OPERATORS: VK4BL
SOAPBOX: Could not get away to the big wire antenna in the country this year
SOAPBOX: Using an open wire fed dipole from first floor  balcony
QSO: 14241 PH 2011-03-26 2044 VK4BL          59   65 VK3DOG         59 114
QSO: 14110 PH 2011-03-26 2049 VK4BL          59   66 8P5A           59 3209
QSO: 21313 PH 2011-03-26 2222 VK4BL          59   67 KG6DX          59 1240
QSO: 21262 PH 2011-03-26 2226 VK4BL          59   68 JI2ZEY         59 788
QSO: 21269 PH 2011-03-26 2238 VK4BL          59   69 JF1SEK         59 316
QSO: 21260 PH 2011-03-26 2323 VK4BL          59   70 DZ1B           59 957
QSO: 21339 PH 2011-03-26 2336 VK4BL          59   71 JA2ZJW         59 993
QSO: 21204 PH 2011-03-26 2339 VK4BL          59   72 JA5FBZ         59 120
QSO: 21379 PH 2011-03-26 2352 VK4BL          59   73 JR1MQT         59 282
QSO: 28490 PH 2011-03-27 0133 VK4BL          59   74 BD4QH          59 633
QSO: 21389 PH 2011-03-27 0149 VK4BL          59   75 JA0JHA         59 2235
QSO: 21257 PH 2011-03-27 0154 VK4BL          59   76 NY6N           59 2008
QSO: 21208 PH 2011-03-27 0208 VK4BL          59   77 WD5K           59 674
QSO: 21289 PH 2011-03-27 0219 VK4BL          59   78 KL7RA          59 2448
QSO: 21308 PH 2011-03-27 0221 VK4BL          59   79 K0RH           59 115
QSO: 21194 PH 2011-03-27 0227 VK4BL          59   80 YB5OBB         59 067
QSO: 21298 PH 2011-03-27 0228 VK4BL          59   81 ZM1IM          59 043
QSO: 21267 PH 2011-03-27 0432 VK4BL          59   82 KH6/AI5P       59 597
QSO: 21272 PH 2011-03-27 0434 VK4BL          59   83 ZL3IO          59 424
QSO: 21287 PH 2011-03-27 0435 VK4BL          59   84 NH6P           59 2070
QSO: 21322 PH 2011-03-27 0453 VK4BL          59   85 KH2JU          59 826
QSO: 14247 PH 2011-03-27 0521 VK4BL          59   86 9A1A           59 1753
QSO: 14252 PH 2011-03-27 0523 VK4BL          59   87 E7DX           59 3439
QSO: 14187 PH 2011-03-27 0526 VK4BL          59   88 K7MO           59 1281
QSO: 14272 PH 2011-03-27 0529 VK4BL          59   89 OM2VL          59 2309
QSO: 14302 PH 2011-03-27 0537 VK4BL          59   90 VK7NET         59 146
QSO: 14227 PH 2011-03-27 0539 VK4BL          59   91 VE7GL          59 757
QSO: 14203 PH 2011-03-27 0543 VK4BL          59   92 DL0XAX         59 54
QSO: 14261 PH 2011-03-27 0546 VK4BL          59   93 HA3DX          59 1399
QSO: 14237 PH 2011-03-27 0559 VK4BL          59   94 K4BP           59 929
QSO: 14237 PH 2011-03-27 0604 VK4BL          59   95 F4FLQ          59 1409
QSO: 14277 PH 2011-03-27 0613 VK4BL          59   96 KI7Y           59 1329
QSO: 14255 PH 2011-03-27 0615 VK4BL          59   97 II9T           59 1166
QSO: 14244 PH 2011-03-27 0632 VK4BL          59   98 LZ9W           59 1446
QSO: 14247 PH 2011-03-27 0632 VK4BL          59   99 KI7M           59 825
QSO: 14234 PH 2011-03-27 0639 VK4BL          59  100 9A1P           59 1648
QSO: 14319 PH 2011-03-27 0645 VK4BL          59  101 SX5P           59 1204
QSO: 14176 PH 2011-03-27 0941 VK4BL          59  102 TF3CW          59 2184
QSO: 14201 PH 2011-03-27 0956 VK4BL          59  103 WC6H           59 1041
QSO: 14132 PH 2011-03-27 0957 VK4BL          59  104 OH4A           59 2083
QSO: 21295 PH 2011-03-27 1035 VK4BL          59  105 OI6X           59 685
QSO: 21296 PH 2011-03-27 2123 VK4BL          59  106 JA2IVK         59 1750
QSO: 21300 PH 2011-03-27 2124 VK4BL          59  107 VK4KW          59 2218
QSO: 28525 PH 2011-03-27 2142 VK4BL          59  108 NR7E           59 971
QSO: 21272 PH 2011-03-27 2238 VK4BL          59  109 BV1EK          59 469
QSO: 28504 PH 2011-03-27 2306 VK4BL          59  110 KZ5MM          59 852
QSO: 21391 PH 2011-03-27 2312 VK4BL          59  111 JR3NZC         59 818
QSO: 21203 PH 2011-03-27 2337 VK4BL          59  112 W7AT           59 872
QSO: 21263 PH 2011-03-27 2341 VK4BL          59  113 VK7NET         59 219
QSO: 21278 PH 2011-03-27 2349 VK4BL          59  114 YB8EL          59 122
QSO: 21269 PH 2011-03-27 2356 VK4BL          59  115 9V1YC          59 1064
END-OF-LOG:
