START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.8.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: F5GGL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 64416
OPERATORS: F5GGL
NAME: zabalza jean louis
SOAPBOX: ANT KT34 + L inverted + G5RV     TRX FT1000 mp     Pwr 100w
QSO: 28103 RY 2011-09-24 1349 F5GGL         599 14 DX  W4PK          599 05 VA  0
QSO: 28103 RY 2011-09-24 1351 F5GGL         599 14 DX  K0IR          599 04 MN  0
QSO: 28105 RY 2011-09-24 1353 F5GGL         599 14 DX  K4FJ          599 05 VA  0
QSO: 28105 RY 2011-09-24 1357 F5GGL         599 14 DX  AA4V          599 05 SC  0
QSO: 28105 RY 2011-09-24 1402 F5GGL         599 14 DX  WA1FCN        599 04 AL  0
QSO: 28098 RY 2011-09-24 1404 F5GGL         599 14 DX  K1LT          599 04 OH  0
QSO: 28098 RY 2011-09-24 1406 F5GGL         599 14 DX  AI9T          599 04 IL  0
QSO: 28096 RY 2011-09-24 1409 F5GGL         599 14 DX  K3KO          599 05 NC  0
QSO: 28094 RY 2011-09-24 1412 F5GGL         599 14 DX  W4TTY         599 05 VA  0
QSO: 28091 RY 2011-09-24 1313 F5GGL         599 14 DX  AJ4RW         599 05 FL  0
QSO: 28091 RY 2011-09-24 1414 F5GGL         599 14 DX  FG4NO         599 08 DX  0
QSO: 28124 RY 2011-09-24 1420 F5GGL         599 14 DX  K8MM          599 04 MI  0
QSO: 28115 RY 2011-09-24 1439 F5GGL         599 14 DX  VU2NKS        599 22 DX  0
QSO: 28116 RY 2011-09-24 1440 F5GGL         599 14 DX  A61BK         599 21 DX  0
QSO: 28106 RY 2011-09-24 1447 F5GGL         599 14 DX  K9DR          599 04 WI  0
QSO: 28104 RY 2011-09-24 1454 F5GGL         599 14 DX  PT7CG         599 11 DX  0
QSO: 28106 RY 2011-09-24 1501 F5GGL         599 14 DX  AA3B          599 05 PA  0
QSO: 28089 RY 2011-09-24 1523 F5GGL         599 14 DX  VY2SS         599 05 PEI 0
QSO: 28087 RY 2011-09-24 1534 F5GGL         599 14 DX  VE3FJB        599 04 ON  0
QSO: 28131 RY 2011-09-24 1546 F5GGL         599 14 DX  N3DXX         599 05 DE  0
QSO: 28128 RY 2011-09-24 1552 F5GGL         599 14 DX  WI9WI         599 04 WI  0
QSO: 28126 RY 2011-09-24 1554 F5GGL         599 14 DX  N8BJQ         599 04 OH  0
QSO: 28115 RY 2011-09-24 1559 F5GGL         599 14 DX  XE2K          599 06 DX  0
QSO: 28114 RY 2011-09-24 1601 F5GGL         599 14 DX  AA4HP         599 05 FL  0
QSO: 28080 RY 2011-09-24 1608 F5GGL         599 14 DX  NA3M          599 05 MD  0
QSO: 28078 RY 2011-09-24 1609 F5GGL         599 14 DX  UU7J          599 16 DX  0
QSO: 28067 RY 2011-09-24 1611 F5GGL         599 14 DX  VE3RTU        599 04 ON  0
QSO: 28072 RY 2011-09-24 1612 F5GGL         599 14 DX  UA3QGT        599 16 DX  0
QSO: 28074 RY 2011-09-24 1614 F5GGL         599 14 DX  LZ5R          599 20 DX  0
QSO: 28066 RY 2011-09-24 1617 F5GGL         599 14 DX  AB0LR         599 04 CO  0
QSO: 28073 RY 2011-09-24 1628 F5GGL         599 14 DX  K1LZ          599 05 MA  0
QSO: 28080 RY 2011-09-24 1635 F5GGL         599 14 DX  SV1JGX        599 20 DX  0
QSO: 28082 RY 2011-09-24 1637 F5GGL         599 14 DX  KP4JFR        599 08 DX  0
QSO: 28090 RY 2011-09-24 1646 F5GGL         599 14 DX  EF8M          599 33 DX  0
QSO: 28093 RY 2011-09-24 1649 F5GGL         599 14 DX  CE1TT         599 12 DX  0
QSO: 28096 RY 2011-09-24 1655 F5GGL         599 14 DX  CV5K          599 13 DX  0
QSO: 28088 RY 2011-09-24 2033 F5GGL         599 14 DX  4M5L          599 09 DX  0
QSO: 14094 RY 2011-09-24 2058 F5GGL         599 14 DX  EO3Q          599 16 DX  0
QSO: 14074 RY 2011-09-24 2104 F5GGL         599 14 DX  S50XX         599 15 DX  0
QSO: 14072 RY 2011-09-24 2106 F5GGL         599 14 DX  OM6W          599 15 DX  0
QSO: 14075 RY 2011-09-24 2114 F5GGL         599 14 DX  N1SV          599 05 MA  0
QSO: 14075 RY 2011-09-24 2115 F5GGL         599 14 DX  IZ6TSA        599 15 DX  0
QSO: 14078 RY 2011-09-24 2118 F5GGL         599 14 DX  K5ZD          599 05 MA  0
QSO: 14078 RY 2011-09-24 2124 F5GGL         599 14 DX  6V7X          599 35 DX  0
QSO: 14079 RY 2011-09-24 2128 F5GGL         599 14 DX  VE2FXL        599 05 QC  0
QSO: 14083 RY 2011-09-24 2130 F5GGL         599 14 DX  HI8PJP        599 08 DX  0
QSO: 14084 RY 2011-09-24 2135 F5GGL         599 14 DX  SO4M          599 15 DX  0
QSO: 14085 RY 2011-09-24 2145 F5GGL         599 14 DX  TG9ANF        599 07 DX  0
QSO: 14088 RY 2011-09-24 2155 F5GGL         599 14 DX  CV5K          599 13 DX  0
QSO: 14089 RY 2011-09-24 2155 F5GGL         599 14 DX  CO2NO         599 08 DX  0
QSO: 14089 RY 2011-09-24 2156 F5GGL         599 14 DX  W3LL          599 05 MD  0
QSO: 14091 RY 2011-09-24 2159 F5GGL         599 14 DX  CO2VE         599 08 DX  0
QSO: 14093 RY 2011-09-24 2204 F5GGL         599 14 DX  K1FWE         599 05 NH  0
QSO: 14095 RY 2011-09-24 2208 F5GGL         599 14 DX  W2YC          599 05 NJ  0
QSO:  7036 RY 2011-09-24 2216 F5GGL         599 14 DX  CN3A          599 33 DX  0
QSO:  7035 RY 2011-09-24 2221 F5GGL         599 14 DX  ES9C          599 15 DX  0
QSO:  7035 RY 2011-09-24 2223 F5GGL         599 14 DX  YT1VP         599 15 DX  0
QSO:  7039 RY 2011-09-24 2225 F5GGL         599 14 DX  EU6AF         599 16 DX  0
QSO:  3587 RY 2011-09-24 2236 F5GGL         599 14 DX  HA3LI         599 15 DX  0
QSO:  3593 RY 2011-09-24 2246 F5GGL         599 14 DX  LZ1BJ         599 20 DX  0
QSO:  3573 RY 2011-09-24 2249 F5GGL         599 14 DX  RX0AT         599 18 DX  0
QSO:  3586 RY 2011-09-24 2253 F5GGL         599 14 DX  4L9QQ         599 21 DX  0
QSO:  3589 RY 2011-09-24 2258 F5GGL         599 14 DX  EU1AZ         599 16 DX  0
QSO:  3593 RY 2011-09-24 2302 F5GGL         599 14 DX  CR3L          599 33 DX  0
QSO:  3593 RY 2011-09-24 2307 F5GGL         599 14 DX  LZ1BJ         599 20 DX  0
QSO:  3592 RY 2011-09-24 2306 F5GGL         599 14 DX  RY9C          599 17 DX  0
QSO:  3596 RY 2011-09-24 2316 F5GGL         599 14 DX  EI4DW         599 14 DX  0
QSO:  3597 RY 2011-09-24 2318 F5GGL         599 14 DX  UA2FL         599 15 DX  0
QSO:  3600 RY 2011-09-24 2329 F5GGL         599 14 DX  OJ0X          599 15 DX  0
QSO:  3602 RY 2011-09-24 2331 F5GGL         599 14 DX  9A3BIM        599 15 DX  0
QSO:  3603 RY 2011-09-24 2334 F5GGL         599 14 DX  E72U          599 15 DX  0
QSO:  3574 RY 2011-09-24 2338 F5GGL         599 14 DX  YO6HSU        599 20 DX  0
QSO:  3575 RY 2011-09-24 2341 F5GGL         599 14 DX  US5UCC        599 16 DX  0
QSO:  3577 RY 2011-09-24 2343 F5GGL         599 14 DX  IS0HQJ        599 15 DX  0
QSO:  3578 RY 2011-09-24 2344 F5GGL         599 14 DX  UU7J          599 16 DX  0
QSO:  3579 RY 2011-09-24 2345 F5GGL         599 14 DX  OH6MW         599 15 DX  0
QSO:  3582 RY 2011-09-24 2347 F5GGL         599 14 DX  LY5E          599 15 DX  0
QSO:  3598 RY 2011-09-24 2357 F5GGL         599 14 DX  OH8X          599 15 DX  0
QSO: 28085 RY 2011-09-25 0712 F5GGL         599 14 DX  OD5PL         599 20 DX  0
QSO: 28088 RY 2011-09-25 0719 F5GGL         599 14 DX  UA9OG         599 18 DX  0
QSO: 28089 RY 2011-09-25 0735 F5GGL         599 14 DX  RL3A          599 16 DX  0
QSO: 28096 RY 2011-09-25 0746 F5GGL         599 14 DX  RY9C          599 17 DX  0
QSO: 28105 RY 2011-09-25 0753 F5GGL         599 14 DX  9A7R          599 15 DX  0
QSO: 28106 RY 2011-09-25 0758 F5GGL         599 14 DX  UN7TDB        599 17 DX  0
QSO: 28106 RY 2011-09-25 0808 F5GGL         599 14 DX  JK6SEW        599 25 DX  0
QSO: 28107 RY 2011-09-25 0811 F5GGL         599 14 DX  JR3NZC        599 25 DX  0
QSO: 28108 RY 2011-09-25 0813 F5GGL         599 14 DX  UN8PIM        599 17 DX  0
QSO: 28109 RY 2011-09-25 0817 F5GGL         599 14 DX  BD7IS         599 24 DX  0
QSO: 28119 RY 2011-09-25 0831 F5GGL         599 14 DX  KH6ZM         599 31 DX  0
QSO: 28119 RY 2011-09-25 0841 F5GGL         599 14 DX  KG6DX         599 27 DX  0
QSO: 28089 RY 2011-09-25 0856 F5GGL         599 14 DX  BD4QH         599 24 DX  0
QSO: 28091 RY 2011-09-25 0903 F5GGL         599 14 DX  J2IVK         599 25 DX  0
QSO: 28113 RY 2011-09-25 0915 F5GGL         599 14 DX  JH4MGU        599 25 DX  0
QSO: 28082 RY 2011-09-25 0919 F5GGL         599 14 DX  ES9C          599 15 DX  0
QSO: 28087 RY 2011-09-25 0925 F5GGL         599 14 DX  OH7UE         599 15 DX  0
QSO: 28134 RY 2011-09-25 0940 F5GGL         599 14 DX  JE2UFF        599 25 DX  0
QSO: 28095 RY 2011-09-25 1405 F5GGL         599 14 DX  5K3R          599 09 DX  0
QSO: 28089 RY 2011-09-25 1416 F5GGL         599 14 DX  ER0FEO        599 16 DX  0
QSO: 28084 RY 2011-09-25 1439 F5GGL         599 14 DX  ZS2I          599 38 DX  0
QSO: 28063 RY 2011-09-25 1453 F5GGL         599 14 DX  ON7GB         599 14 DX  0
QSO: 28070 RY 2011-09-25 1457 F5GGL         599 14 DX  N4ZZ          599 04 TN  0
QSO: 28094 RY 2011-09-25 1532 F5GGL         599 14 DX  PZ5RA         599 09 DX  0
END-OF-LOG:
