START-OF-LOG: 3.0
CALLSIGN: VU2ABS
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 17821
CLUB: VU CONTEST GROUP
CONTEST: CQ-WW-RTTY
CREATED-BY: N1MM Logger V11.9.3
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
OPERATORS: VU2ABS
NAME: Aravind Balasubramanian
LOCATION: DX
SOAPBOX: This was just a casual attempt as I was plagued by a lot of minor
SOAPBOX: station niggles and HQTH problems. On 25th I built a 6Band Hexbeam and
SOAPBOX: used it for all the High band QSO's.
SOAPBOX: Rig - FT857, Ant - Multiband Inv V, 6 Band Hexbeam both at 35 Feet
SOAPBOX: Rig to Computer Audio interface - Accoustic !!! PTT control - VOX
QSO:  7069 RY 2011-09-25 2140 VU2ABS        599 22 DX  EI2GLB        599 14 DX
QSO:  7038 RY 2011-09-25 2143 VU2ABS        599 22 DX  CR3L          599 33 DX
QSO:  7038 RY 2011-09-25 2146 VU2ABS        599 22 DX  GM7R          599 14 DX
QSO:  7072 RY 2011-09-25 2152 VU2ABS        599 22 DX  DL1IAO        599 14 DX
QSO:  7044 RY 2011-09-25 2158 VU2ABS        599 22 DX  ED5CEF        599 14 DX
QSO:  7043 RY 2011-09-25 2200 VU2ABS        599 22 DX  LZ1BJ         599 20 DX
QSO: 14074 RY 2011-09-25 2212 VU2ABS        599 22 DX  OH8X          599 15 DX
QSO: 14080 RY 2011-09-25 2213 VU2ABS        599 22 DX  LY5E          599 15 DX
QSO:  7063 RY 2011-09-25 2231 VU2ABS        599 22 DX  UY7MM         599 16 DX
QSO:  7056 RY 2011-09-25 2233 VU2ABS        599 22 DX  ES9C          599 15 DX
END-OF-LOG:
