START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: GU0SUP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
Category-Transmitter: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 806616
CLUB: Chiltern DX Club
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V10.87E
NAME: Phil Cooper
OPERATORS: GU0SUP
SOAPBOX: Low Power: 90 watts.
SOAPBOX: An amazing contest, with decent propagation at last! So good to see 10m
SOAPBOX: properly open, not just Es. A pity that 20m was so quiet, due to conditions
SOAPBOX: I expect, and not to lack of activity. 80m here was almost dead, with very
SOAPBOX: few stations audible. An amzing time was had here in GU.
QSO:  7051 RY 2011-09-24 0709 GU0SUP        599     14 GU     F5QE          599 14     DX
QSO:  7048 RY 2011-09-24 0711 GU0SUP        599     14 GU     W0LSD         599 4      CO
QSO:  7047 RY 2011-09-24 0714 GU0SUP        599     14 GU     S51CK         599 15     DX
QSO:  7048 RY 2011-09-24 0717 GU0SUP        599     14 GU     PZ5RA         599 9      DX
QSO:  7045 RY 2011-09-24 0720 GU0SUP        599     14 GU     K4FJ          599 5      VA
QSO:  7043 RY 2011-09-24 0722 GU0SUP        599     14 GU     9A3AAX        599 15     DX
QSO:  7042 RY 2011-09-24 0723 GU0SUP        599     14 GU     OK2PF         599 15     DX
QSO:  7039 RY 2011-09-24 0724 GU0SUP        599     14 GU     DF7ZS         599 14     DX
QSO:  7039 RY 2011-09-24 0725 GU0SUP        599     14 GU     P49X          599 9      DX
QSO:  7038 RY 2011-09-24 0727 GU0SUP        599     14 GU     K1SFA         599 5      MA
QSO:  7036 RY 2011-09-24 0729 GU0SUP        599     14 GU     OX4OK         599 40     DX
QSO:  7032 RY 2011-09-24 0730 GU0SUP        599     14 GU     WW4LL         599 5      GA
QSO:  7066 RY 2011-09-24 0733 GU0SUP        599     14 GU     ON4VMA        599 14     DX
QSO:  7058 RY 2011-09-24 0734 GU0SUP        599     14 GU     HB9DHG        599 14     DX
QSO:  7051 RY 2011-09-24 0736 GU0SUP        599     14 GU     KI1G          599 5      RI
QSO: 28116 RY 2011-09-24 0743 GU0SUP        599     14 GU     UT7E          599 16     DX
QSO: 28094 RY 2011-09-24 0747 GU0SUP        599     14 GU     RM5D          599 16     DX
QSO: 28092 RY 2011-09-24 0748 GU0SUP        599     14 GU     RZ3DX         599 16     DX
QSO: 28117 RY 2011-09-24 0752 GU0SUP        599     14 GU     9M2CNC        599 28     DX
QSO: 28087 RY 2011-09-24 0756 GU0SUP        599     14 GU     UA0YAY        599 23     DX
QSO: 28075 RY 2011-09-24 0801 GU0SUP        599     14 GU     JH4UYB        599 25     DX
QSO: 28080 RY 2011-09-24 0802 GU0SUP        599     14 GU     EX8AB         599 17     DX
QSO: 28086 RY 2011-09-24 0803 GU0SUP        599     14 GU     UA4CC         599 16     DX
QSO: 28121 RY 2011-09-24 0808 GU0SUP        599     14 GU     RU1QY         599 16     DX
QSO: 28108 RY 2011-09-24 0810 GU0SUP        599     14 GU     JA2IVK        599 25     DX
QSO: 21127 RY 2011-09-24 0830 GU0SUP        599     14 GU     OH1F          599 15     DX
QSO: 21131 RY 2011-09-24 0831 GU0SUP        599     14 GU     SJ2W          599 14     DX
QSO: 21125 RY 2011-09-24 0832 GU0SUP        599     14 GU     EU1AZ         599 16     DX
QSO: 21124 RY 2011-09-24 0832 GU0SUP        599     14 GU     OJ0X          599 15     DX
QSO: 21122 RY 2011-09-24 0833 GU0SUP        599     14 GU     Z35T          599 15     DX
QSO: 21121 RY 2011-09-24 0835 GU0SUP        599     14 GU     YO9HP         599 20     DX
QSO: 21117 RY 2011-09-24 0836 GU0SUP        599     14 GU     EY0A          599 17     DX
QSO: 21111 RY 2011-09-24 0837 GU0SUP        599     14 GU     UA9OG         599 18     DX
QSO: 21108 RY 2011-09-24 0839 GU0SUP        599     14 GU     CN3A          599 33     DX
QSO: 21107 RY 2011-09-24 0839 GU0SUP        599     14 GU     9H3IP         599 15     DX
QSO: 21105 RY 2011-09-24 0840 GU0SUP        599     14 GU     JA6ZPR        599 25     DX
QSO: 21104 RY 2011-09-24 0842 GU0SUP        599     14 GU     ST2AR         599 34     DX
QSO: 21104 RY 2011-09-24 0846 GU0SUP        599     14 GU     RG9A          599 17     DX
QSO: 28136 RY 2011-09-24 0851 GU0SUP        599     14 GU     KG6DX         599 27     DX
QSO: 28076 RY 2011-09-24 0859 GU0SUP        599     14 GU     JE1LFX        599 25     DX
QSO: 21100 RY 2011-09-24 0901 GU0SUP        599     14 GU     ZC4LI         599 20     DX
QSO: 21099 RY 2011-09-24 0903 GU0SUP        599     14 GU     R7LV          599 16     DX
QSO: 21098 RY 2011-09-24 0905 GU0SUP        599     14 GU     A65EE         599 21     DX
QSO: 21093 RY 2011-09-24 0907 GU0SUP        599     14 GU     UZ2M          599 16     DX
QSO: 21087 RY 2011-09-24 0909 GU0SUP        599     14 GU     LY1R          599 15     DX
QSO: 21086 RY 2011-09-24 0910 GU0SUP        599     14 GU     YT7W          599 15     DX
QSO: 21084 RY 2011-09-24 0926 GU0SUP        599     14 GU     YL2CI         599 15     DX
QSO: 21081 RY 2011-09-24 0932 GU0SUP        599     14 GU     EA8CNB        599 33     DX
QSO: 21080 RY 2011-09-24 0933 GU0SUP        599     14 GU     ES9C          599 15     DX
QSO: 21075 RY 2011-09-24 0934 GU0SUP        599     14 GU     SN7S          599 15     DX
QSO: 21088 RY 2011-09-24 0936 GU0SUP        599     14 GU     5C5W          599 33     DX
QSO: 21096 RY 2011-09-24 0952 GU0SUP        599     14 GU     9A8W          599 15     DX
QSO: 21090 RY 2011-09-24 0954 GU0SUP        599     14 GU     CT3EN         599 33     DX
QSO: 21082 RY 2011-09-24 0956 GU0SUP        599     14 GU     CR3L          599 33     DX
QSO: 21079 RY 2011-09-24 0957 GU0SUP        599     14 GU     JR3RIY        599 25     DX
QSO: 28103 RY 2011-09-24 1006 GU0SUP        599     14 GU     RL3A          599 16     DX
QSO: 28091 RY 2011-09-24 1008 GU0SUP        599     14 GU     EF8M          599 33     DX
QSO: 28085 RY 2011-09-24 1010 GU0SUP        599     14 GU     EA8CNB        599 33     DX
QSO: 28080 RY 2011-09-24 1021 GU0SUP        599     14 GU     A65EE         599 21     DX
QSO: 21109 RY 2011-09-24 1029 GU0SUP        599     14 GU     RY9C          599 17     DX
QSO: 21106 RY 2011-09-24 1030 GU0SUP        599     14 GU     HG1S          599 15     DX
QSO: 21084 RY 2011-09-24 1041 GU0SUP        599     14 GU     UA0YAY        599 23     DX
QSO: 21076 RY 2011-09-24 1042 GU0SUP        599     14 GU     N2WK          599 5      NY
QSO: 21131 RY 2011-09-24 1043 GU0SUP        599     14 GU     4Z5CP         599 20     DX
QSO: 21115 RY 2011-09-24 1046 GU0SUP        599     14 GU     RW0AQ         599 18     DX
QSO: 21097 RY 2011-09-24 1048 GU0SUP        599     14 GU     SM0BSO        599 14     DX
QSO: 21093 RY 2011-09-24 1049 GU0SUP        599     14 GU     JA1OVD        599 25     DX
QSO: 21091 RY 2011-09-24 1050 GU0SUP        599     14 GU     IT9BLB        599 15     DX
QSO: 21086 RY 2011-09-24 1051 GU0SUP        599     14 GU     UI9I          599 18     DX
QSO: 21080 RY 2011-09-24 1053 GU0SUP        599     14 GU     ER4A          599 16     DX
QSO: 14123 RY 2011-09-24 1057 GU0SUP        599     14 GU     OX4OK         599 40     DX
QSO: 14124 RY 2011-09-24 1058 GU0SUP        599     14 GU     CR3L          599 33     DX
QSO: 14118 RY 2011-09-24 1058 GU0SUP        599     14 GU     OH4A          599 15     DX
QSO: 14116 RY 2011-09-24 1059 GU0SUP        599     14 GU     TK/DF6ZY      599 15     DX
QSO: 14114 RY 2011-09-24 1100 GU0SUP        599     14 GU     EA5ET         599 14     DX
QSO: 14113 RY 2011-09-24 1102 GU0SUP        599     14 GU     YT0WFF        599 15     DX
QSO: 14111 RY 2011-09-24 1102 GU0SUP        599     14 GU     S50W          599 15     DX
QSO: 14111 RY 2011-09-24 1103 GU0SUP        599     14 GU     UW5U          599 16     DX
QSO: 14109 RY 2011-09-24 1104 GU0SUP        599     14 GU     SN2K          599 15     DX
QSO: 14107 RY 2011-09-24 1104 GU0SUP        599     14 GU     K1FWE         599 5      NH
QSO: 14113 RY 2011-09-24 1107 GU0SUP        599     14 GU     KA4RRU        599 5      VA
QSO: 14104 RY 2011-09-24 1108 GU0SUP        599     14 GU     ER4A          599 16     DX
QSO: 14100 RY 2011-09-24 1109 GU0SUP        599     14 GU     LA1UKA        599 14     DX
QSO: 14097 RY 2011-09-24 1110 GU0SUP        599     14 GU     IQ3UD         599 15     DX
QSO: 14093 RY 2011-09-24 1110 GU0SUP        599     14 GU     SM6BGG        599 14     DX
QSO: 14092 RY 2011-09-24 1111 GU0SUP        599     14 GU     EU6AF         599 16     DX
QSO: 14101 RY 2011-09-24 1113 GU0SUP        599     14 GU     OJ0X          599 15     DX
QSO: 28107 RY 2011-09-24 1229 GU0SUP        599     14 GU     K4FJ          599 5      VA
QSO: 28103 RY 2011-09-24 1233 GU0SUP        599     14 GU     LT0H          599 13     DX
QSO: 28109 RY 2011-09-24 1235 GU0SUP        599     14 GU     NP4BM         599 8      DX
QSO: 28089 RY 2011-09-24 1240 GU0SUP        599     14 GU     AA4HP         599 5      FL
QSO: 28083 RY 2011-09-24 1241 GU0SUP        599     14 GU     NA3M          599 5      MD
QSO: 28083 RY 2011-09-24 1244 GU0SUP        599     14 GU     P49X          599 9      DX
QSO: 28080 RY 2011-09-24 1246 GU0SUP        599     14 GU     W4DXX         599 5      GA
QSO: 21141 RY 2011-09-24 1251 GU0SUP        599     14 GU     TF3AO         599 40     DX
QSO: 21118 RY 2011-09-24 1253 GU0SUP        599     14 GU     LZ8E          599 20     DX
QSO: 21085 RY 2011-09-24 1256 GU0SUP        599     14 GU     YT2T          599 15     DX
QSO: 21081 RY 2011-09-24 1257 GU0SUP        599     14 GU     IK7CMY        599 15     DX
QSO: 14085 RY 2011-09-24 1300 GU0SUP        599     14 GU     T77NM         599 15     DX
QSO: 14082 RY 2011-09-24 1302 GU0SUP        599     14 GU     HG1S          599 15     DX
QSO: 14114 RY 2011-09-24 1306 GU0SUP        599     14 GU     OK1KMG        599 15     DX
QSO: 14114 RY 2011-09-24 1307 GU0SUP        599     14 GU     OM5M          599 15     DX
QSO: 14114 RY 2011-09-24 1308 GU0SUP        599     14 GU     DL8RCL        599 14     DX
QSO: 14114 RY 2011-09-24 1314 GU0SUP        599     14 GU     SP6NVK        599 15     DX
QSO: 14114 RY 2011-09-24 1316 GU0SUP        599     14 GU     IZ3EOU        599 15     DX
QSO: 14114 RY 2011-09-24 1320 GU0SUP        599     14 GU     SM5CIL        599 14     DX
QSO: 14114 RY 2011-09-24 1323 GU0SUP        599     14 GU     DL9GTB        599 14     DX
QSO: 14114 RY 2011-09-24 1324 GU0SUP        599     14 GU     SQ5JUP        599 15     DX
QSO: 14114 RY 2011-09-24 1325 GU0SUP        599     14 GU     IK4MGP        599 15     DX
QSO: 14114 RY 2011-09-24 1325 GU0SUP        599     14 GU     OL3A          599 15     DX
QSO: 14114 RY 2011-09-24 1325 GU0SUP        599     14 GU     OK1DKO        599 15     DX
QSO: 14114 RY 2011-09-24 1326 GU0SUP        599     14 GU     IV3HYD        599 15     DX
QSO: 14114 RY 2011-09-24 1328 GU0SUP        599     14 GU     LA4URA        599 14     DX
QSO: 14114 RY 2011-09-24 1329 GU0SUP        599     14 GU     OK1KSL        599 15     DX
QSO: 14114 RY 2011-09-24 1329 GU0SUP        599     14 GU     SO4M          599 15     DX
QSO: 14114 RY 2011-09-24 1330 GU0SUP        599     14 GU     IK5FKF        599 15     DX
QSO: 14114 RY 2011-09-24 1330 GU0SUP        599     14 GU     HA8IE         599 15     DX
QSO: 14114 RY 2011-09-24 1331 GU0SUP        599     14 GU     IV3RVN        599 15     DX
QSO: 14114 RY 2011-09-24 1332 GU0SUP        599     14 GU     EO3Q          599 16     DX
QSO: 14114 RY 2011-09-24 1333 GU0SUP        599     14 GU     EF7R          599 14     DX
QSO: 14114 RY 2011-09-24 1334 GU0SUP        599     14 GU     RL3A          599 16     DX
QSO: 14114 RY 2011-09-24 1335 GU0SUP        599     14 GU     S57AW         599 15     DX
QSO: 14114 RY 2011-09-24 1335 GU0SUP        599     14 GU     IZ2PCJ        599 15     DX
QSO: 14114 RY 2011-09-24 1336 GU0SUP        599     14 GU     OK1VRF        599 15     DX
QSO: 14114 RY 2011-09-24 1336 GU0SUP        599     14 GU     OZ6TL         599 14     DX
QSO: 14114 RY 2011-09-24 1337 GU0SUP        599     14 GU     SP3GAX        599 15     DX
QSO: 14114 RY 2011-09-24 1338 GU0SUP        599     14 GU     OK2UHP        599 15     DX
QSO: 14114 RY 2011-09-24 1338 GU0SUP        599     14 GU     EF8M          599 33     DX
QSO: 14114 RY 2011-09-24 1339 GU0SUP        599     14 GU     OL2X          599 15     DX
QSO: 14114 RY 2011-09-24 1340 GU0SUP        599     14 GU     DL1RYD        599 14     DX
QSO: 14114 RY 2011-09-24 1340 GU0SUP        599     14 GU     DK4LI         599 14     DX
QSO: 14114 RY 2011-09-24 1341 GU0SUP        599     14 GU     ED1R          599 14     DX
QSO: 14114 RY 2011-09-24 1341 GU0SUP        599     14 GU     S55VM         599 15     DX
QSO: 14114 RY 2011-09-24 1343 GU0SUP        599     14 GU     IC8TEM        599 15     DX
QSO: 14114 RY 2011-09-24 1344 GU0SUP        599     14 GU     S57EA         599 15     DX
QSO: 28106 RY 2011-09-24 1349 GU0SUP        599     14 GU     AA4V          599 5      SC
QSO: 28104 RY 2011-09-24 1351 GU0SUP        599     14 GU     W4PK          599 5      VA
QSO: 28081 RY 2011-09-24 1417 GU0SUP        599     14 GU     K5DU          599 4      TX
QSO: 28081 RY 2011-09-24 1418 GU0SUP        599     14 GU     N9LAH         599 4      IL
QSO: 28079 RY 2011-09-24 1419 GU0SUP        599     14 GU     NX5O          599 4      OK
QSO: 28078 RY 2011-09-24 1420 GU0SUP        599     14 GU     N2BJ          599 4      IL
QSO: 28087 RY 2011-09-24 1428 GU0SUP        599     14 GU     6Y6U          599 8      DX
QSO: 28088 RY 2011-09-24 1430 GU0SUP        599     14 GU     YB4IR         599 28     DX
QSO: 28089 RY 2011-09-24 1431 GU0SUP        599     14 GU     PY2NY         599 11     DX
QSO: 28099 RY 2011-09-24 1435 GU0SUP        599     14 GU     K1LT          599 4      OH
QSO: 28104 RY 2011-09-24 1436 GU0SUP        599     14 GU     K0IR          599 4      MN
QSO: 28106 RY 2011-09-24 1437 GU0SUP        599     14 GU     AB4GG         599 4      TN
QSO: 28106 RY 2011-09-24 1438 GU0SUP        599     14 GU     WA1FCN        599 4      AL
QSO: 28069 RY 2011-09-24 1443 GU0SUP        599     14 GU     AA5AU         599 4      LA
QSO: 28082 RY 2011-09-24 1452 GU0SUP        599     14 GU     OD5PL         599 20     DX
QSO: 28086 RY 2011-09-24 1453 GU0SUP        599     14 GU     VE3DZ         599 4      ON
QSO: 28113 RY 2011-09-24 1457 GU0SUP        599     14 GU     ZX2B          599 11     DX
QSO: 28116 RY 2011-09-24 1500 GU0SUP        599     14 GU     VU2NKS        599 22     DX
QSO: 28128 RY 2011-09-24 1501 GU0SUP        599     14 GU     N8BJQ         599 4      OH
QSO: 28132 RY 2011-09-24 1502 GU0SUP        599     14 GU     N3DXX         599 5      DE
QSO: 28102 RY 2011-09-24 1504 GU0SUP        599     14 GU     N0KE          599 4      CO
QSO: 28090 RY 2011-09-24 1507 GU0SUP        599     14 GU     VY2SS         599 5      PE
QSO: 28077 RY 2011-09-24 1511 GU0SUP        599     14 GU     K9NR          599 4      IL
QSO: 28069 RY 2011-09-24 1512 GU0SUP        599     14 GU     N4ZZ          599 4      TN
QSO: 21077 RY 2011-09-24 1515 GU0SUP        599     14 GU     6Y6U          599 8      DX
QSO: 21143 RY 2011-09-24 1519 GU0SUP        599     14 GU     OX4OK         599 40     DX
QSO: 21139 RY 2011-09-24 1520 GU0SUP        599     14 GU     RL2A          599 16     DX
QSO: 21136 RY 2011-09-24 1521 GU0SUP        599     14 GU     HZ1FI         599 21     DX
QSO: 21134 RY 2011-09-24 1524 GU0SUP        599     14 GU     K0IR          599 4      MN
QSO: 21133 RY 2011-09-24 1525 GU0SUP        599     14 GU     SZ1A          599 20     DX
QSO: 21127 RY 2011-09-24 1528 GU0SUP        599     14 GU     HZ1PS         599 21     DX
QSO: 21125 RY 2011-09-24 1529 GU0SUP        599     14 GU     UO6P          599 17     DX
QSO: 21122 RY 2011-09-24 1531 GU0SUP        599     14 GU     KI1G          599 5      RI
QSO: 21123 RY 2011-09-24 1533 GU0SUP        599     14 GU     VU2LBW        599 22     DX
QSO: 21117 RY 2011-09-24 1535 GU0SUP        599     14 GU     OL7C          599 15     DX
QSO: 21109 RY 2011-09-24 1537 GU0SUP        599     14 GU     N1IBM         599 5      NJ
QSO: 21099 RY 2011-09-24 1539 GU0SUP        599     14 GU     W7RN          599 3      NV
QSO: 21096 RY 2011-09-24 1540 GU0SUP        599     14 GU     DJ3IW         599 14     DX
QSO: 21095 RY 2011-09-24 1542 GU0SUP        599     14 GU     P49X          599 9      DX
QSO: 21082 RY 2011-09-24 1549 GU0SUP        599     14 GU     K1FWE         599 5      NH
QSO: 21079 RY 2011-09-24 1550 GU0SUP        599     14 GU     W9IU          599 4      IN
QSO: 21077 RY 2011-09-24 1553 GU0SUP        599     14 GU     K4GMH         599 5      VA
QSO: 21090 RY 2011-09-24 1554 GU0SUP        599     14 GU     VE6AO         599 4      AB
QSO: 21117 RY 2011-09-24 1555 GU0SUP        599     14 GU     W4PK          599 5      VA
QSO: 21126 RY 2011-09-24 1557 GU0SUP        599     14 GU     AA5AU         599 4      LA
QSO: 21140 RY 2011-09-24 1558 GU0SUP        599     14 GU     K4WW          599 4      KY
QSO: 21140 RY 2011-09-24 1559 GU0SUP        599     14 GU     VE5RI         599 4      SK
QSO: 21123 RY 2011-09-24 1601 GU0SUP        599     14 GU     9M2CNC        599 28     DX
QSO: 21119 RY 2011-09-24 1602 GU0SUP        599     14 GU     K6TA          599 3      CA
QSO: 21118 RY 2011-09-24 1603 GU0SUP        599     14 GU     NB3R          599 5      PA
QSO: 21113 RY 2011-09-24 1605 GU0SUP        599     14 GU     KA2KON        599 5      NH
QSO: 21085 RY 2011-09-24 1607 GU0SUP        599     14 GU     K5DU          599 4      TX
QSO: 21088 RY 2011-09-24 1608 GU0SUP        599     14 GU     K1SFA         599 5      MA
QSO: 21067 RY 2011-09-24 1610 GU0SUP        599     14 GU     CO6LP         599 8      DX
QSO: 21145 RY 2011-09-24 1612 GU0SUP        599     14 GU     VE6WQ         599 4      AB
QSO: 21139 RY 2011-09-24 1613 GU0SUP        599     14 GU     K3MD          599 5      PA
QSO: 14120 RY 2011-09-24 1619 GU0SUP        599     14 GU     UO6P          599 17     DX
QSO: 14121 RY 2011-09-24 1620 GU0SUP        599     14 GU     JF1NHD        599 25     DX
QSO: 14119 RY 2011-09-24 1623 GU0SUP        599     14 GU     9M2TO         599 28     DX
QSO: 14118 RY 2011-09-24 1624 GU0SUP        599     14 GU     EV1R          599 16     DX
QSO: 14118 RY 2011-09-24 1624 GU0SUP        599     14 GU     E74AA         599 15     DX
QSO: 14116 RY 2011-09-24 1625 GU0SUP        599     14 GU     RG9A          599 17     DX
QSO: 14114 RY 2011-09-24 1627 GU0SUP        599     14 GU     9M2NNM        599 28     DX
QSO: 14110 RY 2011-09-24 1629 GU0SUP        599     14 GU     JH4UTP        599 25     DX
QSO: 14108 RY 2011-09-24 1630 GU0SUP        599     14 GU     RW6AH         599 16     DX
QSO: 14107 RY 2011-09-24 1631 GU0SUP        599     14 GU     UN1L          599 17     DX
QSO: 14104 RY 2011-09-24 1633 GU0SUP        599     14 GU     EU1AZ         599 16     DX
QSO: 14100 RY 2011-09-24 1636 GU0SUP        599     14 GU     JA1OVD        599 25     DX
QSO: 14099 RY 2011-09-24 1637 GU0SUP        599     14 GU     HB9LCW        599 14     DX
QSO: 14085 RY 2011-09-24 1640 GU0SUP        599     14 GU     EU1DX         599 16     DX
QSO: 14079 RY 2011-09-24 1642 GU0SUP        599     14 GU     S55O          599 15     DX
QSO: 14077 RY 2011-09-24 1643 GU0SUP        599     14 GU     YO9CWY        599 20     DX
QSO: 28082 RY 2011-09-24 1645 GU0SUP        599     14 GU     SV7CUD        599 20     DX
QSO: 28080 RY 2011-09-24 1646 GU0SUP        599     14 GU     HI3TEJ        599 8      DX
QSO: 28085 RY 2011-09-24 1647 GU0SUP        599     14 GU     RG3K          599 16     DX
QSO: 28089 RY 2011-09-24 1650 GU0SUP        599     14 GU     VE1OP         599 5      NS
QSO: 28098 RY 2011-09-24 1653 GU0SUP        599     14 GU     W4UH          599 5      FL
QSO: 28141 RY 2011-09-24 1655 GU0SUP        599     14 GU     PY2EB         599 11     DX
QSO: 28131 RY 2011-09-24 1656 GU0SUP        599     14 GU     HA8IE         599 15     DX
QSO: 28113 RY 2011-09-24 1659 GU0SUP        599     14 GU     HZ1PS         599 21     DX
QSO: 21148 RY 2011-09-24 1710 GU0SUP        599     14 GU     OD5NJ         599 20     DX
QSO: 21138 RY 2011-09-24 1714 GU0SUP        599     14 GU     K9OM          599 5      WI
QSO: 21133 RY 2011-09-24 1716 GU0SUP        599     14 GU     OE6MDF        599 15     DX
QSO: 21129 RY 2011-09-24 1717 GU0SUP        599     14 GU     YT3M          599 15     DX
QSO: 21121 RY 2011-09-24 1719 GU0SUP        599     14 GU     VE3DZ         599 4      ON
QSO: 21118 RY 2011-09-24 1720 GU0SUP        599     14 GU     LX7I          599 14     DX
QSO: 21116 RY 2011-09-24 1721 GU0SUP        599     14 GU     YW5T          599 9      DX
QSO: 21103 RY 2011-09-24 1726 GU0SUP        599     14 GU     W9MU          599 4      IL
QSO: 21104 RY 2011-09-24 1726 GU0SUP        599     14 GU     W4UH          599 5      FL
QSO: 21098 RY 2011-09-24 1728 GU0SUP        599     14 GU     IS0HQJ        599 15     DX
QSO: 21096 RY 2011-09-24 1730 GU0SUP        599     14 GU     WJ2D          599 5      NC
QSO: 21096 RY 2011-09-24 1732 GU0SUP        599     14 GU     K9DJ          599 4      WI
QSO: 21094 RY 2011-09-24 1733 GU0SUP        599     14 GU     TM6M          599 14     DX
QSO: 21092 RY 2011-09-24 1734 GU0SUP        599     14 GU     K1LZ          599 5      MA
QSO: 21092 RY 2011-09-24 1738 GU0SUP        599     14 GU     W4DXX         599 5      GA
QSO: 21084 RY 2011-09-24 1740 GU0SUP        599     14 GU     EF7R          599 14     DX
QSO: 21076 RY 2011-09-24 1748 GU0SUP        599     14 GU     VY2LI         599 5      PE
QSO: 21073 RY 2011-09-24 1750 GU0SUP        599     14 GU     VE7SV         599 3      BC
QSO: 21131 RY 2011-09-24 1752 GU0SUP        599     14 GU     AB4GG         599 4      TN
QSO: 21128 RY 2011-09-24 1753 GU0SUP        599     14 GU     WK4Y          599 5      VA
QSO: 14118 RY 2011-09-24 1800 GU0SUP        599     14 GU     DL6JZ         599 14     DX
QSO: 14074 RY 2011-09-24 1803 GU0SUP        599     14 GU     OK2SFP        599 15     DX
QSO: 14088 RY 2011-09-24 1806 GU0SUP        599     14 GU     RY9C          599 17     DX
QSO: 14129 RY 2011-09-24 1811 GU0SUP        599     14 GU     DK2TG         599 14     DX
QSO: 14129 RY 2011-09-24 1812 GU0SUP        599     14 GU     DL4RDJ        599 14     DX
QSO: 14129 RY 2011-09-24 1816 GU0SUP        599     14 GU     RN9CM         599 17     DX
QSO: 14129 RY 2011-09-24 1816 GU0SUP        599     14 GU     DF9GR         599 14     DX
QSO: 14129 RY 2011-09-24 1817 GU0SUP        599     14 GU     UZ2M          599 16     DX
QSO: 14129 RY 2011-09-24 1817 GU0SUP        599     14 GU     OH2ET         599 15     DX
QSO: 14129 RY 2011-09-24 1817 GU0SUP        599     14 GU     SP4YPB        599 15     DX
QSO: 14129 RY 2011-09-24 1818 GU0SUP        599     14 GU     UT3N          599 16     DX
QSO: 14129 RY 2011-09-24 1818 GU0SUP        599     14 GU     SP9NWN        599 15     DX
QSO: 14129 RY 2011-09-24 1819 GU0SUP        599     14 GU     GW4SKA        599 14     DX
QSO: 14129 RY 2011-09-24 1820 GU0SUP        599     14 GU     UA9BS         599 17     DX
QSO: 14129 RY 2011-09-24 1820 GU0SUP        599     14 GU     RO1B          599 16     DX
QSO: 14129 RY 2011-09-24 1821 GU0SUP        599     14 GU     S57YK         599 15     DX
QSO: 14129 RY 2011-09-24 1821 GU0SUP        599     14 GU     GW3SFC        599 14     DX
QSO: 14129 RY 2011-09-24 1822 GU0SUP        599     14 GU     DL1APX        599 14     DX
QSO: 14129 RY 2011-09-24 1822 GU0SUP        599     14 GU     SM5D          599 14     DX
QSO: 14129 RY 2011-09-24 1823 GU0SUP        599     14 GU     IK7WPC        599 15     DX
QSO: 28119 RY 2011-09-24 1854 GU0SUP        599     14 GU     CE3FZ         599 12     DX
QSO: 28123 RY 2011-09-24 1855 GU0SUP        599     14 GU     PY7ZY         599 11     DX
QSO: 28118 RY 2011-09-24 1904 GU0SUP        599     14 GU     ZP5AA         599 11     DX
QSO: 28092 RY 2011-09-24 1915 GU0SUP        599     14 GU     CN3A          599 33     DX
QSO: 28093 RY 2011-09-24 1922 GU0SUP        599     14 GU     5K3R          599 9      DX
QSO: 28092 RY 2011-09-24 1930 GU0SUP        599     14 GU     VP9I          599 5      DX
QSO: 28095 RY 2011-09-24 1932 GU0SUP        599     14 GU     CR3L          599 33     DX
