START-OF-LOG: 3.0
CALLSIGN: KV1W
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16254
NAME: Ric Plummer
LOCATION: ME
OPERATORS: KV1W
CLUB: YANKEE CLIPPER CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: WriteLog V12.24G
SOAPBOX: 100 Watts and a 30' vertical on the shore line isn't easy in the pileups
SOAPBOX: Also, the PTT delay with internet remote makes it "interesting".
QSO:  7178 PH 2018-03-25 0016 KV1W           59   24 CN2AA          59 4413
QSO:  7165 PH 2018-03-25 0017 KV1W           59   25 TM6M           59 3219
QSO:  7158 PH 2018-03-25 0017 KV1W           59   26 9A70A          59 2630
QSO:  7156 PH 2018-03-25 0018 KV1W           59   27 TM0T           59 2314
QSO:  7149 PH 2018-03-25 0018 KV1W           59   28 IR4X           59 2731
QSO:  7143 PH 2018-03-25 0019 KV1W           59   29 IR4M           59 2445
QSO:  7140 PH 2018-03-25 0019 KV1W           59   30 HA1AG          59 1925
QSO:  7134 PH 2018-03-25 0020 KV1W           59   31 US1I           59 1236
QSO:  7167 PH 2018-03-25 0022 KV1W           59   32 OK4K           59 839
QSO:  7181 PH 2018-03-25 0023 KV1W           59   33 KD4D           59 994
QSO:  7197 PH 2018-03-25 0025 KV1W           59   34 LZ5R           59 1253
QSO:  7256 PH 2018-03-25 0028 KV1W           59   35 W8BI           59 487
QSO:  7275 PH 2018-03-25 0127 KV1W           59   36 VE3CX          59 1547
QSO:  7175 PH 2018-03-25 0131 KV1W           59   37 AA4AQ          59 1593
QSO:  7127 PH 2018-03-25 0133 KV1W           59   38 CN3A           59 1259
QSO:  7147 PH 2018-03-25 0133 KV1W           59   39 EF8R           59 4680
QSO:  7151 PH 2018-03-25 0134 KV1W           59   40 IQ9UI          59 1294
QSO:  7180 PH 2018-03-25 0137 KV1W           59   41 W5MX           59 1390
QSO:  3727 PH 2018-03-25 0145 KV1W           59   42 W3BGN          59 438
QSO:  1831 PH 2018-03-25 0152 KV1W           59   43 VY2ZM          59 308
QSO:  1838 PH 2018-03-25 0153 KV1W           59   44 VE3PN          59 099
QSO:  7221 PH 2018-03-25 0320 KV1W           59   45 8P5A           59 3628
QSO: 14298 PH 2018-03-25 1246 KV1W           59   46 OM7RU          59 929
QSO: 14225 PH 2018-03-25 1249 KV1W           59   47 OM7M           59 1700
QSO: 14269 PH 2018-03-25 1300 KV1W           59   48 DN2VHF         59 162
QSO: 14283 PH 2018-03-25 1302 KV1W           59   49 OK7K           59 2352
QSO: 14321 PH 2018-03-25 1305 KV1W           59   50 S51A           59 2323
QSO: 14346 PH 2018-03-25 1305 KV1W           59   51 IO2X           59 2560
QSO:  7202 PH 2018-03-25 1308 KV1W           59   52 VE4VT          59 1608
QSO: 14215 PH 2018-03-25 1711 KV1W           59   53 CR3DX          59 3412
QSO: 14228 PH 2018-03-25 1713 KV1W           59   54 TM6M           59 4541
QSO: 14281 PH 2018-03-25 1716 KV1W           59   55 EF2A           59 2092
QSO: 14288 PH 2018-03-25 1716 KV1W           59   56 WZ4F           59 1721
QSO: 14163 PH 2018-03-25 1722 KV1W           59   57 HG7T           59 1666
QSO: 14191 PH 2018-03-25 1723 KV1W           59   58 NR7DX          59 1711
QSO: 14200 PH 2018-03-25 1724 KV1W           59   59 WW4LL          59 1228
QSO: 14204 PH 2018-03-25 1725 KV1W           59   60 CN3A           59 3011
QSO: 14207 PH 2018-03-25 1726 KV1W           59   61 WI0WA          59 1664
QSO: 14307 PH 2018-03-25 1733 KV1W           59   62 IR4X           59 3901
QSO:  7176 PH 2018-03-25 1749 KV1W           59   63 WX3B           59 1122
QSO: 14232 PH 2018-03-25 1953 KV1W           59   64 9A0BB          59 1412
QSO: 14286 PH 2018-03-25 1955 KV1W           59   65 IR8P           59 2799
QSO: 14305 PH 2018-03-25 1956 KV1W           59   66 UR2Y           59 1119
QSO: 14317 PH 2018-03-25 2008 KV1W           59   67 IO9A           59 2573
QSO: 14339 PH 2018-03-25 2009 KV1W           59   68 KJ4QHL         59 1489
QSO: 14178 PH 2018-03-25 2052 KV1W           59   69 NC7M           59 1540
QSO: 14210 PH 2018-03-25 2056 KV1W           59   70 EE8K           59 1377
QSO: 21250 PH 2018-03-25 2107 KV1W           59   71 KP2XX          59 2528
QSO: 21256 PH 2018-03-25 2112 KV1W           59   72 ZX5J           59 3398
QSO:  7155 PH 2018-03-25 2117 KV1W           59   73 OK2RZ          59 888
QSO:  7152 PH 2018-03-25 2118 KV1W           59   74 NR3X           59 2074
QSO:  7194 PH 2018-03-25 2320 KV1W           59   75 W4MYA          59 1110
QSO:  7180 PH 2018-03-25 2321 KV1W           59   76 IR6T           59 2625
QSO:  7169 PH 2018-03-25 2323 KV1W           59   77 WQ5OO          59 2294
QSO:  7151 PH 2018-03-25 2325 KV1W           59   78 IO5O           59 4306
QSO:  7145 PH 2018-03-25 2326 KV1W           59   79 OM7M           59 2328
QSO:  7160 PH 2018-03-25 2345 KV1W           59   80 W8PR           59 1830
END-OF-LOG:
