START-OF-LOG: 3.0
CALLSIGN: K3URT
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 68182
NAME: CURTIS D SANDERS
LOCATION: EPA
OPERATORS: K3URT
CLUB: FRANKFORD RADIO CLUB
CERTIFICATE: YES
CREATED-BY: RUMlogNG (3.11.1) by DL2RUM
SOAPBOX: 36 HOURS FOR THIS? I���LL WAIT FOR THE SOLAR HIGH NEXT.
QSO:  3783 PH 2018-03-25 0154 K3URT         59  135    VC3J          59  2422   0
QSO:  3788 PH 2018-03-25 0155 K3URT         59  136    VA3SWG        59  195    0
QSO:  3791 PH 2018-03-25 0158 K3URT         59  137    LZ5R          59  749    0
QSO:  3663 PH 2018-03-25 0205 K3URT         59  138    W3LL          59  519    0
QSO:  3670 PH 2018-03-25 0207 K3URT         59  139    KA4RRU        59  380    0
QSO:  3683 PH 2018-03-25 0208 K3URT         59  140    K3MD          59  239    0
QSO:  3694 PH 2018-03-25 0209 K3URT         59  141    K1LZ          59  1604   0
QSO:  3709 PH 2018-03-25 0212 K3URT         59  142    N2RJ          59  1476   0
QSO:  3713 PH 2018-03-25 0213 K3URT         59  143    AB4B          59  278    0
QSO:  3718 PH 2018-03-25 0215 K3URT         59  144    AG9S          59  840    0
QSO:  3721 PH 2018-03-25 0216 K3URT         59  145    W8BI          59  579    0
QSO:  3730 PH 2018-03-25 0220 K3URT         59  146    CN2AA         59  4669   0
QSO:  3732 PH 2018-03-25 0224 K3URT         59  147    K3CCR         59  228    0
QSO:  3752 PH 2018-03-25 0226 K3URT         59  148    NR3X          59  1455   0
QSO:  3772 PH 2018-03-25 0228 K3URT         59  149    W9QL          59  214    0
QSO:  3796 PH 2018-03-25 0231 K3URT         59  150    CN3A          59  666    0
QSO:  3673 PH 2018-03-25 0243 K3URT         59  151    K9ZO          59  301    0
QSO:  3765 PH 2018-03-25 0918 K3URT         59  152    KU1CW         59  574    0
QSO:  3771 PH 2018-03-25 0919 K3URT         59  153    NE1C          59  523    0
QSO:  3790 PH 2018-03-25 0924 K3URT         59  154    PX2A          59  186    0
QSO:  3739 PH 2018-03-25 0926 K3URT         59  155    WW4LL         59  699    0
QSO:  3758 PH 2018-03-25 0929 K3URT         59  156    PJ4V          59  477    0
QSO:  3761 PH 2018-03-25 0930 K3URT         59  157    WI4R          59  312    0
QSO:  3777 PH 2018-03-25 0932 K3URT         59  158    V31MA         59  215    0
QSO:  3804 PH 2018-03-25 0942 K3URT         59  159    AJ7G          59  448    0
QSO:  3798 PH 2018-03-25 0945 K3URT         59  160    NK7U          59  222    0
QSO:  3756 PH 2018-03-25 0947 K3URT         59  161    WQ6X          59  1656   0
QSO:  7225 PH 2018-03-25 0959 K3URT         59  162    N5IT          59  558    0
QSO:  7195 PH 2018-03-25 1001 K3URT         59  163    KM5VI         59  1172   0
QSO:  7172 PH 2018-03-25 1004 K3URT         59  164    NR6O          59  1214   0
QSO:  7169 PH 2018-03-25 1010 K3URT         59  165    KT5J          59  2138   0
QSO:  7184 PH 2018-03-25 1017 K3URT         59  166    T42CT         59  495    0
QSO:  7135 PH 2018-03-25 1130 K3URT         59  167    WK1DS         59  571    0
QSO:  7206 PH 2018-03-25 1133 K3URT         59  168    P49Y          59  3497   0
QSO:  7227 PH 2018-03-25 1136 K3URT         59  169    HI3T          59  1178   0
QSO:  7186 PH 2018-03-25 1137 K3URT         59  170    NY4I          59  1022   0
QSO:  7233 PH 2018-03-25 1143 K3URT         59  171    W6YX          59  2024   0
QSO:  7188 PH 2018-03-25 1146 K3URT         59  172    KH7XS         59  3850   0
QSO:  7192 PH 2018-03-25 1159 K3URT         59  173    KG5HVO        59  768    0
QSO:  7202 PH 2018-03-25 1201 K3URT         59  174    KU1CW         59  1181   0
QSO:  7205 PH 2018-03-25 1205 K3URT         59  175    ZM4T          59  1708   0
QSO:  7139 PH 2018-03-25 1212 K3URT         59  176    WA8WG         59  260    0
QSO:  7196 PH 2018-03-25 1216 K3URT         59  177    W5MX          59  1699   0
QSO: 14217 PH 2018-03-25 1225 K3URT         59  178    WZ4F          59  1180   0
QSO: 14260 PH 2018-03-25 1413 K3URT         59  179    K4AKK         59  722    0
QSO: 14170 PH 2018-03-25 1421 K3URT         59  180    NW4DX         59  1443   0
QSO: 14226 PH 2018-03-25 1423 K3URT         59  181    KP2XX         59  1996   0
QSO: 14267 PH 2018-03-25 1425 K3URT         59  182    KD5DD         59  2421   0
QSO: 14270 PH 2018-03-25 1426 K3URT         59  183    KW7Y          59  2365   0
QSO: 14163 PH 2018-03-25 1428 K3URT         59  184    AG5Z          59  1110   0
QSO: 14252 PH 2018-03-25 1432 K3URT         59  185    KZ1W          59  185    0
QSO: 14259 PH 2018-03-25 1434 K3URT         59  186    WW4LL         59  1056   0
QSO: 21319 PH 2018-03-25 1445 K3URT         59  187    KR4Z          59  437    0
QSO: 21296 PH 2018-03-25 1446 K3URT         59  188    WX3B          59  337    0
QSO: 14191 PH 2018-03-25 1458 K3URT         59  189    VP5P          59  2737   0
QSO: 14204 PH 2018-03-25 1459 K3URT         59  190    KB1RI         59  897    0
QSO: 14265 PH 2018-03-25 1505 K3URT         59  191    TM0T          59  2964   0
QSO: 14268 PH 2018-03-25 1507 K3URT         59  192    NK7L          59  817    0
QSO: 14167 PH 2018-03-25 1708 K3URT         59  193    WD5K          59  978    0
QSO: 21280 PH 2018-03-25 2022 K3URT         59  194    PZ5RA         59  1564   0
QSO: 21251 PH 2018-03-25 2026 K3URT         59  195    KP2XX         59  2436   0
QSO:  7225 PH 2018-03-25 2107 K3URT         59  196    KS9K          59  1092   0
QSO:  7134 PH 2018-03-25 2114 K3URT         59  197    K0MD          59  605    0
QSO:  7166 PH 2018-03-25 2118 K3URT         59  198    CN2AA         59  7094   0
QSO:  7200 PH 2018-03-25 2119 K3URT         59  199    K9ZO          59  862    0
QSO:  7146 PH 2018-03-25 2126 K3URT         59  200    OM7M          59  2141   0
QSO:  7160 PH 2018-03-25 2127 K3URT         59  201    LZ5K          59  1084   0
QSO:  7203 PH 2018-03-25 2138 K3URT         59  202    AC9S          59  547    0
QSO:  7133 PH 2018-03-25 2144 K3URT         59  203    K0MD          59  656    0
QSO:  7148 PH 2018-03-25 2311 K3URT         59  204    KU8E          59  762    0
QSO:  7235 PH 2018-03-25 2316 K3URT         59  205    VE9ML         59  552    0
QSO:  7249 PH 2018-03-25 2317 K3URT         59  206    W9QL          59  454    0
QSO:  7219 PH 2018-03-25 2324 K3URT         59  207    WN4AFP        59  309    0
QSO:  7152 PH 2018-03-25 2331 K3URT         59  208    IO5O          59  4214   0
QSO:  3785 PH 2018-03-25 2335 K3URT         59  209    VC2A          59  2967   0
QSO:  3777 PH 2018-03-25 2336 K3URT         59  210    N03U          59  307    0
QSO:  3771 PH 2018-03-25 2337 K3URT         59  211    VA3SZ         59  217    0
QSO:  3766 PH 2018-03-25 2338 K3URT         59  212    K3ZO          59  1485   0
QSO:  3749 PH 2018-03-25 2339 K3URT         59  213    VB2Z          59  1375   0
QSO:  3734 PH 2018-03-25 2342 K3URT         59  214    W4GE          59  791    0
QSO:  3731 PH 2018-03-25 2344 K3URT         59  215    KD9LA         59  534    0
QSO:  3720 PH 2018-03-25 2345 K3URT         59  216    N9OK          59  470    0
QSO:  3714 PH 2018-03-25 2349 K3URT         59  217    N8CWU         59  344    0
QSO:  3693 PH 2018-03-25 2352 K3URT         59  218    N3QE          59  381    0
QSO:  3791 PH 2018-03-25 2354 K3URT         59  219    NF3R          59  992    0
END-OF-LOG:
