START-OF-LOG: 3.0
CALLSIGN: G4NBS
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 24366
NAME: Tony Collett
LOCATION: DX
OPERATORS: G4NBS
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7142.0
SOAPBOX: K3, 80W TO 20M INV V at 5M Apex
QSO: 14137 PH 2018-03-24 1900 G4NBS         59  0074   IT9DVZ        59  0250
QSO: 14137 PH 2018-03-24 1904 G4NBS         59  0075   PJ4V          59  0728
QSO: 14165 PH 2018-03-24 1909 G4NBS         59  0076   PR7AP         59  0405
QSO: 14240 PH 2018-03-24 1918 G4NBS         59  0077   EE5V          59  0629
QSO: 14308 PH 2018-03-24 1922 G4NBS         59  0078   CR5C          59  1389
QSO: 14338 PH 2018-03-24 1924 G4NBS         59  0079   RW7K          59  0159
QSO: 14217 PH 2018-03-24 1927 G4NBS         59  0080   IO9O          59  1302
QSO: 14160 PH 2018-03-24 2129 G4NBS         59  0081   NA3D          59  0944
QSO: 14204 PH 2018-03-24 2135 G4NBS         59  0082   K1BX          59  0639
QSO: 14232 PH 2018-03-24 2136 G4NBS         59  0083   NE1C          59  0727
QSO: 14210 PH 2018-03-24 2142 G4NBS         59  0084   K3ZU          59  1111
QSO: 14146 PH 2018-03-24 2144 G4NBS         59  0085   PJ5Z          59  1120
QSO:  7051 PH 2018-03-24 2206 G4NBS         59  0086   CT3DL         59  0840
QSO:  7054 PH 2018-03-24 2207 G4NBS         59  0087   EN4U          59  1567
QSO:  7192 PH 2018-03-24 2209 G4NBS         59  0088   YT1AD         59  1150
QSO:  7172 PH 2018-03-24 2214 G4NBS         59  0089   LZ9W          59  1153
QSO:  7169 PH 2018-03-24 2216 G4NBS         59  0090   YP0C          59  1292
QSO:  7144 PH 2018-03-24 2223 G4NBS         59  0091   YU5R          59  0358
QSO:  7113 PH 2018-03-24 2226 G4NBS         59  0092   IO9R          59  0472
QSO:  7105 PH 2018-03-24 2228 G4NBS         59  0093   RT5K          59  2253
QSO:  7103 PH 2018-03-24 2234 G4NBS         59  0094   CN3A          59  0976
QSO:  7071 PH 2018-03-24 2237 G4NBS         59  0095   YP8T          59  0655
QSO:  7184 PH 2018-03-24 2242 G4NBS         59  0096   ER4A          59  0313
QSO:  7129 PH 2018-03-24 2255 G4NBS         59  0097   UW5ZM         59  0903
QSO:  7099 PH 2018-03-24 2301 G4NBS         59  0098   IR9Z          59  0686
QSO:  7176 PH 2018-03-24 2312 G4NBS         59  0099   OM7M          59  1392
QSO:  7154 PH 2018-03-24 2316 G4NBS         59  0100   EF8R          59  4379
QSO:  7126 PH 2018-03-24 2326 G4NBS         59  0101   C4A           59  0722
QSO:  7115 PH 2018-03-24 2328 G4NBS         59  0102   VC3J          59  2118
QSO:  7107 PH 2018-03-24 2330 G4NBS         59  0103   IT9BDM        59  0524
QSO:  7094 PH 2018-03-24 2332 G4NBS         59  0104   VB3T          59  2250
QSO:  7161 PH 2018-03-24 2346 G4NBS         59  0105   EF9R          59  2068
QSO:  7178 PH 2018-03-24 2348 G4NBS         59  0106   CN2AA         59  4338
QSO:  7151 PH 2018-03-24 2354 G4NBS         59  0107   IQ9UI         59  1134
QSO:  7140 PH 2018-03-24 2355 G4NBS         59  0108   HA1AG         59  1879
QSO:  7080 PH 2018-03-25 0002 G4NBS         59  0109   TI7W          59  2674
QSO:  7128 PH 2018-03-25 0005 G4NBS         59  0110   RT5Z          59  1151
QSO:  7134 PH 2018-03-25 0008 G4NBS         59  0111   US1I          59  1221
QSO:  7146 PH 2018-03-25 0011 G4NBS         59  0112   IB9A          59  0672
QSO:  7196 PH 2018-03-25 0013 G4NBS         59  0113   LZ5R          59  1245
QSO:  7186 PH 2018-03-25 0014 G4NBS         59  0114   IR8P          59  1889
QSO:  7121 PH 2018-03-25 0018 G4NBS         59  0115   TC3D          59  0418
QSO:  7056 PH 2018-03-25 0027 G4NBS         59  0116   8P5A          59  3271
END-OF-LOG:
