START-OF-LOG: 3.0
CALLSIGN: OE3MCS
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17384
NAME: Markus Schott
LOCATION: DX
OPERATORS: OE3MCS
OFFTIME: 2018-03-24 0000 2018-03-24 1252
OFFTIME: 2018-03-24 1311 2018-03-24 1447
OFFTIME: 2018-03-24 1757 2018-03-24 2359
OFFTIME: 2018-03-25 0000 2018-03-25 0927
OFFTIME: 2018-03-25 1336 2018-03-25 2359
CERTIFICATE: YES
CREATED-BY: manualy
SOAPBOX: TX/RX Keenwood TS940-S
SOAPBOX: Antenna HY End Fed(Longwire)
SOAPBOX: Very Nice on 15m for DX this year!
SOAPBOX: Very growded 20m+40m too much QRM!
SOAPBOX: Tnx for Contest hope to have more time next year!
QSO: 14187 PH 2018-03-24 1626  OE3MCS        59  37     R4HC          59  272    0
QSO: 14160 PH 2018-03-24 1629  OE3MCS        59  38     4X7R          59  1025   0
QSO:  7155 PH 2018-03-24 1637  OE3MCS        59  39     RV9UP         59  654    0
QSO:  7151 PH 2018-03-24 1640  OE3MCS        59  40     IQ9UI         59  591    0
QSO:  7114 PH 2018-03-24 1651  OE3MCS        59  41     LM90NRRL      59  509    0
QSO:  7112 PH 2018-03-24 1653  OE3MCS        59  42     RT8U          59  273    0
QSO:  7105 PH 2018-03-24 1655  OE3MCS        59  43     RT5K          59  1842   0
QSO:  7101 PH 2018-03-24 1656  OE3MCS        59  44     RQ5D          59  1679   0
QSO:  7068 PH 2018-03-24 1701  OE3MCS        59  45     R5DC          59  1193   0
QSO:  7066 PH 2018-03-24 1702  OE3MCS        59  46     RU5A          59  306    0
QSO:  7049 PH 2018-03-24 1703  OE3MCS        59  47     YQ6A          59  586    0
QSO:  7045 PH 2018-03-24 1704  OE3MCS        59  48     LY2J          59  790    0
QSO: 14133 PH 2018-03-24 1706  OE3MCS        59  49     H2T           59  1383   0
QSO: 14168 PH 2018-03-24 1709  OE3MCS        59  50     IO9A          59  1394   0
QSO: 14172 PH 2018-03-24 1714  OE3MCS        59  51     C4A           59  1208   0
QSO: 14248 PH 2018-03-24 1744  OE3MCS        59  52     OG73X         59  814    0
QSO: 14116 PH 2018-03-24 1756  OE3MCS        59  53     8P5A          59  2094   0
QSO: 14270 PH 2018-03-25 0927  OE3MCS        59  54     UT1EK         59  217    0
QSO: 21224 PH 2018-03-25 0930  OE3MCS        59  55     A61ZX         59  861    0
QSO: 21274 PH 2018-03-25 0937  OE3MCS        59  56     9K2HN         59  3014   0
QSO: 21243 PH 2018-03-25 0940  OE3MCS        59  57     FR4QT         59  1112   0
QSO: 21272 PH 2018-03-25 0945  OE3MCS        59  58     A61QQ         59  1052   0
QSO: 21300 PH 2018-03-25 0951  OE3MCS        59  59     TA7MHZ        59  79     0
QSO: 21212 PH 2018-03-25 0957  OE3MCS        59  60     4X7R          59  579    0
QSO: 21216 PH 2018-03-25 0958  OE3MCS        59  61     4X0A          59  383    0
QSO: 21238 PH 2018-03-25 1003  OE3MCS        59  62     7Q7EI         59  803    0
QSO: 21244 PH 2018-03-25 1005  OE3MCS        59  63     A73A          59  1053   0
QSO: 21200 PH 2018-03-25 1007  OE3MCS        59  64     YM7KA         59  1365   0
QSO: 21205 PH 2018-03-25 1013  OE3MCS        59  65     HS5SRH        59  900    0
QSO: 21320 PH 2018-03-25 1030  OE3MCS        59  66     SJ0X          59  82     0
QSO: 21330 PH 2018-03-25 1033  OE3MCS        59  67     ZS6TVB        59  600    0
QSO: 21300 PH 2018-03-25 1035  OE3MCS        59  68     VU2IVV        59  235    0
QSO: 21288 PH 2018-03-25 1046  OE3MCS        59  69     9J2BO         59  37     0
QSO: 21326 PH 2018-03-25 1051  OE3MCS        59  70     5Z4/LZ4NM     59  315    0
QSO: 21240 PH 2018-03-25 1059  OE3MCS        59  71     HZ1TL         59  1314   0
QSO: 21252 PH 2018-03-25 1101  OE3MCS        59  72     CX2DK         59  1430   0
QSO: 21294 PH 2018-03-25 1102  OE3MCS        59  73     OE100XHQ      59  19     0
QSO: 21237 PH 2018-03-25 1107  OE3MCS        59  74     ZV5O          59  1404   0
QSO: 21198 PH 2018-03-25 1113  OE3MCS        59  75     PY2UD         59  677    0
QSO: 21265 PH 2018-03-25 1117  OE3MCS        59  76     EF8L          59  77     0
QSO: 21277 PH 2018-03-25 1119  OE3MCS        59  77     PX2A          59  1883   0
QSO: 21300 PH 2018-03-25 1121  OE3MCS        59  78     EA8DGH        59  279    0
QSO: 14348 PH 2018-03-25 1124  OE3MCS        59  79     UT3EV         59  684    0
QSO: 14322 PH 2018-03-25 1132  OE3MCS        59  80     EA5SR         59  1303   0
QSO: 14316 PH 2018-03-25 1134  OE3MCS        59  81     EF9R          59  2380   0
QSO: 14314 PH 2018-03-25 1135  OE3MCS        59  82     EA7ITL        59  543    0
QSO: 14310 PH 2018-03-25 1136  OE3MCS        59  83     OH6RE         59  313    0
QSO: 14295 PH 2018-03-25 1139  OE3MCS        59  84     ED2C          59  773    0
QSO: 14292 PH 2018-03-25 1141  OE3MCS        59  85     EE1I          59  348    0
QSO: 14288 PH 2018-03-25 1145  OE3MCS        59  86     ED5K          59  291    0
QSO: 14277 PH 2018-03-25 1147  OE3MCS        59  87     UZ2I          59  2414   0
QSO: 14272 PH 2018-03-25 1148  OE3MCS        59  88     RJ4P          59  2078   0
QSO: 14267 PH 2018-03-25 1150  OE3MCS        59  89     EF8R          59  5862   0
QSO: 14259 PH 2018-03-25 1152  OE3MCS        59  90     UP2L          59  2491   0
QSO: 14247 PH 2018-03-25 1158  OE3MCS        59  91     RK3T          59  832    0
QSO: 14240 PH 2018-03-25 1200  OE3MCS        59  92     UF1F          59  3252   0
QSO: 14238 PH 2018-03-25 1202  OE3MCS        59  93     RW3XZ         59  1131   0
QSO: 14236 PH 2018-03-25 1206  OE3MCS        59  94     EE7P          59  988    0
QSO: 14232 PH 2018-03-25 1207  OE3MCS        59  95     EA1FA         59  24     0
QSO: 14200 PH 2018-03-25 1213  OE3MCS        59  96     R7CA          59  253    0
QSO: 14180 PH 2018-03-25 1219  OE3MCS        59  97     EF1W          59  1782   0
QSO: 14171 PH 2018-03-25 1228  OE3MCS        59  98     9H6A          59  955    0
QSO: 14152 PH 2018-03-25 1230  OE3MCS        59  99     NA3D          59  1196   0
QSO: 14131 PH 2018-03-25 1235  OE3MCS        59  100    RM7C          59  624    0
QSO: 14126 PH 2018-03-25 1237  OE3MCS        59  101    RC8SA         59  296    0
QSO: 14118 PH 2018-03-25 1239  OE3MCS        59  102    RC3U          59  587    0
QSO: 14119 PH 2018-03-25 1240  OE3MCS        59  103    RZ3Z          59  1327   0
QSO: 14110 PH 2018-03-25 1244  OE3MCS        59  104    EI6JK         59  639    0
QSO: 14260 PH 2018-03-25 1246  OE3MCS        59  105    UW6M          59  350    0
QSO: 14281 PH 2018-03-25 1250  OE3MCS        59  106    RM2U          59  357    0
QSO: 14303 PH 2018-03-25 1254  OE3MCS        59  107    UW2M          59  1071   0
QSO: 14307 PH 2018-03-25 1256  OE3MCS        59  108    UT0LK         59  286    0
QSO: 14312 PH 2018-03-25 1258  OE3MCS        59  109    JE6RPM        59  1474   0
QSO: 14342 PH 2018-03-25 1259  OE3MCS        59  110    YP0C          59  1880   0
QSO: 21240 PH 2018-03-25 1302  OE3MCS        59  111    LZ5R          59  366    0
QSO: 21360 PH 2018-03-25 1311  OE3MCS        59  112    PY2KJ         59  1088   0
QSO: 21367 PH 2018-03-25 1312  OE3MCS        59  113    ZZ2T          59  1899   0
QSO: 21256 PH 2018-03-25 1314  OE3MCS        59  114    PQ5B          59  2193   0
QSO: 21256 PH 2018-03-25 1326  OE3MCS        59  115    YB1AR         59  1151   0
QSO: 21265 PH 2018-03-25 1335  OE3MCS        59  116    9Y4D          59  1204   0
END-OF-LOG:
