START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: OK4DJ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR: JN89GF
CLAIMED-SCORE: 4845
NAME: David
OPERATORS: OK4DJ
CREATED-BY: tucnak-linux 4.20
SOAPBOX: TRX Yaesu FT-991A ANT M0CVO HW-42HP AGL 3m ASL 330m
SOAPBOX:  Just   a few        free  hours            during weekend. Thank            you  for  QSO,
QSO:   14000  PH 2020-10-25 1340  OK4DJ            59   15  HB9HLM           59   14  
QSO:   14000  PH 2020-10-25 1344  OK4DJ            59   15  RA5G             59   16  
QSO:   14000  PH 2020-10-25 1400  OK4DJ            59   15  YL2SM            59   15  
QSO:   14000  PH 2020-10-25 1403  OK4DJ            59   15  9A8DV            59   15  
QSO:   14000  PH 2020-10-25 1418  OK4DJ            59   15  DR1X             59   14  
QSO:   14000  PH 2020-10-25 1421  OK4DJ            59   15  SP1NY            59   15  
QSO:   14000  PH 2020-10-25 1425  OK4DJ            59   15  OG5A             59   15  
QSO:   14000  PH 2020-10-25 1432  OK4DJ            59   15  IU3BTY           59   15  
QSO:   14000  PH 2020-10-25 1434  OK4DJ            59   15  YL2GD            59   15  
QSO:   14000  PH 2020-10-25 1436  OK4DJ            59   15  OG6N             59   15  
QSO:   14000  PH 2020-10-25 1439  OK4DJ            59   15  DP7D             59   14  
QSO:   14000  PH 2020-10-25 1442  OK4DJ            59   15  DK3T             59   14  
QSO:   14000  PH 2020-10-25 1445  OK4DJ            59   15  P3X              59   20  
QSO:   14000  PH 2020-10-25 1449  OK4DJ            59   15  UR3GU            59   16  
QSO:   21000  PH 2020-10-25 1501  OK4DJ            59   15  DL0AH            59   14  
QSO:   21000  PH 2020-10-25 1503  OK4DJ            59   15  ON7TQ            59   14  
QSO:   21000  PH 2020-10-25 1507  OK4DJ            59   15  EB7DX            59   14  
QSO:   21000  PH 2020-10-25 1510  OK4DJ            59   15  OL5M             59   15  
QSO:   21000  PH 2020-10-25 1515  OK4DJ            59   15  ON4LN            59   14  
QSO:   21000  PH 2020-10-25 1524  OK4DJ            59   15  F1UVN            59   14  
QSO:   21000  PH 2020-10-25 1529  OK4DJ            59   15  DL0CS            59   14  
QSO:   21000  PH 2020-10-25 1530  OK4DJ            59   15  UW1M             59   16  
QSO:   21000  PH 2020-10-25 1534  OK4DJ            59   15  F2YT             59   14  
QSO:   21000  PH 2020-10-25 1537  OK4DJ            59   15  LX1SG            59   14  
QSO:   21000  PH 2020-10-25 1541  OK4DJ            59   15  YO9HP            59   20  
QSO:   21000  PH 2020-10-25 1543  OK4DJ            59   15  ON4AYM           59   14  
QSO:   21000  PH 2020-10-25 1544  OK4DJ            59   15  PC3T             59   14  
QSO:   21000  PH 2020-10-25 1545  OK4DJ            59   15  PA1T             59   14  
QSO:   21000  PH 2020-10-25 1550  OK4DJ            59   15  ES3V             59   15  
QSO:   21000  PH 2020-10-25 1553  OK4DJ            59   15  LN8W             59   14  
QSO:   21000  PH 2020-10-25 1609  OK4DJ            59   15  ON4WW            59   14  
QSO:   21000  PH 2020-10-25 1611  OK4DJ            59   15  YP0C             59   20  
QSO:   21000  PH 2020-10-25 1613  OK4DJ            59   15  UW5Y             59   16  
QSO:   21000  PH 2020-10-25 1614  OK4DJ            59   15  DM0Y             59   14  
END-OF-LOG:
