START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: JA3YQD
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 70329
CREATED-BY: zlistw(zlog)
NAME: RITSUMEIKAN Univ. Ham Assn.
OPERATORS: JF3PLF
SOAPBOX: We ran with 1kW but all antennas were simple dipoles.
QSO: 21000 PH 2012-10-27 0911 JA3YQD        59  25     3Z2X          59  15     0
QSO: 21000 PH 2012-10-27 0913 JA3YQD        59  25     SN7Q          59  15     0
QSO: 21000 PH 2012-10-27 0915 JA3YQD        59  25     OH1F          59  15     0
QSO:  7000 PH 2012-10-27 1430 JA3YQD        59  25     AH0BT         59  27     0
QSO:  7000 PH 2012-10-27 1430 JA3YQD        59  25     KL7RA         59  1      0
QSO:  7000 PH 2012-10-27 1431 JA3YQD        59  25     DU1EV         59  27     0
QSO:  7000 PH 2012-10-27 1432 JA3YQD        59  25     K1GI          59  3      0
QSO:  7000 PH 2012-10-27 1433 JA3YQD        59  25     W7WA          59  3      0
QSO:  7000 PH 2012-10-27 1434 JA3YQD        59  25     BY4QA         59  24     0
QSO:  7000 PH 2012-10-27 1435 JA3YQD        59  25     W6GJB         59  3      0
QSO:  7000 PH 2012-10-27 1437 JA3YQD        59  25     YE0X          59  28     0
QSO:  7000 PH 2012-10-27 1437 JA3YQD        59  25     YB3OX         59  28     0
QSO:  7000 PH 2012-10-27 1438 JA3YQD        59  25     YB8C          59  28     0
QSO:  7000 PH 2012-10-27 1439 JA3YQD        59  25     W7PRC         59  3      0
QSO:  7000 PH 2012-10-27 1440 JA3YQD        59  25     VE7GL         59  3      0
QSO:  7000 PH 2012-10-27 1446 JA3YQD        59  25     BV2A/4        59  24     0
QSO:  7000 PH 2012-10-27 1448 JA3YQD        59  25     VK8DX         59  29     0
QSO:  7000 PH 2012-10-27 1449 JA3YQD        59  25     AH2R          59  27     0
QSO:  7000 PH 2012-10-27 1449 JA3YQD        59  25     BY4BBS        59  24     0
QSO:  7000 PH 2012-10-27 1450 JA3YQD        59  25     BY5CD         59  24     0
QSO:  7000 PH 2012-10-27 1454 JA3YQD        59  25     N6HK          59  3      0
QSO:  7000 PH 2012-10-27 1455 JA3YQD        59  25     RA0UBI        59  18     0
QSO:  7000 PH 2012-10-27 1457 JA3YQD        59  25     N6SS          59  3      0
QSO:  7000 PH 2012-10-27 1458 JA3YQD        59  25     AL9A          59  1      0
QSO:  7000 PH 2012-10-27 1458 JA3YQD        59  25     DX50DBT       59  27     0
QSO:  7000 PH 2012-10-27 1459 JA3YQD        59  25     WX7P          59  3      0
QSO:  7000 PH 2012-10-27 1501 JA3YQD        59  25     BG4HRM        59  24     0
QSO:  7000 PH 2012-10-27 1501 JA3YQD        59  25     VE7IO         59  3      0
QSO:  7000 PH 2012-10-27 1502 JA3YQD        59  25     K7ZZ          59  3      0
QSO:  7000 PH 2012-10-27 1502 JA3YQD        59  25     RW0A          59  18     0
QSO:  7000 PH 2012-10-27 1503 JA3YQD        59  25     W7SO          59  3      0
QSO:  7000 PH 2012-10-27 1504 JA3YQD        59  25     AG7N          59  3      0
QSO:  7000 PH 2012-10-27 1506 JA3YQD        59  25     BD4KYA        59  24     0
QSO:  7000 PH 2012-10-27 1508 JA3YQD        59  25     K6WS          59  3      0
QSO:  7000 PH 2012-10-27 1509 JA3YQD        59  25     WA6KHK        59  3      0
QSO:  7000 PH 2012-10-27 1512 JA3YQD        59  25     BG8GAM        59  24     0
QSO:  7000 PH 2012-10-27 1512 JA3YQD        59  25     BD4RQ         59  24     0
QSO:  7000 PH 2012-10-27 1516 JA3YQD        59  25     NK7L          59  3      0
QSO:  7000 PH 2012-10-27 1519 JA3YQD        59  25     BD2TBJ        59  24     0
QSO:  7000 PH 2012-10-27 1519 JA3YQD        59  25     BD4TS         59  24     0
QSO: 14000 PH 2012-10-27 1536 JA3YQD        59  25     VK4QH         59  30     0
QSO: 14000 PH 2012-10-27 1537 JA3YQD        59  25     V85AVE        59  28     0
QSO: 14000 PH 2012-10-27 1544 JA3YQD        59  25     DX1M          59  27     0
QSO: 14000 PH 2012-10-27 1545 JA3YQD        59  25     AH0/N0AT      59  27     0
QSO: 14000 PH 2012-10-27 1546 JA3YQD        59  25     VK7ZX         59  30     0
QSO: 14000 PH 2012-10-27 1547 JA3YQD        59  25     ZM4T          59  32     0
QSO: 14000 PH 2012-10-27 1548 JA3YQD        59  25     YB0DJ         59  28     0
QSO: 14000 PH 2012-10-27 1549 JA3YQD        59  25     9M2ZAK        59  28     0
QSO: 14000 PH 2012-10-27 1556 JA3YQD        59  25     VK6NC         59  29     0
QSO: 14000 PH 2012-10-27 1604 JA3YQD        59  25     W8ZR          59  4      0
QSO: 14000 PH 2012-10-27 1607 JA3YQD        59  25     9M6YBG        59  28     0
QSO: 14000 PH 2012-10-27 1609 JA3YQD        59  25     E21EIC        59  26     0
QSO: 14000 PH 2012-10-27 1613 JA3YQD        59  25     VE7SZ         59  3      0
QSO: 14000 PH 2012-10-27 1614 JA3YQD        59  25     YT1JA         59  15     0
QSO: 14000 PH 2012-10-27 1615 JA3YQD        59  25     AH2R          59  27     0
QSO: 14000 PH 2012-10-27 1616 JA3YQD        59  25     TF3CW         59  40     0
QSO:  7000 PH 2012-10-27 1626 JA3YQD        59  25     HS0ZCW        59  26     0
QSO:  7000 PH 2012-10-27 1629 JA3YQD        59  25     DR1A          59  14     0
QSO:  7000 PH 2012-10-27 1631 JA3YQD        59  25     UA9MA         59  17     0
QSO:  7000 PH 2012-10-27 1633 JA3YQD        59  25     SJ2W          59  14     0
QSO:  7000 PH 2012-10-27 1637 JA3YQD        59  25     VK4CT         59  30     0
QSO:  7000 PH 2012-10-27 1641 JA3YQD        59  25     RM2U          59  15     0
QSO:  7000 PH 2012-10-27 1644 JA3YQD        59  25     RC9F          59  17     0
QSO:  7000 PH 2012-10-27 1644 JA3YQD        59  25     RU0FM         59  17     0
QSO:  7000 PH 2012-10-27 1645 JA3YQD        59  25     T88KV         59  27     0
QSO:  7000 PH 2012-10-27 1647 JA3YQD        59  25     R3FF          59  16     0
QSO:  7000 PH 2012-10-27 1648 JA3YQD        59  25     RO6L          59  16     0
QSO:  7000 PH 2012-10-27 1653 JA3YQD        59  25     UA5B          59  16     0
QSO:  7000 PH 2012-10-27 1655 JA3YQD        59  25     BM0LF         59  24     0
QSO:  7000 PH 2012-10-27 1658 JA3YQD        59  25     R8MC          59  17     0
QSO: 21000 PH 2012-10-27 2247 JA3YQD        59  25     VE6JY         59  4      0
QSO: 21000 PH 2012-10-27 2248 JA3YQD        59  25     W3LPL         59  5      0
QSO: 21000 PH 2012-10-27 2250 JA3YQD        59  25     N7ZG          59  3      0
QSO: 21000 PH 2012-10-27 2250 JA3YQD        59  25     N5RZ          59  4      0
QSO: 21000 PH 2012-10-27 2251 JA3YQD        59  25     W6YX          59  3      0
QSO: 21000 PH 2012-10-27 2251 JA3YQD        59  25     N7DD          59  3      0
QSO: 21000 PH 2012-10-27 2252 JA3YQD        59  25     B7P           59  24     0
QSO: 21000 PH 2012-10-27 2253 JA3YQD        59  25     W2UA          59  5      0
QSO: 21000 PH 2012-10-27 2253 JA3YQD        59  25     YE0X          59  28     0
QSO: 21000 PH 2012-10-27 2254 JA3YQD        59  25     VE7GL         59  3      0
QSO: 21000 PH 2012-10-27 2254 JA3YQD        59  25     KH7CW         59  31     0
QSO: 21000 PH 2012-10-27 2254 JA3YQD        59  25     NK7U          59  3      0
QSO: 21000 PH 2012-10-27 2255 JA3YQD        59  25     KC1XX         59  5      0
QSO: 21000 PH 2012-10-27 2256 JA3YQD        59  25     W6AFA         59  3      0
QSO: 21000 PH 2012-10-27 2256 JA3YQD        59  25     YC1LA         59  28     0
QSO: 21000 PH 2012-10-27 2257 JA3YQD        59  25     LW6DG         59  13     0
QSO: 21000 PH 2012-10-27 2259 JA3YQD        59  25     VR2XMT        59  24     0
QSO: 21000 PH 2012-10-27 2300 JA3YQD        59  25     KA3DRR        59  3      0
QSO: 21000 PH 2012-10-27 2300 JA3YQD        59  25     KW8N          59  4      0
QSO: 21000 PH 2012-10-27 2301 JA3YQD        59  25     RU0FM         59  19     0
QSO: 21000 PH 2012-10-27 2302 JA3YQD        59  25     W0AIH         59  4      0
QSO: 28000 PH 2012-10-27 2303 JA3YQD        59  25     K7SS          59  3      0
QSO: 28000 PH 2012-10-27 2304 JA3YQD        59  25     K0HA          59  4      0
QSO: 28000 PH 2012-10-27 2305 JA3YQD        59  25     ZW5B          59  11     0
QSO: 28000 PH 2012-10-27 2306 JA3YQD        59  25     AH2R          59  27     0
QSO: 28000 PH 2012-10-27 2307 JA3YQD        59  25     NJ7I          59  3      0
QSO: 28000 PH 2012-10-27 2308 JA3YQD        59  25     YE2R          59  28     0
QSO: 28000 PH 2012-10-27 2309 JA3YQD        59  25     PQ8B          59  11     0
QSO: 28000 PH 2012-10-27 2312 JA3YQD        59  25     K6EZ          59  3      0
QSO: 28000 PH 2012-10-27 2313 JA3YQD        59  25     K9CT          59  4      0
QSO: 28000 PH 2012-10-27 2314 JA3YQD        59  25     PX5E          59  11     0
QSO: 28000 PH 2012-10-27 2314 JA3YQD        59  25     DU3/N0QM      59  27     0
QSO: 28000 PH 2012-10-27 2315 JA3YQD        59  25     N8OO          59  4      0
QSO: 28000 PH 2012-10-27 2315 JA3YQD        59  25     LU7YZ         59  13     0
QSO: 28000 PH 2012-10-27 2316 JA3YQD        59  25     N6JV          59  3      0
QSO: 28000 PH 2012-10-27 2316 JA3YQD        59  25     AH0BT         59  27     0
QSO: 28000 PH 2012-10-27 2317 JA3YQD        59  25     W6YI          59  03     0
QSO: 28000 PH 2012-10-27 2317 JA3YQD        59  25     NN3V          59  3      0
QSO: 28000 PH 2012-10-27 2318 JA3YQD        59  25     LU5CAB        59  13     0
QSO: 28000 PH 2012-10-27 2319 JA3YQD        59  25     N7ZG          59  3      0
QSO: 28000 PH 2012-10-27 2320 JA3YQD        59  25     N5AW          59  4      0
QSO: 28000 PH 2012-10-27 2320 JA3YQD        59  25     W7AT          59  3      0
QSO: 28000 PH 2012-10-27 2322 JA3YQD        59  25     W5PR          59  4      0
QSO: 28000 PH 2012-10-27 2322 JA3YQD        59  25     KG9N          59  4      0
QSO: 28000 PH 2012-10-27 2323 JA3YQD        59  25     VE7BC         59  3      0
QSO: 28000 PH 2012-10-27 2324 JA3YQD        59  25     WB9Z          59  4      0
QSO: 28000 PH 2012-10-27 2324 JA3YQD        59  25     K9LJN         59  4      0
QSO: 28000 PH 2012-10-27 2325 JA3YQD        59  25     W6XB          59  3      0
QSO: 28000 PH 2012-10-27 2325 JA3YQD        59  25     W7PRC         59  3      0
QSO: 28000 PH 2012-10-27 2325 JA3YQD        59  25     VA7FC         59  3      0
QSO: 28000 PH 2012-10-27 2328 JA3YQD        59  25     N6RV          59  3      0
QSO: 28000 PH 2012-10-27 2330 JA3YQD        59  25     VA7OM         59  3      0
QSO: 28000 PH 2012-10-27 2331 JA3YQD        59  25     WW7D          59  3      0
QSO: 28000 PH 2012-10-27 2331 JA3YQD        59  25     VE8GER        59  1      0
QSO: 28000 PH 2012-10-27 2332 JA3YQD        59  25     KX7L          59  3      0
QSO: 28000 PH 2012-10-27 2334 JA3YQD        59  25     UA0OD         59  18     0
QSO: 28000 PH 2012-10-27 2334 JA3YQD        59  25     K7JAN         59  3      0
QSO: 28000 PH 2012-10-27 2334 JA3YQD        59  25     N6ZM          59  3      0
QSO: 28000 PH 2012-10-27 2337 JA3YQD        59  25     N0VD          59  4      0
QSO: 28000 PH 2012-10-27 2347 JA3YQD        59  25     RA0QW         59  17     0
QSO: 28000 PH 2012-10-27 2347 JA3YQD        59  25     VE7GL         59  3      0
QSO: 28000 PH 2012-10-27 2349 JA3YQD        59  25     K5OR          59  3      0
QSO: 28000 PH 2012-10-27 2350 JA3YQD        59  25     YB2ECB        59  28     0
QSO: 28000 PH 2012-10-27 2351 JA3YQD        59  25     N5DX          59  4      0
QSO: 28000 PH 2012-10-27 2352 JA3YQD        59  25     KN7K          59  3      0
QSO: 28000 PH 2012-10-27 2352 JA3YQD        59  25     K6XX          59  03     0
QSO: 28000 PH 2012-10-27 2354 JA3YQD        59  25     K7JQ          59  3      0
QSO: 28000 PH 2012-10-27 2358 JA3YQD        59  25     W0BV          59  4      0
QSO: 28000 PH 2012-10-28 0003 JA3YQD        59  25     N7DR          59  4      0
QSO: 28000 PH 2012-10-28 0005 JA3YQD        59  25     W7DR          59  3      0
QSO: 28000 PH 2012-10-28 0005 JA3YQD        59  25     K2PO          59  3      0
QSO: 28000 PH 2012-10-28 0008 JA3YQD        59  25     KJ6OHI        57  3      0
QSO: 28000 PH 2012-10-28 0009 JA3YQD        59  25     W7OM          59  3      0
QSO: 28000 PH 2012-10-28 0012 JA3YQD        59  25     LU1FQ         59  13     0
QSO: 28000 PH 2012-10-28 0014 JA3YQD        59  25     VE7WWW        59  3      0
QSO: 28000 PH 2012-10-28 0015 JA3YQD        59  25     AA7A          59  3      0
QSO: 28000 PH 2012-10-28 0015 JA3YQD        59  25     VK4MN         59  30     0
QSO: 28000 PH 2012-10-28 0015 JA3YQD        59  25     KQ0C          59  4      0
QSO: 28000 PH 2012-10-28 0016 JA3YQD        59  25     N6QQ          59  3      0
QSO: 28000 PH 2012-10-28 0017 JA3YQD        59  25     KF7VKD        59  3      0
QSO: 28000 PH 2012-10-28 0017 JA3YQD        59  25     K7WP          59  3      0
QSO: 28000 PH 2012-10-28 0017 JA3YQD        59  25     AL9A          59  1      0
QSO: 28000 PH 2012-10-28 0018 JA3YQD        59  25     N7TE          59  3      0
QSO: 28000 PH 2012-10-28 0018 JA3YQD        59  25     N0IJ          59  4      0
QSO: 28000 PH 2012-10-28 0019 JA3YQD        59  25     KT0DX         59  4      0
QSO: 28000 PH 2012-10-28 0019 JA3YQD        59  25     K6MMU         59  3      0
QSO: 28000 PH 2012-10-28 0020 JA3YQD        59  25     VA7BEC        59  3      0
QSO: 28000 PH 2012-10-28 0021 JA3YQD        59  25     W7ZR          59  3      0
QSO: 28000 PH 2012-10-28 0021 JA3YQD        59  25     W5GN          59  4      0
QSO: 28000 PH 2012-10-28 0021 JA3YQD        59  25     W6UW          59  3      0
QSO: 28000 PH 2012-10-28 0022 JA3YQD        59  25     PY3APY        59  11     0
QSO: 28000 PH 2012-10-28 0022 JA3YQD        59  25     ZL2WB         59  32     0
QSO: 28000 PH 2012-10-28 0023 JA3YQD        59  25     WD5K          59  4      0
QSO: 28000 PH 2012-10-28 0024 JA3YQD        59  25     K6RTC         59  3      0
QSO: 28000 PH 2012-10-28 0024 JA3YQD        59  25     NK7U          59  3      0
QSO: 28000 PH 2012-10-28 0024 JA3YQD        59  25     YB3IZK        59  28     0
QSO: 28000 PH 2012-10-28 0026 JA3YQD        59  25     N5LUL         59  4      0
QSO: 28000 PH 2012-10-28 0026 JA3YQD        59  25     KD7MSC        59  3      0
QSO: 28000 PH 2012-10-28 0027 JA3YQD        59  25     W7XQ          59  3      0
QSO: 28000 PH 2012-10-28 0028 JA3YQD        59  25     LU1DR         59  13     0
QSO: 28000 PH 2012-10-28 0028 JA3YQD        59  25     W8BFX         59  4      0
QSO: 28000 PH 2012-10-28 0029 JA3YQD        59  25     K6UD          59  3      0
QSO: 28000 PH 2012-10-28 0030 JA3YQD        59  25     KA6BLW        59  3      0
QSO: 28000 PH 2012-10-28 0030 JA3YQD        59  25     BG8GAM        59  24     0
QSO: 28000 PH 2012-10-28 0031 JA3YQD        59  25     KX7P          59  3      0
QSO: 28000 PH 2012-10-28 0032 JA3YQD        59  25     KD5JAA        59  4      0
QSO: 28000 PH 2012-10-28 0034 JA3YQD        59  25     KU7Z          59  3      0
QSO: 28000 PH 2012-10-28 0034 JA3YQD        59  25     PX3X          59  11     0
QSO: 28000 PH 2012-10-28 0035 JA3YQD        59  25     LU6FHO        59  13     0
QSO: 28000 PH 2012-10-28 0036 JA3YQD        59  25     NC7M          59  3      0
QSO: 28000 PH 2012-10-28 0036 JA3YQD        59  25     W7CWR         59  3      0
QSO: 28000 PH 2012-10-28 0037 JA3YQD        59  25     W5GAI         59  4      0
QSO: 28000 PH 2012-10-28 0037 JA3YQD        59  25     LT2H          59  13     0
QSO: 28000 PH 2012-10-28 0039 JA3YQD        59  25     BH7PFH        59  24     0
QSO: 28000 PH 2012-10-28 0039 JA3YQD        59  25     AF6WF         59  3      0
QSO: 28000 PH 2012-10-28 0040 JA3YQD        59  25     KD6KA         59  3      0
QSO: 28000 PH 2012-10-28 0041 JA3YQD        59  25     BG3NUI        59  24     0
QSO: 28000 PH 2012-10-28 0043 JA3YQD        59  25     AA6EE         59  3      0
QSO: 28000 PH 2012-10-28 0044 JA3YQD        59  25     NC0B          59  4      0
QSO: 21000 PH 2012-10-28 0046 JA3YQD        59  25     VA7ST         59  3      0
QSO: 21000 PH 2012-10-28 0047 JA3YQD        59  25     K5TR          59  4      0
QSO: 21000 PH 2012-10-28 0048 JA3YQD        59  25     PQ5B          59  11     0
QSO: 21000 PH 2012-10-28 0048 JA3YQD        59  25     DX1M          59  27     0
QSO: 21000 PH 2012-10-28 0049 JA3YQD        59  25     K3EST         59  3      0
QSO: 21000 PH 2012-10-28 0050 JA3YQD        59  25     VA7OM         59  3      0
QSO: 21000 PH 2012-10-28 0050 JA3YQD        59  25     W1YY/7        59  3      0
QSO: 21000 PH 2012-10-28 0051 JA3YQD        59  25     KJ5T          59  4      0
QSO: 21000 PH 2012-10-28 0052 JA3YQD        59  25     BY1CW         59  24     0
QSO: 21000 PH 2012-10-28 0052 JA3YQD        59  25     KV0Q          59  4      0
QSO: 21000 PH 2012-10-28 0053 JA3YQD        59  25     BV2A/4        59  24     0
QSO: 21000 PH 2012-10-28 0057 JA3YQD        59  25     W6PH          59  3      0
QSO: 21000 PH 2012-10-28 0057 JA3YQD        59  25     BY5CD         59  24     0
QSO: 21000 PH 2012-10-28 0100 JA3YQD        59  25     9M2CQC        59  28     0
END-OF-LOG:
