START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA2BD
CLUB: 
CONTEST: EA-CNCW
CATEGORY: SINGLE-OP 20M
CLAIMED-SCORE: 910
OPERATORS: EA2BD
NAME: Ignacio Cascante
SOAPBOX: Participo en 20m monobanda, resto de bandas checklist.
SOAPBOX: Solo un ratito este año. Gracias por la organizacion, 73
QSO: 14000 CW 2015-07-19 0836 EA2BD         599 NA     EA1FCH        599 LU
QSO: 14000 CW 2015-07-19 0837 EA2BD         599 NA     EA7EGU        599 MA
QSO: 14000 CW 2015-07-19 0840 EA2BD         599 NA     EA4ZM         599 M
QSO: 14000 CW 2015-07-19 0843 EA2BD         599 NA     EA7IA         599 SE
QSO: 14000 CW 2015-07-19 0844 EA2BD         599 NA     EA5FV         599 MU
QSO: 14000 CW 2015-07-19 0844 EA2BD         599 NA     EA5WU         599 CS
QSO: 14000 CW 2015-07-19 0847 EA2BD         599 NA     EC7ABV        599 CA
QSO: 14000 CW 2015-07-19 0850 EA2BD         599 NA     EA7AZA        599 CA
QSO: 14000 CW 2015-07-19 0850 EA2BD         599 NA     EA7GV         599 GR
QSO: 14000 CW 2015-07-19 0854 EA2BD         599 NA     EC7RC         599 AL
QSO: 14000 CW 2015-07-19 0855 EA2BD         599 NA     EA5HT         599 MU
QSO: 14000 CW 2015-07-19 0856 EA2BD         599 NA     EA4RE         599 M
QSO: 14000 CW 2015-07-19 0858 EA2BD         599 NA     EA6ZS         599 IB
QSO: 14000 CW 2015-07-19 0900 EA2BD         599 NA     EA5DCL/P      599 AL
QSO: 14000 CW 2015-07-19 0901 EA2BD         599 NA     EA4KE         599 M
QSO: 14000 CW 2015-07-19 0904 EA2BD         599 NA     EA1CYH        599 AV
QSO: 14000 CW 2015-07-19 0904 EA2BD         599 NA     EA4EQD        599 M
QSO: 14000 CW 2015-07-19 0905 EA2BD         599 NA     EA5SM         599 A
QSO: 14000 CW 2015-07-19 0905 EA2BD         599 NA     EA4CA         599 M
QSO: 14000 CW 2015-07-19 0906 EA2BD         599 NA     EA1BYA        599 SG
QSO: 14000 CW 2015-07-19 0907 EA2BD         599 NA     EA4URE        599 HQ
QSO: 14000 CW 2015-07-19 0908 EA2BD         599 NA     EA5FID        599 A
QSO: 14000 CW 2015-07-19 0909 EA2BD         599 NA     EA4UB         599 TO
QSO: 14000 CW 2015-07-19 0910 EA2BD         599 NA     EA5FQF        599 A
END-OF-LOG: 



