START-OF-LOG: 3.0
CALLSIGN: G5O
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2251535
NAME: Kieron Murphy
LOCATION: DX
OPERATORS: G3SHF G0LZL G0SYP M5KJM M0DCG M0TJU M1PTR
CLUB: G5O Contest Group
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Enjoyable contest with some good openings on the lower bands.
QSO:  7178 PH 2016-10-29 0024 G5O           59  14     HG1S          59  15     1
QSO:  7173 PH 2016-10-29 0026 G5O           59  14     EK6SI         59  21     1
QSO:  7169 PH 2016-10-29 0027 G5O           59  14     9A1A          59  15     1
QSO:  7163 PH 2016-10-29 0030 G5O           59  14     YT5A          59  15     1
QSO:  7157 PH 2016-10-29 0031 G5O           59  14     4L0A          59  21     1
QSO:  7148 PH 2016-10-29 0033 G5O           59  14     S53M          59  15     1
QSO:  7145 PH 2016-10-29 0035 G5O           59  14     US1I          59  16     1
QSO:  7134 PH 2016-10-29 0036 G5O           59  14     UW1M          59  16     1
QSO:  7127 PH 2016-10-29 0037 G5O           59  14     IO5O          59  15     1
QSO:  7124 PH 2016-10-29 0038 G5O           59  14     9A9R          59  15     1
QSO:  7115 PH 2016-10-29 0039 G5O           59  14     SZ1A          59  20     1
QSO:  7000 PH 2016-10-29 0244 G5O           59  14     OH2BR         59  15     1
QSO:  7000 PH 2016-10-29 0246 G5O           59  14     OM8A          59  15     1
QSO:  7000 PH 2016-10-29 0247 G5O           59  14     YO9HP         59  20     1
QSO:  7113 PH 2016-10-29 0249 G5O           59  14     TC3P          59  20     1
QSO:  7121 PH 2016-10-29 0251 G5O           59  14     SK3W          59  14     1
QSO:  7121 PH 2016-10-29 0252 G5O           59  14     TC0F          59  20     1
QSO:  7121 PH 2016-10-29 0252 G5O           59  14     LZ7M          59  20     1
QSO:  7121 PH 2016-10-29 0252 G5O           59  14     EF8R          59  33     1
QSO:  7121 PH 2016-10-29 0253 G5O           59  14     TM5X          59  14     1
QSO:  7121 PH 2016-10-29 0254 G5O           59  14     IZ8LNG        59  15     1
QSO:  7121 PH 2016-10-29 0254 G5O           59  14     Z31RA         59  15     1
QSO:  7121 PH 2016-10-29 0255 G5O           59  14     RM3F          59  16     1
QSO:  7121 PH 2016-10-29 0255 G5O           59  14     IO7K          59  15     1
QSO:  7121 PH 2016-10-29 0255 G5O           59  14     SO4R          59  15     1
QSO:  7121 PH 2016-10-29 0256 G5O           59  14     Z36N          59  15     1
QSO:  7120 PH 2016-10-29 0259 G5O           59  14     RC9O          59  18     1
QSO:  3780 PH 2016-10-29 0301 G5O           59  14     DL1A          59  14     1
QSO:  7069 PH 2016-10-29 0306 G5O           59  14     UZ3A          59  16     1
QSO:  7073 PH 2016-10-29 0307 G5O           59  14     RA9Y          59  18     1
QSO:  7078 PH 2016-10-29 0308 G5O           59  14     R4RE          59  16     1
QSO:  7080 PH 2016-10-29 0309 G5O           59  14     SN3A          59  15     1
QSO:  7133 PH 2016-10-29 0315 G5O           59  14     OZ7X          59  14     1
QSO:  7154 PH 2016-10-29 0316 G5O           59  14     UP2L          59  17     1
QSO:  7185 PH 2016-10-29 0322 G5O           59  14     CN2R          59  33     1
QSO:  7191 PH 2016-10-29 0324 G5O           59  14     RU1A          59  16     1
QSO:  7193 PH 2016-10-29 0324 G5O           59  14     OK7W          59  15     1
QSO:  7197 PH 2016-10-29 0325 G5O           59  14     UA2F          59  15     1
QSO:  7054 PH 2016-10-29 0328 G5O           59  14     4Z5LY         59  20     1
QSO:  7056 PH 2016-10-29 0328 G5O           59  14     8P5A          59  08     1
QSO:  7069 PH 2016-10-29 0331 G5O           59  14     SV5/DL6MHW    59  20     1
QSO:  7083 PH 2016-10-29 0332 G5O           59  14     RT4F          59  16     1
QSO:  7086 PH 2016-10-29 0332 G5O           59  14     LN1B          59  14     1
QSO:  7095 PH 2016-10-29 0336 G5O           59  14     OH0Z          59  15     1
QSO:  7098 PH 2016-10-29 0336 G5O           59  14     RL5A          59  16     1
QSO:  7100 PH 2016-10-29 0338 G5O           59  14     SV1KYC        59  20     1
QSO:  7100 PH 2016-10-29 0340 G5O           59  14     HZ1HZ         59  21     1
QSO:  7164 PH 2016-10-29 0343 G5O           59  14     LY4A          59  15     1
QSO:  7194 PH 2016-10-29 0346 G5O           59  14     EA9LZ         59  33     1
QSO:  7172 PH 2016-10-29 0352 G5O           59  14     CN3R          59  33     1
QSO:  7166 PH 2016-10-29 0353 G5O           59  14     HG7T          59  15     1
QSO:  7141 PH 2016-10-29 0354 G5O           59  14     CN3A          59  33     1
QSO:  7134 PH 2016-10-29 0355 G5O           59  14     UA4M          59  16     1
QSO: 14211 PH 2016-10-29 0406 G5O           59  14     VU2RCT        59  22     1
QSO: 14248 PH 2016-10-29 0407 G5O           59  14     OH5NQ         59  15     1
QSO: 14274 PH 2016-10-29 0408 G5O           59  14     OK1NP         59  15     1
QSO: 14200 PH 2016-10-29 0418 G5O           59  14     YT0W          59  15     1
QSO: 14220 PH 2016-10-29 0419 G5O           59  14     OZ2RF         59  14     1
QSO: 14258 PH 2016-10-29 0424 G5O           59  14     OH1XFE        59  15     1
QSO: 14258 PH 2016-10-29 0428 G5O           59  14     G6BDV/P       59  14     1
QSO: 14258 PH 2016-10-29 0433 G5O           59  14     EV1R          59  16     1
QSO: 14258 PH 2016-10-29 0443 G5O           59  14     SP4PBI        59  15     1
QSO: 14217 PH 2016-10-29 0450 G5O           59  14     DP6T          59  14     1
QSO: 14270 PH 2016-10-29 0453 G5O           59  14     G6LD          59  14     1
QSO: 14244 PH 2016-10-29 0454 G5O           59  14     M6T           59  14     1
QSO: 14232 PH 2016-10-29 0457 G5O           59  14     OH2CK         59  15     1
QSO: 14232 PH 2016-10-29 0459 G5O           59  14     EW2A          59  16     1
QSO: 14276 PH 2016-10-29 0506 G5O           59  14     C4A           59  20     1
QSO: 14240 PH 2016-10-29 0508 G5O           59  14     TM4L          59  14     1
QSO: 14218 PH 2016-10-29 0509 G5O           59  14     DK3T          59  14     1
QSO: 14239 PH 2016-10-29 0511 G5O           59  14     LY2MM         59  15     1
QSO: 14271 PH 2016-10-29 0512 G5O           59  14     LY60KTU       59  15     1
QSO:  7088 PH 2016-10-29 0521 G5O           59  14     YT0A          59  15     0
QSO:  7102 PH 2016-10-29 0524 G5O           59  14     OK7K          59  15     0
QSO:  7161 PH 2016-10-29 0526 G5O           59  14     TI5W          59  07     0
QSO:  7167 PH 2016-10-29 0528 G5O           59  14     J42T          59  20     0
QSO: 14215 PH 2016-10-29 0534 G5O           59  14     SO4R          59  15     1
QSO: 14193 PH 2016-10-29 0536 G5O           59  14     YM7KA         59  20     1
QSO: 14252 PH 2016-10-29 0545 G5O           59  14     9K2HN         59  21     1
QSO: 14167 PH 2016-10-29 0556 G5O           59  14     4Z5LY         59  20     1
QSO: 14184 PH 2016-10-29 0559 G5O           59  14     4K7K          59  21     1
QSO: 14190 PH 2016-10-29 0601 G5O           59  14     A61HA         59  21     1
QSO: 14271 PH 2016-10-29 0604 G5O           59  14     4L2M          59  21     1
QSO: 14294 PH 2016-10-29 0606 G5O           59  14     SV8/DK3SJ     59  20     1
QSO: 14294 PH 2016-10-29 0608 G5O           59  14     DP6A          59  14     1
QSO: 14294 PH 2016-10-29 0613 G5O           59  14     SV1KYC        59  20     1
QSO: 14294 PH 2016-10-29 0613 G5O           59  14     LZ1DM         59  20     1
QSO: 14294 PH 2016-10-29 0615 G5O           59  14     LZ2WNW        59  20     1
QSO: 14294 PH 2016-10-29 0619 G5O           59  14     R7AB          59  16     1
QSO: 14294 PH 2016-10-29 0623 G5O           59  14     YU3EEA        59  15     1
QSO: 14294 PH 2016-10-29 0624 G5O           59  14     LZ3SD         59  20     1
QSO: 14294 PH 2016-10-29 0626 G5O           59  14     LZ5XQ         59  20     1
QSO: 14294 PH 2016-10-29 0627 G5O           59  14     P33W          59  20     1
QSO: 14320 PH 2016-10-29 0634 G5O           59  14     RU6YK         59  16     1
QSO: 14295 PH 2016-10-29 0641 G5O           59  14     IR8P          59  15     1
QSO: 14291 PH 2016-10-29 0641 G5O           59  14     DL0CS         59  14     1
QSO: 14279 PH 2016-10-29 0644 G5O           59  14     Z33C          59  15     1
QSO: 14255 PH 2016-10-29 0646 G5O           59  14     A62A          59  21     1
QSO: 14262 PH 2016-10-29 0647 G5O           59  14     IO9A          59  15     1
QSO: 14222 PH 2016-10-29 0649 G5O           59  14     LZ2JA         59  20     1
QSO: 14200 PH 2016-10-29 0651 G5O           59  14     4O3A          59  15     1
QSO: 14196 PH 2016-10-29 0652 G5O           59  14     LZ5R          59  20     1
QSO: 14178 PH 2016-10-29 0653 G5O           59  14     J42T          59  20     1
QSO: 14176 PH 2016-10-29 0653 G5O           59  14     UW2M          59  16     1
QSO: 14175 PH 2016-10-29 0654 G5O           59  14     YT5X          59  15     1
QSO: 14173 PH 2016-10-29 0654 G5O           59  14     9A50CBM       59  15     1
QSO: 14170 PH 2016-10-29 0655 G5O           59  14     R7CA          59  16     1
QSO: 14166 PH 2016-10-29 0656 G5O           59  14     UR3GU         59  16     1
QSO: 14161 PH 2016-10-29 0657 G5O           59  14     IW8DQY        59  15     1
QSO: 14159 PH 2016-10-29 0658 G5O           59  14     SX1S          59  20     1
QSO: 14156 PH 2016-10-29 0658 G5O           59  14     YP0C          59  20     1
QSO: 14152 PH 2016-10-29 0659 G5O           59  14     MD7C          59  14     1
QSO: 14123 PH 2016-10-29 0701 G5O           59  14     YQ6A          59  20     1
QSO: 14271 PH 2016-10-29 0704 G5O           59  14     GW4ZAR        59  14     1
QSO:  7110 PH 2016-10-29 0754 G5O           59  14     ZM4T          59  32     0
QSO:  7118 PH 2016-10-29 0754 G5O           59  14     CR6P          59  14     0
QSO:  7130 PH 2016-10-29 0756 G5O           59  14     WE3C          59  05     0
QSO:  7000 PH 2016-10-29 0800 G5O           59  14     N1UR          59  05     0
QSO:  7000 PH 2016-10-29 0801 G5O           59  14     KC1XX         59  05     0
QSO:  7000 PH 2016-10-29 0802 G5O           59  14     K1LZ          59  05     0
QSO:  7000 PH 2016-10-29 0804 G5O           59  14     N5DX          59  05     0
QSO:  7000 PH 2016-10-29 0804 G5O           59  14     DF0HQ         59  14     0
QSO:  7000 PH 2016-10-29 0806 G5O           59  14     9A9A          59  15     0
QSO:  7000 PH 2016-10-29 0808 G5O           59  14     DP6T          59  14     0
QSO:  7000 PH 2016-10-29 0809 G5O           59  14     CN2AA         59  33     0
QSO:  7000 PH 2016-10-29 0810 G5O           59  14     WW4LL         59  05     0
QSO:  7000 PH 2016-10-29 0812 G5O           59  14     S56X          59  15     0
QSO: 14000 PH 2016-10-29 0815 G5O           59  14     LZ1KU         59  20     1
QSO: 14000 PH 2016-10-29 0816 G5O           59  14     UY5ZZ         59  16     1
QSO:  7153 PH 2016-10-29 0818 G5O           59  14     SG6T          59  14     0
QSO: 14000 PH 2016-10-29 0819 G5O           59  14     RK9AX         59  17     1
QSO: 14000 PH 2016-10-29 0819 G5O           59  14     R9CL          59  17     1
QSO:  7153 PH 2016-10-29 0820 G5O           59  14     F6FTB         59  14     0
QSO: 14000 PH 2016-10-29 0820 G5O           59  14     IR8C          59  15     1
QSO:  7153 PH 2016-10-29 0820 G5O           59  14     SP2KPD        59  15     0
QSO:  7153 PH 2016-10-29 0820 G5O           59  14     DJ9MH         59  14     0
QSO:  7153 PH 2016-10-29 0821 G5O           59  14     SE4E          59  14     0
QSO: 14000 PH 2016-10-29 0821 G5O           59  14     RT5Z          59  16     1
QSO:  7153 PH 2016-10-29 0822 G5O           59  14     DJ3OS         59  14     0
QSO:  7153 PH 2016-10-29 0822 G5O           59  14     IN3IKF        59  15     0
QSO: 14321 PH 2016-10-29 0823 G5O           59  14     OM8A          59  15     1
QSO:  7153 PH 2016-10-29 0823 G5O           59  14     DL1NKS        59  14     0
QSO:  7153 PH 2016-10-29 0823 G5O           59  14     DL5RU         59  14     0
QSO:  7153 PH 2016-10-29 0824 G5O           59  14     I5DOF         59  15     0
QSO: 14302 PH 2016-10-29 0824 G5O           59  14     HG8R          59  15     1
QSO: 14300 PH 2016-10-29 0825 G5O           59  14     U5TT          59  16     1
QSO:  7153 PH 2016-10-29 0826 G5O           59  14     HB9GFP        59  14     0
QSO:  7153 PH 2016-10-29 0827 G5O           59  14     DL6RAI        59  14     0
QSO:  7153 PH 2016-10-29 0828 G5O           59  14     DM2GM         59  14     0
QSO:  7153 PH 2016-10-29 0828 G5O           59  14     SP1JQJ        59  15     0
QSO:  7153 PH 2016-10-29 0828 G5O           59  14     W3LPL         59  05     0
QSO: 14292 PH 2016-10-29 0831 G5O           59  14     E7DX          59  15     1
QSO: 14289 PH 2016-10-29 0831 G5O           59  14     S53M          59  15     1
QSO:  7153 PH 2016-10-29 0832 G5O           59  14     HB9CIC        59  14     0
QSO:  7153 PH 2016-10-29 0832 G5O           59  14     W4RM          59  05     0
QSO:  7153 PH 2016-10-29 0833 G5O           59  14     EA5ILS        59  14     0
QSO: 14283 PH 2016-10-29 0833 G5O           59  14     TC0F          59  20     1
QSO:  7153 PH 2016-10-29 0833 G5O           59  14     W4AAW         59  05     0
QSO: 14281 PH 2016-10-29 0834 G5O           59  14     HG6N          59  15     1
QSO: 14276 PH 2016-10-29 0834 G5O           59  14     HG7T          59  15     1
QSO:  7153 PH 2016-10-29 0834 G5O           59  14     OK2FD         59  15     0
QSO: 14275 PH 2016-10-29 0834 G5O           59  14     SN8B          59  15     1
QSO:  7153 PH 2016-10-29 0835 G5O           59  14     OK6AA         59  15     0
QSO:  7153 PH 2016-10-29 0835 G5O           59  14     LA1LO         59  14     0
QSO: 14272 PH 2016-10-29 0835 G5O           59  14     ED7O          59  14     1
QSO:  7142 PH 2016-10-29 0837 G5O           59  14     N1IXF         59  05     0
QSO:  7144 PH 2016-10-29 0838 G5O           59  14     K3LR          59  05     0
QSO: 14262 PH 2016-10-29 0839 G5O           59  14     SP9KAO        59  15     1
QSO: 14259 PH 2016-10-29 0840 G5O           59  14     IZ8FDG        59  15     1
QSO: 14256 PH 2016-10-29 0840 G5O           59  14     UZ3A          59  16     1
QSO: 14255 PH 2016-10-29 0840 G5O           59  14     RM3DA         59  16     1
QSO: 14254 PH 2016-10-29 0841 G5O           59  14     YP7P          59  20     1
QSO: 14249 PH 2016-10-29 0841 G5O           59  14     TK9R          59  15     1
QSO: 14234 PH 2016-10-29 0842 G5O           59  14     IR6T          59  15     1
QSO: 14232 PH 2016-10-29 0844 G5O           59  14     CN2R          59  33     1
QSO: 14221 PH 2016-10-29 0845 G5O           59  14     UA3RC         59  16     1
QSO: 14215 PH 2016-10-29 0846 G5O           59  14     RT5K          59  16     1
QSO: 14213 PH 2016-10-29 0846 G5O           59  14     RT9J          59  17     1
QSO: 14211 PH 2016-10-29 0847 G5O           59  14     LZ9W          59  20     1
QSO: 14208 PH 2016-10-29 0847 G5O           59  14     YT5A          59  15     1
QSO: 14201 PH 2016-10-29 0850 G5O           59  14     SZ1A          59  20     1
QSO: 14200 PH 2016-10-29 0851 G5O           59  14     IT9HBT        59  15     1
QSO: 14194 PH 2016-10-29 0852 G5O           59  14     IZ5WTV        59  15     1
QSO: 14189 PH 2016-10-29 0853 G5O           59  14     SV3AQR        59  20     1
QSO: 14187 PH 2016-10-29 0854 G5O           59  14     CR3A          59  33     1
QSO: 14181 PH 2016-10-29 0855 G5O           59  14     EA9KB         59  33     1
QSO: 14172 PH 2016-10-29 0856 G5O           59  14     IR6A          59  15     1
QSO: 14169 PH 2016-10-29 0856 G5O           59  14     R8CT          59  17     1
QSO: 14167 PH 2016-10-29 0856 G5O           59  14     RZ6L          59  16     1
QSO: 14159 PH 2016-10-29 0857 G5O           59  14     IK4DCX        59  15     1
QSO: 14143 PH 2016-10-29 0859 G5O           59  14     IS0BSR        59  15     1
QSO: 14140 PH 2016-10-29 0900 G5O           59  14     RN3TT         59  16     1
QSO: 14137 PH 2016-10-29 0900 G5O           59  14     CR5T          59  14     1
QSO: 14135 PH 2016-10-29 0901 G5O           59  14     EA4TD         59  14     1
QSO: 14129 PH 2016-10-29 0901 G5O           59  14     Z36N          59  15     1
QSO: 14126 PH 2016-10-29 0901 G5O           59  14     IZ4JMA        59  15     1
QSO: 14123 PH 2016-10-29 0902 G5O           59  14     9A1A          59  15     1
QSO: 14107 PH 2016-10-29 0903 G5O           59  14     CN2AA         59  33     1
QSO: 14229 PH 2016-10-29 0905 G5O           59  14     UA6YN         59  16     1
QSO: 14190 PH 2016-10-29 0907 G5O           59  14     UA3RKK        59  16     1
QSO: 14190 PH 2016-10-29 0907 G5O           59  14     IZ3DVU        59  15     1
QSO:  7149 PH 2016-10-29 0907 G5O           59  14     9A7A          59  15     0
QSO: 14190 PH 2016-10-29 0907 G5O           59  14     EU4AX         59  16     1
QSO: 14190 PH 2016-10-29 0907 G5O           59  14     IR9Z          59  15     1
QSO: 14190 PH 2016-10-29 0908 G5O           59  14     RA3R          59  16     1
QSO:  7151 PH 2016-10-29 0908 G5O           59  14     F4GLK         59  14     0
QSO:  7151 PH 2016-10-29 0909 G5O           59  14     G4UCT         59  14     0
QSO:  7151 PH 2016-10-29 0910 G5O           59  14     PA1AK         59  14     0
QSO: 14190 PH 2016-10-29 0911 G5O           59  14     ZL3LF         59  32     1
QSO:  7151 PH 2016-10-29 0912 G5O           59  14     IZ4XAI        59  15     0
QSO: 14190 PH 2016-10-29 0914 G5O           59  14     RA9JBA        59  17     1
QSO:  7151 PH 2016-10-29 0914 G5O           59  14     OK1GS         59  15     0
QSO: 14190 PH 2016-10-29 0914 G5O           59  14     SQ5WAJ        59  15     1
QSO:  7151 PH 2016-10-29 0915 G5O           59  14     F4KJQ         59  14     0
QSO: 14190 PH 2016-10-29 0915 G5O           59  14     UN7CN         59  17     1
QSO: 14190 PH 2016-10-29 0916 G5O           59  14     UA9JDP        59  17     1
QSO: 14190 PH 2016-10-29 0917 G5O           59  14     UC4I          59  16     1
QSO: 14190 PH 2016-10-29 0921 G5O           59  14     BA4TB         59  24     1
QSO:  7195 PH 2016-10-29 0924 G5O           59  14     F5ASD         59  14     0
QSO: 14190 PH 2016-10-29 0925 G5O           59  14     IB1K          59  15     1
QSO: 14190 PH 2016-10-29 0925 G5O           59  14     UP2L          59  17     1
QSO: 14190 PH 2016-10-29 0926 G5O           59  14     SP5IVC        59  15     1
QSO:  7190 PH 2016-10-29 0926 G5O           59  14     IN3EYI        59  15     0
QSO: 14190 PH 2016-10-29 0927 G5O           59  14     RW4C          59  16     1
QSO: 14190 PH 2016-10-29 0928 G5O           59  14     R9AAL         59  17     1
QSO: 14190 PH 2016-10-29 0929 G5O           59  14     R9AM          59  17     1
QSO:  7184 PH 2016-10-29 0929 G5O           59  14     M6T           59  14     0
QSO: 14190 PH 2016-10-29 0929 G5O           59  14     RA4W          59  16     1
QSO:  7180 PH 2016-10-29 0930 G5O           59  14     EA0AGA        59  14     0
QSO: 14190 PH 2016-10-29 0930 G5O           59  14     UA9R          59  17     1
QSO: 14190 PH 2016-10-29 0930 G5O           59  14     UP9L          59  17     1
QSO:  7173 PH 2016-10-29 0932 G5O           59  14     LZ9W          59  20     0
QSO: 14190 PH 2016-10-29 0932 G5O           59  14     UB4WAW        59  16     1
QSO:  7171 PH 2016-10-29 0933 G5O           59  14     OZ1JVX        59  14     0
QSO: 14190 PH 2016-10-29 0934 G5O           59  14     UA9FLK        59  17     1
QSO:  7171 PH 2016-10-29 0934 G5O           59  14     ON6QZ         59  14     0
QSO: 14190 PH 2016-10-29 0935 G5O           59  14     R9LY          59  17     1
QSO:  7171 PH 2016-10-29 0936 G5O           59  14     DH4OAM        59  14     0
QSO:  7171 PH 2016-10-29 0936 G5O           59  14     DK2AT         59  14     0
QSO:  7171 PH 2016-10-29 0936 G5O           59  14     PA2HB         59  14     0
QSO: 14190 PH 2016-10-29 0937 G5O           59  14     BG3UTD        59  24     1
QSO:  7171 PH 2016-10-29 0938 G5O           59  14     AB3CX         59  05     0
QSO: 14190 PH 2016-10-29 0939 G5O           59  14     BH3SCC        59  24     1
QSO: 14190 PH 2016-10-29 0939 G5O           59  14     RN4HAB        59  16     1
QSO: 14190 PH 2016-10-29 0940 G5O           59  14     RA9AAA        59  17     1
QSO: 14190 PH 2016-10-29 0940 G5O           59  14     RK9AWT        59  17     1
QSO:  7154 PH 2016-10-29 0942 G5O           59  14     EI9HX         59  14     0
QSO:  7148 PH 2016-10-29 0943 G5O           59  14     OL6A          59  15     0
QSO:  7148 PH 2016-10-29 0944 G5O           59  14     PA6AA         59  14     0
QSO: 14190 PH 2016-10-29 0944 G5O           59  14     R4FD          59  16     1
QSO:  7148 PH 2016-10-29 0945 G5O           59  14     PA3T          59  14     0
QSO: 14190 PH 2016-10-29 0945 G5O           59  14     UA9CUA        59  17     1
QSO:  7148 PH 2016-10-29 0945 G5O           59  14     PA2Z          59  14     0
QSO:  7148 PH 2016-10-29 0945 G5O           59  14     HB9VAA        59  14     0
QSO:  7148 PH 2016-10-29 0946 G5O           59  14     IK2XDF        59  15     0
QSO:  7148 PH 2016-10-29 0946 G5O           59  14     SK6HD         59  14     0
QSO:  7148 PH 2016-10-29 0946 G5O           59  14     LA1VNA        59  14     0
QSO:  7148 PH 2016-10-29 0946 G5O           59  14     DD3DJ         59  14     0
QSO: 14190 PH 2016-10-29 0947 G5O           59  14     JA8RWU        59  25     1
QSO: 14190 PH 2016-10-29 0947 G5O           59  14     SQ8MFM        59  15     1
QSO: 14190 PH 2016-10-29 0948 G5O           59  14     RK9DC         59  17     1
QSO:  7148 PH 2016-10-29 0949 G5O           59  14     SP5PDB        59  15     0
QSO:  7148 PH 2016-10-29 0950 G5O           59  14     I5GKS         59  15     0
QSO:  7148 PH 2016-10-29 0950 G5O           59  14     ON7HLU        59  14     0
QSO:  7148 PH 2016-10-29 0951 G5O           59  14     DL1KJ         59  14     0
QSO: 14190 PH 2016-10-29 0951 G5O           59  14     RA3TT         59  16     1
QSO:  7148 PH 2016-10-29 0951 G5O           59  14     G0DRM         59  14     0
QSO: 14190 PH 2016-10-29 0952 G5O           59  14     RT4D          59  16     1
QSO: 14190 PH 2016-10-29 0953 G5O           59  14     RU3RR         59  16     1
QSO: 14190 PH 2016-10-29 0953 G5O           59  14     IQ4BQ         59  15     1
QSO: 14190 PH 2016-10-29 0954 G5O           59  14     IK5BSC        59  15     1
QSO: 14190 PH 2016-10-29 0956 G5O           59  14     RK4FAO        59  16     1
QSO:  7148 PH 2016-10-29 0956 G5O           59  14     DL4VAI        59  14     0
QSO:  7148 PH 2016-10-29 0957 G5O           59  14     DL1NKS        59  14     0
QSO: 14190 PH 2016-10-29 0957 G5O           59  14     JG1UMO        59  25     1
QSO:  7148 PH 2016-10-29 0958 G5O           59  14     ON5IG         59  14     0
QSO: 14190 PH 2016-10-29 0958 G5O           59  14     UA4WGM        59  16     1
QSO: 14190 PH 2016-10-29 0958 G5O           59  14     RZ9SZ/3       59  16     1
QSO:  7148 PH 2016-10-29 0958 G5O           59  14     PE1OXP        59  14     0
QSO: 14190 PH 2016-10-29 0958 G5O           59  14     RK9CYA        59  17     1
QSO: 14190 PH 2016-10-29 0959 G5O           59  14     JA4JSV        59  25     1
QSO: 14190 PH 2016-10-29 1000 G5O           59  14     RA9FEL        59  17     1
QSO: 14190 PH 2016-10-29 1000 G5O           59  14     RZ3Z          59  16     1
QSO:  7148 PH 2016-10-29 1001 G5O           59  14     DL1DF         59  14     0
QSO: 14190 PH 2016-10-29 1001 G5O           59  14     SQ5LTL        59  15     1
QSO:  7148 PH 2016-10-29 1001 G5O           59  14     EB1ADD        59  14     0
QSO: 21147 PH 2016-10-29 1002 G5O           59  14     YT6W          59  15     1
QSO: 21150 PH 2016-10-29 1003 G5O           59  14     H2T           59  20     1
QSO:  7148 PH 2016-10-29 1003 G5O           59  14     EA4BDI        59  14     0
QSO:  7148 PH 2016-10-29 1004 G5O           59  14     DC2AN         59  14     0
QSO: 21206 PH 2016-10-29 1005 G5O           59  14     E77A          59  15     1
QSO: 21213 PH 2016-10-29 1006 G5O           59  14     SN8B          59  15     1
QSO: 21215 PH 2016-10-29 1006 G5O           59  14     HZ1BL         59  21     1
QSO:  7148 PH 2016-10-29 1006 G5O           59  14     F5OHH         59  14     0
