START-OF-LOG: 3.0
CALLSIGN: GI4SJQ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 107163
NAME: George Frazer
LOCATION: DX
OPERATORS: GI4SJQ
CLUB: None
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Band conditions! 10m opened.  15m & 20m very poor.
QSO: 14327 PH 2016-10-29 0927 GI4SJQ        59  14     UX2U          59  16
QSO: 14325 PH 2016-10-29 0928 GI4SJQ        59  14     IR9Z          59  15
QSO: 14322 PH 2016-10-29 0928 GI4SJQ        59  14     S50G          59  15
QSO: 14323 PH 2016-10-29 0932 GI4SJQ        59  14     IT9STX        59  15
QSO: 14318 PH 2016-10-29 0933 GI4SJQ        59  14     S55X          59  15
QSO: 14316 PH 2016-10-29 0934 GI4SJQ        59  14     CR5C          59  14
QSO: 14308 PH 2016-10-29 0934 GI4SJQ        59  14     9A1P          59  15
QSO: 14302 PH 2016-10-29 0936 GI4SJQ        59  14     HG8R          59  15
QSO: 14295 PH 2016-10-29 0941 GI4SJQ        59  14     IB4K          59  15
QSO: 14285 PH 2016-10-29 0942 GI4SJQ        59  14     CN2R          59  33
QSO: 14281 PH 2016-10-29 0943 GI4SJQ        59  14     HG6N          59  15
QSO: 14279 PH 2016-10-29 0943 GI4SJQ        59  14     IO1X          59  15
QSO: 14275 PH 2016-10-29 0944 GI4SJQ        59  14     IW2HAJ        59  15
QSO: 14256 PH 2016-10-29 0945 GI4SJQ        59  14     S58Y          59  15
QSO: 14260 PH 2016-10-29 0946 GI4SJQ        59  14     IZ8FDG        59  15
QSO: 14262 PH 2016-10-29 0946 GI4SJQ        59  14     SP9KAO        59  15
QSO: 14267 PH 2016-10-29 0947 GI4SJQ        59  14     R2EA          59  16
QSO: 14265 PH 2016-10-29 0948 GI4SJQ        59  14     S56K          59  15
QSO: 14263 PH 2016-10-29 0948 GI4SJQ        59  14     YU6DX         59  15
QSO: 14252 PH 2016-10-29 0952 GI4SJQ        59  14     C37NL         59  14
QSO: 14244 PH 2016-10-29 0954 GI4SJQ        59  14     HG7T          59  15
QSO: 14247 PH 2016-10-29 0955 GI4SJQ        59  14     OL1C          59  15
QSO: 14249 PH 2016-10-29 0955 GI4SJQ        59  14     TK9R          59  15
QSO: 14241 PH 2016-10-29 0956 GI4SJQ        59  14     IR7R          59  15
QSO: 14236 PH 2016-10-29 0956 GI4SJQ        59  14     9A7A          59  15
QSO: 14232 PH 2016-10-29 0958 GI4SJQ        59  14     EE5T          59  14
QSO: 14221 PH 2016-10-29 1000 GI4SJQ        59  14     9A3JE         59  15
QSO: 14214 PH 2016-10-29 1002 GI4SJQ        59  14     LY7Z          59  15
QSO: 14208 PH 2016-10-29 1003 GI4SJQ        59  14     YT5A          59  15
QSO: 14205 PH 2016-10-29 1003 GI4SJQ        59  14     9A1A          59  15
QSO: 14201 PH 2016-10-29 1004 GI4SJQ        59  14     DF0HQ         59  14
QSO: 14193 PH 2016-10-29 1006 GI4SJQ        59  14     HG4F          59  15
QSO: 14189 PH 2016-10-29 1007 GI4SJQ        59  14     SV3AQR        59  20
QSO: 14186 PH 2016-10-29 1007 GI4SJQ        59  14     SZ1A          59  20
QSO: 14181 PH 2016-10-29 1008 GI4SJQ        59  14     EA9KB         59  33
QSO: 14176 PH 2016-10-29 1009 GI4SJQ        59  14     J42T          59  20
QSO: 14173 PH 2016-10-29 1011 GI4SJQ        59  14     HA8GZ         59  15
QSO: 14170 PH 2016-10-29 1012 GI4SJQ        59  14     YM2KY         59  20
QSO: 14166 PH 2016-10-29 1014 GI4SJQ        59  14     ED3V          59  14
QSO: 14165 PH 2016-10-29 1014 GI4SJQ        59  14     YT0W          59  15
QSO: 14158 PH 2016-10-29 1016 GI4SJQ        59  14     R2VA          59  16
QSO: 14155 PH 2016-10-29 1017 GI4SJQ        59  14     YM9KM         59  20
QSO: 14148 PH 2016-10-29 1018 GI4SJQ        59  14     IR6A          59  15
QSO: 14140 PH 2016-10-29 1018 GI4SJQ        59  14     HG1S          59  15
QSO: 14135 PH 2016-10-29 1019 GI4SJQ        59  14     IQ3RK         59  15
QSO: 14131 PH 2016-10-29 1020 GI4SJQ        59  14     YT1A          59  15
QSO: 28473 PH 2016-10-29 1134 GI4SJQ        59  14     IT9RDG/IF9    59  15
QSO: 28478 PH 2016-10-29 1135 GI4SJQ        59  14     II9P          59  15
QSO: 28480 PH 2016-10-29 1135 GI4SJQ        59  14     IB9P          59  15
QSO: 28486 PH 2016-10-29 1136 GI4SJQ        59  14     CN3A          59  33
QSO: 28526 PH 2016-10-29 1138 GI4SJQ        59  14     EA8DED        59  33
QSO: 28508 PH 2016-10-29 1139 GI4SJQ        59  14     EF8U          59  33
QSO: 28463 PH 2016-10-29 1141 GI4SJQ        59  14     CN2R          59  33
QSO: 28455 PH 2016-10-29 1141 GI4SJQ        59  14     EA8URT        59  33
QSO: 28453 PH 2016-10-29 1142 GI4SJQ        59  14     EC7KW         59  14
QSO: 28420 PH 2016-10-29 1143 GI4SJQ        59  14     6W1RY         59  35
QSO: 28386 PH 2016-10-29 1144 GI4SJQ        59  14     9H6A          59  15
QSO: 28390 PH 2016-10-29 1144 GI4SJQ        59  14     IS0NHT        59  15
QSO: 28403 PH 2016-10-29 1217 GI4SJQ        59  14     IR8P          59  15
QSO: 28368 PH 2016-10-29 1218 GI4SJQ        59  14     IT9PZM        59  15
QSO: 28365 PH 2016-10-29 1219 GI4SJQ        59  14     SV4LQW        59  20
QSO: 28394 PH 2016-10-29 1220 GI4SJQ        59  14     TC0F          59  20
QSO: 28446 PH 2016-10-29 1221 GI4SJQ        59  14     TC3P          59  20
QSO: 28451 PH 2016-10-29 1222 GI4SJQ        59  14     IW7DKS        59  15
QSO: 28473 PH 2016-10-29 1224 GI4SJQ        59  14     GM9N          59  14
QSO: 28500 PH 2016-10-29 1225 GI4SJQ        59  14     3V8SS         59  33
QSO: 28497 PH 2016-10-29 1225 GI4SJQ        59  14     CN2AA         59  33
QSO: 28504 PH 2016-10-29 1226 GI4SJQ        59  14     IT9TFX        59  15
QSO: 28417 PH 2016-10-29 1236 GI4SJQ        59  14     IT9ACJ        59  15
QSO: 28410 PH 2016-10-29 1236 GI4SJQ        59  14     EA8BQM        59  33
QSO: 21115 PH 2016-10-29 1244 GI4SJQ        59  14     ZZ2T          59  11
QSO: 21143 PH 2016-10-29 1249 GI4SJQ        59  14     LP1H          59  13
QSO: 21151 PH 2016-10-29 1252 GI4SJQ        59  14     4X2M          59  20
QSO: 21156 PH 2016-10-29 1254 GI4SJQ        59  14     LZ9V          59  20
QSO: 21181 PH 2016-10-29 1256 GI4SJQ        59  14     SN5X          59  15
QSO: 21188 PH 2016-10-29 1257 GI4SJQ        59  14     ED1T          59  14
QSO: 21191 PH 2016-10-29 1258 GI4SJQ        59  14     FR4NT         59  39
QSO: 21196 PH 2016-10-29 1300 GI4SJQ        59  14     Z35W          59  15
QSO: 21210 PH 2016-10-29 1303 GI4SJQ        59  14     HZ1BL         59  21
QSO: 21221 PH 2016-10-29 1304 GI4SJQ        59  14     S51A          59  15
QSO: 21206 PH 2016-10-29 1307 GI4SJQ        59  14     E77A          59  15
QSO: 21161 PH 2016-10-29 1316 GI4SJQ        59  14     LZ5R          59  20
QSO: 21220 PH 2016-10-29 1318 GI4SJQ        59  14     9H6A          59  15
QSO: 21225 PH 2016-10-29 1320 GI4SJQ        59  14     YM2KY         59  20
QSO: 21242 PH 2016-10-29 1321 GI4SJQ        59  14     TC2C          59  20
QSO: 21245 PH 2016-10-29 1324 GI4SJQ        59  14     II2S          59  15
QSO: 21256 PH 2016-10-29 1328 GI4SJQ        59  14     TC3P          59  20
QSO: 21264 PH 2016-10-29 1328 GI4SJQ        59  14     7X4MW         59  33
QSO: 21280 PH 2016-10-29 1328 GI4SJQ        59  14     CN2R          59  33
QSO: 21281 PH 2016-10-29 1329 GI4SJQ        59  14     3V8SS         59  33
QSO: 21294 PH 2016-10-29 1330 GI4SJQ        59  14     EC7KW         59  14
QSO: 21326 PH 2016-10-29 1332 GI4SJQ        59  14     PP5JN         59  11
QSO:  7137 PH 2016-10-29 1336 GI4SJQ        59  14     PI4CC         59  14
QSO:  7147 PH 2016-10-29 1337 GI4SJQ        59  14     M6T           59  14
QSO:  7179 PH 2016-10-29 1338 GI4SJQ        59  14     G3PXT         59  14
QSO:  7100 PH 2016-10-29 1342 GI4SJQ        59  14     ON4ON         59  14
QSO:  7132 PH 2016-10-29 1343 GI4SJQ        59  14     OL9R          59  15
QSO:  7150 PH 2016-10-29 1345 GI4SJQ        59  14     ON8VC         59  14
QSO: 14338 PH 2016-10-29 1352 GI4SJQ        59  14     YP0C          59  20
QSO: 14341 PH 2016-10-29 1356 GI4SJQ        59  14     W4AAW         59  05
QSO: 14148 PH 2016-10-29 1359 GI4SJQ        59  14     VO1MP         59  05
QSO: 14138 PH 2016-10-29 1359 GI4SJQ        59  14     YP7P          59  20
QSO: 14112 PH 2016-10-29 1403 GI4SJQ        59  14     YT5X          59  15
QSO: 14126 PH 2016-10-29 1404 GI4SJQ        59  14     VE3EJ         59  04
QSO: 14120 PH 2016-10-29 1405 GI4SJQ        59  14     EC7WA         59  14
QSO: 14122 PH 2016-10-29 1408 GI4SJQ        59  14     YT0AZA        59  16
QSO: 14125 PH 2016-10-29 1528 GI4SJQ        59  14     IT9AUH        59  15
QSO: 14100 PH 2016-10-29 1528 GI4SJQ        59  14     C4A           59  20
QSO: 14105 PH 2016-10-29 1530 GI4SJQ        59  14     HB2C          59  14
QSO: 14104 PH 2016-10-29 1530 GI4SJQ        59  14     IQ2DN         59  15
QSO: 14119 PH 2016-10-29 1534 GI4SJQ        59  14     DF5XV         59  14
QSO: 14131 PH 2016-10-29 1535 GI4SJQ        59  14     ED2C          59  14
QSO: 14148 PH 2016-10-29 1536 GI4SJQ        59  14     7Z1SJ         59  21
QSO: 14154 PH 2016-10-29 1538 GI4SJQ        59  14     4L2M          59  21
QSO: 14160 PH 2016-10-29 1539 GI4SJQ        59  14     SQ8N          59  15
QSO: 14163 PH 2016-10-29 1539 GI4SJQ        59  14     S57DX         59  15
QSO: 21442 PH 2016-10-29 1542 GI4SJQ        59  14     CR3A          59  33
QSO: 21439 PH 2016-10-29 1543 GI4SJQ        59  14     CT3HF         59  33
QSO: 21418 PH 2016-10-29 1544 GI4SJQ        59  14     P33W          59  20
QSO: 21388 PH 2016-10-29 1545 GI4SJQ        59  14     S50K          59  15
QSO: 21370 PH 2016-10-29 1545 GI4SJQ        59  14     Z35T          59  15
QSO: 21360 PH 2016-10-29 1546 GI4SJQ        59  14     IK2EGL        59  15
QSO: 21354 PH 2016-10-29 1547 GI4SJQ        59  14     OM8A          59  15
QSO: 21344 PH 2016-10-29 1547 GI4SJQ        59  14     IR9W          59  15
QSO: 21343 PH 2016-10-29 1548 GI4SJQ        59  14     SZ1A          59  20
QSO: 21314 PH 2016-10-29 1549 GI4SJQ        59  14     4O3A          59  15
QSO: 21329 PH 2016-10-29 1550 GI4SJQ        59  14     9A5D          59  15
QSO: 21325 PH 2016-10-29 1551 GI4SJQ        59  14     IR4M          59  15
QSO: 21320 PH 2016-10-29 1552 GI4SJQ        59  14     IB9P          59  15
QSO: 21309 PH 2016-10-29 1552 GI4SJQ        59  14     LZ9W          59  20
QSO: 21298 PH 2016-10-29 1553 GI4SJQ        59  14     9A1P          59  15
QSO: 21288 PH 2016-10-29 1553 GI4SJQ        59  14     II9P          59  15
QSO: 21271 PH 2016-10-29 1554 GI4SJQ        59  14     IW2HAJ        59  15
QSO: 21267 PH 2016-10-29 1555 GI4SJQ        59  14     EA7AKK        59  14
QSO: 21253 PH 2016-10-29 1555 GI4SJQ        59  14     IO9A          59  15
QSO: 21178 PH 2016-10-29 1600 GI4SJQ        59  14     DF0WRTC       59  14
QSO: 21312 PH 2016-10-29 1602 GI4SJQ        59  14     9A1A          59  15
QSO: 21408 PH 2016-10-29 1602 GI4SJQ        59  14     I4AVG         59  15
QSO: 21428 PH 2016-10-29 1603 GI4SJQ        59  14     IB2A          59  15
QSO: 21399 PH 2016-10-29 1604 GI4SJQ        59  14     TK9R          59  15
QSO: 21375 PH 2016-10-29 1604 GI4SJQ        59  14     I1EIS         59  15
QSO: 21223 PH 2016-10-29 1607 GI4SJQ        59  14     ZS1TMJ        59  38
QSO: 21238 PH 2016-10-29 1612 GI4SJQ        59  14     6W1RY         59  35
QSO: 21263 PH 2016-10-29 1614 GI4SJQ        59  14     EA8BMG        59  33
QSO: 21151 PH 2016-10-29 1618 GI4SJQ        59  14     EF8U          59  33
QSO: 21152 PH 2016-10-29 1618 GI4SJQ        59  14     EA8BQM        59  33
QSO: 21135 PH 2016-10-29 1619 GI4SJQ        59  14     EA8AOC        59  33
QSO: 14151 PH 2016-10-29 1621 GI4SJQ        59  14     K3LR          59  05
QSO: 14345 PH 2016-10-29 1625 GI4SJQ        59  14     EA2DNR        59  14
QSO: 14342 PH 2016-10-29 1625 GI4SJQ        59  14     IQ5PO         59  15
QSO: 14340 PH 2016-10-29 1626 GI4SJQ        59  14     IR8C          59  15
QSO: 14344 PH 2016-10-29 1627 GI4SJQ        59  14     EA3PT         59  14
QSO: 14332 PH 2016-10-29 1628 GI4SJQ        59  14     P33W          59  20
QSO: 14328 PH 2016-10-29 1629 GI4SJQ        59  14     OK7O          59  15
QSO: 14320 PH 2016-10-29 1630 GI4SJQ        59  14     SN8B          59  15
QSO: 14316 PH 2016-10-29 1631 GI4SJQ        59  14     IQ5PJ         59  15
QSO: 14309 PH 2016-10-29 1631 GI4SJQ        59  14     S50L          59  15
QSO: 14311 PH 2016-10-29 1632 GI4SJQ        59  14     DM4X          59  14
QSO: 14304 PH 2016-10-29 1633 GI4SJQ        59  14     IO5O          59  15
QSO: 14298 PH 2016-10-29 1633 GI4SJQ        59  14     UR3GU         59  16
QSO: 14296 PH 2016-10-29 1634 GI4SJQ        59  14     DF0RW         59  14
QSO: 14293 PH 2016-10-29 1634 GI4SJQ        59  14     4O3A          59  15
QSO: 14289 PH 2016-10-29 1635 GI4SJQ        59  14     OK5W          59  15
QSO: 14284 PH 2016-10-29 1636 GI4SJQ        59  14     HG6V          59  15
QSO: 14286 PH 2016-10-29 1636 GI4SJQ        59  14     CN2AA         59  33
QSO: 14281 PH 2016-10-29 1637 GI4SJQ        59  14     S58N          59  15
QSO: 14273 PH 2016-10-29 1638 GI4SJQ        59  14     3V8SS         59  33
QSO: 14267 PH 2016-10-29 1639 GI4SJQ        59  14     TM1X          59  14
QSO: 14261 PH 2016-10-29 1640 GI4SJQ        59  14     EA2DR         59  14
QSO: 14245 PH 2016-10-29 1642 GI4SJQ        59  14     E73JHI        59  15
QSO: 14211 PH 2016-10-29 1719 GI4SJQ        59  14     LZ9W          59  20
QSO: 14222 PH 2016-10-29 1719 GI4SJQ        59  14     LZ1UBO        59  20
QSO: 14180 PH 2016-10-29 1720 GI4SJQ        59  14     UB7K          59  16
QSO: 14158 PH 2016-10-29 1725 GI4SJQ        59  14     N5DX          59  05
QSO: 14190 PH 2016-10-29 1729 GI4SJQ        59  14     IK2YCW        59  15
QSO: 14193 PH 2016-10-29 1730 GI4SJQ        59  14     LZ5R          59  20
QSO: 14204 PH 2016-10-29 1731 GI4SJQ        59  14     LZ1YE         59  20
QSO: 14218 PH 2016-10-29 1732 GI4SJQ        59  14     TC3P          59  20
QSO: 14229 PH 2016-10-29 1732 GI4SJQ        59  14     NN3W          59  05
QSO: 14246 PH 2016-10-29 1736 GI4SJQ        59  14     SK3W          59  14
QSO: 14270 PH 2016-10-29 1742 GI4SJQ        59  14     OZ1ACB        59  14
QSO: 14275 PH 2016-10-29 1745 GI4SJQ        59  14     ED7R          59  14
QSO: 14280 PH 2016-10-29 1746 GI4SJQ        59  14     IR4M          59  15
QSO: 14298 PH 2016-10-29 1747 GI4SJQ        59  14     IB4A          59  15
QSO: 14306 PH 2016-10-29 1748 GI4SJQ        59  14     IY1A          59  15
QSO: 14114 PH 2016-10-29 1757 GI4SJQ        59  14     6W1RY         59  35
QSO: 14200 PH 2016-10-29 1758 GI4SJQ        59  14     CN3A          59  33
QSO: 14204 PH 2016-10-29 1801 GI4SJQ        59  14     EC8AQQ        59  33
QSO: 14152 PH 2016-10-29 1804 GI4SJQ        59  14     N1UR          59  05
QSO: 14339 PH 2016-10-29 1805 GI4SJQ        59  14     VE9CB         59  05
QSO: 14276 PH 2016-10-29 1807 GI4SJQ        59  14     T48K          59  08
QSO:  7082 PH 2016-10-29 1822 GI4SJQ        59  14     PH0AS         59  14
QSO:  7046 PH 2016-10-29 1824 GI4SJQ        59  14     Z3B           59  15
QSO:  7061 PH 2016-10-29 1827 GI4SJQ        59  14     YT5A          59  15
QSO:  7044 PH 2016-10-29 1912 GI4SJQ        59  14     LZ5T          59  20
QSO: 14265 PH 2016-10-29 1914 GI4SJQ        59  14     S57AL         59  15
QSO: 14289 PH 2016-10-29 1915 GI4SJQ        59  14     ED1T          59  14
QSO: 14303 PH 2016-10-29 1915 GI4SJQ        59  14     ED3X          59  14
QSO: 14330 PH 2016-10-29 1917 GI4SJQ        59  14     EF8R          59  33
QSO: 14345 PH 2016-10-29 1920 GI4SJQ        59  14     S59ACP        59  15
QSO: 14260 PH 2016-10-29 1923 GI4SJQ        59  14     E7DX          59  15
QSO:  7057 PH 2016-10-29 1923 GI4SJQ        59  14     E7DX          59  15
QSO:  3785 PH 2016-10-29 1924 GI4SJQ        59  14     E7DX          59  15
QSO:  3797 PH 2016-10-29 1925 GI4SJQ        59  14     YT1R          59  15
QSO:  3794 PH 2016-10-29 1926 GI4SJQ        59  14     YT8A          59  15
QSO:  3783 PH 2016-10-29 1928 GI4SJQ        59  14     M6T           59  14
QSO:  3775 PH 2016-10-29 1929 GI4SJQ        59  14     OT5A          59  14
QSO:  3777 PH 2016-10-29 1930 GI4SJQ        59  14     9A8M          59  15
QSO:  3784 PH 2016-10-29 1930 GI4SJQ        59  14     S57AW         59  15
QSO:  3787 PH 2016-10-29 1931 GI4SJQ        59  14     OE6Z          59  15
QSO:  3779 PH 2016-10-29 1932 GI4SJQ        59  14     OL0M          59  15
QSO:  3766 PH 2016-10-29 1934 GI4SJQ        59  14     S54ZZ         59  15
QSO:  3748 PH 2016-10-29 1935 GI4SJQ        59  14     PI4YLC        59  14
QSO:  3731 PH 2016-10-29 1935 GI4SJQ        59  14     OK7O          59  15
QSO:  3701 PH 2016-10-29 1938 GI4SJQ        59  14     PA3EWP        59  14
QSO:  3806 PH 2016-10-30 0559 GI4SJQ        59  14     WE3C          59  05
QSO:  3810 PH 2016-10-30 0600 GI4SJQ        59  14     KC1XX         59  05
QSO:  3804 PH 2016-10-30 0606 GI4SJQ        59  14     W3LPL         59  05
QSO:  3801 PH 2016-10-30 0607 GI4SJQ        59  14     K3LR          59  05
QSO:  3797 PH 2016-10-30 0608 GI4SJQ        59  14     CN2AA         59  33
QSO:  3791 PH 2016-10-30 0609 GI4SJQ        59  14     DF0HQ         59  14
QSO:  3785 PH 2016-10-30 0610 GI4SJQ        59  14     9A7A          59  15
QSO:  3775 PH 2016-10-30 0612 GI4SJQ        59  14     GM2T          59  14
QSO:  3763 PH 2016-10-30 0613 GI4SJQ        59  14     LY4A          59  15
QSO:  3742 PH 2016-10-30 0617 GI4SJQ        59  14     9A1A          59  15
QSO:  3739 PH 2016-10-30 0618 GI4SJQ        59  14     PI4DX         59  14
QSO:  3735 PH 2016-10-30 0619 GI4SJQ        59  14     IY1A          59  15
QSO:  3685 PH 2016-10-30 0621 GI4SJQ        59  14     VY2ZM         59  05
QSO:  1813 PH 2016-10-30 0622 GI4SJQ        59  14     VY2ZM         59  05
QSO:  1820 PH 2016-10-30 0623 GI4SJQ        59  14     TM7F          59  14
QSO:  1830 PH 2016-10-30 0624 GI4SJQ        59  14     GM9N          59  14
QSO:  1839 PH 2016-10-30 0626 GI4SJQ        59  14     TM6M          59  14
QSO:  1848 PH 2016-10-30 0627 GI4SJQ        59  14     M6T           59  14
QSO:  1876 PH 2016-10-30 0629 GI4SJQ        59  14     DL2MIJ        59  14
QSO:  1880 PH 2016-10-30 0630 GI4SJQ        59  14     G3B           59  14
QSO:  3702 PH 2016-10-30 0637 GI4SJQ        59  14     M5B           59  14
QSO:  3705 PH 2016-10-30 0637 GI4SJQ        59  14     OR2F          59  14
QSO:  3711 PH 2016-10-30 0638 GI4SJQ        59  14     PA9M          59  14
QSO:  3720 PH 2016-10-30 0640 GI4SJQ        59  14     ON8DM         59  14
QSO:  3726 PH 2016-10-30 0647 GI4SJQ        59  14     F6GWV         59  14
QSO:  3795 PH 2016-10-30 0652 GI4SJQ        59  14     F5BZB         59  14
QSO:  3783 PH 2016-10-30 0652 GI4SJQ        59  14     EF8R          59  33
QSO:  3776 PH 2016-10-30 0653 GI4SJQ        59  14     PA3GVI        59  14
QSO:  3778 PH 2016-10-30 0653 GI4SJQ        59  14     M4A           59  14
QSO:  3736 PH 2016-10-30 0657 GI4SJQ        59  14     TM0R          59  14
QSO:  3731 PH 2016-10-30 0657 GI4SJQ        59  14     OK5W          59  15
QSO:  7190 PH 2016-10-30 0700 GI4SJQ        59  14     ED7O          59  14
QSO:  7181 PH 2016-10-30 0701 GI4SJQ        59  14     9A1P          59  15
QSO:  7167 PH 2016-10-30 0702 GI4SJQ        59  14     SN3A          59  15
QSO:  7162 PH 2016-10-30 0702 GI4SJQ        59  14     CN3A          59  33
QSO:  7153 PH 2016-10-30 0708 GI4SJQ        59  14     RL5A          59  16
QSO:  7149 PH 2016-10-30 0709 GI4SJQ        59  14     S51A          59  15
QSO:  7100 PH 2016-10-30 0713 GI4SJQ        59  14     HB9DD         59  14
QSO:  7105 PH 2016-10-30 0715 GI4SJQ        59  14     HG1S          59  15
QSO:  7151 PH 2016-10-30 0719 GI4SJQ        59  14     TM1A          59  14
QSO:  7192 PH 2016-10-30 0732 GI4SJQ        59  14     DL0CS         59  14
QSO:  7102 PH 2016-10-30 0737 GI4SJQ        59  14     ED3X          59  14
QSO:  7141 PH 2016-10-30 0739 GI4SJQ        59  14     HB9EYP        59  14
QSO:  7158 PH 2016-10-30 0739 GI4SJQ        59  14     IY1A          59  15
QSO: 14343 PH 2016-10-30 0832 GI4SJQ        59  14     ZP6A          59  11
QSO: 14294 PH 2016-10-30 0838 GI4SJQ        59  14     PW2D          59  11
QSO: 14246 PH 2016-10-30 0844 GI4SJQ        59  14     SX9C          59  20
QSO: 14218 PH 2016-10-30 0848 GI4SJQ        59  14     9H6A          59  15
QSO: 14311 PH 2016-10-30 0857 GI4SJQ        59  14     UP2L          59  17
QSO: 14320 PH 2016-10-30 0858 GI4SJQ        59  14     RT5K          59  16
QSO: 14317 PH 2016-10-30 0900 GI4SJQ        59  14     CQ8M          59  14
QSO: 14308 PH 2016-10-30 0901 GI4SJQ        59  14     RK9AX         59  17
QSO: 14219 PH 2016-10-30 0908 GI4SJQ        59  14     ZW8T          59  11
QSO: 21248 PH 2016-10-30 0918 GI4SJQ        59  14     ZX5J          59  11
QSO: 21270 PH 2016-10-30 0919 GI4SJQ        59  14     CN3A          59  33
QSO: 21228 PH 2016-10-30 0936 GI4SJQ        59  14     EF8R          59  33
QSO: 21356 PH 2016-10-30 0945 GI4SJQ        59  14     HG6N          59  15
QSO: 21370 PH 2016-10-30 0946 GI4SJQ        59  14     HG1S          59  15
QSO: 21371 PH 2016-10-30 0946 GI4SJQ        59  14     SO9Q          59  15
QSO: 21358 PH 2016-10-30 0950 GI4SJQ        59  14     OK3C          59  15
QSO: 21360 PH 2016-10-30 1114 GI4SJQ        59  14     DQ2C          59  14
QSO: 28700 PH 2016-10-30 1115 GI4SJQ        59  14     DQ2C          59  14
QSO: 14114 PH 2016-10-30 1127 GI4SJQ        59  14     DM3MM         59  14
QSO: 14130 PH 2016-10-30 1128 GI4SJQ        59  14     8P5A          59  08
