START-OF-LOG: 3.0
CALLSIGN: 9H3KZ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: ROB McTAIT
LOCATION: DX
OPERATORS:  
CLUB: NONE
CERTIFICATE: YES
CREATED-BY: CQWW Adif2Cabrillo Converter (LZ2FQ)
SOAPBOX: Operated when possible. Interesting using dipole and only 100 watts!
QSO: 14000 PH 2016-10-29 2155  9H3KZ         59  15     YT0W          59  015    0
QSO: 14000 PH 2016-10-29 2157  9H3KZ         59  15     9A1A          59  015    0
QSO: 14000 PH 2016-10-29 2200  9H3KZ         59  15     OM7M          59  015    0
QSO: 14000 PH 2016-10-29 2204  9H3KZ         59  15     Z32ID         59  015    0
QSO: 14000 PH 2016-10-29 2206  9H3KZ         59  15     SP9KAO        59  015    0
QSO: 14000 PH 2016-10-29 2207  9H3KZ         59  15     C4A           59  020    0
QSO: 14000 PH 2016-10-29 2208  9H3KZ         59  15     LZ1KU         59  020    0
QSO: 14000 PH 2016-10-29 2211  9H3KZ         59  15     4O3A          59  015    0
QSO: 14000 PH 2016-10-29 2216  9H3KZ         59  15     YT5A          59  015    0
QSO: 21000 PH 2016-10-30 0825  9H3KZ         59  15     R9RA          59  017    0
QSO: 21000 PH 2016-10-30 0827  9H3KZ         59  15     UA4S          59  016    0
QSO: 21000 PH 2016-10-30 0828  9H3KZ         59  15     R4RE          59  016    0
QSO: 21000 PH 2016-10-30 0836  9H3KZ         59  15     JT5DX         59  023    0
QSO: 21000 PH 2016-10-30 0854  9H3KZ         59  15     S53M          59  015    0
QSO: 21000 PH 2016-10-30 0902  9H3KZ         59  15     RC9O          59  018    0
QSO: 21000 PH 2016-10-30 0914  9H3KZ         59  15     E7DX          59  015    0
QSO: 21000 PH 2016-10-30 0916  9H3KZ         59  15     YM7KA         59  020    0
QSO: 21000 PH 2016-10-30 0921  9H3KZ         59  15     4X2M          59  020    0
QSO: 21000 PH 2016-10-30 0921  9H3KZ         59  15     RM4HZ         59  016    0
QSO: 28000 PH 2016-10-30 0923  9H3KZ         59  15     A73A          59  021    0
QSO: 28000 PH 2016-10-30 0931  9H3KZ         59  15     OL1Z          59  015    0
QSO: 28000 PH 2016-10-30 0935  9H3KZ         59  15     9A1A          59  015    0
QSO: 28000 PH 2016-10-30 0935  9H3KZ         59  15     EA5IDQ        59  014    0
QSO: 28000 PH 2016-10-30 0937  9H3KZ         59  15     DF0HQ         59  014    0
QSO: 28000 PH 2016-10-30 0938  9H3KZ         59  15     TM3R          59  014    0
QSO: 28000 PH 2016-10-30 0942  9H3KZ         59  15     DL5L          59  014    0
QSO: 28000 PH 2016-10-30 0942  9H3KZ         59  15     9K2HN         59  021    0
QSO: 21000 PH 2016-10-30 1140  9H3KZ         59  15     PJ4X          59  009    0
QSO: 21000 PH 2016-10-30 1141  9H3KZ         59  15     H2T           59  020    0
QSO: 21000 PH 2016-10-30 1418  9H3KZ         59  15     VY2TT         59  005    0
QSO: 21000 PH 2016-10-30 1419  9H3KZ         59  15     PJ2T          59  009    0
QSO: 21000 PH 2016-10-30 1424  9H3KZ         59  15     PX2B          59  011    0
QSO: 21000 PH 2016-10-30 1432  9H3KZ         59  15     EF8R          59  033    0
QSO: 21000 PH 2016-10-30 1434  9H3KZ         59  15     WE3C          59  005    0
QSO: 21000 PH 2016-10-30 1436  9H3KZ         59  15     K1KI          59  005    0
QSO: 14000 PH 2016-10-30 1446  9H3KZ         59  15     A73A          59  021    0
QSO: 14000 PH 2016-10-30 1449  9H3KZ         59  15     GM2T          59  015    0
QSO: 14000 PH 2016-10-30 1450  9H3KZ         59  15     UV7V          59  016    0
QSO: 14000 PH 2016-10-30 1452  9H3KZ         59  15     RK9AX         59  017    0
QSO: 14000 PH 2016-10-30 1457  9H3KZ         59  15     LY2BIS        59  015    0
END-OF-LOG:
