START-OF-LOG: 3.0
CALLSIGN: VY0ERC
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16343
NAME: Eureka Amateur Radio Club
LOCATION: NT
OPERATORS: VE3KTB VE1RUS
CLUB: Contest Club Ontario
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: NA-008 - Where your signals went to die and the aurora danced
SOAPBOX: upon their graves.  Poetic, so long as you're not contesting!
QSO: 14163 PH 2016-10-29 1502 VY0ERC        59  2      S57DX         59  15     0
QSO: 14191 PH 2016-10-29 1510 VY0ERC        59  2      K9CT          59  04     0
QSO: 14251 PH 2016-10-29 1528 VY0ERC        59  2      OH8X          59  15     0
QSO: 14259 PH 2016-10-29 1530 VY0ERC        59  2      OM7M          59  15     0
QSO: 14304 PH 2016-10-29 1535 VY0ERC        59  2      HG8R          59  15     0
QSO: 14323 PH 2016-10-29 1538 VY0ERC        59  2      S50G          59  15     0
QSO: 14100 PH 2016-10-29 1542 VY0ERC        59  2      C4A           59  20     0
QSO: 14189 PH 2016-10-29 1554 VY0ERC        59  2      YT6W          59  15     0
QSO: 14252 PH 2016-10-29 1612 VY0ERC        59  2      OH8L          59  15     0
QSO: 14332 PH 2016-10-29 1622 VY0ERC        59  2      P33W          59  20     0
QSO: 14346 PH 2016-10-29 1642 VY0ERC        59  2      I1NVU         59  15     0
QSO: 14135 PH 2016-10-29 1700 VY0ERC        59  2      IZ8EFD        59  15     0
QSO: 14160 PH 2016-10-29 1707 VY0ERC        59  2      IK2HKT        59  15     0
QSO: 14171 PH 2016-10-29 1708 VY0ERC        59  2      ED3V          59  14     0
QSO: 14180 PH 2016-10-29 1709 VY0ERC        59  2      UB7K          59  16     0
QSO: 14197 PH 2016-10-29 1714 VY0ERC        59  2      TF3CW         59  40     0
QSO: 14225 PH 2016-10-29 1722 VY0ERC        59  2      UW2M          59  16     0
QSO: 14254 PH 2016-10-29 1729 VY0ERC        59  2      F6DZU         59  14     0
QSO: 14262 PH 2016-10-29 1730 VY0ERC        59  2      OH5NQ         59  15     0
QSO: 14260 PH 2016-10-29 1732 VY0ERC        59  2      E7DX          59  15     0
QSO: 14280 PH 2016-10-29 1734 VY0ERC        59  2      IR4M          59  15     0
QSO: 14304 PH 2016-10-29 1741 VY0ERC        59  2      IO5O          59  15     0
QSO: 14321 PH 2016-10-29 1743 VY0ERC        59  2      HG7T          59  15     0
QSO: 14170 PH 2016-10-29 1753 VY0ERC        59  2      LZ5R          59  20     0
QSO: 14175 PH 2016-10-29 1754 VY0ERC        59  2      II2S          59  15     0
QSO: 14177 PH 2016-10-29 1755 VY0ERC        59  2      YT5A          59  15     0
QSO: 14190 PH 2016-10-29 1757 VY0ERC        59  2      IK2YCW        59  15     0
QSO: 14193 PH 2016-10-29 1758 VY0ERC        59  2      EE2K          59  14     0
QSO: 14205 PH 2016-10-29 1759 VY0ERC        59  2      9A1A          59  15     0
QSO: 14245 PH 2016-10-29 1808 VY0ERC        59  2      S53M          59  15     0
QSO: 14256 PH 2016-10-29 1810 VY0ERC        59  2      9A1P          59  15     0
QSO: 14258 PH 2016-10-29 1812 VY0ERC        59  2      DQ2C          59  14     0
QSO: 14282 PH 2016-10-29 1816 VY0ERC        59  2      IR6T          59  15     0
QSO: 14290 PH 2016-10-29 1817 VY0ERC        59  2      IW2HAJ        59  15     0
QSO: 14349 PH 2016-10-29 1823 VY0ERC        59  2      IQ2DN         59  15     0
QSO: 14114 PH 2016-10-29 1830 VY0ERC        59  2      6W1RY         59  35     0
QSO: 14240 PH 2016-10-29 1855 VY0ERC        59  2      TM4L          59  14     0
QSO: 14182 PH 2016-10-29 1859 VY0ERC        59  2      EE3A          59  14     0
QSO: 14228 PH 2016-10-29 1904 VY0ERC        59  2      EF8U          59  33     0
QSO: 14192 PH 2016-10-29 1916 VY0ERC        59  2      TF2CW         59  40     0
QSO: 14194 PH 2016-10-29 1918 VY0ERC        59  2      CR3A          59  33     0
QSO: 14327 PH 2016-10-29 1956 VY0ERC        59  2      N5CR          59  03     0
QSO: 14180 PH 2016-10-29 2016 VY0ERC        59  2      K7KU          59  04     0
QSO:  7149 PH 2016-10-29 2120 VY0ERC        59  2      WK1Q          59  05     0
QSO: 14324 PH 2016-10-29 2218 VY0ERC        59  2      WK1Q          59  05     0
QSO: 14220 PH 2016-10-29 2221 VY0ERC        59  2      N9RV          59  04     0
QSO: 14176 PH 2016-10-29 2222 VY0ERC        59  2      W0AIH         59  04     0
QSO: 14170 PH 2016-10-29 2224 VY0ERC        59  2      K1KI          59  05     0
QSO: 14166 PH 2016-10-29 2224 VY0ERC        59  2      W3LPL         59  05     0
QSO: 14158 PH 2016-10-29 2225 VY0ERC        59  2      WE3C          59  05     0
QSO: 14150 PH 2016-10-29 2225 VY0ERC        59  2      K3LR          59  05     0
QSO: 14314 PH 2016-10-29 2239 VY0ERC        59  2      W9RE          59  04     0
QSO: 14171 PH 2016-10-29 2247 VY0ERC        59  2      K5TR          59  04     0
QSO: 14219 PH 2016-10-29 2250 VY0ERC        59  2      VA7QD         59  03     0
QSO: 14176 PH 2016-10-29 2251 VY0ERC        59  2      K9NW          59  04     0
QSO: 14216 PH 2016-10-29 2253 VY0ERC        59  2      OG6N          59  15     0
QSO: 14237 PH 2016-10-29 2255 VY0ERC        59  2      SJ2W          59  14     0
QSO: 14280 PH 2016-10-29 2301 VY0ERC        59  2      N0NI          59  04     0
QSO: 14163 PH 2016-10-29 2320 VY0ERC        59  2      KC1XX         59  05     0
QSO: 14165 PH 2016-10-29 2327 VY0ERC        59  2      SK3W          59  14     0
QSO:  7158 PH 2016-10-29 2339 VY0ERC        59  2      K2LE          59  05     0
QSO: 14235 PH 2016-10-30 0314 VY0ERC        59  2      KH7M          59  31     0
QSO:  7180 PH 2016-10-30 1348 VY0ERC        59  2      RT4F          59  16     0
QSO: 14103 PH 2016-10-30 1403 VY0ERC        59  2      VE3JM         59  04     0
QSO: 14297 PH 2016-10-30 1435 VY0ERC        59  2      SN8B          59  15     0
QSO: 14239 PH 2016-10-30 1437 VY0ERC        59  2      DR1A          59  14     0
QSO: 14236 PH 2016-10-30 1455 VY0ERC        59  2      TM3R          59  14     0
QSO: 14242 PH 2016-10-30 1457 VY0ERC        59  2      IO2X          59  15     0
QSO: 14249 PH 2016-10-30 1459 VY0ERC        59  2      TM1X          59  14     0
QSO: 14254 PH 2016-10-30 1500 VY0ERC        59  2      HB9BS         59  14     0
QSO: 14254 PH 2016-10-30 1500 VY0ERC        59  2      TM1A          59  14     0
QSO: 14340 PH 2016-10-30 1505 VY0ERC        59  2      IY1A          59  15     0
QSO: 14193 PH 2016-10-30 1605 VY0ERC        59  2      F4ENK         59  14     0
QSO: 14209 PH 2016-10-30 1606 VY0ERC        59  2      IO9A          59  15     0
QSO: 14166 PH 2016-10-30 1615 VY0ERC        59  2      4Z5LY         59  20     0
QSO: 14196 PH 2016-10-30 1618 VY0ERC        59  2      NE3F          59  05     0
QSO: 14179 PH 2016-10-30 1806 VY0ERC        59  2      AA1K          59  05     0
QSO: 14160 PH 2016-10-30 1808 VY0ERC        59  2      W4RM          59  05     0
QSO:  7198 PH 2016-10-30 1955 VY0ERC        59  2      ED8X          59  33     0
QSO:  7108 PH 2016-10-30 2019 VY0ERC        59  2      CN3A          59  33     0
QSO: 14305 PH 2016-10-30 2113 VY0ERC        59  2      IB9T          59  15     0
QSO:  7135 PH 2016-10-30 2146 VY0ERC        59  2      K3LR          59  05     0
QSO: 14173 PH 2016-10-30 2231 VY0ERC        59  2      NV9L          59  04     0
QSO: 14197 PH 2016-10-30 2241 VY0ERC        59  2      WS9V          59  04     0
QSO: 14232 PH 2016-10-30 2358 VY0ERC        59  2      JA3YBK        59  25     0
END-OF-LOG:
