START-OF-LOG: 3.0
CALLSIGN: DN3CX
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 12096
NAME: Nele Brunner
LOCATION: DX
OPERATORS: DE1NBK
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: Much fun and 73 until 2017 de Nele (!0 years) DE1NBK/DN3CX
QSO:  7170 PH 2016-10-30 1545 DN3CX         59  14     IZ6DWH        59  15     0
QSO:  7170 PH 2016-10-30 1546 DN3CX         59  14     UY6U          59  16     0
QSO:  7170 PH 2016-10-30 1547 DN3CX         59  14     I2VRN         59  15     0
QSO:  7170 PH 2016-10-30 1547 DN3CX         59  14     F6FTB         59  14     0
QSO:  7170 PH 2016-10-30 1548 DN3CX         59  14     HB9FKK        59  14     0
QSO:  7170 PH 2016-10-30 1548 DN3CX         59  14     OJ0B          59  15     0
QSO:  7170 PH 2016-10-30 1549 DN3CX         59  14     SJ2W          59  14     0
QSO:  7170 PH 2016-10-30 1550 DN3CX         59  14     G3OCA         59  14     0
QSO:  7170 PH 2016-10-30 1551 DN3CX         59  14     A61HA         59  21     0
QSO:  7170 PH 2016-10-30 1551 DN3CX         59  14     S54G          59  15     0
QSO:  7170 PH 2016-10-30 1553 DN3CX         59  14     IZ1YC         59  15     0
QSO:  7170 PH 2016-10-30 1554 DN3CX         59  14     RK4FL         59  16     0
QSO:  7170 PH 2016-10-30 1555 DN3CX         59  14     UR7EN         59  16     0
QSO:  7170 PH 2016-10-30 1556 DN3CX         59  14     Z35O          59  15     0
QSO:  7170 PH 2016-10-30 1556 DN3CX         59  14     IN3HUU        59  15     0
QSO:  7170 PH 2016-10-30 1557 DN3CX         59  14     9A3JB         59  15     0
QSO:  7170 PH 2016-10-30 1559 DN3CX         59  14     G8KEK/P       59  14     0
QSO:  7170 PH 2016-10-30 1559 DN3CX         59  14     PI4CC         59  14     0
QSO:  7170 PH 2016-10-30 1600 DN3CX         59  14     LZ2JKW        59  20     0
QSO:  7170 PH 2016-10-30 1601 DN3CX         59  14     OE5XIL        59  15     0
QSO:  7170 PH 2016-10-30 1605 DN3CX         59  14     IS0DSW        59  15     0
QSO:  7170 PH 2016-10-30 1605 DN3CX         59  14     RC7LK         59  16     0
QSO:  7170 PH 2016-10-30 1607 DN3CX         59  14     HG1VN         59  15     0
QSO:  7170 PH 2016-10-30 1608 DN3CX         59  14     LY4T          59  15     0
QSO:  7170 PH 2016-10-30 1609 DN3CX         59  14     SW3JH         59  20     0
QSO:  7170 PH 2016-10-30 1609 DN3CX         59  14     F1TZE         59  14     0
QSO:  7170 PH 2016-10-30 1610 DN3CX         59  14     G4ADJ         59  14     0
QSO:  7170 PH 2016-10-30 1612 DN3CX         59  14     GM4LER        59  14     0
QSO:  7170 PH 2016-10-30 1612 DN3CX         59  14     MD1U          59  14     0
QSO:  7170 PH 2016-10-30 1613 DN3CX         59  14     S51DX         59  15     0
QSO:  7170 PH 2016-10-30 1613 DN3CX         59  14     9A6V          59  15     0
QSO:  7170 PH 2016-10-30 1613 DN3CX         59  14     IW2EVH        59  15     0
QSO:  7170 PH 2016-10-30 1614 DN3CX         59  14     M6PW          59  14     0
QSO:  7170 PH 2016-10-30 1615 DN3CX         59  14     TF1AM         59  40     0
QSO:  7109 PH 2016-10-30 1617 DN3CX         59  14     9K2HN         59  21     0
QSO:  7060 PH 2016-10-30 1618 DN3CX         59  14     C4A           59  20     0
QSO:  7137 PH 2016-10-30 1619 DN3CX         59  14     4L0A          59  21     0
QSO:  7175 PH 2016-10-30 1620 DN3CX         59  14     YM7KA         59  20     0
END-OF-LOG:
