START-OF-LOG: 3.0
CALLSIGN: VY1AAA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 7208
NAME: GERRY HULL
LOCATION: NT
OPERATORS: VY1JA W1VE K2LE KE1J
CLUB: YANKEE CLIPPER CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5952.0
SOAPBOX: Terrible Conditions!  Thanks to those who could make a QSO!
QSO:  7198 PH 2016-10-29 0437 VY1AAA        59  1      AL7L          59  01     0
QSO:  7000 PH 2016-10-29 0442 VY1AAA        59  1      N2IC          59  04     0
QSO:  7000 PH 2016-10-29 0447 VY1AAA        59  1      AE6Y          59  03     0
QSO:  7000 PH 2016-10-29 0503 VY1AAA        59  1      KH6LC         59  31     0
QSO:  7000 PH 2016-10-29 0950 VY1AAA        59  1      VY1AAA        59  01     0
QSO:  7000 PH 2016-10-29 0952 VY1AAA        59  1      ZM4T          59  32     0
QSO: 14190 PH 2016-10-29 1707 VY1AAA        59  1      KH7M          59  31     0
QSO: 14190 PH 2016-10-29 1708 VY1AAA        59  1      KH6CJJ        59  31     0
QSO: 14190 PH 2016-10-29 1713 VY1AAA        59  1      NA7OM         59  03     0
QSO: 14190 PH 2016-10-29 1715 VY1AAA        59  1      N6NF          59  03     0
QSO: 14190 PH 2016-10-29 1718 VY1AAA        59  1      K2RD          59  03     0
QSO: 14190 PH 2016-10-29 1719 VY1AAA        59  1      KX7YT         59  03     0
QSO: 14190 PH 2016-10-29 1720 VY1AAA        59  1      KH6J          59  31     0
QSO: 14190 PH 2016-10-29 1720 VY1AAA        59  1      NH6Y          59  31     0
QSO: 14190 PH 2016-10-29 1724 VY1AAA        59  1      KH6LC         59  31     0
QSO: 21298 PH 2016-10-29 1913 VY1AAA        59  1      W6CBR         59  03     0
QSO: 14000 PH 2016-10-29 2124 VY1AAA        59  1      N7DD          59  03     0
QSO: 14193 PH 2016-10-29 2150 VY1AAA        59  1      N5CR          59  03     0
QSO: 14193 PH 2016-10-29 2151 VY1AAA        59  1      WA6NFJ        59  03     0
QSO: 14193 PH 2016-10-29 2151 VY1AAA        59  1      KD7DEG        59  03     0
QSO: 14196 PH 2016-10-29 2157 VY1AAA        59  1      JR8YLW        59  25     0
QSO: 14189 PH 2016-10-29 2242 VY1AAA        59  1      PJ4X          59  09     0
QSO: 14000 PH 2016-10-29 2253 VY1AAA        59  1      HK1T          59  09     0
QSO: 14000 PH 2016-10-29 2254 VY1AAA        59  1      K5TR          59  04     0
QSO: 14000 PH 2016-10-29 2254 VY1AAA        59  1      KV0Q          59  04     0
QSO: 14000 PH 2016-10-29 2255 VY1AAA        59  1      N7AT          59  03     0
QSO: 14000 PH 2016-10-29 2300 VY1AAA        59  1      HI3K          59  08     0
QSO: 14000 PH 2016-10-29 2301 VY1AAA        59  1      PS2T          59  11     0
QSO: 14000 PH 2016-10-29 2305 VY1AAA        59  1      P40L          59  09     0
QSO: 14000 PH 2016-10-29 2308 VY1AAA        59  1      VY1KX         59  01     0
QSO: 14000 PH 2016-10-29 2309 VY1AAA        59  1      NA7OM         59  03     0
QSO: 14000 PH 2016-10-29 2312 VY1AAA        59  1      PJ4Q          59  09     0
QSO: 14255 PH 2016-10-29 2332 VY1AAA        59  1      PJ2T          59  09     0
QSO: 14251 PH 2016-10-29 2332 VY1AAA        59  1      N7ZG          59  03     0
QSO: 14239 PH 2016-10-29 2334 VY1AAA        59  1      LT1F          59  13     0
QSO: 14151 PH 2016-10-29 2338 VY1AAA        59  1      K3LR          59  05     0
QSO: 14190 PH 2016-10-29 2340 VY1AAA        59  1      TI1T          59  07     0
QSO: 14216 PH 2016-10-29 2347 VY1AAA        59  1      K7ZS          59  03     0
QSO: 14216 PH 2016-10-29 2347 VY1AAA        59  1      KT7E          59  03     0
QSO: 14221 PH 2016-10-29 2348 VY1AAA        59  1      N7XY          59  03     0
QSO: 14221 PH 2016-10-29 2349 VY1AAA        59  1      N6YMM         59  03     0
QSO: 14221 PH 2016-10-29 2349 VY1AAA        59  1      K7RI          59  03     0
QSO: 14221 PH 2016-10-29 2351 VY1AAA        59  1      WA7YXY        59  03     0
QSO: 14221 PH 2016-10-29 2351 VY1AAA        59  1      N2IC          59  04     0
QSO: 14221 PH 2016-10-29 2352 VY1AAA        59  1      K7IOC         59  03     0
QSO: 14221 PH 2016-10-29 2352 VY1AAA        59  1      K7CA          59  03     0
QSO: 14236 PH 2016-10-29 2356 VY1AAA        59  1      W0RIC         59  03     0
QSO: 14245 PH 2016-10-29 2357 VY1AAA        59  1      N0KQ          59  03     0
QSO: 14271 PH 2016-10-30 0003 VY1AAA        59  1      TI5M          59  07     0
QSO: 14284 PH 2016-10-30 0004 VY1AAA        59  1      LP1H          59  13     0
QSO: 21208 PH 2016-10-30 0007 VY1AAA        59  1      WN6K          59  03     0
QSO: 21324 PH 2016-10-30 0016 VY1AAA        59  1      W6AFA         59  03     0
QSO: 14196 PH 2016-10-30 0123 VY1AAA        59  1      K6XX          59  03     0
QSO: 14228 PH 2016-10-30 0125 VY1AAA        59  1      KX7M          59  03     0
QSO: 14232 PH 2016-10-30 0126 VY1AAA        59  1      W6AFA         59  03     0
QSO: 14243 PH 2016-10-30 0127 VY1AAA        59  1      W7TX          59  03     0
QSO: 14258 PH 2016-10-30 0130 VY1AAA        59  1      KA6BIM        59  03     0
QSO: 14295 PH 2016-10-30 0131 VY1AAA        59  1      NU6S          59  03     0
QSO: 14324 PH 2016-10-30 0136 VY1AAA        59  1      JA7ZFN        59  25     0
QSO:  7153 PH 2016-10-30 0821 VY1AAA        59  1      KH7M          59  31     0
QSO: 14000 PH 2016-10-30 2006 VY1AAA        59  1      N2MM          59  05     0
QSO: 14000 PH 2016-10-30 2006 VY1AAA        59  1      K9JF/7        59  03     0
QSO: 14000 PH 2016-10-30 2007 VY1AAA        59  1      KF6HI         59  03     0
QSO: 14000 PH 2016-10-30 2008 VY1AAA        59  1      K3SW          59  05     0
QSO: 14000 PH 2016-10-30 2009 VY1AAA        59  1      N4ZZ          59  04     0
END-OF-LOG:
