START-OF-LOG: 3.0
CALLSIGN: W9YK
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 66676
NAME: E F Benson
LOCATION: IL
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Always good to work the world & keep on hamming!
QSO:  3767 PH 2016-10-29 1153 W9YK          59  4      ZM1A          59  32
QSO:  3776 PH 2016-10-29 1157 W9YK          59  4      KH6LC         59  31
QSO:  7173 PH 2016-10-29 1204 W9YK          59  4      KH7CW         59  31
QSO:  7167 PH 2016-10-29 1204 W9YK          59  4      W4RM          59  05
QSO:  7144 PH 2016-10-29 1208 W9YK          59  4      KH7M          59  31
QSO:  7193 PH 2016-10-29 1211 W9YK          59  4      VK4KW         59  30
QSO:  7186 PH 2016-10-29 1212 W9YK          59  4      VC2T          59  05
QSO:  7165 PH 2016-10-29 1213 W9YK          59  4      XE2S          59  06
QSO:  7162 PH 2016-10-29 1214 W9YK          59  4      T48K          59  08
QSO:  7151 PH 2016-10-29 1216 W9YK          59  4      VK3IO         59  30
QSO:  7147 PH 2016-10-29 1217 W9YK          59  4      ZF1A          59  08
QSO:  7140 PH 2016-10-29 1229 W9YK          59  4      KH6J          59  31
QSO: 14240 PH 2016-10-29 1235 W9YK          59  4      TM4L          59  14
QSO: 14238 PH 2016-10-29 1235 W9YK          59  4      EI7M          59  14
QSO: 14221 PH 2016-10-29 1239 W9YK          59  4      PI4DX         59  14
QSO: 14197 PH 2016-10-29 1317 W9YK          59  4      VP5DX         59  08
QSO: 14192 PH 2016-10-29 1318 W9YK          59  4      PJ2T          59  09
QSO: 14187 PH 2016-10-29 1321 W9YK          59  4      HK1T          59  09
QSO: 14195 PH 2016-10-29 1428 W9YK          59  4      TG9ANF        59  07
QSO: 14183 PH 2016-10-29 1430 W9YK          59  4      N7DD          59  03
QSO: 14214 PH 2016-10-29 1433 W9YK          59  4      K5TR          59  04
QSO: 21296 PH 2016-10-29 1436 W9YK          59  4      PX2B          59  11
QSO: 21305 PH 2016-10-29 1439 W9YK          59  4      9Z4DZ         59  09
QSO: 21289 PH 2016-10-29 1440 W9YK          59  4      ZY2A          59  11
QSO: 21282 PH 2016-10-29 1441 W9YK          59  4      VP5S          59  08
QSO: 21281 PH 2016-10-29 1732 W9YK          59  4      KH6J          59  31
QSO: 21280 PH 2016-10-29 1733 W9YK          59  4      CN2R          59  33
QSO: 21247 PH 2016-10-29 1739 W9YK          59  4      HK1X          59  09
QSO: 21255 PH 2016-10-29 1751 W9YK          59  4      KP2XX         59  08
QSO: 21259 PH 2016-10-29 1752 W9YK          59  4      ZX5J          59  11
QSO: 21285 PH 2016-10-29 1753 W9YK          59  4      W6RDF         59  03
QSO: 21301 PH 2016-10-29 1755 W9YK          59  4      VP9/N3AD      59  05
QSO: 21305 PH 2016-10-29 1755 W9YK          59  4      ZF1A          59  08
QSO: 21315 PH 2016-10-29 1756 W9YK          59  4      TG9IIN        59  07
QSO: 21329 PH 2016-10-29 1757 W9YK          59  4      LU8YE         59  13
QSO: 21330 PH 2016-10-29 1758 W9YK          59  4      KP4KE         59  08
QSO: 21337 PH 2016-10-29 1800 W9YK          59  4      VP5DX         59  08
QSO: 21252 PH 2016-10-29 1802 W9YK          59  4      CE3CT         59  12
QSO: 21295 PH 2016-10-29 1807 W9YK          59  4      P40L          59  09
QSO: 21354 PH 2016-10-29 1809 W9YK          59  4      PJ4X          59  09
QSO: 21350 PH 2016-10-29 2058 W9YK          59  4      VA7QD         59  03
QSO: 21346 PH 2016-10-29 2121 W9YK          59  4      HI3K          59  08
QSO: 21340 PH 2016-10-29 2123 W9YK          59  4      8P5A          59  08
QSO: 21336 PH 2016-10-29 2123 W9YK          59  4      VE7GL         59  03
QSO: 21331 PH 2016-10-29 2124 W9YK          59  4      ZF9CW         59  08
QSO: 21328 PH 2016-10-29 2124 W9YK          59  4      PT2CM         59  11
QSO: 21312 PH 2016-10-29 2126 W9YK          59  4      KH6LC         59  31
QSO: 21293 PH 2016-10-29 2132 W9YK          59  4      ZD8W          59  36
QSO: 21284 PH 2016-10-29 2134 W9YK          59  4      TI5M          59  07
QSO: 21277 PH 2016-10-29 2135 W9YK          59  4      V3A           59  07
QSO: 21264 PH 2016-10-29 2136 W9YK          59  4      PW2D          59  11
QSO: 21260 PH 2016-10-29 2137 W9YK          59  4      XE1KK         59  06
QSO: 14220 PH 2016-10-29 2138 W9YK          59  4      CQ8M          59  14
QSO: 14198 PH 2016-10-29 2142 W9YK          59  4      TF3CW         59  40
QSO: 14189 PH 2016-10-29 2144 W9YK          59  4      PJ4X          59  09
QSO: 14184 PH 2016-10-29 2146 W9YK          59  4      KP2XX         59  08
QSO: 14180 PH 2016-10-29 2147 W9YK          59  4      KH6J          59  31
QSO: 14170 PH 2016-10-29 2148 W9YK          59  4      WE6EZ         59  04
QSO: 14200 PH 2016-10-29 2152 W9YK          59  4      FM5FJ         59  08
QSO: 14263 PH 2016-10-29 2300 W9YK          59  4      9Y4D          59  09
QSO:  3750 PH 2016-10-29 2315 W9YK          59  4      PJ2T          59  09
QSO:  7162 PH 2016-10-29 2327 W9YK          59  4      CR6K          59  14
QSO:  7154 PH 2016-10-29 2328 W9YK          59  4      CN2AA         59  33
QSO:  7163 PH 2016-10-30 0103 W9YK          59  4      VE9AA         59  05
QSO:  7140 PH 2016-10-30 0112 W9YK          59  4      IR4M          59  15
QSO:  7132 PH 2016-10-30 0114 W9YK          59  4      CB1H          59  12
QSO:  7144 PH 2016-10-30 0115 W9YK          59  4      HC2AO         59  10
QSO:  7155 PH 2016-10-30 0116 W9YK          59  4      TI5M          59  07
QSO:  7164 PH 2016-10-30 0118 W9YK          59  4      HI3K          59  08
QSO:  7203 PH 2016-10-30 0138 W9YK          59  4      YN5Z          59  07
QSO:  7216 PH 2016-10-30 0139 W9YK          59  4      V47T          59  08
QSO:  7222 PH 2016-10-30 0141 W9YK          59  4      VO2NS         59  02
QSO:  7225 PH 2016-10-30 0141 W9YK          59  4      XE2CQ         59  06
QSO:  7232 PH 2016-10-30 0143 W9YK          59  4      VP9/N3AD      59  05
QSO:  7237 PH 2016-10-30 0143 W9YK          59  4      VE6WZ         59  04
QSO:  7265 PH 2016-10-30 0144 W9YK          59  4      VE7SCC        59  03
QSO:  7181 PH 2016-10-30 0146 W9YK          59  4      IR4X          59  15
QSO:  7154 PH 2016-10-30 0148 W9YK          59  4      VP5DX         59  08
QSO:  7148 PH 2016-10-30 0149 W9YK          59  4      VE6SV         59  04
QSO:  7150 PH 2016-10-30 0151 W9YK          59  4      VE2BWL        59  05
QSO:  7171 PH 2016-10-30 0153 W9YK          59  4      EC2DX         59  14
QSO:  3705 PH 2016-10-30 0321 W9YK          59  4      VE3PN         59  04
QSO:  3770 PH 2016-10-30 0324 W9YK          59  4      6Y4V          59  08
QSO:  3761 PH 2016-10-30 0551 W9YK          59  4      CN2R          59  33
QSO:  3750 PH 2016-10-30 0555 W9YK          59  4      T42K          59  08
QSO:  3735 PH 2016-10-30 0559 W9YK          59  4      XE1RF         59  06
QSO:  3730 PH 2016-10-30 0559 W9YK          59  4      VP5DX         59  08
QSO:  7156 PH 2016-10-30 0614 W9YK          59  4      YT7A          59  15
QSO:  7154 PH 2016-10-30 0614 W9YK          59  4      OM7M          59  15
QSO:  7150 PH 2016-10-30 0615 W9YK          59  4      LZ9W          59  20
QSO:  7148 PH 2016-10-30 0616 W9YK          59  4      OM8A          59  15
QSO:  7143 PH 2016-10-30 0617 W9YK          59  4      W6YX          59  03
QSO:  7138 PH 2016-10-30 0618 W9YK          59  4      OK5W          59  15
QSO:  7134 PH 2016-10-30 0618 W9YK          59  4      S56X          59  15
QSO:  7127 PH 2016-10-30 0619 W9YK          59  4      9A7A          59  15
QSO:  7167 PH 2016-10-30 0624 W9YK          59  4      SN3A          59  15
QSO:  7182 PH 2016-10-30 0625 W9YK          59  4      9A1P          59  15
QSO:  7192 PH 2016-10-30 0628 W9YK          59  4      DL2VK         59  14
QSO:  7194 PH 2016-10-30 0629 W9YK          59  4      IK2YCW        59  15
QSO:  7147 PH 2016-10-30 1044 W9YK          59  4      VE3UTT        59  04
QSO:  7164 PH 2016-10-30 1047 W9YK          59  4      OA4O          59  10
QSO:  7166 PH 2016-10-30 1047 W9YK          59  4      W0RIC         59  03
QSO: 21298 PH 2016-10-30 1245 W9YK          59  4      CN2AA         59  33
QSO: 21257 PH 2016-10-30 1315 W9YK          59  4      ED8W          59  33
QSO: 21271 PH 2016-10-30 1332 W9YK          59  4      CN3A          59  33
QSO: 21271 PH 2016-10-30 1520 W9YK          59  4      CM2FRB        59  08
QSO: 21296 PH 2016-10-30 1522 W9YK          59  4      TI1T          59  07
QSO: 21325 PH 2016-10-30 2137 W9YK          59  4      T48K          59  08
QSO: 21328 PH 2016-10-30 2138 W9YK          59  4      LP1H          59  13
QSO: 21256 PH 2016-10-30 2139 W9YK          59  4      PY2YU         59  11
QSO: 21238 PH 2016-10-30 2144 W9YK          59  4      HP3SS         59  07
QSO: 21261 PH 2016-10-30 2214 W9YK          59  4      ZV5O          59  11
QSO: 21264 PH 2016-10-30 2215 W9YK          59  4      LU1DK         59  13
QSO: 21265 PH 2016-10-30 2215 W9YK          59  4      PJ2T          59  09
QSO: 21272 PH 2016-10-30 2216 W9YK          59  4      CB1W          59  12
QSO: 21284 PH 2016-10-30 2216 W9YK          59  4      PS2T          59  11
QSO: 21294 PH 2016-10-30 2217 W9YK          59  4      HC0E          59  10
QSO: 21301 PH 2016-10-30 2218 W9YK          59  4      CW5W          59  13
QSO: 21313 PH 2016-10-30 2219 W9YK          59  4      T46A          59  08
QSO: 14225 PH 2016-10-30 2220 W9YK          59  4      FY5KE         59  09
QSO: 14219 PH 2016-10-30 2221 W9YK          59  4      TI1T          59  07
QSO: 14212 PH 2016-10-30 2222 W9YK          59  4      6Y4V          59  08
QSO: 14205 PH 2016-10-30 2223 W9YK          59  4      K1LZ          59  05
QSO: 14203 PH 2016-10-30 2223 W9YK          59  4      P40L          59  09
QSO: 14169 PH 2016-10-30 2321 W9YK          59  4      ZY2A          59  11
QSO:  7168 PH 2016-10-30 2323 W9YK          59  4      EI7M          59  14
QSO:  7146 PH 2016-10-30 2325 W9YK          59  4      ED1R          59  14
QSO:  7147 PH 2016-10-30 2329 W9YK          59  4      VE9XX         59  05
QSO:  7227 PH 2016-10-30 2331 W9YK          59  4      VY2ZM         59  05
QSO:  7258 PH 2016-10-30 2333 W9YK          59  4      VE4VT         59  04
QSO:  7265 PH 2016-10-30 2334 W9YK          59  4      NP2N          59  08
QSO:  7182 PH 2016-10-30 2337 W9YK          59  4      WP3C          59  08
END-OF-LOG:
