START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: UP2L
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: DXLOG.NET V2.4.4
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: FIXED
OPERATORS: UNOLM UN2G UN4L UN5GV UN6LN UN7GOD UN7LZ UN7ZAF UN9GD UN9L UN9LG
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: MO13sc
QSO: 14290 PH 2019-07-13 1246 UP2L 59 30 JH0JDV 59 45 1
QSO: 14209 PH 2019-07-13 1247 UP2L 59 30 RA6CA 59 29 1
QSO: 14290 PH 2019-07-13 1247 UP2L 59 30 US0MS 59 29 1
QSO: 14187 PH 2019-07-13 1247 UP2L 59 30 LZ0HQ 59 BFRA 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 RO9O 59 31 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 DK2AT 59 28 1
QSO: 14234 PH 2019-07-13 1248 UP2L 59 30 RT4G 59 29 1
QSO: 14290 PH 2019-07-13 1248 UP2L 59 30 RM4K 59 29 1
QSO: 14290 PH 2019-07-13 1249 UP2L 59 30 PE5F 59 27 1
QSO: 14169 PH 2019-07-13 1249 UP2L 59 30 R9HQ 59 SRR 1
QSO: 14290 PH 2019-07-13 1249 UP2L 59 30 UA3OQ 59 29 1
QSO: 14290 PH 2019-07-13 1250 UP2L 59 30 ES1ACS 59 29 1
QSO: 14290 PH 2019-07-13 1250 UP2L 59 30 PA0AA 59 27 1
QSO: 14149 PH 2019-07-13 1251 UP2L 59 30 IB4Y 59 28 1
QSO: 14290 PH 2019-07-13 1251 UP2L 59 30 SN0HQ 59 PZK 1
QSO: 14290 PH 2019-07-13 1252 UP2L 59 30 YL3GQ 59 29 1
QSO: 14143 PH 2019-07-13 1252 UP2L 59 30 OH2HQ 59 SRAL 1
QSO: 14290 PH 2019-07-13 1252 UP2L 59 30 UT5ZL 59 29 1
QSO: 14290 PH 2019-07-13 1252 UP2L 59 30 SP6DVP 59 28 1
QSO: 14290 PH 2019-07-13 1253 UP2L 59 30 YB2MM 59 54 1
QSO: 14290 PH 2019-07-13 1253 UP2L 59 30 OH6ECM 59 18 1
QSO: 14194 PH 2019-07-13 1253 UP2L 59 30 YL7Z 59 29 1
QSO: 14290 PH 2019-07-13 1253 UP2L 59 30 SE5N 59 18 1
QSO: 14198 PH 2019-07-13 1254 UP2L 59 30 OH5NQ 59 18 1
QSO: 14290 PH 2019-07-13 1254 UP2L 59 30 M0XLT 59 27 1
QSO: 14290 PH 2019-07-13 1254 UP2L 59 30 JK7BEJ 59 45 1
QSO: 14290 PH 2019-07-13 1255 UP2L 59 30 LN5BBC 59 18 1
QSO: 14290 PH 2019-07-13 1255 UP2L 59 30 IK0BTR 59 28 1
QSO: 14256 PH 2019-07-13 1256 UP2L 59 30 EF4HQ 59 URE 1
QSO: 14163 PH 2019-07-13 1256 UP2L 59 30 YL2IP 59 29 1
QSO: 14290 PH 2019-07-13 1257 UP2L 59 30 PC1PM 59 27 1
QSO: 14290 PH 2019-07-13 1257 UP2L 59 30 US5QUB 59 29 1
QSO: 14290 PH 2019-07-13 1257 UP2L 59 30 EV1R 59 29 1
QSO: 14290 PH 2019-07-13 1257 UP2L 59 30 S56B 59 28 1
QSO: 14290 PH 2019-07-13 1259 UP2L 59 30 HB9COF 59 28 1
QSO: 14312 PH 2019-07-13 1259 UP2L 59 30 OL8K 59 28 1
QSO: 14290 PH 2019-07-13 1300 UP2L 59 30 SB7W 59 18 1
QSO: 14330 PH 2019-07-13 1300 UP2L 59 30 R2AD 59 29 1
QSO: 14158 PH 2019-07-13 1300 UP2L 59 30 PD2TW 59 27 1
QSO: 14290 PH 2019-07-13 1302 UP2L 59 30 JG0HEW 59 45 1
QSO: 14290 PH 2019-07-13 1302 UP2L 59 30 SQ1OD 59 28 1
QSO: 14307 PH 2019-07-13 1302 UP2L 59 30 TM1MOHN 59 27 1
QSO: 14290 PH 2019-07-13 1302 UP2L 59 30 JA9CCG 59 45 1
QSO: 14290 PH 2019-07-13 1302 UP2L 59 30 UZ5P 59 29 1
QSO: 14290 PH 2019-07-13 1302 UP2L 59 30 RM1F 59 29 1
QSO: 14290 PH 2019-07-13 1303 UP2L 59 30 US5IND 59 29 1
QSO: 14290 PH 2019-07-13 1303 UP2L 59 30 LY1NDN 59 29 1
QSO: 14290 PH 2019-07-13 1304 UP2L 59 30 IK0XBX 59 28 1
QSO: 14290 PH 2019-07-13 1304 UP2L 59 30 MI0I 59 27 1
QSO: 14278 PH 2019-07-13 1304 UP2L 59 30 DK3BK 59 28 1
QSO: 14290 PH 2019-07-13 1304 UP2L 59 30 SI3A 59 18 1
QSO: 14290 PH 2019-07-13 1304 UP2L 59 30 IK4LZH 59 28 1
QSO: 14191 PH 2019-07-13 1305 UP2L 59 30 RW1CW 59 29 1
QSO: 14290 PH 2019-07-13 1305 UP2L 59 30 HS0ZGD 59 49 1
QSO: 14290 PH 2019-07-13 1306 UP2L 59 30 UT8EL 59 29 1
QSO: 14290 PH 2019-07-13 1306 UP2L 59 30 DF9OO 59 28 1
QSO: 14290 PH 2019-07-13 1306 UP2L 59 30 SV6JHA 59 28 1
QSO: 14290 PH 2019-07-13 1307 UP2L 59 30 S56VIB 59 28 1
QSO: 14290 PH 2019-07-13 1308 UP2L 59 30 DK4VW 59 28 1
QSO: 14242 PH 2019-07-13 1308 UP2L 59 30 EI7M 59 27 1
QSO: 14261 PH 2019-07-13 1308 UP2L 59 30 SP1GA 59 28 1
QSO: 14290 PH 2019-07-13 1309 UP2L 59 30 IU5CJP 59 28 1
QSO: 14290 PH 2019-07-13 1309 UP2L 59 30 UR2Y 59 29 1
QSO: 14290 PH 2019-07-13 1311 UP2L 59 30 RA0LE 59 34 1
