START-OF-LOG: 3.0
CREATED-BY:    CT Version 10.03.002
CALLSIGN:      NR7DX
NAME:          Eric Martin
CLUB:          Northern Rockies DX Association
CLAIMED-SCORE: 201804
CONTEST:       CQ-WPX-SSB
OPERATORS:    K7ABV
OPERATORS:
SOAPBOX:    another good time...even some dx in the log...can't ask for more..
QSO: 14000 PH 2008-03-30 1654 NR7DX          59 236    N3FP          59  134    0
QSO: 14000 PH 2008-03-30 1654 NR7DX          59 237    KC8YVF        59  12     0
QSO: 14000 PH 2008-03-30 1654 NR7DX          59 238    TI7/AA2UP     59  17     0
QSO: 14000 PH 2008-03-30 1655 NR7DX          59 239    KB5SFL        59  12     0
QSO: 14000 PH 2008-03-30 1655 NR7DX          59 240    W7KAM         59  123    0
QSO: 14000 PH 2008-03-30 1655 NR7DX          59 241    WA7XX         59  752    0
QSO: 14000 PH 2008-03-30 1655 NR7DX          59 242    W9VT          59  101    0
QSO: 14000 PH 2008-03-30 1656 NR7DX          59 243    N3AZH         59  61     0
QSO: 14000 PH 2008-03-30 1656 NR7DX          59 244    N8PHU         59  25     0
QSO: 14000 PH 2008-03-30 1657 NR7DX          59 245    KM5Z          59  47     0
QSO: 14000 PH 2008-03-30 1657 NR7DX          59 246    N3UA          59  27     0
QSO: 14000 PH 2008-03-30 1657 NR7DX          59 247    N9LZY         59  59     0
QSO: 14000 PH 2008-03-30 1658 NR7DX          59 248    WD4FL         59  77     0
QSO: 14000 PH 2008-03-30 1658 NR7DX          59 249    K0DEQ         59  343    0
QSO: 14000 PH 2008-03-30 1659 NR7DX          59 250    KX2P          59  51     0
QSO: 14000 PH 2008-03-30 1659 NR7DX          59 251    N5HMH         59  92     0
QSO: 14000 PH 2008-03-30 1700 NR7DX          59 252    WB6QQU        59  31     0
QSO: 14000 PH 2008-03-30 1700 NR7DX          59 253    N9CC          59  199    0
QSO: 14000 PH 2008-03-30 1700 NR7DX          59 254    HK3Q          59  302    0
QSO: 14000 PH 2008-03-30 1701 NR7DX          59 255    WN8R          59  231    0
QSO: 14000 PH 2008-03-30 1701 NR7DX          59 256    N3MX          59  799    0
QSO: 14000 PH 2008-03-30 1701 NR7DX          59 257    N9BT          59  48     0
QSO: 14000 PH 2008-03-30 1701 NR7DX          59 258    KA9O          59  136    0
QSO: 14000 PH 2008-03-30 1702 NR7DX          59 259    N8XQM         59  50     0
QSO: 14000 PH 2008-03-30 1702 NR7DX          59 260    KD5J          59  219    0
QSO: 14000 PH 2008-03-30 1702 NR7DX          59 261    W3ANE         59  002    0
QSO: 14000 PH 2008-03-30 1703 NR7DX          59 262    W0EBE         59  100    0
QSO: 14000 PH 2008-03-30 1703 NR7DX          59 263    KD5ZPI        59  14     0
QSO: 14000 PH 2008-03-30 1703 NR7DX          59 264    N5IVZ         59  007    0
QSO: 14000 PH 2008-03-30 1704 NR7DX          59 265    WD8INW        59  005    0
QSO: 14000 PH 2008-03-30 1704 NR7DX          59 266    N3KUN         59  44     0
QSO: 14000 PH 2008-03-30 1705 NR7DX          59 267    K4UAE         59  72     0
QSO: 14000 PH 2008-03-30 1705 NR7DX          59 268    WS6K          59  117    0
QSO: 14000 PH 2008-03-30 1705 NR7DX          59 269    N2WLS         59  34     0
QSO: 14000 PH 2008-03-30 1706 NR7DX          59 270    KG4LVC        59  05     0
QSO: 14000 PH 2008-03-30 1706 NR7DX          59 271    K5LRS         59  72     0
QSO: 14000 PH 2008-03-30 1706 NR7DX          59 272    K4MIL         59  101    0
QSO: 14000 PH 2008-03-30 1707 NR7DX          59 273    W6LFB         59  98     0
QSO: 14000 PH 2008-03-30 1707 NR7DX          59 274    KN4DS         59  160    0
QSO: 14000 PH 2008-03-30 1707 NR7DX          59 275    KE4QDC        59  003    0
QSO: 14000 PH 2008-03-30 1707 NR7DX          59 276    W8JY          59  419    0
QSO: 14000 PH 2008-03-30 1708 NR7DX          59 277    NT0F          59  406    0
QSO: 14000 PH 2008-03-30 1708 NR7DX          59 278    N8MRC         59  168    0
QSO: 14000 PH 2008-03-30 1708 NR7DX          59 279    AA3B          59  824    0
QSO: 14000 PH 2008-03-30 1708 NR7DX          59 280    KT4RH         59  04     0
QSO: 14000 PH 2008-03-30 1709 NR7DX          59 281    N3HU          59  110    0
QSO: 14000 PH 2008-03-30 1709 NR7DX          59 282    WB9LRK        59  052    0
QSO: 14000 PH 2008-03-30 1710 NR7DX          59 283    W9DX          59  275    0
QSO: 14000 PH 2008-03-30 1710 NR7DX          59 284    KE5IOV        59  075    0
QSO: 14000 PH 2008-03-30 1710 NR7DX          59 285    K5EK          59  491    0
QSO: 14000 PH 2008-03-30 1711 NR7DX          59 286    KI5LA         59  23     0
QSO: 14000 PH 2008-03-30 1711 NR7DX          59 287    W8EOT         59  68     0
QSO: 14000 PH 2008-03-30 1711 NR7DX          59 288    KX9DX         59  08     0
QSO: 14000 PH 2008-03-30 1712 NR7DX          59 289    KI4ROA        59  004    0
QSO: 14000 PH 2008-03-30 1712 NR7DX          59 290    N2BJ          59  1230   0
QSO: 14000 PH 2008-03-30 1713 NR7DX          59 291    KE4WE         59  17     0
QSO: 14000 PH 2008-03-30 1714 NR7DX          59 292    KC9ARN        59  29     0
QSO: 14000 PH 2008-03-30 1714 NR7DX          59 293    WB9PNU        59  10     0
QSO: 14000 PH 2008-03-30 1714 NR7DX          59 294    VE3KCO        59  92     0
QSO: 14000 PH 2008-03-30 1715 NR7DX          59 295    W3NWS         59  41     0
QSO: 14000 PH 2008-03-30 1715 NR7DX          59 296    VE3CR         59  657    0
QSO: 14000 PH 2008-03-30 1715 NR7DX          59 297    N9FC          59  193    0
QSO: 14000 PH 2008-03-30 1716 NR7DX          59 298    KC9KIO        59  129    0
QSO: 14000 PH 2008-03-30 1716 NR7DX          59 299    WB0MDP        59  16     0
QSO: 14000 PH 2008-03-30 1717 NR7DX          59 300    W8CAM         59  113    0
QSO: 14000 PH 2008-03-30 1717 NR7DX          59 301    K4UVA         59  64     0
QSO: 21000 PH 2008-03-30 1811 NR7DX          59 302    6Y1V          59  958    0
QSO: 14000 PH 2008-03-30 1818 NR7DX          59 303    NN4P          59  14     0
QSO: 14000 PH 2008-03-30 1819 NR7DX          59 304    NE1B          59  143    0
QSO: 14000 PH 2008-03-30 1820 NR7DX          59 305    W9JA          59  456    0
QSO: 14000 PH 2008-03-30 1820 NR7DX          59 306    N9TF          59  88     0
QSO: 14000 PH 2008-03-30 1821 NR7DX          59 307    N3UC          59  131    0
QSO: 14000 PH 2008-03-30 1821 NR7DX          59 308    K3FT          59  142    0
QSO: 14000 PH 2008-03-30 1822 NR7DX          59 309    W9YK          59  133    0
QSO: 14000 PH 2008-03-30 1822 NR7DX          59 310    WR9L          59  124    0
QSO: 14000 PH 2008-03-30 1822 NR7DX          59 311    WW6O/5        59  104    0
QSO: 14000 PH 2008-03-30 1823 NR7DX          59 312    N9TV          59  009    0
QSO: 14000 PH 2008-03-30 1823 NR7DX          59 313    VE3FZ         59  303    0
