START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: OE3BKC
CATEGORY: SINGLE-OP ALL HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 12425
CREATED-BY: UcxLog 7.61
NAME: Herbert Katzgraber
SOAPBOX: RIG: TS-480SAT + PA  RM-Italy HLA-300V Plus, Ant: G5RV
QSO: 14000 CW 2016-05-22 0849 OE3BKC        599 085    EF5Y          599 A
QSO: 14000 CW 2016-05-22 0855 OE3BKC        599 086    HA3PT         599 175
QSO: 14000 CW 2016-05-22 0913 OE3BKC        599 087    SP4W          599 029
QSO: 14000 CW 2016-05-22 0914 OE3BKC        599 088    UG3G          599 040
QSO: 14000 CW 2016-05-22 0917 OE3BKC        599 089    SD6M          599 181
QSO: 14000 CW 2016-05-22 0921 OE3BKC        599 090    UA4S          599 210
QSO: 21000 CW 2016-05-22 0925 OE3BKC        599 091    EA2AAZ        599 SS
QSO: 14000 CW 2016-05-22 0929 OE3BKC        599 092    EF5T          599 MU
QSO: 14000 CW 2016-05-22 0930 OE3BKC        599 093    LY2J          599 236
QSO: 14000 CW 2016-05-22 0931 OE3BKC        599 094    RO6A          599 430
QSO: 14000 CW 2016-05-22 0932 OE3BKC        599 095    SC0N          599 543
QSO: 14000 CW 2016-05-22 0933 OE3BKC        599 096    R6CW          599 164
QSO: 14000 CW 2016-05-22 0934 OE3BKC        599 097    SP2MKI        599 133
QSO: 14000 CW 2016-05-22 0935 OE3BKC        599 098    R3AP          599 250
QSO: 14000 CW 2016-05-22 0936 OE3BKC        599 099    OP1A          599 108
QSO: 14000 CW 2016-05-22 0938 OE3BKC        599 100    RA7R          599 115
QSO: 14000 CW 2016-05-22 0940 OE3BKC        599 101    UA9MLT/8      599 252
QSO: 28000 CW 2016-05-22 1105 OE3BKC        599 102    EF3A          599 T
QSO: 21000 CW 2016-05-22 1108 OE3BKC        599 103    EA5FIV        599 A
QSO: 21000 CW 2016-05-22 1111 OE3BKC        599 104    YO9HP         599 328
QSO: 21000 CW 2016-05-22 1115 OE3BKC        599 105    LZ3PZ         599 024
QSO: 21000 CW 2016-05-22 1117 OE3BKC        599 106    UA6HFI        599 051
QSO: 21000 CW 2016-05-22 1119 OE3BKC        599 107    RX7T          599 084
QSO: 21000 CW 2016-05-22 1121 OE3BKC        599 108    EF5R          599 A
QSO: 14000 CW 2016-05-22 1122 OE3BKC        599 109    EA3NN         599 T
QSO: 14000 CW 2016-05-22 1126 OE3BKC        599 110    EC7CW         599 CA
QSO: 14000 CW 2016-05-22 1127 OE3BKC        599 111    F5IN          599 536
QSO: 14000 CW 2016-05-22 1128 OE3BKC        599 112    EC7AMY        599 SE
QSO: 14000 CW 2016-05-22 1129 OE3BKC        599 113    DL1OJ         599 133
QSO: 14000 CW 2016-05-22 1130 OE3BKC        599 114    OH7CW         599 117
QSO: 14000 CW 2016-05-22 1133 OE3BKC        599 115    DL1REM        599 101
QSO: 14000 CW 2016-05-22 1135 OE3BKC        599 116    M0BKB         599 133
QSO: 14000 CW 2016-05-22 1137 OE3BKC        599 117    R3LC          599 119
END-OF-LOG:
