START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: EA-PSK63
CATEGORY: SINGLE-OP ALL
CLAIMED-SCORE: 12993
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.5513.0
SOAPBOX: Rig TS590S, pwr 30Watts. Antenna horizontal multiband dipole, 5m high.
QSO:  7044 PS 2016-03-12 2027 PG1R          599 0027   RV3ZN         599 0071     
QSO:  7045 PS 2016-03-12 2032 PG1R          599 0028   EC1DBO        599 PO       
QSO:  7045 PS 2016-03-12 2032 PG1R          599 0029   RG5A          599 0133     
QSO:  7045 PS 2016-03-12 2034 PG1R          599 0030   EA4GEL        599 M        
QSO:  7047 PS 2016-03-12 2036 PG1R          599 0031   EA4AAZ        599 M        
QSO:  7048 PS 2016-03-12 2041 PG1R          599 0032   UA9XL         599 0124     
QSO:  7040 PS 2016-03-12 2108 PG1R          599 0033   YO3RU         599 0206     
QSO:  7041 PS 2016-03-12 2125 PG1R          599 0034   EC5JC         599 A        
QSO:  7042 PS 2016-03-12 2130 PG1R          599 0035   EA5FVQ        599 V        
QSO:  7042 PS 2016-03-12 2131 PG1R          599 0036   EE5H          599 V        
QSO:  7045 PS 2016-03-12 2140 PG1R          599 0037   EA5ERA        599 V        
QSO:  7045 PS 2016-03-12 2140 PG1R          599 0038   IT9VCE        599 0162     
QSO:  7045 PS 2016-03-12 2142 PG1R          599 0039   LZ7A          599 0203     
QSO:  3580 PS 2016-03-12 2145 PG1R          599 0040   EI3JE         599 0117     
QSO:  3581 PS 2016-03-12 2150 PG1R          599 0041   F5RD          599 0103     
QSO:  3584 PS 2016-03-12 2204 PG1R          599 0042   SQ6PNP        599 0096     
QSO:  3585 PS 2016-03-12 2210 PG1R          599 0043   DL6BR         599 0068     
QSO:  3585 PS 2016-03-12 2212 PG1R          599 0044   UR7GO         599 0275     
QSO:  3588 PS 2016-03-12 2228 PG1R          599 0045   DC9ZP         599 0136     
QSO:  3590 PS 2016-03-12 2234 PG1R          599 0046   EB5CS         599 CS       
QSO:  7044 PS 2016-03-12 2245 PG1R          599 0047   UR5LY         599 0120     
QSO:  7044 PS 2016-03-12 2247 PG1R          599 0048   CT1BXT        599 0082     
QSO:  7044 PS 2016-03-12 2316 PG1R          599 0049   UX7QV         599 0192     
QSO:  7045 PS 2016-03-12 2318 PG1R          599 0050   5B4AMM        599 0477     
QSO:  3582 PS 2016-03-12 2342 PG1R          599 0051   EF3A          599 T        
QSO:  3582 PS 2016-03-12 2344 PG1R          599 0052   EA1YO         599 S        
QSO:  3583 PS 2016-03-12 2345 PG1R          599 0053   ED3D          599 GI       
QSO:  3583 PS 2016-03-12 2351 PG1R          599 0054   S51AF         599 0330     
QSO:  3585 PS 2016-03-13 0001 PG1R          599 0055   OK2EA         599 0167     
QSO:  3586 PS 2016-03-13 0005 PG1R          599 0056   OK2UYU        599 0149     
QSO: 21071 PS 2016-03-13 1014 PG1R          599 0057   RA3GZ         599 0279     
QSO: 21073 PS 2016-03-13 1025 PG1R          599 0058   UX7QV         599 0378     
QSO: 21072 PS 2016-03-13 1035 PG1R          599 0059   UA3PI         599 0550     
QSO: 14074 PS 2016-03-13 1048 PG1R          599 0060   YO2RR         599 0244     
QSO: 14068 PS 2016-03-13 1052 PG1R          599 0061   EW6DM         599 0132     
QSO: 14068 PS 2016-03-13 1053 PG1R          599 0062   LZ2ZY         599 0027     
QSO: 14069 PS 2016-03-13 1054 PG1R          599 0063   UT3RS         599 0224     
QSO: 14069 PS 2016-03-13 1055 PG1R          599 0064   R3PV          599 0239     
QSO: 14070 PS 2016-03-13 1101 PG1R          599 0065   UA9XL         599 0427     
QSO: 14070 PS 2016-03-13 1102 PG1R          599 0066   EA4GJJ        599 GU       
QSO: 14070 PS 2016-03-13 1105 PG1R          599 0067   YO9AGN        599 0133     
QSO: 14071 PS 2016-03-13 1109 PG1R          599 0068   EA4RCH        599 M        
QSO: 14072 PS 2016-03-13 1114 PG1R          599 0069   EC1DBO        599 PO       
QSO: 14072 PS 2016-03-13 1117 PG1R          599 0070   UA6CE         599 0320     
QSO: 14073 PS 2016-03-13 1121 PG1R          599 0071   UX0SX         599 0198     
QSO: 14074 PS 2016-03-13 1122 PG1R          599 0072   ES4RD         599 0298     
QSO: 14074 PS 2016-03-13 1124 PG1R          599 0073   RZ9AD         599 0224     
QSO: 14074 PS 2016-03-13 1125 PG1R          599 0074   EB1RL/2       599 VI       
QSO: 14075 PS 2016-03-13 1127 PG1R          599 0075   EA1RCR        599 LO       
QSO: 14078 PS 2016-03-13 1133 PG1R          599 0076   HG8C          599 0222     
QSO: 14079 PS 2016-03-13 1134 PG1R          599 0077   IT9PZM        599 0299     
QSO: 21074 PS 2016-03-13 1150 PG1R          599 0078   R7AB          599 0302     
QSO: 14070 PS 2016-03-13 1207 PG1R          599 0079   S51AF         599 0653     
QSO: 14070 PS 2016-03-13 1211 PG1R          599 0080   RA4HL         599 0453     
QSO: 14071 PS 2016-03-13 1213 PG1R          599 0081   YO7CVL        599 0064     
QSO: 14072 PS 2016-03-13 1215 PG1R          599 0082   UT8NT         599 0270     
QSO: 14072 PS 2016-03-13 1218 PG1R          599 0083   YM1KD         599 0055     
QSO: 14074 PS 2016-03-13 1223 PG1R          599 0084   HA6NL         599 0472     
QSO: 14074 PS 2016-03-13 1225 PG1R          599 0085   RX6BH         599 0286     
QSO: 14075 PS 2016-03-13 1227 PG1R          599 0086   UX0ZAB        599 0203     
QSO: 14076 PS 2016-03-13 1231 PG1R          599 0087   EA1MI         599 SG       
QSO: 14070 PS 2016-03-13 1233 PG1R          599 0088   CT1BXT        599 0167     
QSO: 14071 PS 2016-03-13 1237 PG1R          599 0089   OH8A          599 0061     
QSO: 14071 PS 2016-03-13 1239 PG1R          599 0090   YU7AU         599 0297     
QSO: 14074 PS 2016-03-13 1248 PG1R          599 0091   RV3ZN         599 0207     
QSO: 14074 PS 2016-03-13 1251 PG1R          599 0092   EA3GP         599 T        
QSO: 14075 PS 2016-03-13 1254 PG1R          599 0093   UX7QV         599 0445     
QSO: 14075 PS 2016-03-13 1255 PG1R          599 0094   RJ3F          599 0121     
QSO: 14071 PS 2016-03-13 1516 PG1R          599 0095   RG5A          599 0711     
QSO: 14071 PS 2016-03-13 1517 PG1R          599 0096   YO5TP         599 0145     
QSO: 14073 PS 2016-03-13 1526 PG1R          599 0097   EF3A          599 T        
QSO: 14068 PS 2016-03-13 1531 PG1R          599 0098   LZ2WE         599 0082     
QSO: 14068 PS 2016-03-13 1532 PG1R          599 0099   OH2BBT        599 0120     
QSO: 14068 PS 2016-03-13 1534 PG1R          599 0100   EA5DM         599 A        
QSO: 14069 PS 2016-03-13 1536 PG1R          599 0101   EA5GMB        599 MU       
QSO: 14069 PS 2016-03-13 1537 PG1R          599 0102   IZ8GNR        599 0132     
QSO: 14070 PS 2016-03-13 1541 PG1R          599 0103   PA0FVH        599 0102     
QSO: 14070 PS 2016-03-13 1542 PG1R          599 0104   YO3RU         599 0620     
QSO: 14070 PS 2016-03-13 1545 PG1R          599 0105   EA1AF         599 P        
QSO: 14072 PS 2016-03-13 1548 PG1R          599 0106   LZ7A          599 0375     
QSO: 14073 PS 2016-03-13 1550 PG1R          599 0107   TF2MSN        599 0155     
QSO: 14074 PS 2016-03-13 1555 PG1R          599 0108   UX1IW         599 0201     
QSO: 14074 PS 2016-03-13 1557 PG1R          599 0109   EB5CS         599 CS       
END-OF-LOG:
