START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: VK9LQ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: QF98
CLAIMED-SCORE: 31500
NAME: Michael Noertemann
OPERATORS: DF8AN
CLUB:
CREATED-BY: UcxLog 7.98
SOAPBOX: Not many stations turned their antenna to VK9L. Enjoyed the contest.
QSO:  7000 CW 2019-11-23 1050 VK9LQ         599 30     JL1IEO        599 25     0
QSO:  7000 CW 2019-11-23 1051 VK9LQ         599 30     JR2ATZ        599 25     0
QSO:  7000 CW 2019-11-23 1052 VK9LQ         599 30     VK2XZ         599 30     0
QSO:  7000 CW 2019-11-23 1052 VK9LQ         599 30     FK8CE         599 32     0
QSO:  7000 CW 2019-11-23 1053 VK9LQ         599 30     VK6IR         599 29     0
QSO:  7000 CW 2019-11-23 1054 VK9LQ         599 30     VK3GA         599 30     0
QSO:  7000 CW 2019-11-23 1054 VK9LQ         599 30     JA5CIC        599 25     0
QSO:  7000 CW 2019-11-23 1056 VK9LQ         599 30     JA5WIO        599 25     0
QSO:  7000 CW 2019-11-23 1056 VK9LQ         599 30     JA6MWW        599 25     0
QSO:  7000 CW 2019-11-23 1058 VK9LQ         599 30     VE6SV         599 04     0
QSO:  7000 CW 2019-11-23 1100 VK9LQ         599 30     JA6CDC        599 25     0
QSO:  7000 CW 2019-11-23 1102 VK9LQ         599 30     PJ4K          599 09     0
QSO:  7000 CW 2019-11-23 1104 VK9LQ         599 30     K1TTT         599 5      0
QSO:  7000 CW 2019-11-23 1104 VK9LQ         599 30     JA1MJT        599 25     0
QSO:  3500 CW 2019-11-23 1110 VK9LQ         599 30     VK2DX         599 30     0
QSO:  3500 CW 2019-11-23 1111 VK9LQ         599 30     VK2IM         599 30     0
QSO:  3500 CW 2019-11-23 1131 VK9LQ         599 30     VK2PN         599 30     0
QSO:  3500 CW 2019-11-23 1132 VK9LQ         599 30     ZM1A          599 32     0
QSO: 14000 CW 2019-11-23 1148 VK9LQ         599 30     N3SL          599 5      0
QSO: 14000 CW 2019-11-23 1152 VK9LQ         599 30     PA3FQA        599 14     0
QSO: 14000 CW 2019-11-23 1153 VK9LQ         599 30     VK6WX         599 29     0
QSO: 14000 CW 2019-11-23 1153 VK9LQ         599 30     4F2KWT        599 27     0
QSO: 14000 CW 2019-11-23 1156 VK9LQ         599 30     YT5A          599 15     0
QSO: 14000 CW 2019-11-23 1157 VK9LQ         599 30     JI7GBI        599 25     0
QSO: 14000 CW 2019-11-23 1208 VK9LQ         599 30     VK2IA         599 30     0
QSO: 14000 CW 2019-11-23 1212 VK9LQ         599 30     DL0CS         599 14     0
QSO: 14000 CW 2019-11-23 1213 VK9LQ         599 30     DL5AXX        599 14     0
QSO: 14000 CW 2019-11-23 1216 VK9LQ         599 30     OE5OHO        599 15     0
QSO: 14000 CW 2019-11-23 1228 VK9LQ         599 30     OM7M          599 15     0
QSO: 14000 CW 2019-11-23 1229 VK9LQ         599 30     DR4A          599 14     0
QSO: 14000 CW 2019-11-23 1233 VK9LQ         599 30     CR3DX         599 33     0
QSO: 14000 CW 2019-11-23 1235 VK9LQ         599 30     DK2GZ         599 14     0
QSO: 14000 CW 2019-11-23 1235 VK9LQ         599 30     UT5URW        599 16     0
QSO: 14000 CW 2019-11-23 1240 VK9LQ         599 30     RA6GW         599 16     0
QSO: 14000 CW 2019-11-23 1242 VK9LQ         599 30     DP7X          599 14     0
QSO: 14000 CW 2019-11-23 1242 VK9LQ         599 30     P33W          599 20     0
QSO: 14000 CW 2019-11-23 1243 VK9LQ         599 30     YU5R          599 15     0
QSO: 14000 CW 2019-11-23 1245 VK9LQ         599 30     R3EG          599 16     0
QSO: 14000 CW 2019-11-23 1247 VK9LQ         599 30     LY2W          599 15     0
QSO: 14000 CW 2019-11-23 1258 VK9LQ         599 30     DJ5MW         599 14     0
QSO: 21000 CW 2019-11-23 2150 VK9LQ         599 30     ZM1A          599 32     0
QSO: 21000 CW 2019-11-23 2151 VK9LQ         599 30     VK2IM         599 30     0
QSO: 21000 CW 2019-11-23 2152 VK9LQ         599 30     VK2GR         599 30     0
QSO: 21000 CW 2019-11-23 2202 VK9LQ         599 30     VK3IO         599 30     0
QSO: 21000 CW 2019-11-23 2205 VK9LQ         599 30     ZL3AL         599 32     0
QSO: 21000 CW 2019-11-23 2221 VK9LQ         599 30     VK5GR         599 30     0
QSO: 21000 CW 2019-11-23 2223 VK9LQ         599 30     ZL2AGY        599 32     0
QSO: 21000 CW 2019-11-23 2233 VK9LQ         599 30     VK2PN         599 30     0
QSO: 21000 CW 2019-11-24 0002 VK9LQ         599 30     ZM2B          599 32     0
QSO: 21000 CW 2019-11-24 0145 VK9LQ         599 30     VK2IA         599 30     0
QSO:  7000 CW 2019-11-24 0706 VK9LQ         599 30     VK2IM         599 30     0
QSO:  7000 CW 2019-11-24 0715 VK9LQ         599 30     9A1A          599 15     0
QSO:  7000 CW 2019-11-24 0717 VK9LQ         599 30     9A2EU         599 15     0
QSO:  7000 CW 2019-11-24 0814 VK9LQ         599 30     DJ6OI         599 14     0
QSO: 14000 CW 2019-11-24 0948 VK9LQ         599 30     ES9C          599 15     0
QSO:  7000 CW 2019-11-24 1018 VK9LQ         599 30     VK3MI         599 30     0
QSO:  7000 CW 2019-11-24 1038 VK9LQ         599 30     RW0A          599 18     0
QSO: 21000 CW 2019-11-24 2137 VK9LQ         599 30     VK3KTT        599 30     0
QSO: 21000 CW 2019-11-24 2141 VK9LQ         599 30     VK2PW         599 30     0
QSO: 21000 CW 2019-11-24 2142 VK9LQ         599 30     VK4CH         599 30     0
QSO: 21000 CW 2019-11-24 2144 VK9LQ         599 30     VK2ALR        599 30     0
QSO: 21000 CW 2019-11-24 2202 VK9LQ         599 30     VK3BDX        599 30     0
QSO: 21000 CW 2019-11-24 2205 VK9LQ         599 30     VK3MH         599 30     0
QSO: 21000 CW 2019-11-24 2235 VK9LQ         599 30     VK3GK         599 30     0
QSO: 21000 CW 2019-11-24 2239 VK9LQ         599 30     VK7GN         599 30     0
QSO: 21000 CW 2019-11-24 2244 VK9LQ         599 30     JH8YOH        599 25     0
QSO: 28000 CW 2019-11-24 2259 VK9LQ         599 30     VK2WQ         599 30     0
QSO: 28000 CW 2019-11-24 2300 VK9LQ         599 30     VK2GR         599 30     0
QSO: 28000 CW 2019-11-24 2303 VK9LQ         599 30     VK2PN         599 30     0
QSO: 14000 CW 2019-11-24 2323 VK9LQ         599 30     JA2YBK        599 25     0
QSO: 14000 CW 2019-11-24 2331 VK9LQ         599 30     JH7CVM        599 25     0
QSO: 14000 CW 2019-11-24 2332 VK9LQ         599 30     JA1ADU        599 25     0
QSO: 14000 CW 2019-11-24 2333 VK9LQ         599 30     JH5PXJ        599 25     0
QSO: 14000 CW 2019-11-24 2333 VK9LQ         599 30     JF1SEK        599 25     0
QSO: 14000 CW 2019-11-24 2334 VK9LQ         599 30     JA6FIO        599 25     0
QSO: 14000 CW 2019-11-24 2335 VK9LQ         599 30     KH7B          599 31     0
QSO: 14000 CW 2019-11-24 2335 VK9LQ         599 30     JR6EZE        599 25     0
QSO: 14000 CW 2019-11-24 2336 VK9LQ         599 30     JR1BLX        599 25     0
QSO: 14000 CW 2019-11-24 2337 VK9LQ         599 30     JR1WYW        599 25     0
QSO: 14000 CW 2019-11-24 2338 VK9LQ         599 30     JL1RUC        599 25     0
QSO: 14000 CW 2019-11-24 2338 VK9LQ         599 30     JH4IFF        599 25     0
QSO: 14000 CW 2019-11-24 2339 VK9LQ         599 30     JR3NZC        599 25     0
QSO: 14000 CW 2019-11-24 2339 VK9LQ         599 30     JG3LGD        599 25     0
QSO: 14000 CW 2019-11-24 2340 VK9LQ         599 30     JA6MWW        599 25     0
QSO: 14000 CW 2019-11-24 2340 VK9LQ         599 30     ZM1M          599 32     0
QSO: 14000 CW 2019-11-24 2341 VK9LQ         599 30     JL1UTS        599 25     0
QSO: 14000 CW 2019-11-24 2342 VK9LQ         599 30     JA3YBK        599 25     0
QSO: 14000 CW 2019-11-24 2343 VK9LQ         599 30     ZL1TM         599 32     0
QSO: 14000 CW 2019-11-24 2344 VK9LQ         599 30     JH2SON        599 25     0
QSO: 14000 CW 2019-11-24 2344 VK9LQ         599 30     JF7XKY        599 25     0
QSO: 14000 CW 2019-11-24 2345 VK9LQ         599 30     JR3EOI        599 25     0
QSO: 14000 CW 2019-11-24 2345 VK9LQ         599 30     JI1BDQ        599 25     0
QSO: 14000 CW 2019-11-24 2346 VK9LQ         599 30     JK1PIU        599 25     0
QSO: 14000 CW 2019-11-24 2347 VK9LQ         599 30     JH4ADK        599 25     0
QSO: 14000 CW 2019-11-24 2347 VK9LQ         599 30     JG6YLY        599 25     0
QSO: 14000 CW 2019-11-24 2348 VK9LQ         599 30     JO1OEI        599 25     0
QSO: 14000 CW 2019-11-24 2348 VK9LQ         599 30     JA9IWR        599 25     0
QSO: 14000 CW 2019-11-24 2349 VK9LQ         599 30     JA0CXQ        599 25     0
QSO: 14000 CW 2019-11-24 2349 VK9LQ         599 30     JH4HMG        599 25     0
QSO: 14000 CW 2019-11-24 2350 VK9LQ         599 30     JH3QMF        599 25     0
QSO: 14000 CW 2019-11-24 2351 VK9LQ         599 30     JA7ACM        599 25     0
QSO: 14000 CW 2019-11-24 2351 VK9LQ         599 30     JA3OOK        599 25     0
QSO: 14000 CW 2019-11-24 2352 VK9LQ         599 30     JN7TAN        599 25     0
QSO: 14000 CW 2019-11-24 2352 VK9LQ         599 30     JH1EIG        599 25     0
QSO: 14000 CW 2019-11-24 2353 VK9LQ         599 30     N7DD          599 3      0
QSO: 14000 CW 2019-11-24 2353 VK9LQ         599 30     JA1SFL        599 25     0
QSO: 14000 CW 2019-11-24 2355 VK9LQ         599 30     JA2HYD        599 25     0
QSO: 14000 CW 2019-11-24 2356 VK9LQ         599 30     JG3FEA        599 25     0
QSO: 14000 CW 2019-11-24 2359 VK9LQ         599 30     JR2GRX        599 25     0
END-OF-LOG:
