START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: TM7K
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO00TQ
CLAIMED-SCORE: 31640
NAME: SAUVAGE GUILLAUME
OPERATORS: F4FET
CLUB: CLIPPERTON DX CLUB
CREATED-BY: Win-Test 4.29.0
SOAPBOX: FT2000 - 300w - multi dipoles, cw skimmer & win-test
QSO: 14021 CW 2019-11-23 1021 TM7K          599 14     R7AB          599 16     0
QSO: 14022 CW 2019-11-23 1022 TM7K          599 14     UR5R          599 16     0
QSO: 21000 CW 2019-11-23 1045 TM7K          599 14     UB7K          599 16     0
QSO: 21009 CW 2019-11-23 1046 TM7K          599 14     R7AW          599 16     0
QSO: 21048 CW 2019-11-23 1051 TM7K          599 14     5B/RN3QO      599 20     0
QSO: 21013 CW 2019-11-23 1106 TM7K          599 14     CR3X          599 33     0
QSO: 21014 CW 2019-11-23 1110 TM7K          599 14     3B8M          599 39     0
QSO: 21025 CW 2019-11-23 1112 TM7K          599 14     SV9DJO        599 20     0
QSO: 21027 CW 2019-11-23 1115 TM7K          599 14     EA8/IK1PMR    599 33     0
QSO: 21003 CW 2019-11-23 1136 TM7K          599 14     6V7A          599 35     0
QSO: 21026 CW 2019-11-23 1246 TM7K          599 14     KP3DX         599 08     0
QSO: 21048 CW 2019-11-23 1300 TM7K          599 14     V47T          599 08     0
QSO: 21018 CW 2019-11-23 1359 TM7K          599 14     N4AF          599 05     0
QSO: 21025 CW 2019-11-23 1401 TM7K          599 14     N1LN          599 05     0
QSO: 21038 CW 2019-11-23 1403 TM7K          599 14     NO9E          599 05     0
QSO: 21002 CW 2019-11-23 1406 TM7K          599 14     W4CB          599 05     0
QSO: 21003 CW 2019-11-23 1408 TM7K          599 14     K4TCG         599 04     0
QSO: 21012 CW 2019-11-23 1411 TM7K          599 14     VY2TT         599 05     0
QSO: 21033 CW 2019-11-23 1415 TM7K          599 14     F2YT          599 14     0
QSO: 28026 CW 2019-11-23 1631 TM7K          599 14     PY2EX         599 11     0
QSO: 28017 CW 2019-11-23 1632 TM7K          599 14     YU7EE         599 15     0
QSO: 28021 CW 2019-11-23 1649 TM7K          599 14     OL0M          599 15     0
QSO: 28011 CW 2019-11-23 1701 TM7K          599 14     LZ9W          599 20     0
QSO: 28022 CW 2019-11-23 1702 TM7K          599 14     YT5A          599 15     0
QSO: 21007 CW 2019-11-23 1707 TM7K          599 14     YT5A          599 15     0
QSO: 21023 CW 2019-11-23 1708 TM7K          599 14     LZ9W          599 20     0
QSO: 21033 CW 2019-11-23 1709 TM7K          599 14     9A1A          599 15     0
QSO: 14039 CW 2019-11-23 1737 TM7K          599 14     F2YT          599 14     0
QSO: 14029 CW 2019-11-23 1739 TM7K          599 14     E7DX          599 15     0
QSO:  3518 CW 2019-11-23 1742 TM7K          599 14     F6AGM         599 14     0
QSO:  3525 CW 2019-11-23 1746 TM7K          599 14     F6KOP         599 14     0
QSO:  1816 CW 2019-11-23 1755 TM7K          599 14     G5W           599 14     0
QSO:  3500 CW 2019-11-23 1759 TM7K          599 14     R2AA          599 16     0
QSO:  3502 CW 2019-11-23 1800 TM7K          599 14     LY2K          599 15     0
QSO:  3503 CW 2019-11-23 1804 TM7K          599 14     SM7RYR        599 14     0
QSO:  3505 CW 2019-11-23 1807 TM7K          599 14     RW0A          599 18     0
QSO:  3508 CW 2019-11-23 1812 TM7K          599 14     RK9CYA        599 17     0
QSO:  3504 CW 2019-11-23 1817 TM7K          599 14     OH0Z          599 15     0
QSO:  3528 CW 2019-11-23 1818 TM7K          599 14     YU3EEA        599 15     0
QSO:  3537 CW 2019-11-23 1820 TM7K          599 14     DQ0U          599 14     0
QSO:  3542 CW 2019-11-23 1822 TM7K          599 14     S53BB         599 15     0
QSO:  3543 CW 2019-11-23 1822 TM7K          599 14     UP4L          599 17     0
QSO:  3544 CW 2019-11-23 1825 TM7K          599 14     Z37Y          599 15     0
QSO:  3541 CW 2019-11-23 1828 TM7K          599 14     OZ1IKY        599 14     0
QSO:  3544 CW 2019-11-23 1829 TM7K          599 14     SO3O          599 15     0
QSO:  3545 CW 2019-11-23 1830 TM7K          599 14     EF8R          599 33     0
QSO:  3546 CW 2019-11-23 1832 TM7K          599 14     DL1WA         599 14     0
QSO:  3547 CW 2019-11-23 1833 TM7K          599 14     ES3VI         599 15     0
QSO:  7001 CW 2019-11-23 1839 TM7K          599 14     MU2K          599 14     0
QSO:  7038 CW 2019-11-23 1842 TM7K          599 14     E7DX          599 15     0
QSO:  7039 CW 2019-11-23 1845 TM7K          599 14     RN9T          599 16     0
QSO:  7002 CW 2019-11-23 1849 TM7K          599 14     4O3A          599 15     0
QSO:  7004 CW 2019-11-23 1851 TM7K          599 14     RM9A          599 17     0
QSO:  7005 CW 2019-11-23 1854 TM7K          599 14     LY2K          599 15     0
QSO:  7005 CW 2019-11-23 1857 TM7K          599 14     UT4U          599 16     0
QSO:  7008 CW 2019-11-23 1858 TM7K          599 14     LZ6E          599 20     0
QSO:  7011 CW 2019-11-23 1900 TM7K          599 14     YT5A          599 15     0
QSO:  7024 CW 2019-11-23 1903 TM7K          599 14     CR3W          599 33     0
QSO:  7013 CW 2019-11-23 1910 TM7K          599 14     4L8A          599 21     0
QSO:  7003 CW 2019-11-23 1912 TM7K          599 14     EF5F          599 14     0
QSO:  7025 CW 2019-11-23 1917 TM7K          599 14     9A1A          599 15     0
QSO:  1825 CW 2019-11-24 0619 TM7K          599 14     G3V           599 14     0
QSO:  1826 CW 2019-11-24 0622 TM7K          599 14     DJ0MDR        599 14     0
QSO:  3501 CW 2019-11-24 0627 TM7K          599 14     AA1K          599 05     0
QSO:  3505 CW 2019-11-24 0631 TM7K          599 14     G6XX          599 14     0
QSO:  3508 CW 2019-11-24 0633 TM7K          599 14     W1KM          599 05     0
QSO:  3508 CW 2019-11-24 0634 TM7K          599 14     WW4LL         599 05     0
QSO:  3509 CW 2019-11-24 0635 TM7K          599 14     S53X          599 15     0
QSO:  3513 CW 2019-11-24 0645 TM7K          599 14     HA8RM         599 15     0
QSO:  3515 CW 2019-11-24 0653 TM7K          599 14     WX0B          599 04     0
QSO:  3516 CW 2019-11-24 0655 TM7K          599 14     OK1DJS        599 15     0
QSO:  3540 CW 2019-11-24 0658 TM7K          599 14     CR5E          599 14     0
QSO:  3548 CW 2019-11-24 0659 TM7K          599 14     CR3W          599 33     0
QSO:  3548 CW 2019-11-24 0700 TM7K          599 14     V26K          599 08     0
QSO:  3548 CW 2019-11-24 0707 TM7K          599 14     PJ4A          599 09     0
QSO:  3552 CW 2019-11-24 0717 TM7K          599 14     TI7W          599 07     0
QSO:  3525 CW 2019-11-24 0723 TM7K          599 14     VY2TT         599 05     0
QSO:  3511 CW 2019-11-24 0723 TM7K          599 14     ZF1A          599 08     0
QSO:  3504 CW 2019-11-24 0733 TM7K          599 14     C6AGU         599 08     0
QSO:  3550 CW 2019-11-24 0749 TM7K          599 14     VP5M          599 08     0
QSO:  3544 CW 2019-11-24 0750 TM7K          599 14     PZ5W          599 09     0
QSO:  3545 CW 2019-11-24 0752 TM7K          599 14     PI4DX         599 14     0
QSO:  3543 CW 2019-11-24 0804 TM7K          599 14     HK1MW         599 09     0
QSO:  3556 CW 2019-11-24 0809 TM7K          599 14     8P5A          599 08     0
QSO:  7020 CW 2019-11-24 0811 TM7K          599 14     WX0B          599 04     0
QSO:  7021 CW 2019-11-24 0812 TM7K          599 14     C6AGU         599 08     0
QSO:  7013 CW 2019-11-24 0815 TM7K          599 14     HB0A          599 14     0
QSO:  7027 CW 2019-11-24 0817 TM7K          599 14     HA2NA         599 15     0
QSO:  7004 CW 2019-11-24 0819 TM7K          599 14     OQ5M          599 14     0
END-OF-LOG:
