START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: N0CC
LOCATION: NNJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR:
CLAIMED-SCORE: 41044
NAME: Christopher Carson
OPERATORS: N0CC
CLUB: South Plainfield Amateur Radiio Club
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: First time to submit a log.  Had great fun.
QSO: 21016 CW 2019-11-23 1957 N0CC          599 5      LU2WA         599 13
QSO: 14086 CW 2019-11-23 2036 N0CC          599 5      CE3DNP        599 12
QSO: 14027 CW 2019-11-23 2049 N0CC          599 5      C6AGU         599 08
QSO: 14035 CW 2019-11-23 2054 N0CC          599 5      YT3X          599 15
QSO: 14040 CW 2019-11-23 2059 N0CC          599 5      OH8L          599 15
QSO: 14043 CW 2019-11-23 2110 N0CC          599 5      YT5A          599 15
QSO: 14034 CW 2019-11-23 2111 N0CC          599 5      F5TRO         599 14
QSO:  7009 CW 2019-11-23 2115 N0CC          599 5      ED8W          599 33
QSO:  7011 CW 2019-11-23 2117 N0CC          599 5      XL3A          599 04
QSO:  7054 CW 2019-11-23 2128 N0CC          599 5      PJ5/SP6EQZ    599 08
QSO:  7060 CW 2019-11-23 2130 N0CC          599 5      HA1AG         599 15
QSO:  7066 CW 2019-11-23 2131 N0CC          599 5      FY5KE         599 09
QSO:  7060 CW 2019-11-23 2140 N0CC          599 5      HA1AG         599 15
QSO:  7029 CW 2019-11-24 1204 N0CC          599 5      VE9AA         599 05
QSO: 14004 CW 2019-11-24 1213 N0CC          599 5      PA1AW         599 14
QSO: 14017 CW 2019-11-24 1215 N0CC          599 5      M6T           599 14
QSO: 14030 CW 2019-11-24 1225 N0CC          599 5      OM4Q          599 15
QSO: 14032 CW 2019-11-24 1227 N0CC          599 5      HG6N          599 15
QSO: 14033 CW 2019-11-24 1230 N0CC          599 5      DP7X          599 14
QSO: 14058 CW 2019-11-24 1243 N0CC          599 5      IR2C          599 15
QSO: 14116 CW 2019-11-24 1248 N0CC          599 5      ZF9CW         599 08
QSO: 21053 CW 2019-11-24 1253 N0CC          599 5      8P5A          599 08
QSO: 21042 CW 2019-11-24 1306 N0CC          599 5      TI7W          599 07
QSO: 14002 CW 2019-11-24 1309 N0CC          599 5      UB7K          599 16
QSO: 14017 CW 2019-11-24 1317 N0CC          599 5      DP7D          599 14
QSO: 14021 CW 2019-11-24 1319 N0CC          599 5      HG1S          599 15
QSO: 14036 CW 2019-11-24 1327 N0CC          599 5      LZ9W          599 20
QSO: 14039 CW 2019-11-24 1329 N0CC          599 5      UY5ZZ         599 16
QSO: 14048 CW 2019-11-24 1338 N0CC          599 5      HG8R          599 15
QSO: 14056 CW 2019-11-24 1344 N0CC          599 5      YL2BJ         599 15
QSO: 14058 CW 2019-11-24 1348 N0CC          599 5      HB9CA         599 14
QSO: 14062 CW 2019-11-24 1352 N0CC          599 5      PI4CC         599 14
QSO: 14064 CW 2019-11-24 1355 N0CC          599 5      SP4TKR        599 15
QSO: 14065 CW 2019-11-24 1356 N0CC          599 5      LY0A          599 15
QSO: 14094 CW 2019-11-24 1410 N0CC          599 5      J42L          599 20
QSO: 14094 CW 2019-11-24 1412 N0CC          599 5      Z3B           599 15
QSO: 14112 CW 2019-11-24 1416 N0CC          599 5      OE3KAB        599 15
QSO: 14117 CW 2019-11-24 1418 N0CC          599 5      YN2CC         599 07
QSO: 14004 CW 2019-11-24 1440 N0CC          599 5      GM3X          599 14
QSO: 14008 CW 2019-11-24 1454 N0CC          599 5      OL3Z          599 15
QSO: 14008 CW 2019-11-24 1456 N0CC          599 5      OP4K          599 14
QSO: 14009 CW 2019-11-24 1456 N0CC          599 5      HG0Y          599 15
QSO: 14021 CW 2019-11-24 1504 N0CC          599 5      9A1A          599 15
QSO: 14028 CW 2019-11-24 1511 N0CC          599 5      RT6A          599 16
QSO: 14029 CW 2019-11-24 1513 N0CC          599 5      9A7A          599 15
QSO: 14032 CW 2019-11-24 1517 N0CC          599 5      HG6N          599 15
QSO: 14042 CW 2019-11-24 1527 N0CC          599 5      C56XA         599 35
QSO: 14092 CW 2019-11-24 1949 N0CC          599 5      8P5A          599 08
QSO: 14098 CW 2019-11-24 1950 N0CC          599 5      J68GD         599 08
QSO: 21035 CW 2019-11-24 2013 N0CC          599 5      PJ2T          599 09
QSO: 21038 CW 2019-11-24 2014 N0CC          599 5      OA4SS         599 10
QSO: 21016 CW 2019-11-24 2020 N0CC          599 5      PX2A          599 11
QSO:  7053 CW 2019-11-24 2031 N0CC          599 5      VA2WA         599 05
QSO:  7071 CW 2019-11-24 2036 N0CC          599 5      DL2CC         599 14
QSO:  7086 CW 2019-11-24 2038 N0CC          599 5      OM7RU         599 15
QSO:  7093 CW 2019-11-24 2040 N0CC          599 5      F5MUX         599 14
QSO: 14024 CW 2019-11-24 2047 N0CC          599 5      PZ5W          599 09
QSO: 14014 CW 2019-11-24 2049 N0CC          599 5      9Z4Y          599 09
QSO: 14090 CW 2019-11-24 2053 N0CC          599 5      V55A          599 38
QSO: 14033 CW 2019-11-24 2109 N0CC          599 5      V26K          599 08
QSO: 14052 CW 2019-11-24 2113 N0CC          599 5      V4/WX4G       599 08
QSO: 14069 CW 2019-11-24 2127 N0CC          599 5      YW1K          599 09
QSO: 21010 CW 2019-11-24 2151 N0CC          599 5      LS2D          599 13
QSO: 14053 CW 2019-11-24 2156 N0CC          599 5      KP3DX         599 08
QSO: 14046 CW 2019-11-24 2159 N0CC          599 5      HI3CC         599 08
QSO:  7034 CW 2019-11-24 2213 N0CC          599 5      LX7I          599 14
QSO:  7031 CW 2019-11-24 2215 N0CC          599 5      OL1C          599 15
QSO:  7049 CW 2019-11-24 2221 N0CC          599 5      P33W          599 20
QSO:  7062 CW 2019-11-24 2223 N0CC          599 5      VP9I          599 05
QSO:  7062 CW 2019-11-24 2224 N0CC          599 5      V47T          599 08
QSO:  7019 CW 2019-11-24 2251 N0CC          599 5      TK0C          599 15
QSO:  7065 CW 2019-11-24 2255 N0CC          599 5      IS0SWW        599 15
QSO:  7066 CW 2019-11-24 2257 N0CC          599 5      IB9T          599 15
QSO:  7047 CW 2019-11-24 2303 N0CC          599 5      CO8ZZ         599 08
QSO: 14044 CW 2019-11-24 2322 N0CC          599 5      XR1D          599 12
QSO:  7054 CW 2019-11-24 2330 N0CC          599 5      VE6SV         599 04
QSO:  7036 CW 2019-11-24 2337 N0CC          599 5      VE2QA         599 05
QSO: 14012 CW 2019-11-24 2341 N0CC          599 5      LU7YS         599 13
QSO:  3529 CW 2019-11-24 2347 N0CC          599 5      C6AGU         599 08
QSO:  3556 CW 2019-11-24 2349 N0CC          599 5      CR3W          599 33
QSO:  3553 CW 2019-11-24 2354 N0CC          599 5      TM6X          599 14
END-OF-LOG:
