START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OK2CSU
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 83040
NAME: MARIAN KMEC
CLUB:
CREATED-BY: GenLog v8.33
SOAPBOX: YAESU FT-857 + ACOM-1000, 40 m multiband HyEndFed antenna
QSO: 14000 CW 2019-11-23 1337 OK2CSU        599 15     4U1A          599 15
QSO: 14000 CW 2019-11-23 1353 OK2CSU        599 15     VE3YAA        599 04
QSO: 14000 CW 2019-11-23 1358 OK2CSU        599 15     W9RE          599 04
QSO: 14000 CW 2019-11-23 1400 OK2CSU        599 15     W2UP          599 05
QSO: 14000 CW 2019-11-23 1402 OK2CSU        599 15     9H6A          599 15
QSO: 14000 CW 2019-11-23 1407 OK2CSU        599 15     N4WW          599 05
QSO: 14000 CW 2019-11-23 1414 OK2CSU        599 15     OY1CT         599 14
QSO: 14000 CW 2019-11-23 1418 OK2CSU        599 15     C6AGU         599 08
QSO: 14000 CW 2019-11-23 1422 OK2CSU        599 15     MW/R6AF       599 14
QSO: 14000 CW 2019-11-23 1426 OK2CSU        599 15     4L2M          599 21
QSO: 14000 CW 2019-11-23 1432 OK2CSU        599 15     K0OO          599 05
QSO: 14000 CW 2019-11-23 1439 OK2CSU        599 15     PZ5W          599 09
QSO: 14000 CW 2019-11-23 1441 OK2CSU        599 15     W8MJ          599 04
QSO: 14000 CW 2019-11-23 1445 OK2CSU        599 15     A44A          599 21
QSO: 14000 CW 2019-11-23 1447 OK2CSU        599 15     K1KP          599 05
QSO: 14000 CW 2019-11-23 1457 OK2CSU        599 15     6V7A          599 35
QSO: 14000 CW 2019-11-23 1510 OK2CSU        599 15     XL3A          599 04
QSO: 14000 CW 2019-11-23 1519 OK2CSU        599 15     K5ZD          599 05
QSO: 14000 CW 2019-11-23 1522 OK2CSU        599 15     PJ4K          599 09
QSO: 14000 CW 2019-11-23 1528 OK2CSU        599 15     K9BGL         599 04
QSO: 14000 CW 2019-11-23 1530 OK2CSU        599 15     SZ1A          599 20
QSO: 14000 CW 2019-11-23 1536 OK2CSU        599 15     W3IUU         599 05
QSO: 14000 CW 2019-11-23 1538 OK2CSU        599 15     C56XA         599 35
QSO: 14000 CW 2019-11-23 1540 OK2CSU        599 15     PJ2T          599 09
QSO: 14000 CW 2019-11-23 1543 OK2CSU        599 15     VE9CB         599 05
QSO: 14000 CW 2019-11-23 1546 OK2CSU        599 15     W2YC          599 05
QSO: 14000 CW 2019-11-23 1556 OK2CSU        599 15     N3ER          599 05
QSO: 14000 CW 2019-11-23 1558 OK2CSU        599 15     K1TTT         599 05
QSO: 14000 CW 2019-11-23 1645 OK2CSU        599 15     NP2P          599 08
X-QSO: 14000 CW 2019-11-23 1658 OK2CSU        599 15     W9RE          599 04
QSO: 14000 CW 2019-11-23 1701 OK2CSU        599 15     V47T          599 08
QSO: 14000 CW 2019-11-23 1705 OK2CSU        599 15     N2NT          599 05
QSO: 14000 CW 2019-11-23 1707 OK2CSU        599 15     K8CX          599 04
QSO: 14000 CW 2019-11-23 1712 OK2CSU        599 15     CR3W          599 33
QSO: 14000 CW 2019-11-23 1714 OK2CSU        599 15     9H3TX         599 15
QSO: 14000 CW 2019-11-23 1721 OK2CSU        599 15     D4C           599 35
QSO: 14000 CW 2019-11-23 1722 OK2CSU        599 15     W1FJ          599 05
QSO: 14000 CW 2019-11-23 1730 OK2CSU        599 15     8P5A          599 08
QSO: 14000 CW 2019-11-23 1741 OK2CSU        599 15     P33W          599 20
QSO: 14000 CW 2019-11-23 1811 OK2CSU        599 15     LZ5R          599 20
QSO: 14000 CW 2019-11-23 1815 OK2CSU        599 15     SJ2W          599 14
QSO: 14000 CW 2019-11-23 1819 OK2CSU        599 15     EA/WE9V       599 14
QSO:  7000 CW 2019-11-23 1850 OK2CSU        599 15     BY8DX         599 24
QSO:  7000 CW 2019-11-23 1859 OK2CSU        599 15     4O3A          599 15
QSO:  7000 CW 2019-11-23 1904 OK2CSU        599 15     MU2K          599 14
QSO:  7000 CW 2019-11-23 1909 OK2CSU        599 15     BY3GA         599 23
QSO:  7000 CW 2019-11-23 1914 OK2CSU        599 15     RM9A          599 17
QSO:  7000 CW 2019-11-23 1917 OK2CSU        599 15     IH9/OK6RA     599 33
QSO:  7000 CW 2019-11-23 1919 OK2CSU        599 15     SN6O          599 15
QSO:  7000 CW 2019-11-23 1921 OK2CSU        599 15     LY2K          599 15
QSO:  7000 CW 2019-11-23 1923 OK2CSU        599 15     VK2IM         599 30
QSO:  7000 CW 2019-11-23 1930 OK2CSU        599 15     HB9ARF        599 14
QSO:  7000 CW 2019-11-23 1932 OK2CSU        599 15     YU7U          599 15
QSO:  7000 CW 2019-11-23 1934 OK2CSU        599 15     ED8W          599 33
QSO:  7000 CW 2019-11-23 1936 OK2CSU        599 15     9A7A          599 15
QSO:  7000 CW 2019-11-23 1938 OK2CSU        599 15     GW5R          599 14
QSO:  7000 CW 2019-11-23 1944 OK2CSU        599 15     B4T           599 24
QSO:  7000 CW 2019-11-23 1948 OK2CSU        599 15     YP0HQ         599 20
QSO:  7000 CW 2019-11-23 1955 OK2CSU        599 15     LN8W          599 14
QSO:  7000 CW 2019-11-23 2000 OK2CSU        599 15     W4NF          599 05
QSO:  7000 CW 2019-11-23 2009 OK2CSU        599 15     7A0D          599 28
QSO:  7000 CW 2019-11-23 2031 OK2CSU        599 15     N2RI          599 05
QSO:  7000 CW 2019-11-23 2037 OK2CSU        599 15     K8AZ          599 04
QSO:  7000 CW 2019-11-23 2041 OK2CSU        599 15     KP2M          599 08
QSO:  7000 CW 2019-11-23 2044 OK2CSU        599 15     SZ1A          599 20
QSO:  7000 CW 2019-11-23 2048 OK2CSU        599 15     R9CW          599 17
QSO:  7000 CW 2019-11-23 2051 OK2CSU        599 15     CR3W          599 33
QSO:  7000 CW 2019-11-23 2059 OK2CSU        599 15     NN3Q          599 05
QSO:  7000 CW 2019-11-23 2103 OK2CSU        599 15     JE6RPM        599 25
QSO:  7000 CW 2019-11-23 2219 OK2CSU        599 15     K5ZD          599 05
QSO:  7000 CW 2019-11-23 2227 OK2CSU        599 15     CR3DX         599 33
QSO:  7000 CW 2019-11-23 2233 OK2CSU        599 15     TK0C          599 15
QSO:  7000 CW 2019-11-23 2238 OK2CSU        599 15     W3LPL         599 05
QSO:  7000 CW 2019-11-23 2243 OK2CSU        599 15     Z3B           599 15
QSO:  7000 CW 2019-11-23 2310 OK2CSU        599 15     YW5R          599 09
QSO:  7000 CW 2019-11-23 2315 OK2CSU        599 15     K5GN          599 04
QSO:  7000 CW 2019-11-23 2321 OK2CSU        599 15     G4BYE         599 14
QSO:  7000 CW 2019-11-23 2322 OK2CSU        599 15     N2SR          599 05
QSO:  7000 CW 2019-11-23 2326 OK2CSU        599 15     MD2C          599 14
QSO:  7000 CW 2019-11-23 2327 OK2CSU        599 15     LZ5R          599 20
QSO:  7000 CW 2019-11-23 2328 OK2CSU        599 15     G3V           599 14
QSO:  7000 CW 2019-11-23 2330 OK2CSU        599 15     RF9C          599 17
QSO:  7000 CW 2019-11-23 2330 OK2CSU        599 15     UA4FDL        599 16
QSO:  7000 CW 2019-11-23 2333 OK2CSU        599 15     K1KI          599 05
QSO:  7000 CW 2019-11-23 2340 OK2CSU        599 15     XV1X          599 26
QSO:  7000 CW 2019-11-23 2347 OK2CSU        599 15     C6AGU         599 08
QSO:  7000 CW 2019-11-23 2355 OK2CSU        599 15     K0ZR          599 05
QSO:  7000 CW 2019-11-24 0006 OK2CSU        599 15     HS0ZAR        599 26
QSO:  7000 CW 2019-11-24 0010 OK2CSU        599 15     PJ4K          599 09
QSO:  7000 CW 2019-11-24 0013 OK2CSU        599 15     W4CB          599 05
QSO:  7000 CW 2019-11-24 0015 OK2CSU        599 15     CN3A          599 33
QSO:  7000 CW 2019-11-24 0017 OK2CSU        599 15     M6T           599 14
QSO:  7000 CW 2019-11-24 0019 OK2CSU        599 15     WX0B          599 04
QSO:  7000 CW 2019-11-24 0020 OK2CSU        599 15     RM2U          599 16
QSO:  7000 CW 2019-11-24 0024 OK2CSU        599 15     NP2P          599 08
QSO:  7000 CW 2019-11-24 0035 OK2CSU        599 15     3V8SS         599 33
QSO:  7000 CW 2019-11-24 0041 OK2CSU        599 15     SX2I          599 20
QSO:  7000 CW 2019-11-24 0048 OK2CSU        599 15     JT5DX         599 23
QSO:  7000 CW 2019-11-24 0052 OK2CSU        599 15     V47T          599 08
QSO:  7000 CW 2019-11-24 0058 OK2CSU        599 15     ZW8T          599 11
QSO:  7000 CW 2019-11-24 0103 OK2CSU        599 15     P40C          599 09
X-QSO:  7000 CW 2019-11-24 0112 OK2CSU        599 15     CR3W          599 33
QSO:  7000 CW 2019-11-24 0115 OK2CSU        599 15     VP2MDM        599 08
QSO:  7000 CW 2019-11-24 0121 OK2CSU        599 15     9H3TX         599 15
QSO:  7000 CW 2019-11-24 0122 OK2CSU        599 15     YP8T          599 20
QSO:  7000 CW 2019-11-24 0128 OK2CSU        599 15     TI7W          599 07
QSO:  7000 CW 2019-11-24 0135 OK2CSU        599 15     KJ4QHL        599 05
QSO:  7000 CW 2019-11-24 0138 OK2CSU        599 15     C56DF         599 35
QSO:  7000 CW 2019-11-24 0139 OK2CSU        599 15     VP5M          599 08
QSO:  7000 CW 2019-11-24 0146 OK2CSU        599 15     PJ5/SP6EQZ    599 08
QSO:  7000 CW 2019-11-24 0148 OK2CSU        599 15     P40W          599 09
QSO:  7000 CW 2019-11-24 0151 OK2CSU        599 15     N4UU          599 05
QSO:  7000 CW 2019-11-24 0153 OK2CSU        599 15     D4C           599 35
QSO:  7000 CW 2019-11-24 0200 OK2CSU        599 15     SW9AA         599 20
QSO:  7000 CW 2019-11-24 0202 OK2CSU        599 15     KP3DX         599 08
QSO:  7000 CW 2019-11-24 0209 OK2CSU        599 15     5B4AGU        599 20
QSO: 14000 CW 2019-11-24 0739 OK2CSU        599 15     JA6LCJ        599 25
QSO: 14000 CW 2019-11-24 0742 OK2CSU        599 15     JH3AIU        599 25
QSO: 14000 CW 2019-11-24 0744 OK2CSU        599 15     JR2GRX        599 25
QSO: 14000 CW 2019-11-24 0748 OK2CSU        599 15     9G5W          599 35
QSO: 14000 CW 2019-11-24 0757 OK2CSU        599 15     BD4QB         599 24
QSO: 14000 CW 2019-11-24 0759 OK2CSU        599 15     BY8DX         599 24
QSO: 14000 CW 2019-11-24 0800 OK2CSU        599 15     JA7IC         599 25
QSO: 14000 CW 2019-11-24 0801 OK2CSU        599 15     EA8/IK1PMR    599 33
QSO: 14000 CW 2019-11-24 0804 OK2CSU        599 15     UN4PG         599 17
QSO: 14000 CW 2019-11-24 0811 OK2CSU        599 15     CN3A          599 33
QSO: 14000 CW 2019-11-24 0852 OK2CSU        599 15     RA9P          599 18
QSO: 14000 CW 2019-11-24 0856 OK2CSU        599 15     JE6RPM        599 25
QSO: 14000 CW 2019-11-24 0902 OK2CSU        599 15     BG5JNT        599 24
QSO: 14000 CW 2019-11-24 0908 OK2CSU        599 15     B4T           599 24
QSO: 14000 CW 2019-11-24 0911 OK2CSU        599 15     IM0SDX        599 15
QSO: 14000 CW 2019-11-24 0915 OK2CSU        599 15     JA3YBK        599 25
QSO: 14000 CW 2019-11-24 0921 OK2CSU        599 15     RM9I          599 18
QSO: 14000 CW 2019-11-24 0925 OK2CSU        599 15     OH8X          599 15
QSO: 14000 CW 2019-11-24 0927 OK2CSU        599 15     GI5I          599 14
QSO: 14000 CW 2019-11-24 0933 OK2CSU        599 15     JT5DX         599 23
QSO: 14000 CW 2019-11-24 0938 OK2CSU        599 15     IT9RDG        599 15
QSO: 14000 CW 2019-11-24 0941 OK2CSU        599 15     RU0A          599 18
QSO: 14000 CW 2019-11-24 0947 OK2CSU        599 15     6W7PCT        599 35
QSO: 14000 CW 2019-11-24 0954 OK2CSU        599 15     MW2I          599 14
QSO: 14000 CW 2019-11-24 0957 OK2CSU        599 15     RK0UT         599 18
QSO: 21000 CW 2019-11-24 1442 OK2CSU        599 15     LU8QT         599 13
QSO: 21000 CW 2019-11-24 1449 OK2CSU        599 15     EA8/IK1PMR    599 33
QSO: 21000 CW 2019-11-24 1452 OK2CSU        599 15     6W7PCT        599 35
QSO: 21000 CW 2019-11-24 1457 OK2CSU        599 15     CR3DX         599 33
QSO: 21000 CW 2019-11-24 1507 OK2CSU        599 15     PY5AMF        599 11
QSO: 21000 CW 2019-11-24 1509 OK2CSU        599 15     LS2D          599 13
QSO: 21000 CW 2019-11-24 1513 OK2CSU        599 15     PX2A          599 11
QSO: 21000 CW 2019-11-24 1521 OK2CSU        599 15     LT1F          599 13
QSO: 21000 CW 2019-11-24 1523 OK2CSU        599 15     PP5KR         599 11
QSO: 21000 CW 2019-11-24 1528 OK2CSU        599 15     LO5D          599 13
QSO: 21000 CW 2019-11-24 1531 OK2CSU        599 15     ZW5B          599 11
QSO: 21000 CW 2019-11-24 1532 OK2CSU        599 15     EC8R          599 33
QSO: 21000 CW 2019-11-24 1535 OK2CSU        599 15     D4C           599 35
QSO: 21000 CW 2019-11-24 1541 OK2CSU        599 15     PR4T          599 11
QSO: 21000 CW 2019-11-24 1545 OK2CSU        599 15     PP5NY         599 11
QSO: 21000 CW 2019-11-24 1606 OK2CSU        599 15     CR3S          599 33
QSO: 14000 CW 2019-11-24 1645 OK2CSU        599 15     II9P          599 15
QSO: 14000 CW 2019-11-24 1646 OK2CSU        599 15     EC8R          599 33
QSO: 14000 CW 2019-11-24 1652 OK2CSU        599 15     VE3EJ         599 04
QSO: 14000 CW 2019-11-24 1657 OK2CSU        599 15     VE9AA         599 05
QSO: 14000 CW 2019-11-24 1659 OK2CSU        599 15     K1RX          599 05
QSO: 14000 CW 2019-11-24 1703 OK2CSU        599 15     K3EL          599 05
QSO: 14000 CW 2019-11-24 1705 OK2CSU        599 15     LX7I          599 14
QSO: 14000 CW 2019-11-24 1709 OK2CSU        599 15     K1DG          599 05
QSO: 14000 CW 2019-11-24 1711 OK2CSU        599 15     OM7M          599 15
QSO:  7000 CW 2019-11-24 1742 OK2CSU        599 15     UN7LAN        599 17
QSO:  7000 CW 2019-11-24 1746 OK2CSU        599 15     ZA1F          599 15
QSO:  7000 CW 2019-11-24 1752 OK2CSU        599 15     JA6SHL        599 25
QSO:  7000 CW 2019-11-24 1753 OK2CSU        599 15     EW5A          599 16
X-QSO:  7000 CW 2019-11-24 1804 OK2CSU        599 15     JE6RPM        599 25
END-OF-LOG:
