START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DJ7PRM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO30NS
CLAIMED-SCORE: 23896
NAME: Harald
OPERATORS: DJ7PRM
CLUB: DARC F74
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: If I don't get enought points this year, a friend of my local club might
SOAPBOX: win a QCX from me, if he learns cw and will have more points next year!
SOAPBOX: Tnx to all of you fer gd ears and patience!
QSO:  3532 CW 2019-11-23 2254 DJ7PRM        599 14     M0BEW         599 14
QSO:  3500 CW 2019-11-23 2259 DJ7PRM        599 14     IK2UNA        599 15
QSO:  1821 CW 2019-11-23 2319 DJ7PRM        599 14     DM7C          599 14
QSO:  1826 CW 2019-11-23 2325 DJ7PRM        599 14     HA7I          599 15
QSO:  1827 CW 2019-11-23 2327 DJ7PRM        599 14     PA2A          599 14
QSO:  1828 CW 2019-11-23 2328 DJ7PRM        599 14     S59A          599 15
QSO:  1832 CW 2019-11-23 2331 DJ7PRM        599 14     IK5ZWU        599 15
QSO:  1834 CW 2019-11-23 2333 DJ7PRM        599 14     UT6UD         599 16
QSO:  1839 CW 2019-11-23 2337 DJ7PRM        599 14     SP3GTS        599 15
QSO:  1843 CW 2019-11-23 2339 DJ7PRM        599 14     OL3A          599 15
QSO:  1843 CW 2019-11-23 2343 DJ7PRM        599 14     OH5C          599 15
QSO:  1845 CW 2019-11-23 2345 DJ7PRM        599 14     OM7JG         599 15
QSO:  1845 CW 2019-11-23 2346 DJ7PRM        599 14     PA1CC         599 14
QSO:  1848 CW 2019-11-23 2350 DJ7PRM        599 14     SF1Z          599 14
QSO:  1846 CW 2019-11-23 2357 DJ7PRM        599 14     EI0R          599 14
QSO:  1811 CW 2019-11-24 0000 DJ7PRM        599 14     G3V           599 14
QSO:  3502 CW 2019-11-24 0003 DJ7PRM        599 14     OK6W          599 15
QSO:  3504 CW 2019-11-24 0004 DJ7PRM        599 14     HA6FQ         599 15
QSO:  3505 CW 2019-11-24 0008 DJ7PRM        599 14     LY2XW         599 15
QSO:  3506 CW 2019-11-24 0014 DJ7PRM        599 14     F6KOP         599 14
QSO:  3507 CW 2019-11-24 0017 DJ7PRM        599 14     F8DGY         599 14
QSO:  3556 CW 2019-11-24 0024 DJ7PRM        599 14     OK1KMU        599 15
QSO:  3538 CW 2019-11-24 0031 DJ7PRM        599 14     HB9FAP        599 14
QSO:  7010 CW 2019-11-24 0038 DJ7PRM        599 14     EF5F          599 14
QSO:  7036 CW 2019-11-24 0048 DJ7PRM        599 14     IO5O          599 15
QSO:  7017 CW 2019-11-24 0052 DJ7PRM        599 14     IM0SDX        599 15
QSO:  7004 CW 2019-11-24 0054 DJ7PRM        599 14     YP8T          599 20
QSO:  7022 CW 2019-11-24 0102 DJ7PRM        599 14     N4WW          599 05
QSO:  7025 CW 2019-11-24 0110 DJ7PRM        599 14     9A1A          599 15
QSO:  7015 CW 2019-11-24 0115 DJ7PRM        599 14     YO6FGZ        599 20
QSO:  7000 CW 2019-11-24 0122 DJ7PRM        599 14     W3LPL         599 05
QSO:  7012 CW 2019-11-24 0150 DJ7PRM        599 14     5N7Q          599 35
QSO:  7013 CW 2019-11-24 0152 DJ7PRM        599 14     ED1R          599 14
QSO:  7015 CW 2019-11-24 0156 DJ7PRM        599 14     IB9T          599 15
QSO:  3516 CW 2019-11-24 0238 DJ7PRM        599 14     PA6X          599 14
QSO:  3517 CW 2019-11-24 0246 DJ7PRM        599 14     M6T           599 14
QSO:  3521 CW 2019-11-24 0254 DJ7PRM        599 14     UX2X          599 16
QSO:  7059 CW 2019-11-24 0306 DJ7PRM        599 14     EF8R          599 33
QSO:  7054 CW 2019-11-24 0315 DJ7PRM        599 14     II8K          599 15
QSO:  7072 CW 2019-11-24 0710 DJ7PRM        599 14     OH3JF         599 15
QSO:  7070 CW 2019-11-24 0712 DJ7PRM        599 14     LY2PX         599 15
QSO:  7069 CW 2019-11-24 0713 DJ7PRM        599 14     CR3W          599 33
QSO:  7066 CW 2019-11-24 0714 DJ7PRM        599 14     KP2M          599 08
QSO:  7062 CW 2019-11-24 0719 DJ7PRM        599 14     OM7AG         599 15
QSO:  7058 CW 2019-11-24 0725 DJ7PRM        599 14     IS0/LZ5F      599 15
QSO:  7056 CW 2019-11-24 0729 DJ7PRM        599 14     IR3C          599 15
QSO:  7052 CW 2019-11-24 0733 DJ7PRM        599 14     SP2QG         599 15
QSO:  7050 CW 2019-11-24 0735 DJ7PRM        599 14     SP5CJQ        599 15
QSO:  7047 CW 2019-11-24 0740 DJ7PRM        599 14     S57K          599 15
QSO: 14035 CW 2019-11-24 0747 DJ7PRM        599 14     RT6A          599 16
QSO: 14032 CW 2019-11-24 0809 DJ7PRM        599 14     RC3W          599 16
QSO: 14032 CW 2019-11-24 0810 DJ7PRM        599 14     UR5R          599 16
QSO: 14020 CW 2019-11-24 0821 DJ7PRM        599 14     TC0F          599 20
QSO: 14019 CW 2019-11-24 0822 DJ7PRM        599 14     R3XA          599 16
QSO: 14014 CW 2019-11-24 0829 DJ7PRM        599 14     RM9A          599 17
QSO: 21025 CW 2019-11-24 0835 DJ7PRM        599 14     4X2M          599 20
QSO: 21040 CW 2019-11-24 0838 DJ7PRM        599 14     R4IO          599 16
QSO:  7001 CW 2019-11-24 0849 DJ7PRM        599 14     ES7A          599 15
QSO:  7001 CW 2019-11-24 0850 DJ7PRM        599 14     S57Z          599 15
QSO:  7005 CW 2019-11-24 0855 DJ7PRM        599 14     OL9Z          599 15
QSO:  7007 CW 2019-11-24 0857 DJ7PRM        599 14     LA2AB         599 14
QSO:  7009 CW 2019-11-24 0858 DJ7PRM        599 14     SO9M          599 15
QSO:  7010 CW 2019-11-24 0900 DJ7PRM        599 14     S57X          599 15
QSO:  7012 CW 2019-11-24 0901 DJ7PRM        599 14     R5AJ          599 16
QSO: 14015 CW 2019-11-24 0909 DJ7PRM        599 14     LZ3QE         599 20
QSO: 14018 CW 2019-11-24 0911 DJ7PRM        599 14     UC0A          599 18
QSO: 21048 CW 2019-11-24 0927 DJ7PRM        599 14     EF8R          599 33
QSO: 14001 CW 2019-11-24 0933 DJ7PRM        599 14     UR3GU         599 16
QSO: 14002 CW 2019-11-24 0935 DJ7PRM        599 14     UT4U          599 16
QSO: 14003 CW 2019-11-24 0937 DJ7PRM        599 14     YP8T          599 20
QSO: 14004 CW 2019-11-24 0938 DJ7PRM        599 14     CR5O          599 14
QSO:  7004 CW 2019-11-24 0951 DJ7PRM        599 14     SQ9C          599 15
QSO:  7008 CW 2019-11-24 0952 DJ7PRM        599 14     OM3CW         599 15
QSO: 14005 CW 2019-11-24 0958 DJ7PRM        599 14     RT5G          599 16
QSO: 21045 CW 2019-11-24 1008 DJ7PRM        599 14     CR2X          599 14
QSO: 14000 CW 2019-11-24 1017 DJ7PRM        599 14     OG7A          599 15
QSO: 14002 CW 2019-11-24 1019 DJ7PRM        599 14     UB7K          599 16
QSO: 14010 CW 2019-11-24 1024 DJ7PRM        599 14     CN3A          599 33
QSO: 14012 CW 2019-11-24 1027 DJ7PRM        599 14     ER4A          599 16
QSO: 21047 CW 2019-11-24 1309 DJ7PRM        599 14     PJ4K          599 09
QSO: 21053 CW 2019-11-24 1315 DJ7PRM        599 14     8P5A          599 08
QSO: 14000 CW 2019-11-24 1318 DJ7PRM        599 14     N2IC          599 04
QSO: 14002 CW 2019-11-24 1323 DJ7PRM        599 14     LZ6Y          599 20
QSO: 14010 CW 2019-11-24 1328 DJ7PRM        599 14     LZ1QN         599 20
QSO: 14010 CW 2019-11-24 1331 DJ7PRM        599 14     LZ5R          599 20
QSO: 21005 CW 2019-11-24 1334 DJ7PRM        599 14     CR3DX         599 33
QSO: 21047 CW 2019-11-24 1344 DJ7PRM        599 14     CR3S          599 33
QSO: 21062 CW 2019-11-24 1346 DJ7PRM        599 14     CR3X          599 33
QSO: 21067 CW 2019-11-24 1347 DJ7PRM        599 14     CR3W          599 33
QSO: 14005 CW 2019-11-24 1359 DJ7PRM        599 14     KQ2M          599 05
QSO: 14006 CW 2019-11-24 1403 DJ7PRM        599 14     K3LR          599 05
QSO: 14007 CW 2019-11-24 1406 DJ7PRM        599 14     KC1XX         599 05
QSO: 14011 CW 2019-11-24 1412 DJ7PRM        599 14     NR4M          599 05
QSO: 14020 CW 2019-11-24 1416 DJ7PRM        599 14     N1MM          599 05
QSO: 14024 CW 2019-11-24 1434 DJ7PRM        599 14     UW1M          599 16
QSO: 14036 CW 2019-11-24 1442 DJ7PRM        599 14     K1DG          599 05
QSO: 21036 CW 2019-11-24 1456 DJ7PRM        599 14     CN3A          599 33
QSO: 14003 CW 2019-11-24 1514 DJ7PRM        599 14     N2YB          599 05
QSO: 14016 CW 2019-11-24 1522 DJ7PRM        599 14     EF5F          599 14
QSO:  7002 CW 2019-11-24 1536 DJ7PRM        599 14     LY7Z          599 15
QSO:  7004 CW 2019-11-24 1536 DJ7PRM        599 14     LY4L          599 15
QSO:  7007 CW 2019-11-24 1538 DJ7PRM        599 14     S51F          599 15
QSO:  7005 CW 2019-11-24 1544 DJ7PRM        599 14     SK3W          599 14
QSO: 14045 CW 2019-11-24 1609 DJ7PRM        599 14     VA2WA         599 05
QSO: 14042 CW 2019-11-24 1611 DJ7PRM        599 14     ED5O          599 14
QSO: 14006 CW 2019-11-24 1615 DJ7PRM        599 14     K5ZD          599 05
QSO:  1815 CW 2019-11-24 1619 DJ7PRM        599 14     OU2V          599 14
QSO:  1818 CW 2019-11-24 1621 DJ7PRM        599 14     LY5W          599 15
QSO:  1824 CW 2019-11-24 1626 DJ7PRM        599 14     MW5B          599 14
QSO:  1831 CW 2019-11-24 1628 DJ7PRM        599 14     YT8A          599 15
QSO:  1828 CW 2019-11-24 1638 DJ7PRM        599 14     DF0SQ         599 14
QSO:  7010 CW 2019-11-24 1649 DJ7PRM        599 14     RT5G          599 16
QSO:  7008 CW 2019-11-24 1700 DJ7PRM        599 14     EW5A          599 16
END-OF-LOG:
