START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: YO9GX
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: 
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE 
CLAIMED-SCORE: 15466
CREATED-BY: UcxLog 7.52
OPERATORS: YO9GX
NAME: Grigore Marian
CLUB: YO DX CLUB
SOAPBOX: I declare that all contest rules and all the rules and regulations for
SOAPBOX: amateur radio operations in my country have been observed and adhered
SOAPBOX: to. I accept the decisions of the SPANISH CONTESTS COMMITEE.
QSO: 21000 PH 2017-06-24 1523 YO9GX         59  028    IZ4JMU        59  097
QSO: 14000 PH 2017-06-24 1829 YO9GX         59  029    OF1TD         59  213
QSO: 14000 PH 2017-06-24 1837 YO9GX         59  030    EA3AVN        59  B
QSO: 14000 PH 2017-06-24 1841 YO9GX         59  031    EA1IRN        59  C
QSO: 14000 PH 2017-06-24 1845 YO9GX         59  032    ED4Y          59  CC
QSO: 14000 PH 2017-06-24 1847 YO9GX         59  033    EC7AT         59  AL
QSO: 14000 PH 2017-06-24 1851 YO9GX         59  034    EA3FF         59  L
QSO: 14000 PH 2017-06-24 1857 YO9GX         59  035    EA7ITL        59  CA
QSO: 14000 PH 2017-06-24 1901 YO9GX         59  036    EA1HCB        59  PO
QSO: 14000 PH 2017-06-24 1910 YO9GX         59  037    RW4WA         59  147
QSO: 14000 PH 2017-06-24 1912 YO9GX         59  038    EA2RCP        59  NA
QSO: 14000 PH 2017-06-24 1915 YO9GX         59  039    ED9E          59  CE
QSO: 14000 PH 2017-06-24 1917 YO9GX         59  040    EA8KC         59  GC
QSO: 14000 PH 2017-06-24 1923 YO9GX         59  041    EA4URL        59  M
QSO: 14000 PH 2017-06-24 1925 YO9GX         59  042    GB2GP         59  173
QSO: 14000 PH 2017-06-24 1927 YO9GX         59  043    EB5CS         59  CS
QSO: 14000 PH 2017-06-24 1932 YO9GX         59  044    EA6/EI6DX     59  IB
QSO: 14000 PH 2017-06-24 1934 YO9GX         59  045    UA4S          59  103
QSO: 14000 PH 2017-06-24 1936 YO9GX         59  046    EE5O          59  A
QSO:  7000 PH 2017-06-24 1947 YO9GX         59  047    ED9E          59  CE
QSO:  7000 PH 2017-06-24 1953 YO9GX         59  048    EB1HRW        59  VA
QSO:  7000 PH 2017-06-24 1958 YO9GX         59  049    HA4XH         59  362
QSO:  7000 PH 2017-06-24 2001 YO9GX         59  050    EF0F          59  SMR
QSO:  7000 PH 2017-06-24 2002 YO9GX         59  051    EF5Y          59  A
QSO:  7000 PH 2017-06-24 2004 YO9GX         59  052    EB5AG         59  A
QSO:  7000 PH 2017-06-24 2005 YO9GX         59  053    YL3CW         59  060
QSO:  7000 PH 2017-06-24 2009 YO9GX         59  054    S51DD         59  050
QSO:  7000 PH 2017-06-24 2012 YO9GX         59  055    EC7AT         59  AL
QSO:  7000 PH 2017-06-24 2015 YO9GX         59  056    F5NBX         59  126
QSO:  7000 PH 2017-06-24 2019 YO9GX         59  057    HG7T          59  494
QSO:  7000 PH 2017-06-24 2028 YO9GX         59  058    9A5Y          59  563
QSO:  7000 PH 2017-06-24 2029 YO9GX         59  059    YP0C          59  452
QSO:  7000 PH 2017-06-24 2031 YO9GX         59  060    IV3KKW        59  183
QSO:  7000 PH 2017-06-24 2033 YO9GX         59  061    RK3AW         59  152
QSO:  7000 PH 2017-06-24 2034 YO9GX         59  062    ED7R          59  CA
QSO:  7000 PH 2017-06-24 2036 YO9GX         59  063    S500R         59  267
QSO:  7000 PH 2017-06-24 2038 YO9GX         59  064    EF1W          59  O
QSO:  7000 PH 2017-06-24 2041 YO9GX         59  065    ED1R          59  AV
QSO:  3500 PH 2017-06-24 2056 YO9GX         59  066    IK8UND        59  274
QSO:  3500 PH 2017-06-24 2059 YO9GX         59  067    YT0T          59  201
QSO:  3500 PH 2017-06-24 2109 YO9GX         59  068    OK4K          59  047
QSO: 14000 PH 2017-06-24 2131 YO9GX         59  069    EB1DJ         59  C
QSO: 14000 PH 2017-06-24 2138 YO9GX         59  070    EA2ECA        59  BI
QSO:  7000 PH 2017-06-25 0536 YO9GX         59  071    HA3MY         59  211
QSO: 14000 PH 2017-06-25 0550 YO9GX         59  072    EA5EE         59  V
QSO: 14000 PH 2017-06-25 0554 YO9GX         59  073    EA5KV         59  V
QSO: 14000 PH 2017-06-25 0601 YO9GX         59  074    IZ6FXP        59  025
QSO: 14000 PH 2017-06-25 0602 YO9GX         59  075    9A1CFR        59  084
QSO: 21000 PH 2017-06-25 0615 YO9GX         59  076    EF0F          59  SMR
QSO: 14000 PH 2017-06-25 0629 YO9GX         59  077    IW2HAJ        59  470
QSO: 14000 PH 2017-06-25 0635 YO9GX         59  078    US6IKF        59  061
QSO: 14000 PH 2017-06-25 0638 YO9GX         59  079    SV9FBG        59  220
QSO: 21000 PH 2017-06-25 0754 YO9GX         59  080    EF5Y          59  A
QSO: 14000 PH 2017-06-25 0811 YO9GX         59  081    EF5Y          59  A
QSO: 14000 PH 2017-06-25 0817 YO9GX         59  082    IW2MXY        59  085
QSO: 14000 PH 2017-06-25 0818 YO9GX         59  083    EA2VE         59  VI
QSO: 14000 PH 2017-06-25 0827 YO9GX         59  084    9A5Y          59  936
QSO: 14000 PH 2017-06-25 0835 YO9GX         59  085    UT4U          59  383
QSO: 21000 PH 2017-06-25 0907 YO9GX         59  086    OO7P          59  147
QSO: 14000 PH 2017-06-25 0910 YO9GX         59  087    D1DNR         59  038
QSO: 14000 PH 2017-06-25 0914 YO9GX         59  088    EA1AIW        59  O
QSO: 14000 PH 2017-06-25 0917 YO9GX         59  089    ED4W          59  GU
QSO: 14000 PH 2017-06-25 0921 YO9GX         59  090    EA3FUJ        59  T
QSO: 14000 PH 2017-06-25 0924 YO9GX         59  091    EA4LO         59  GU
QSO: 14000 PH 2017-06-25 0925 YO9GX         59  092    EA5DY         59  M
QSO: 14000 PH 2017-06-25 0930 YO9GX         59  093    SV3RPQ        59  105
QSO: 14000 PH 2017-06-25 0954 YO9GX         59  094    EW4WE         59  258
QSO: 14000 PH 2017-06-25 0956 YO9GX         59  095    EU6DX         59  294
QSO: 14000 PH 2017-06-25 1000 YO9GX         59  096    IZ4JUK        59  019
QSO: 14000 PH 2017-06-25 1008 YO9GX         59  097    EC7WA         59  H
QSO: 14000 PH 2017-06-25 1020 YO9GX         59  098    OH2BAH        59  355
QSO: 14000 PH 2017-06-25 1023 YO9GX         59  099    EA5RKO        59  V
QSO: 14000 PH 2017-06-25 1029 YO9GX         59  100    EC5NJ         59  V
QSO: 14000 PH 2017-06-25 1040 YO9GX         59  101    EA5ASM        59  A
QSO: 21000 PH 2017-06-25 1050 YO9GX         59  102    YP0C          59  982
QSO: 21000 PH 2017-06-25 1052 YO9GX         59  103    HG7T          59  1105
QSO: 21000 PH 2017-06-25 1054 YO9GX         59  104    US6IKF        59  085
QSO: 21000 PH 2017-06-25 1057 YO9GX         59  105    HA3MY         59  283
QSO: 14000 PH 2017-06-25 1106 YO9GX         59  106    EA7ANC        59  GR
QSO: 14000 PH 2017-06-25 1107 YO9GX         59  107    HA4XH         59  808
QSO: 14000 PH 2017-06-25 1111 YO9GX         59  108    US3LX         59  102
QSO: 14000 PH 2017-06-25 1121 YO9GX         59  109    EE4A          59  TO
QSO: 14000 PH 2017-06-25 1130 YO9GX         59  110    DL2SAX        59  270
END-OF-LOG:
