START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: KD9GY
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: EN52wf
CLAIMED-SCORE: 72590
NAME: Jim Lang
OPERATORS: KD9GY
CLUB: SOCIETY OF MIDWEST CONTESTERS
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: It was fun when 15 mtrs opened up on Sunday!
QSO: 14219 PH 2020-03-28 2019 KD9GY         59  041    KK6P          59  1035   0
QSO: 14160 PH 2020-03-28 2021 KD9GY         59  042    KV0Q          59  1108   0
QSO: 14156 PH 2020-03-28 2022 KD9GY         59  043    WW7E          59  805    0
QSO: 14164 PH 2020-03-28 2025 KD9GY         59  044    VE7NY         59  615    0
QSO: 14166 PH 2020-03-28 2026 KD9GY         59  045    KD7P          59  368    0
QSO: 14168 PH 2020-03-28 2027 KD9GY         59  046    FS4WBS        59  468    0
QSO: 14171 PH 2020-03-28 2028 KD9GY         59  047    NG3R          59  452    0
QSO: 14176 PH 2020-03-28 2029 KD9GY         59  048    NC1CC         59  926    0
QSO: 14194 PH 2020-03-28 2032 KD9GY         59  049    KD5JRY        59  459    0
QSO: 14196 PH 2020-03-28 2033 KD9GY         59  050    NN1C          59  1555   0
QSO: 14208 PH 2020-03-28 2033 KD9GY         59  051    KT5J          59  2558   0
QSO: 14210 PH 2020-03-28 2034 KD9GY         59  052    NC0DX         59  206    0
QSO: 14221 PH 2020-03-28 2035 KD9GY         59  053    AD4TR         59  1856   0
QSO: 14222 PH 2020-03-28 2036 KD9GY         59  054    HI8JSG        59  236    0
QSO: 14225 PH 2020-03-28 2037 KD9GY         59  055    HI8RD         59  1192   0
QSO: 14259 PH 2020-03-28 2046 KD9GY         59  056    KJ4QHL        59  464    0
QSO: 14260 PH 2020-03-28 2048 KD9GY         59  057    N6AR          59  1368   0
QSO: 14277 PH 2020-03-28 2050 KD9GY         59  058    KW7Y          59  1605   0
QSO: 14302 PH 2020-03-28 2053 KD9GY         59  059    CR6K          59  2356   0
QSO: 14317 PH 2020-03-28 2101 KD9GY         59  060    PY8WW         59  118    0
QSO: 14328 PH 2020-03-28 2101 KD9GY         59  061    WI7N          59  214    0
QSO: 14343 PH 2020-03-28 2103 KD9GY         59  062    W04O          59  368    0
QSO: 14345 PH 2020-03-28 2103 KD9GY         59  063    D41CV         59  1660   0
QSO: 14330 PH 2020-03-28 2207 KD9GY         59  064    KT4Q          59  912    0
QSO: 14284 PH 2020-03-28 2208 KD9GY         59  065    VA7BEC        59  196    0
QSO: 14274 PH 2020-03-28 2210 KD9GY         59  066    KP3DX         59  2093   0
QSO: 14204 PH 2020-03-28 2215 KD9GY         59  067    WA6KHK        59  539    0
QSO: 14204 PH 2020-03-29 1728 KD9GY         59  068    N9NA          59  247    0
QSO: 21350 PH 2020-03-29 1731 KD9GY         59  069    WW4LL         59  423    0
QSO: 14332 PH 2020-03-29 1734 KD9GY         59  070    NU5A          59  3626   0
QSO:  7159 PH 2020-03-29 1859 KD9GY         59  071    VE3RFA        59  186    0
QSO:  7164 PH 2020-03-29 1900 KD9GY         59  072    W3DQS         59  253    0
QSO:  7183 PH 2020-03-29 1902 KD9GY         59  073    WA1TAC        59  383    0
QSO:  7186 PH 2020-03-29 1904 KD9GY         59  074    K3DNE         59  1584   0
QSO:  7192 PH 2020-03-29 1905 KD9GY         59  075    VE3WRL        59  569    0
QSO:  7195 PH 2020-03-29 1906 KD9GY         59  076    NN9DD         59  1284   0
QSO:  7198 PH 2020-03-29 1907 KD9GY         59  077    NC8C          59  904    0
QSO:  7204 PH 2020-03-29 1909 KD9GY         59  078    VA2EW         59  1590   0
QSO:  7214 PH 2020-03-29 1909 KD9GY         59  079    N9QVQ         59  254    0
QSO:  7218 PH 2020-03-29 1910 KD9GY         59  080    WR3R          59  074    0
QSO:  7223 PH 2020-03-29 1911 KD9GY         59  081    K3WJV         59  757    0
QSO:  7238 PH 2020-03-29 1912 KD9GY         59  082    N9DR          59  321    0
QSO:  7242 PH 2020-03-29 1913 KD9GY         59  083    WW2DX         59  2297   0
QSO:  7251 PH 2020-03-29 1914 KD9GY         59  084    NV4C          59  189    0
QSO:  7254 PH 2020-03-29 1914 KD9GY         59  085    W3RGA         59  317    0
QSO: 14348 PH 2020-03-29 1917 KD9GY         59  086    AC1U          59  2891   0
QSO: 14336 PH 2020-03-29 1918 KD9GY         59  087    IK2EGL        59  487    0
QSO: 14318 PH 2020-03-29 1920 KD9GY         59  088    IT9STX        59  1698   0
QSO: 14313 PH 2020-03-29 1921 KD9GY         59  089    WW2Y          59  3391   0
QSO: 14304 PH 2020-03-29 1922 KD9GY         59  090    LZ5R          59  3704   0
QSO: 14302 PH 2020-03-29 1923 KD9GY         59  091    RK7A          59  1153   0
QSO: 14301 PH 2020-03-29 1924 KD9GY         59  092    VE2GSO        59  958    0
QSO: 14298 PH 2020-03-29 1925 KD9GY         59  093    IZ8GMI        59  994    0
QSO: 14295 PH 2020-03-29 1926 KD9GY         59  094    IK4VET        59  348    0
QSO: 14292 PH 2020-03-29 1927 KD9GY         59  095    EA7W          59  2525   0
QSO: 14284 PH 2020-03-29 1932 KD9GY         59  096    ED3X          59  508    0
QSO: 14283 PH 2020-03-29 1932 KD9GY         59  097    KD5DD         59  1998   0
QSO: 14281 PH 2020-03-29 1933 KD9GY         59  098    IQ8SN         59  2739   0
QSO: 14275 PH 2020-03-29 1935 KD9GY         59  099    KB1W          59  1082   0
QSO: 14266 PH 2020-03-29 1936 KD9GY         59  100    LZ9W          59  2287   0
QSO: 14265 PH 2020-03-29 1941 KD9GY         59  101    S53MM         59  766    0
QSO: 14258 PH 2020-03-29 1942 KD9GY         59  102    HG8R          59  2617   0
QSO: 14253 PH 2020-03-29 1944 KD9GY         59  103    NE1C          59  1592   0
QSO: 14244 PH 2020-03-29 1946 KD9GY         59  104    NG1R          59  892    0
QSO: 14222 PH 2020-03-29 1950 KD9GY         59  105    IK5ZWU        59  613    0
QSO: 14219 PH 2020-03-29 1951 KD9GY         59  106    NW6P          59  1414   0
QSO: 14216 PH 2020-03-29 1952 KD9GY         59  107    KK9A          59  2407   0
QSO: 14210 PH 2020-03-29 1953 KD9GY         59  108    KU2M          59  2160   0
QSO: 14202 PH 2020-03-29 1954 KD9GY         59  109    EA3KE         59  195    0
QSO: 14200 PH 2020-03-29 1955 KD9GY         59  110    IZ3KGI        59  903    0
QSO: 14193 PH 2020-03-29 1956 KD9GY         59  111    S57C          59  962    0
QSO: 14186 PH 2020-03-29 1957 KD9GY         59  112    9A3JB         59  2424   0
QSO: 14184 PH 2020-03-29 1958 KD9GY         59  113    AA4AQ         59  1315   0
QSO: 14171 PH 2020-03-29 2001 KD9GY         59  114    HG5A          59  2467   0
QSO: 14168 PH 2020-03-29 2001 KD9GY         59  115    N4CW          59  423    0
QSO: 14163 PH 2020-03-29 2003 KD9GY         59  116    IZ4COW        59  1674   0
QSO: 14158 PH 2020-03-29 2004 KD9GY         59  117    VB2Z          59  1950   0
QSO: 14153 PH 2020-03-29 2004 KD9GY         59  118    WW2DX         59  2743   0
QSO: 21386 PH 2020-03-29 2007 KD9GY         59  119    HH2AA         59  866    0
QSO: 21386 PH 2020-03-29 2008 KD9GY         59  120    CE3CT         59  1808   0
QSO: 21376 PH 2020-03-29 2009 KD9GY         59  121    PV2P          59  2602   0
QSO: 21372 PH 2020-03-29 2011 KD9GY         59  122    PY2EB         59  334    0
QSO: 21371 PH 2020-03-29 2011 KD9GY         59  123    WP4WW         59  558    0
QSO: 21363 PH 2020-03-29 2012 KD9GY         59  124    PY5JR         59  541    0
QSO: 21358 PH 2020-03-29 2013 KD9GY         59  125    KP3DR         59  458    0
QSO: 21355 PH 2020-03-29 2015 KD9GY         59  126    ZV2K          59  634    0
QSO: 21352 PH 2020-03-29 2019 KD9GY         59  127    LU1HYW        59  277    0
QSO: 21346 PH 2020-03-29 2020 KD9GY         59  128    FY5KE         59  835    0
QSO: 21338 PH 2020-03-29 2021 KD9GY         59  129    PS2T          59  515    0
QSO: 21335 PH 2020-03-29 2021 KD9GY         59  130    CV7S          59  1760   0
QSO: 21322 PH 2020-03-29 2023 KD9GY         59  131    CX2CC         59  724    0
QSO: 21307 PH 2020-03-29 2024 KD9GY         59  132    CE6TZ         59  288    0
QSO: 21298 PH 2020-03-29 2026 KD9GY         59  133    PY4BZ         59  2906   0
QSO: 21294 PH 2020-03-29 2036 KD9GY         59  134    PP7LP         59  257    0
QSO: 21293 PH 2020-03-29 2037 KD9GY         59  135    PY2UD         59  1406   0
QSO: 21280 PH 2020-03-29 2038 KD9GY         59  136    LO7H          59  1250   0
QSO: 21278 PH 2020-03-29 2039 KD9GY         59  137    KP3DX         59  3970   0
QSO: 21274 PH 2020-03-29 2040 KD9GY         59  138    KP4RV         59  1114   0
QSO: 21270 PH 2020-03-29 2041 KD9GY         59  139    HI8RD         59  2422   0
QSO: 21247 PH 2020-03-29 2047 KD9GY         59  140    LU8VLE        59  618    0
QSO: 21243 PH 2020-03-29 2047 KD9GY         59  141    AD4TR         59  3971   0
QSO: 21233 PH 2020-03-29 2049 KD9GY         59  142    HI3CC         59  2293   0
QSO: 21205 PH 2020-03-29 2052 KD9GY         59  144    PZ5RA         59  1488   0
QSO:  7264 PH 2020-03-29 2056 KD9GY         59  145    KB0EO         59  1141   0
QSO:  7259 PH 2020-03-29 2058 KD9GY         59  146    KI4RUG        59  150    0
QSO:  7250 PH 2020-03-29 2059 KD9GY         59  147    NF4A          59  1142   0
QSO:  7224 PH 2020-03-29 2104 KD9GY         59  148    N6YMM         59  861    0
QSO: 14151 PH 2020-03-29 2105 KD9GY         59  149    NN3W          59  2216   0
QSO: 14156 PH 2020-03-29 2107 KD9GY         59  150    K4BAI         59  442    0
QSO: 14160 PH 2020-03-29 2107 KD9GY         59  151    WU3A          59  2742   0
QSO: 14170 PH 2020-03-29 2109 KD9GY         59  152    CT3KN         59  2181   0
QSO: 14175 PH 2020-03-29 2110 KD9GY         59  153    N3QE          59  2355   0
QSO: 14179 PH 2020-03-29 2111 KD9GY         59  154    EE7P          59  1741   0
QSO: 14181 PH 2020-03-29 2111 KD9GY         59  155    WZ4F          59  2998   0
QSO: 14184 PH 2020-03-29 2113 KD9GY         59  156    NA3D          59  1294   0
QSO: 14204 PH 2020-03-29 2117 KD9GY         59  157    WO4O          59  753    0
QSO: 14206 PH 2020-03-29 2119 KD9GY         59  158    KK1L          59  109    0
QSO: 14211 PH 2020-03-29 2121 KD9GY         59  159    AK1W          59  3686   0
QSO: 14227 PH 2020-03-29 2122 KD9GY         59  160    V7NY          59  1368   0
QSO: 14231 PH 2020-03-29 2123 KD9GY         59  161    AA4XG         59  1545   0
QSO: 14241 PH 2020-03-29 2127 KD9GY         59  162    EF2A          59  2897   0
QSO: 14243 PH 2020-03-29 2128 KD9GY         59  163    NA4RR         59  1892   0
QSO: 14248 PH 2020-03-29 2129 KD9GY         59  164    KR6N          59  2216   0
QSO: 14253 PH 2020-03-29 2130 KD9GY         59  165    KA1ZD         59  1919   0
QSO: 14257 PH 2020-03-29 2132 KD9GY         59  166    F4CWN         59  847    0
QSO: 14262 PH 2020-03-29 2134 KD9GY         59  167    K4VOZ         59  56     0
QSO: 21329 PH 2020-03-29 2137 KD9GY         59  168    LU7MCJ        59  614    0
QSO: 21334 PH 2020-03-29 2138 KD9GY         59  169    LT7F          59  647    0
QSO: 21336 PH 2020-03-29 2139 KD9GY         59  170    LT3H          59  1010   0
QSO: 21341 PH 2020-03-29 2140 KD9GY         59  171    LU5FC         59  2127   0
QSO: 21350 PH 2020-03-29 2140 KD9GY         59  172    KM9P          59  544    0
QSO: 21354 PH 2020-03-29 2141 KD9GY         59  173    NA4W          59  549    0
QSO: 21200 PH 2020-03-29 2143 KD9GY         59  174    LS2D          59  1473   0
QSO: 21213 PH 2020-03-29 2144 KD9GY         59  175    CE2LR         59  1909   0
QSO: 21248 PH 2020-03-29 2146 KD9GY         59  176    PY2ZR         59  262    0
QSO: 21260 PH 2020-03-29 2147 KD9GY         59  177    LU5HA         59  286    0
QSO: 21264 PH 2020-03-29 2153 KD9GY         59  178    PY2CX         59  785    0
QSO: 21267 PH 2020-03-29 2154 KD9GY         59  179    CX1AV         59  409    0
QSO: 21286 PH 2020-03-29 2200 KD9GY         59  180    ZP5DBC        59  1721   0
QSO: 21303 PH 2020-03-29 2204 KD9GY         59  181    HC2AO         59  1705   0
QSO: 21310 PH 2020-03-29 2204 KD9GY         59  182    WZ4F          59  3081   0
QSO: 21314 PH 2020-03-29 2206 KD9GY         59  183    PY3PA         59  394    0
QSO: 21320 PH 2020-03-29 2207 KD9GY         59  184    LU1ICX        59  201    0
QSO: 21325 PH 2020-03-29 2208 KD9GY         59  185    TI7W          59  1739   0
QSO: 21329 PH 2020-03-29 2209 KD9GY         59  186    PY1ZV         59  386    0
QSO: 21372 PH 2020-03-29 2221 KD9GY         59  187    LV1F          59  657    0
QSO:  7117 PH 2020-03-29 2223 KD9GY         59  188    9A9R          59  541    0
QSO:  7134 PH 2020-03-29 2224 KD9GY         59  189    WI0WA         59  3214   0
QSO:  7163 PH 2020-03-29 2229 KD9GY         59  190    N5DX          59  2482   0
QSO:  7170 PH 2020-03-29 2229 KD9GY         59  191    VE3EJ         59  3831   0
QSO:  7173 PH 2020-03-29 2230 KD9GY         59  192    S51YI         59  2658   0
QSO:  7177 PH 2020-03-29 2231 KD9GY         59  193    WW2Y          59  3650   0
QSO:  7190 PH 2020-03-29 2233 KD9GY         59  194    XM3T          59  3496   0
QSO:  7204 PH 2020-03-29 2235 KD9GY         59  195    WA2JQK        59  818    0
QSO:  7212 PH 2020-03-29 2236 KD9GY         59  196    VA9CB         59  2957   0
QSO:  7217 PH 2020-03-29 2237 KD9GY         59  197    KG5HVO        59  1293   0
QSO:  7232 PH 2020-03-29 2239 KD9GY         59  198    W1MM          59  125    0
QSO:  7237 PH 2020-03-29 2239 KD9GY         59  199    KT4Q          59  2317   0
QSO:  7244 PH 2020-03-29 2241 KD9GY         59  200    K4FJW         59  322    0
QSO:  7258 PH 2020-03-29 2242 KD9GY         59  201    K4RO          59  1257   0
QSO:  7268 PH 2020-03-29 2242 KD9GY         59  202    KD5J          59  232    0
QSO:  7278 PH 2020-03-29 2244 KD9GY         59  203    NE4EI         59  906    0
QSO: 21331 PH 2020-03-29 2246 KD9GY         59  204    LU2NI         59  442    0
QSO: 21298 PH 2020-03-29 2248 KD9GY         59  205    HC5VF         59  222    0
QSO: 21272 PH 2020-03-29 2250 KD9GY         59  206    NA4RR         59  2063   0
QSO: 21267 PH 2020-03-29 2251 KD9GY         59  207    LR3M          59  675    0
QSO: 21240 PH 2020-03-29 2254 KD9GY         59  208    LU3OKA        59  333    0
QSO: 21215 PH 2020-03-29 2258 KD9GY         59  209    PY2MIG        59  206    0
QSO:  3770 PH 2020-03-29 2300 KD9GY         59  210    K3DNE         59  1810   0
QSO:  3765 PH 2020-03-29 2301 KD9GY         59  211    W3BGN         59  811    0
QSO:  7290 PH 2020-03-29 2302 KD9GY         59  212    NR3X          59  3167   0
QSO:  7283 PH 2020-03-29 2304 KD9GY         59  213    KC5TT         59  453    0
QSO:  7281 PH 2020-03-29 2305 KD9GY         59  214    VE3TW         59  414    0
QSO:  7270 PH 2020-03-29 2307 KD9GY         59  215    AD4TR         59  4223   0
QSO:  7267 PH 2020-03-29 2308 KD9GY         59  216    ND9G          59  678    0
QSO:  7261 PH 2020-03-29 2309 KD9GY         59  217    VE4VT         59  2360   0
QSO:  7249 PH 2020-03-29 2310 KD9GY         59  218    N4BCD         59  321    0
QSO:  7238 PH 2020-03-29 2313 KD9GY         59  219    KM0DX         59  299    0
QSO:  7234 PH 2020-03-29 2313 KD9GY         59  220    AC4G          59  348    0
QSO:  7216 PH 2020-03-29 2315 KD9GY         59  221    AJ1I          59  670    0
QSO:  7212 PH 2020-03-29 2316 KD9GY         59  222    VE9CB         59  3043   0
QSO:  7213 PH 2020-03-29 2317 KD9GY         59  223    W1XX          59  793    0
QSO:  7204 PH 2020-03-29 2317 KD9GY         59  224    NE1C          59  1824   0
QSO:  7202 PH 2020-03-29 2318 KD9GY         59  225    NN3W          59  2407   0
QSO:  7193 PH 2020-03-29 2320 KD9GY         59  226    CR6T          59  3519   0
END-OF-LOG:
