START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: K9FRO
LOCATION: IN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: EM69
CLAIMED-SCORE: 74217
NAME: Jeffrey D Erdman
OPERATORS: K9FRO
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: TS940S and G5RV.  First HF in 3+ years.  Fun contest.
QSO:  7000 PH 2020-03-29 1343 K9FRO         59  160    KA1IS         59  699    0
QSO:  7000 PH 2020-03-29 1345 K9FRO         59  161    W3RGA         59  174    0
QSO:  7000 PH 2020-03-29 1346 K9FRO         59  162    NS0R          59  185    0
QSO:  7000 PH 2020-03-29 1347 K9FRO         59  163    NC3Y          59  20     0
QSO: 14000 PH 2020-03-29 1351 K9FRO         59  164    W7CXX         59  649    0
QSO: 14000 PH 2020-03-29 1430 K9FRO         59  165    LY7Z          59  2923   0
QSO: 14000 PH 2020-03-29 1537 K9FRO         59  166    K3QH          59  699    0
QSO: 14000 PH 2020-03-29 1545 K9FRO         59  167    VE7NY         59  1050   0
QSO: 14000 PH 2020-03-29 1547 K9FRO         59  168    VY0AA         59  1529   0
QSO: 14000 PH 2020-03-29 1604 K9FRO         59  169    RW1F          59  3451   0
QSO: 14000 PH 2020-03-29 1613 K9FRO         59  170    AJ7G          59  968    0
QSO:  7000 PH 2020-03-29 1623 K9FRO         59  171    W8MJ          59  2341   0
QSO:  7000 PH 2020-03-29 1625 K9FRO         59  172    K3DNE         59  1325   0
QSO:  7000 PH 2020-03-29 1627 K9FRO         59  173    W0MB          59  731    0
QSO:  7000 PH 2020-03-29 1628 K9FRO         59  174    AB2E          59  859    0
QSO:  7000 PH 2020-03-29 1629 K9FRO         59  175    WJ4X          59  630    0
QSO:  7000 PH 2020-03-29 1631 K9FRO         59  176    NN3W          59  1976   0
QSO:  7000 PH 2020-03-29 1633 K9FRO         59  177    XM3T          59  3049   0
QSO: 14000 PH 2020-03-29 1658 K9FRO         59  178    XE1CQ         59  505    0
QSO: 14000 PH 2020-03-29 1700 K9FRO         59  179    NN1C          59  2517   0
QSO: 14000 PH 2020-03-29 1701 K9FRO         59  180    N6AR          59  2296   0
QSO: 14000 PH 2020-03-29 1706 K9FRO         59  181    KL7RA         59  1820   0
QSO: 14000 PH 2020-03-29 1722 K9FRO         59  182    EI20C         59  2814   0
QSO: 14000 PH 2020-03-29 1723 K9FRO         59  183    K5FUV         59  751    0
QSO: 14000 PH 2020-03-29 1724 K9FRO         59  184    NX1P          59  539    0
QSO: 14000 PH 2020-03-29 1735 K9FRO         59  185    D41CV         59  2506   0
QSO: 14000 PH 2020-03-29 1736 K9FRO         59  186    WW7E          59  1494   0
QSO: 14000 PH 2020-03-29 1737 K9FRO         59  187    VA2CZ         59  1068   0
QSO: 14000 PH 2020-03-29 1741 K9FRO         59  188    S57DX         59  2315   0
QSO: 14000 PH 2020-03-29 1753 K9FRO         59  189    NA7OM         59  270    0
QSO: 14000 PH 2020-03-29 1756 K9FRO         59  190    KM4HI         59  821    0
QSO: 14000 PH 2020-03-29 1806 K9FRO         59  191    KW7Y          59  3020   0
QSO: 14000 PH 2020-03-29 1821 K9FRO         59  192    WW5L          59  384    0
QSO: 14000 PH 2020-03-29 1828 K9FRO         59  193    RK7A          59  1000   0
QSO: 14000 PH 2020-03-29 1838 K9FRO         59  194    N7GP          59  1687   0
QSO: 14000 PH 2020-03-29 1844 K9FRO         59  195    AC1U          59  2821   0
QSO:  7000 PH 2020-03-29 1847 K9FRO         59  196    VE3WRL        59  552    0
QSO:  7000 PH 2020-03-29 1849 K9FRO         59  197    ND9G          59  507    0
QSO:  7000 PH 2020-03-29 1851 K9FRO         59  198    N6YMM         59  686    0
QSO:  7000 PH 2020-03-29 1853 K9FRO         59  199    K3WJV         59  730    0
QSO:  7000 PH 2020-03-29 1854 K9FRO         59  200    N4DN          59  294    0
QSO:  7000 PH 2020-03-29 1857 K9FRO         59  201    K8GL          59  259    0
QSO:  7000 PH 2020-03-29 1859 K9FRO         59  202    NV4C          59  171    0
QSO: 21000 PH 2020-03-29 2023 K9FRO         59  203    KP3DX         59  3914   0
QSO: 21000 PH 2020-03-29 2025 K9FRO         59  204    KT4Q          59  2139   0
QSO: 21000 PH 2020-03-29 2028 K9FRO         59  205    CV7S          59  1769   0
QSO: 21000 PH 2020-03-29 2030 K9FRO         59  206    TI7W          59  1641   0
QSO: 14000 PH 2020-03-29 2051 K9FRO         59  207    KT7E          59  971    0
QSO: 14000 PH 2020-03-29 2056 K9FRO         59  208    IO8V          59  2534   0
QSO: 14000 PH 2020-03-29 2057 K9FRO         59  209    AJ1I          59  563    0
QSO: 14000 PH 2020-03-29 2103 K9FRO         59  210    NE1C          59  1760   0
QSO: 14000 PH 2020-03-29 2105 K9FRO         59  211    AA1SU         59  430    0
QSO: 14000 PH 2020-03-29 2109 K9FRO         59  212    K0TT          59  1833   0
QSO: 14000 PH 2020-03-29 2112 K9FRO         59  213    W7ZB          59  589    0
QSO: 14000 PH 2020-03-29 2116 K9FRO         59  214    WJ7W          59  500    0
QSO: 14000 PH 2020-03-29 2118 K9FRO         59  215    KK6P          59  2199   0
QSO: 14000 PH 2020-03-29 2120 K9FRO         59  216    VE3CX         59  2578   0
QSO: 14000 PH 2020-03-29 2123 K9FRO         59  217    WC6H          59  2491   0
QSO: 14000 PH 2020-03-29 2126 K9FRO         59  218    YV5EED        59  246    0
QSO: 14000 PH 2020-03-29 2130 K9FRO         59  219    NI0K          59  769    0
QSO: 14000 PH 2020-03-29 2134 K9FRO         59  220    KU8E          59  575    0
QSO: 14000 PH 2020-03-29 2144 K9FRO         59  221    NP2P          59  2913   0
QSO: 21000 PH 2020-03-29 2159 K9FRO         59  222    OA4SS         59  535    0
QSO: 21000 PH 2020-03-29 2200 K9FRO         59  223    HC2AO         59  1696   0
QSO: 21000 PH 2020-03-29 2207 K9FRO         59  224    WW4LL         59  590    0
QSO: 21000 PH 2020-03-29 2208 K9FRO         59  225    K5RX          59  582    0
QSO:  7000 PH 2020-03-29 2214 K9FRO         59  226    W9AV          59  963    0
QSO:  7000 PH 2020-03-29 2217 K9FRO         59  227    AC3BU         59  411    0
QSO:  7000 PH 2020-03-29 2218 K9FRO         59  228    VA3QF         59  273    0
QSO:  7000 PH 2020-03-29 2219 K9FRO         59  229    WA3AAN        59  376    0
QSO:  7000 PH 2020-03-29 2221 K9FRO         59  230    KD5J          59  176    0
QSO:  7000 PH 2020-03-29 2222 K9FRO         59  231    KI9A          59  399    0
QSO:  7000 PH 2020-03-29 2223 K9FRO         59  232    NF4A          59  1315   0
QSO:  7000 PH 2020-03-29 2225 K9FRO         59  233    K4FJW         59  296    0
QSO:  7000 PH 2020-03-29 2226 K9FRO         59  234    KT4Q          59  2286   0
QSO:  7000 PH 2020-03-29 2226 K9FRO         59  235    AC4G          59  272    0
QSO:  7000 PH 2020-03-29 2229 K9FRO         59  236    AC6ZM         59  567    0
QSO:  7000 PH 2020-03-29 2233 K9FRO         59  237    K4SBZ         59  343    0
QSO:  7000 PH 2020-03-29 2236 K9FRO         59  238    W9QL          59  407    0
QSO:  7000 PH 2020-03-29 2241 K9FRO         59  239    K9CT          59  2750   0
QSO:  7000 PH 2020-03-29 2247 K9FRO         59  240    K4BAI         59  691    0
QSO:  7000 PH 2020-03-29 2248 K9FRO         59  241    KS1J          59  693    0
QSO:  7000 PH 2020-03-29 2249 K9FRO         59  242    W9MK          59  213    0
QSO:  7000 PH 2020-03-29 2251 K9FRO         59  243    K4RO          59  1279   0
QSO:  7000 PH 2020-03-29 2254 K9FRO         59  244    AD4TR         59  4187   0
QSO:  7000 PH 2020-03-29 2258 K9FRO         59  245    N4BCD         59  289    0
QSO:  7000 PH 2020-03-29 2259 K9FRO         59  246    AA2MU         59  494    0
QSO:  7000 PH 2020-03-29 2308 K9FRO         59  247    AJ1I          59  658    0
QSO:  7000 PH 2020-03-29 2310 K9FRO         59  248    N9TK          59  100    0
QSO:  7000 PH 2020-03-29 2311 K9FRO         59  249    VE3YT         59  273    0
QSO:  7000 PH 2020-03-29 2312 K9FRO         59  250    NE1C          59  1819   0
QSO:  7000 PH 2020-03-29 2315 K9FRO         59  251    NA4DX         59  411    0
QSO:  7000 PH 2020-03-29 2316 K9FRO         59  252    VE3EJ         59  3896   0
QSO: 14000 PH 2020-03-29 2321 K9FRO         59  253    NA4RR         59  2094   0
QSO: 14000 PH 2020-03-29 2328 K9FRO         59  254    LU6ETB        59  333    0
QSO:  7000 PH 2020-03-29 2338 K9FRO         59  255    NS4T          59  413    0
QSO:  7000 PH 2020-03-29 2342 K9FRO         59  256    AA1SU         59  489    0
QSO:  3500 PH 2020-03-29 2347 K9FRO         59  257    VE3TW         59  478    0
QSO:  3500 PH 2020-03-29 2347 K9FRO         59  258    KB9OWD        59  1143   0
QSO: 14000 PH 2020-03-29 2357 K9FRO         59  259    VE6EX         59  585    0
END-OF-LOG:
