START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: OR5T
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 603351
NAME: Xavier GODDAER
OPERATORS: OR5T
CLUB: THRACIAN ROSE CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: I had a lot of fun... good runs on 80m
QSO: 21282 PH 2020-03-29 1414 OR5T          59  0232   EA8ZS         59  0617
QSO:  7098 PH 2020-03-29 1417 OR5T          59  0233   OE5OHO        59  0102
QSO:  7106 PH 2020-03-29 1418 OR5T          59  0234   UX0LL         59  0982
QSO:  7112 PH 2020-03-29 1419 OR5T          59  0235   F1PYN         59  0174
QSO:  7115 PH 2020-03-29 1419 OR5T          59  0236   TM6M          59  1070
QSO:  7117 PH 2020-03-29 1420 OR5T          59  0237   LY7M          59  0109
QSO:  7121 PH 2020-03-29 1421 OR5T          59  0238   9A5Y          59  2703
QSO:  7125 PH 2020-03-29 1421 OR5T          59  0239   LA8OM         59  0572
QSO:  7131 PH 2020-03-29 1422 OR5T          59  0240   YT7A          59  2001
QSO:  7133 PH 2020-03-29 1423 OR5T          59  0241   LY5W          59  0955
QSO:  7136 PH 2020-03-29 1424 OR5T          59  0242   IK3UNA        59  2017
QSO:  7138 PH 2020-03-29 1424 OR5T          59  0243   IQ2VA         59  1737
QSO:  7143 PH 2020-03-29 1425 OR5T          59  0244   SN8K          59  1295
QSO:  7154 PH 2020-03-29 1429 OR5T          59  0245   OL7O          59  0099
QSO:  7154 PH 2020-03-29 1429 OR5T          59  0246   IK3SSJ        59  0485
QSO:  7154 PH 2020-03-29 1430 OR5T          59  0247   DM7CW         59  0125
QSO:  7154 PH 2020-03-29 1433 OR5T          59  0248   IO4R          59  0709
QSO:  7154 PH 2020-03-29 1433 OR5T          59  0249   IK2SND        59  0502
QSO:  7154 PH 2020-03-29 1434 OR5T          59  0250   IK8DNJ        59  0247
QSO:  7154 PH 2020-03-29 1434 OR5T          59  0251   HG7T          59  1875
QSO:  7154 PH 2020-03-29 1435 OR5T          59  0252   SP6U          59  0148
QSO:  7154 PH 2020-03-29 1435 OR5T          59  0253   UZ1WW         59  0351
QSO:  7154 PH 2020-03-29 1435 OR5T          59  0254   DL5RU         59  0245
QSO:  7154 PH 2020-03-29 1436 OR5T          59  0255   IU1HJT        59  0170
QSO:  7154 PH 2020-03-29 1436 OR5T          59  0256   IZ1SAI        59  0117
QSO:  7154 PH 2020-03-29 1436 OR5T          59  0257   DQ0Z          59  0324
QSO:  7154 PH 2020-03-29 1437 OR5T          59  0258   DK9NCX        59  0365
QSO:  7154 PH 2020-03-29 1437 OR5T          59  0259   IW4EGX        59  0796
QSO:  7154 PH 2020-03-29 1437 OR5T          59  0260   IU3GKJ        59  0329
QSO:  7154 PH 2020-03-29 1438 OR5T          59  0261   DA1BK         59  0028
QSO:  7154 PH 2020-03-29 1439 OR5T          59  0262   DL5SFC        59  0269
QSO:  7154 PH 2020-03-29 1440 OR5T          59  0263   G3WZD         59  0488
QSO:  7154 PH 2020-03-29 1440 OR5T          59  0264   DL8BU         59  0029
QSO:  7154 PH 2020-03-29 1440 OR5T          59  0265   IZ2BKA        59  0281
QSO:  7154 PH 2020-03-29 1441 OR5T          59  0266   DG7RCJ        59  0006
QSO:  7154 PH 2020-03-29 1441 OR5T          59  0267   M7FLY         59  0015
QSO:  7154 PH 2020-03-29 1442 OR5T          59  0268   DL7URH        59  0638
QSO:  7154 PH 2020-03-29 1442 OR5T          59  0269   HB9FEX        59  0086
QSO:  7154 PH 2020-03-29 1442 OR5T          59  0270   LZ9W          59  3161
QSO:  7154 PH 2020-03-29 1442 OR5T          59  0271   S53MM         59  2414
QSO:  7154 PH 2020-03-29 1444 OR5T          59  0272   DL2LDE        59  0193
QSO:  7154 PH 2020-03-29 1444 OR5T          59  0273   OE9WJH        59  0050
QSO:  7154 PH 2020-03-29 1445 OR5T          59  0274   CR6T          59  2921
QSO:  7154 PH 2020-03-29 1445 OR5T          59  0275   I5MXX         59  1472
QSO:  7154 PH 2020-03-29 1446 OR5T          59  0276   SP7RFF        59  0526
QSO:  7154 PH 2020-03-29 1447 OR5T          59  0277   IK2WZV        59  0161
