START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: IZ0DXD
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN63FD
CLAIMED-SCORE: 7935
NAME: SERGIO ALUNNI SANTONI
OPERATORS: IZ0DXD
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: first time in qrp ft-817nd only 5 watt good experience!!
QSO: 14344 PH 2020-03-29 1126 IZ0DXD        59  0032   UD4F          59  2343
QSO: 14293 PH 2020-03-29 1131 IZ0DXD        59  0033   SE0X          59  1661
QSO: 14239 PH 2020-03-29 1135 IZ0DXD        59  0034   LY4A          59  3485
QSO: 14203 PH 2020-03-29 1138 IZ0DXD        59  0035   US5QRW        59  0341
QSO: 14167 PH 2020-03-29 1143 IZ0DXD        59  0036   SV5DKL        59  0947
QSO: 14115 PH 2020-03-29 1318 IZ0DXD        59  0037   MM3AWD        59  0819
QSO: 14220 PH 2020-03-29 1327 IZ0DXD        59  0038   TC3A          59  1002
QSO: 28444 PH 2020-03-29 1330 IZ0DXD        59  0039   HZ1SK         59  0219
QSO: 28395 PH 2020-03-29 1334 IZ0DXD        59  0040   5R8UI         59  0338
QSO: 21350 PH 2020-03-29 1342 IZ0DXD        59  0041   TA4PR         59  0352
QSO: 14145 PH 2020-03-29 1351 IZ0DXD        59  0042   UX0LL         59  0962
QSO: 14179 PH 2020-03-29 1353 IZ0DXD        59  0043   YP0C          59  2081
QSO: 14348 PH 2020-03-29 1408 IZ0DXD        59  0044   RA9Y          59  2124
QSO: 14325 PH 2020-03-29 1410 IZ0DXD        59  0045   EA7W          59  2047
QSO: 14290 PH 2020-03-29 1411 IZ0DXD        59  0046   D1DX          59  0487
QSO: 14279 PH 2020-03-29 1412 IZ0DXD        59  0047   F4GTD         59  0019
QSO: 14258 PH 2020-03-29 1413 IZ0DXD        59  0048   RM3DA         59  2223
QSO:  7104 PH 2020-03-29 1425 IZ0DXD        59  0049   HA2KMR        59  0227
QSO:  7136 PH 2020-03-29 1427 IZ0DXD        59  0050   IK3UNA        59  2025
QSO:  7142 PH 2020-03-29 1428 IZ0DXD        59  0051   OE3IDE        59  1040
QSO: 14156 PH 2020-03-29 1437 IZ0DXD        59  0052   UA5C          59  2678
QSO: 21257 PH 2020-03-29 1454 IZ0DXD        59  0053   C4W           59  2807
QSO: 14325 PH 2020-03-29 1505 IZ0DXD        59  0054   UB7K          59  4667
QSO: 14234 PH 2020-03-29 1509 IZ0DXD        59  0055   SC0N          59  0448
QSO: 14158 PH 2020-03-29 1513 IZ0DXD        59  0056   LZ1QN         59  1071
QSO: 14146 PH 2020-03-29 1516 IZ0DXD        59  0057   LZ2JA         59  0797
QSO: 14128 PH 2020-03-29 1518 IZ0DXD        59  0058   F4BKV         59  0945
QSO: 14165 PH 2020-03-29 1524 IZ0DXD        59  0059   LC6C          59  0991
QSO: 14297 PH 2020-03-29 1528 IZ0DXD        59  0060   OH1F          59  1563
QSO: 14341 PH 2020-03-29 1533 IZ0DXD        59  0061   J41J          59  0250
QSO:  3715 PH 2020-03-29 1629 IZ0DXD        59  0062   IU0LFQ        59  0225
QSO:  7130 PH 2020-03-29 2042 IZ0DXD        59  0063   UB7K          59  5105
QSO:  3603 PH 2020-03-29 2051 IZ0DXD        59  0064   EA3CI         59  0938
QSO:  3706 PH 2020-03-29 2058 IZ0DXD        59  0065   IV3KKW        59  0571
QSO:  3720 PH 2020-03-29 2059 IZ0DXD        59  0066   HA8FK         59  1073
QSO:  3764 PH 2020-03-29 2107 IZ0DXD        59  0067   LZ5R          59  3895
QSO:  3785 PH 2020-03-29 2111 IZ0DXD        59  0068   OE6Z          59  1322
QSO:  3761 PH 2020-03-29 2114 IZ0DXD        59  0069   OK7W          59  2203
QSO:  3714 PH 2020-03-29 2117 IZ0DXD        59  0070   S56P          59  1804
QSO:  7067 PH 2020-03-29 2122 IZ0DXD        59  0071   YL3CW         59  1197
QSO:  7120 PH 2020-03-29 2124 IZ0DXD        59  0072   GM4X          59  1626
QSO:  7135 PH 2020-03-29 2128 IZ0DXD        59  0073   UW2M          59  4652
QSO:  7193 PH 2020-03-29 2132 IZ0DXD        59  0074   CR6T          59  3392
QSO:  7073 PH 2020-03-29 2136 IZ0DXD        59  0075   RL3A          59  6265
END-OF-LOG:
