START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WB9BWP
LOCATION: WI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 13920
NAME:
OPERATORS: WB9BWP
CREATED-BY: N3FJP's CQ WPX Contest Log 4.7
SOAPBOX: Actually beat last years score with only 3/4 of an antenna.
QSO: 14222 PH 2020-03-28 1859 WB9BWP        59  024    W7WA          59  1055   0
QSO: 14238 PH 2020-03-28 1904 WB9BWP        59  025    OE3K          59  1885   0
QSO: 14243 PH 2020-03-28 1906 WB9BWP        59  026    AJ1I          59  155    0
QSO: 14306 PH 2020-03-28 1911 WB9BWP        59  027    SP8R          59  872    0
QSO: 14316 PH 2020-03-28 1914 WB9BWP        59  028    LZ5R          59  1829   0
QSO: 14331 PH 2020-03-28 1916 WB9BWP        59  029    DL2ARD        59  1505   0
QSO: 14153 PH 2020-03-28 1918 WB9BWP        59  030    WW2DX         59  1285   0
QSO: 14172 PH 2020-03-28 1920 WB9BWP        59  031    DM6V          59  1382   0
QSO: 14176 PH 2020-03-28 1923 WB9BWP        59  032    NC1CC         59  811    0
QSO: 14204 PH 2020-03-28 1928 WB9BWP        59  033    WA6KHK        59  363    0
QSO: 14206 PH 2020-03-28 1933 WB9BWP        59  034    NC0DX         59  159    0
QSO: 14278 PH 2020-03-28 1942 WB9BWP        59  035    WK5T          59  1503   0
QSO: 14291 PH 2020-03-28 1944 WB9BWP        59  036    NT5V          59  882    0
QSO: 14298 PH 2020-03-28 1949 WB9BWP        59  037    N5JJ          59  654    0
QSO: 14205 PH 2020-03-28 2315 WB9BWP        59  038    KR6N          59  1065   0
QSO: 14223 PH 2020-03-28 2318 WB9BWP        59  039    NR6O          59  1334   0
QSO: 14245 PH 2020-03-28 2321 WB9BWP        59  040    NO6T          59  1802   0
QSO: 14265 PH 2020-03-28 2324 WB9BWP        59  041    W6SX          59  157    0
QSO: 14276 PH 2020-03-28 2328 WB9BWP        59  042    CE3CT         59  1118   0
QSO: 14330 PH 2020-03-28 2332 WB9BWP        59  043    KT4Q          59  1140   0
QSO: 14178 PH 2020-03-28 2335 WB9BWP        59  044    LU7YS         59  554    0
QSO: 14263 PH 2020-03-28 2343 WB9BWP        59  045    WU9B          59  157    0
QSO: 14306 PH 2020-03-28 2345 WB9BWP        59  046    WS7X          59  1592   0
QSO: 14316 PH 2020-03-28 2347 WB9BWP        59  047    KP4/N7NR      59  109    0
QSO: 14319 PH 2020-03-28 2347 WB9BWP        59  048    ND7K          59  1100   0
QSO: 14336 PH 2020-03-28 2349 WB9BWP        59  049    AD4TR         59  2302   0
QSO: 14157 PH 2020-03-28 2350 WB9BWP        59  050    WO4O          59  504    0
QSO:  7139 PH 2020-03-29 0101 WB9BWP        59  051    VA3SK         59  8007   0
QSO:  7147 PH 2020-03-29 0105 WB9BWP        59  052    N5DX          59  1576   0
QSO:  7174 PH 2020-03-29 0107 WB9BWP        59  053    VA3AR         59  528    0
QSO:  7188 PH 2020-03-29 0108 WB9BWP        59  054    CR6T          59  2197   0
QSO:  7221 PH 2020-03-29 0112 WB9BWP        59  055    W4NF          59  178    0
QSO:  7290 PH 2020-03-29 0116 WB9BWP        59  056    VA2CZ         59  908    0
QSO:  7293 PH 2020-03-29 0117 WB9BWP        59  057    VY2TT         59  2382   0
QSO:  7130 PH 2020-03-29 0119 WB9BWP        59  058    NB4N          59  1067   0
QSO:  7162 PH 2020-03-29 0123 WB9BWP        59  059    VE4GV         59  1839   0
QSO:  3620 PH 2020-03-29 0338 WB9BWP        59  060    K9ZO          59  1460   0
QSO:  3637 PH 2020-03-29 0340 WB9BWP        59  061    N2BJ          59  735    0
QSO:  3665 PH 2020-03-29 0345 WB9BWP        59  062    WA2CP         59  375    0
QSO:  3699 PH 2020-03-29 0351 WB9BWP        59  063    N9GB          59  903    0
QSO:  3737 PH 2020-03-29 0356 WB9BWP        59  064    AB3AH         59  292    0
QSO: 14173 PH 2020-03-29 1818 WB9BWP        59  065    KV0Q          59  2061   0
QSO: 14178 PH 2020-03-29 1820 WB9BWP        59  066    W6TK          59  1549   0
QSO: 14189 PH 2020-03-29 1825 WB9BWP        59  067    AA4AQ         59  1148   0
QSO: 14203 PH 2020-03-29 1827 WB9BWP        59  068    NG1R          59  833    0
QSO: 14214 PH 2020-03-29 1831 WB9BWP        59  069    AK1W          59  32     0
QSO: 14230 PH 2020-03-29 1833 WB9BWP        59  070    NE1C          59  1449   0
QSO: 14241 PH 2020-03-29 1837 WB9BWP        59  071    N0KV          59  1749   0
QSO: 14263 PH 2020-03-29 1839 WB9BWP        59  072    KW7Y          59  3102   0
QSO: 14268 PH 2020-03-29 1842 WB9BWP        59  073    K5AM          59  203    0
QSO: 14316 PH 2020-03-29 1855 WB9BWP        59  074    XE2X          59  150    0
QSO: 14183 PH 2020-03-29 1901 WB9BWP        59  075    N4ZZ          59  64     0
QSO: 14200 PH 2020-03-29 1904 WB9BWP        59  076    NA3D          59  1251   0
QSO: 14330 PH 2020-03-29 1914 WB9BWP        59  077    W5WZ          59  683    0
QSO: 14181 PH 2020-03-29 1918 WB9BWP        59  078    WZ4F          59  2771   0
QSO: 14207 PH 2020-03-29 1919 WB9BWP        59  079    W1TJL         59  1811   0
QSO: 14219 PH 2020-03-29 1922 WB9BWP        59  080    NA4RR         59  1809   0
QSO: 14245 PH 2020-03-29 1924 WB9BWP        59  081    NN1C          59  2625   0
QSO: 14251 PH 2020-03-29 1929 WB9BWP        59  082    NN3W          59  2118   0
QSO: 14283 PH 2020-03-29 1931 WB9BWP        59  083    KD5DD         59  1996   0
QSO: 14314 PH 2020-03-29 1933 WB9BWP        59  084    WC6H          59  2349   0
QSO:  7152 PH 2020-03-29 1936 WB9BWP        59  085    WZ8DX         59  250    0
QSO:  7166 PH 2020-03-29 1937 WB9BWP        59  086    VE3NE         59  594    0
QSO:  7171 PH 2020-03-29 1941 WB9BWP        59  087    W4BBT         59  704    0
QSO:  7187 PH 2020-03-29 1948 WB9BWP        59  088    K3DNE         59  1642   0
QSO:  7211 PH 2020-03-29 1952 WB9BWP        59  089    WA8RCN        59  709    0
QSO:  7230 PH 2020-03-29 1953 WB9BWP        59  090    NG0C          59  1155   0
QSO:  7149 PH 2020-03-29 1956 WB9BWP        59  091    N0AT          59  584    0
QSO:  7164 PH 2020-03-29 1958 WB9BWP        59  092    KX2NY         59  317    0
QSO:  7138 PH 2020-03-29 2317 WB9BWP        59  093    N3QE          59  2467   0
QSO:  7187 PH 2020-03-29 2323 WB9BWP        59  094    WQ5OO         59  3028   0
QSO:  7190 PH 2020-03-29 2324 WB9BWP        59  095    XM3T          59  3613   0
QSO:  7203 PH 2020-03-29 2327 WB9BWP        59  096    AK1W          59  3953   0
QSO:  7220 PH 2020-03-29 2330 WB9BWP        59  097    AG4W          59  1743   0
QSO:  7237 PH 2020-03-29 2333 WB9BWP        59  098    KT4Q          59  2419   0
QSO:  7244 PH 2020-03-29 2337 WB9BWP        59  099    K4FJW         59  390    0
QSO:  7260 PH 2020-03-29 2339 WB9BWP        59  100    NN9DD         59  1555   0
QSO:  7267 PH 2020-03-29 2343 WB9BWP        59  101    ND9G          59  785    0
QSO:  7137 PH 2020-03-29 2345 WB9BWP        59  102    W3FOX         59  1068   0
QSO:  7142 PH 2020-03-29 2348 WB9BWP        59  103    N1RR          59  833    0
END-OF-LOG:
