START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 24G PH 2024-09-21 2018 K6ML CM87XG AA6PZ CM88WJ
QSO: 10G PH 2024-09-21 2110 K6ML CM87XG N9JIM CM97MB
QSO: 10G PH 2024-09-21 2111 K6ML CM87XG W6BY CM97MB
QSO: 24G CW 2024-09-21 2116 K6ML CM87XG N9JIM CM97MB
QSO: 10G PH 2024-09-21 2311 K6ML CM87VI AA6PZ CM88WJ
QSO: 10G PH 2024-09-21 2312 K6ML CM87VI AG6KG CM88WJ
QSO: 10G PH 2024-09-21 2338 K6ML CM87VI N9JIM CM97OB
QSO: 10G PH 2024-09-21 2339 K6ML CM87VI W6BY CM97OB
QSO: 24G CW 2024-09-21 2355 K6ML CM87VI N9JIM CM97OB
QSO: 24G PH 2024-09-22 0058 K6ML CM87VI AA6PZ CM88WJ
QSO: 47G CW 2024-09-22 0145 K6ML CM87VI AA6PZ CM88WJ
QSO: 10G PH 2024-09-22 0217 K6ML CM87VI N9JIM CM97RB
QSO: 10G PH 2024-09-22 0217 K6ML CM87VI W6BY CM97RB
QSO: 24G CW 2024-09-22 0233 K6ML CM87VI N9JIM CM97RB
QSO: 10G PH 2024-09-22 0236 K6ML CM87VI AD6IW CM87XJ
QSO: 10G PH 2024-09-22 0320 K6ML CM87VI W6QIW DM04MS
QSO: 10G PH 2024-09-22 1719 K6ML CM87XG W6BY CM96WK
QSO: 10G PH 2024-09-22 1720 K6ML CM87XG N9JIM CM96WK
QSO: 10G PH 2024-09-22 1748 K6ML CM87XG AA6PZ CM97AV
QSO: 10G PH 2024-09-22 1905 K6ML CM87XG N9JIM CM96XF
QSO: 10G PH 2024-09-22 1905 K6ML CM87XG W6BY CM96XF
QSO: 24G PH 2024-09-22 2102 K6ML CM87XG AD6IW CM97AV
QSO: 24G PH 2024-09-22 2102 K6ML CM87XG AA6PZ CM97AV
QSO: 10G PH 2024-09-22 2155 K6ML CM87XG KB6BA CM97XL
QSO: 24G PH 2024-09-22 2337 K6ML CM87VI AD6IW CM97AV
QSO: 24G PH 2024-09-22 2338 K6ML CM87VI AA6PZ CM97AV
QSO: 10G PH 2024-09-22 2345 K6ML CM87VI AA6PZ CM97AV
QSO: 10G PH 2024-09-23 0007 K6ML CM87VI N9JIM CM96TM
QSO: 10G PH 2024-09-23 0008 K6ML CM87VI W6BY CM96TM
QSO: 10G PH 2024-09-23 0030 K6ML CM87VI KB6BA CM97XL
QSO: 10G PH 2024-09-23 0127 K6ML CM87VI N9JIM CM96SV
QSO: 24G PH 2024-09-23 0131 K6ML CM87VI N9JIM CM96SV
QSO: 10G PH 2024-09-23 0204 K6ML CM87VI KD6W DM06ED
QSO: 10G PH 2024-09-23 0212 K6ML CM87VI AG6KG CM97KH
QSO: 10G PH 2024-09-23 0222 K6ML CM87VI WA6CDR DM13CO
END-OF-LOG:
