START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: WE1SAX
LOCATION: CT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: FN31TO
CLAIMED-SCORE: 55413
NAME: Jim Payant
OPERATORS: WE1SAX
CLUB: YANKEE CLIPPER CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.9057.0
SOAPBOX:   Tnx for the        qsos, Less             than 10  hours            on   air.  QRN
QSO:   14158  PH 2021-03-27 1950  WE1SAX           59   0039 W6TK             59   0736 
QSO:   14179  PH 2021-03-27 2000  WE1SAX           59   0040 IU8LMC           59   0377 
QSO:   14186  PH 2021-03-27 2002  WE1SAX           59   0041 W7WA             59   1136 
QSO:   14201  PH 2021-03-27 2003  WE1SAX           59   0042 NI4W             59   0705 
QSO:   14202  PH 2021-03-27 2004  WE1SAX           59   0043 C6AGU            59   0617 
QSO:   14214  PH 2021-03-27 2008  WE1SAX           59   0044 IO9A             59   2031 
QSO:   14224  PH 2021-03-27 2014  WE1SAX           59   0045 CQ3W             59   1378 
QSO:   14216  PH 2021-03-27 2016  WE1SAX           59   0046 NC6R             59   0898 
QSO:   14188  PH 2021-03-27 2021  WE1SAX           59   0047 NC7M             59   0592 
QSO:   14187  PH 2021-03-27 2021  WE1SAX           59   0048 HA5JI            59   1526 
QSO:   14160  PH 2021-03-27 2025  WE1SAX           59   0049 S56B             59   0905 
QSO:   14172  PH 2021-03-27 2028  WE1SAX           59   0050 EA5HJV           59   0735 
QSO:   14175  PH 2021-03-27 2030  WE1SAX           59   0051 WP4X             59   1827 
QSO:   14318  PH 2021-03-27 2042  WE1SAX           59   0052 FM5BH            59   1888 
QSO:   14319  PH 2021-03-27 2043  WE1SAX           59   0053 LZ9W             59   1526 
QSO:   14322  PH 2021-03-27 2045  WE1SAX           59   0054 VE4GV            59   0654 
QSO:   14324  PH 2021-03-27 2047  WE1SAX           59   0055 S55OO            59   1791 
QSO:    7150  PH 2021-03-27 2059  WE1SAX           59   0056 OM77PA           59   1329 
QSO:    7165  PH 2021-03-27 2104  WE1SAX           59   0057 S51YI            59   1120 
QSO:    7170  PH 2021-03-27 2106  WE1SAX           59   0058 VE3EJ            59   1777 
QSO:    7138  PH 2021-03-27 2128  WE1SAX           59   0059 W4TTY            59   0510 
QSO:    7182  PH 2021-03-27 2134  WE1SAX           59   0060 K3DNE            59   0846 
QSO:    7182  PH 2021-03-27 2135  WE1SAX           59   0061 SN3A             59   1540 
QSO:    7193  PH 2021-03-27 2137  WE1SAX           59   0062 IQ4FA            59   1076 
QSO:    7196  PH 2021-03-27 2138  WE1SAX           59   0063 CR6T             59   1309 
QSO:    7222  PH 2021-03-27 2140  WE1SAX           59   0064 VE3MGY           59   0117 
QSO:    7179  PH 2021-03-27 2147  WE1SAX           59   0065 II2S             59   1091 
QSO:    7190  PH 2021-03-27 2148  WE1SAX           59   0066 IO4X             59   1438 
QSO:    7217  PH 2021-03-27 2150  WE1SAX           59   0067 VE3CX            59   1304 
QSO:    7147  PH 2021-03-27 2157  WE1SAX           59   0068 K2DRH            59   0534 
QSO:    7158  PH 2021-03-27 2159  WE1SAX           59   0069 DR1X             59   1109 
QSO:    7160  PH 2021-03-27 2200  WE1SAX           59   0070 N4ZZ             59   0080 
QSO:    7161  PH 2021-03-27 2203  WE1SAX           59   0071 PI4COM           59   1072 
QSO:    7163  PH 2021-03-27 2204  WE1SAX           59   0072 S51CK            59   1330 
QSO:    7167  PH 2021-03-27 2205  WE1SAX           59   0073 LZ1EV            59   0505 
QSO:    7173  PH 2021-03-27 2208  WE1SAX           59   0074 SP7VC            59   1689 
QSO:    7200  PH 2021-03-27 2213  WE1SAX           59   0075 LZ9W             59   1781 
QSO:   14153  PH 2021-03-27 2216  WE1SAX           59   0076 V7SZ             59   0280 
QSO:   14163  PH 2021-03-27 2217  WE1SAX           59   0077 AA4AQ            59   0771 
QSO:   14256  PH 2021-03-27 2225  WE1SAX           59   0078 KB0MPV           59   0123 
QSO:   14245  PH 2021-03-27 2227  WE1SAX           59   0079 NO6T             59   2334 
QSO:   14242  PH 2021-03-27 2228  WE1SAX           59   0080 KA6BIM           59   0949 
QSO:   14153  PH 2021-03-27 2234  WE1SAX           59   0081 VE7SZ            59   0330 
QSO:   14331  PH 2021-03-27 2241  WE1SAX           59   0082 TI7W             59   2958 
QSO:   14324  PH 2021-03-27 2242  WE1SAX           59   0083 PY5WW            59   0410 
QSO:   14311  PH 2021-03-27 2243  WE1SAX           59   0084 WO4D             59   1141 
QSO:   14309  PH 2021-03-27 2245  WE1SAX           59   0085 KL7RA            59   1389 
QSO:   14307  PH 2021-03-27 2246  WE1SAX           59   0086 P40A             59   2278 
QSO:   14301  PH 2021-03-27 2248  WE1SAX           59   0087 ZY2B             59   0458 
QSO:   14233  PH 2021-03-27 2308  WE1SAX           59   0088 PR4T             59   2432 
QSO:   14226  PH 2021-03-27 2310  WE1SAX           59   0089 YV4AW            59   0239 
QSO:   14214  PH 2021-03-27 2314  WE1SAX           59   0090 WS7X             59   0717 
QSO:   14207  PH 2021-03-27 2315  WE1SAX           59   0091 HI3LT            59   0835 
QSO:    7143  PH 2021-03-27 2330  WE1SAX           59   0092 IR4M             59   2072 
QSO:    7160  PH 2021-03-27 2331  WE1SAX           59   0093 W8MJ             59   1250 
QSO:    7166  PH 2021-03-27 2334  WE1SAX           59   0094 YT5A             59   1433 
QSO:    7258  PH 2021-03-27 2339  WE1SAX           59   0095 WZ8DX            59   0480 
QSO:    7255  PH 2021-03-27 2341  WE1SAX           59   0096 VE3BX            59   0131 
QSO:    7215  PH 2021-03-27 2343  WE1SAX           59   0097 ZF2PG            59   1306 
QSO:    7173  PH 2021-03-27 2347  WE1SAX           59   0098 AA4VT            59   0688 
QSO:    7168  PH 2021-03-27 2348  WE1SAX           59   0099 S57AL            59   1838 
QSO:    7159  PH 2021-03-27 2351  WE1SAX           59   0100 EA7GX            59   0553 
QSO:    7182  PH 2021-03-27 2352  WE1SAX           59   0101 KB0EO            59   1313 
QSO:   14157  PH 2021-03-28 1719  WE1SAX           59   0102 8S0C             59   0957 
QSO:   14163  PH 2021-03-28 1721  WE1SAX           59   0103 AD0H             59   0395 
QSO:   14165  PH 2021-03-28 1724  WE1SAX           59   0104 IK2YCW           59   1510 
QSO:   14181  PH 2021-03-28 1726  WE1SAX           59   0105 WZ4F             59   1585 
QSO:   14221  PH 2021-03-28 1730  WE1SAX           59   0106 DL0DX            59   1638 
QSO:   14223  PH 2021-03-28 1731  WE1SAX           59   0107 AD7JP            59   0978 
QSO:   14228  PH 2021-03-28 1736  WE1SAX           59   0108 DJ5AN            59   1386 
QSO:   14271  PH 2021-03-28 1742  WE1SAX           59   0109 RL3A             59   5598 
QSO:   14273  PH 2021-03-28 1745  WE1SAX           59   0110 N9GB             59   1097 
QSO:   14286  PH 2021-03-28 1748  WE1SAX           59   0111 EW5A             59   4776 
QSO:   14292  PH 2021-03-28 1749  WE1SAX           59   0112 ES9C             59   3910 
QSO:   14301  PH 2021-03-28 1750  WE1SAX           59   0113 LY31A            59   1539 
QSO:   14315  PH 2021-03-28 1754  WE1SAX           59   0114 LY4A             59   3959 
QSO:   14326  PH 2021-03-28 1755  WE1SAX           59   0115 YL2SM            59   2191 
QSO:   14283  PH 2021-03-28 1804  WE1SAX           59   0116 DA0T             59   2340 
QSO:   14272  PH 2021-03-28 1807  WE1SAX           59   0117 N6AR             59   1856 
QSO:   14257  PH 2021-03-28 1809  WE1SAX           59   0118 K2RD             59   1654 
QSO:   14231  PH 2021-03-28 1815  WE1SAX           59   0119 W0MB             59   0699 
QSO:   14231  PH 2021-03-28 1818  WE1SAX           59   0120 K6NR             59   0488 
QSO:   14224  PH 2021-03-28 1824  WE1SAX           59   0121 RW1A             59   2235 
QSO:   14222  PH 2021-03-28 1824  WE1SAX           59   0122 DM8HH            59   0400 
QSO:   14219  PH 2021-03-28 1826  WE1SAX           59   0123 DL5IC            59   0487 
QSO:   14204  PH 2021-03-28 1828  WE1SAX           59   0124 II2S             59   2115 
QSO:   14202  PH 2021-03-28 1830  WE1SAX           59   0125 LZ5R             59   2863 
QSO:   14197  PH 2021-03-28 1830  WE1SAX           59   0126 KW7Y             59   1453 
QSO:   14186  PH 2021-03-28 1833  WE1SAX           59   0127 DK7A             59   0477 
QSO:   14179  PH 2021-03-28 1835  WE1SAX           59   0128 KK6P             59   2756 
QSO:    7128  PH 2021-03-28 1840  WE1SAX           59   0129 WW1X             59   1712 
QSO:    7161  PH 2021-03-28 1844  WE1SAX           59   0130 K8NW             59   0188 
QSO:    7169  PH 2021-03-28 1845  WE1SAX           59   0131 KM9P             59   0085 
QSO:    7184  PH 2021-03-28 1846  WE1SAX           59   0132 N3QE             59   2047 
QSO:    7205  PH 2021-03-28 1846  WE1SAX           59   0133 NI4W             59   1240 
QSO:    7221  PH 2021-03-28 1847  WE1SAX           59   0134 K3CCR            59   0310 
QSO:    7261  PH 2021-03-28 1848  WE1SAX           59   0135 KA4RRU           59   0934 
QSO:    7175  PH 2021-03-28 1902  WE1SAX           59   0136 W3LL             59   1091 
QSO:    7187  PH 2021-03-28 1905  WE1SAX           59   0137 N5RP             59   0046 
QSO:    7193  PH 2021-03-28 1906  WE1SAX           59   0138 W9KEY            59   0497 
QSO:   14268  PH 2021-03-28 1943  WE1SAX           59   0139 SP7VC            59   2756 
QSO:   14287  PH 2021-03-28 1948  WE1SAX           59   0140 IU4FLO           59   0199 
QSO:   14337  PH 2021-03-28 1951  WE1SAX           59   0141 EA3QP            59   2576 
QSO:   14302  PH 2021-03-28 1955  WE1SAX           59   0142 IQ4FA            59   1288 
QSO:   14225  PH 2021-03-28 2000  WE1SAX           59   0143 OL0W             59   0978 
QSO:   14204  PH 2021-03-28 2003  WE1SAX           59   0144 IK0PHY           59   2249 
QSO:   14155  PH 2021-03-28 2008  WE1SAX           59   0145 YO7WC            59   2039 
QSO:   14304  PH 2021-03-28 2011  WE1SAX           59   0146 S57AL            59   2796 
QSO:   14307  PH 2021-03-28 2011  WE1SAX           59   0147 SQ2A             59   2049 
QSO:   14220  PH 2021-03-28 2012  WE1SAX           59   0148 UT4U             59   0547 
QSO:   14330  PH 2021-03-28 2014  WE1SAX           59   0149 S57DX            59   2283 
QSO:   14265  PH 2021-03-28 2016  WE1SAX           59   0150 K5RX             59   1032 
QSO:   14203  PH 2021-03-28 2022  WE1SAX           59   0151 DJ0ZB            59   0485 
QSO:   14224  PH 2021-03-28 2023  WE1SAX           59   0152 KC5DI            59   0783 
QSO:   14263  PH 2021-03-28 2026  WE1SAX           59   0153 CO8NDZ           59   0712 
QSO:   14234  PH 2021-03-28 2030  WE1SAX           59   0154 GM5X             59   1525 
QSO:   14251  PH 2021-03-28 2031  WE1SAX           59   0155 HB9CVQ           59   0814 
QSO:   14241  PH 2021-03-28 2035  WE1SAX           59   0156 3E3E             59   2193 
QSO:   14266  PH 2021-03-28 2036  WE1SAX           59   0157 HB9NE            59   2777 
QSO:    7141  PH 2021-03-28 2039  WE1SAX           59   0158 VE2GSO           59   0645 
QSO:    7157  PH 2021-03-28 2040  WE1SAX           59   0159 VE3TW            59   0451 
QSO:    7152  PH 2021-03-28 2041  WE1SAX           59   0160 N2BJ             59   1477 
QSO:    7135  PH 2021-03-28 2049  WE1SAX           59   0161 SO4R             59   1369 
END-OF-LOG:
