START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: F5GGL
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY:
GRID-LOCATOR: IN94RS
CLAIMED-SCORE: 14960
NAME: zabalza jean louis
OPERATORS: F5GGL
CREATED-BY: Win-Test 4.34.1
SOAPBOX: TS440 pwr 50W ant om for 80m Linv and MA5V
QSO:  3799 PH 2021-03-28 2123 F5GGL     59  0078 9A88A      59  1745
QSO:  3799 PH 2021-03-28 2126 F5GGL     59  0079 EE7L       59   451
QSO:  3799 PH 2021-03-28 2129 F5GGL     59  0080 HG8R       59 36555
QSO:  3799 PH 2021-03-28 2135 F5GGL     59  0081 IZ6OUX     59   824
QSO:  3799 PH 2021-03-28 2136 F5GGL     59  0082 SQ2PHG     59   023
QSO:  3799 PH 2021-03-28 2139 F5GGL     59  0083 ON5RZ      59   415
QSO:  3799 PH 2021-03-28 2142 F5GGL     59  0084 DM5B       59  1135
QSO:  3799 PH 2021-03-28 2143 F5GGL     59  0085 DQ5M       59   929
QSO:  3799 PH 2021-03-28 2147 F5GGL     59  0086 DR7B       59  1116
QSO:  3799 PH 2021-03-28 2149 F5GGL     59  0087 LY4L       59  2250
QSO:  3799 PH 2021-03-28 2154 F5GGL     59  0088 G5ERW      59   044
QSO:  3648 PH 2021-03-28 2158 F5GGL     59  0089 J42L       59  2987
QSO:  3650 PH 2021-03-28 2204 F5GGL     59  0090 DP7D       59  1073
QSO:  3655 PH 2021-03-28 2208 F5GGL     59  0091 IW1FRU     59  2019
QSO:  3777 PH 2021-03-28 2211 F5GGL     59  0092 IR4K       59  1634
END-OF-LOG:
