START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PE1RUS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PE1RUS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2013.
QSO: 14266 PH 2013-03-30 0811 PE1RUS        59 WP2Z          59 1298
QSO:  7040 PH 2013-03-31 2017 PE1RUS        59 92 SQ7DQX        59 1682
QSO:  7157 PH 2013-03-31 2018 PE1RUS        59 090 DR1A          59 2356
QSO:  7158 PH 2013-03-31 2019 PE1RUS        59 094 M0VSQ         59 1973
QSO:  7161 PH 2013-03-31 2020 PE1RUS        59 0095 RO1B          59 0598
QSO:  7165 PH 2013-03-31 2020 PE1RUS        59 096 RM5A          59 3999
QSO:  7180 PH 2013-03-31 2022 PE1RUS        59 0097 S51A          59 1139
QSO:  7181 PH 2013-03-31 2023 PE1RUS        59 098 OH5Z          59 0890
QSO:  7188 PH 2013-03-31 2024 PE1RUS        59 099 IR2R          59 1546
QSO:  7126 PH 2013-03-31 2025 PE1RUS        59 100 OL7M          59 1108
END-OF-LOG:
