START-OF-LOG: 3.0
CREATED-BY: QARTest 4.5.1
CONTEST: CQ-WPX-CW
CALLSIGN: IK2AIT/2
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: CW
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CLAIMED-SCORE: 10184
NAME: Gio Lazzara
SOAPBOX: Little time, simple apparatus and antenna, little effort produce this
QSO:  7000 CW 2014-05-25 2145 IK2AIT/2      599    065 DM4X          599    942
QSO:  7000 CW 2014-05-25 2146 IK2AIT/2      599    066 IZ1GAR        599   1044
QSO:  7000 CW 2014-05-25 2147 IK2AIT/2      599    067 OM3ZWA        599    976
QSO:  7000 CW 2014-05-25 2150 IK2AIT/2      599    068 ES9C          599   1715
QSO:  7000 CW 2014-05-25 2152 IK2AIT/2      599    069 SP8R          599   3990
QSO:  7000 CW 2014-05-25 2156 IK2AIT/2      599    070 PA0VAJ        599    641
QSO:  7000 CW 2014-05-25 2201 IK2AIT/2      599    071 HA8TP         599   1189
QSO:  7000 CW 2014-05-25 2206 IK2AIT/2      599    072 IK0YVV        599   1243
QSO:  3500 CW 2014-05-25 2213 IK2AIT/2      599    073 SP2LNW        599   1973
QSO:  3500 CW 2014-05-25 2215 IK2AIT/2      599    074 YT8A          599   3345
QSO:  3500 CW 2014-05-25 2220 IK2AIT/2      599    075 DL9ABM        599    282
QSO:  3500 CW 2014-05-25 2222 IK2AIT/2      599    076 9A1A          599    888
QSO:  3500 CW 2014-05-25 2224 IK2AIT/2      599    077 LZ9W          599    778
QSO:  3500 CW 2014-05-25 2225 IK2AIT/2      599    078 UT5UGR        599    742
QSO:  3500 CW 2014-05-25 2227 IK2AIT/2      599    079 OM5WW         599   1913
QSO:  3500 CW 2014-05-25 2231 IK2AIT/2      599    080 S52ZW         599    146
QSO:  3500 CW 2014-05-25 2232 IK2AIT/2      599    081 RM5A          599    174
QSO:  3500 CW 2014-05-25 2235 IK2AIT/2      599    082 EW8DJ         599    667
QSO:  3500 CW 2014-05-25 2237 IK2AIT/2      599    083 DM9K          599    276
QSO:  3500 CW 2014-05-25 2241 IK2AIT/2      599    084 US2YW         599    436
QSO:  3500 CW 2014-05-25 2243 IK2AIT/2      599    085 DL8AKA        599    318
QSO:  3500 CW 2014-05-25 2246 IK2AIT/2      599    086 LY1M          599    942
END-OF-LOG:
