START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: LZ2PS
CLUB:  
CONTEST: REF-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 20M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15390
OPERATORS: LZ2PS
NAME: Stefan Getsov
CREATED-BY: N1MM Logger+ 1.0.7268.0
QSO: 14010 CW 2020-01-25 1440 LZ2PS         599 0109   F6GVC         599 47       
QSO: 14010 CW 2020-01-25 1441 LZ2PS         599 0110   F5ICC         599 24       
QSO: 14010 CW 2020-01-25 1443 LZ2PS         599 0111   F4DZR         599 83       
QSO: 14010 CW 2020-01-25 1445 LZ2PS         599 0112   F6KTW         599 87       
QSO: 14010 CW 2020-01-25 1446 LZ2PS         599 0113   F8DCZ         599 56       
QSO: 14010 CW 2020-01-25 1459 LZ2PS         599 0114   F5KCC         599 89       
QSO: 14010 CW 2020-01-25 1500 LZ2PS         599 0115   F5JU          599 35       
QSO: 14010 CW 2020-01-25 1502 LZ2PS         599 0116   F5GFA         599 47       
QSO: 14010 CW 2020-01-25 1505 LZ2PS         599 0117   F5MWA         599 83       
QSO: 14010 CW 2020-01-25 1508 LZ2PS         599 0118   F6BYJ         599 16       
QSO: 14010 CW 2020-01-25 1511 LZ2PS         599 0119   F6KEH         599 34       
QSO: 14010 CW 2020-01-25 1514 LZ2PS         599 0120   F6KUQ         599 33       
QSO: 14010 CW 2020-01-25 1517 LZ2PS         599 0121   F8DFP         599 63       
QSO: 14010 CW 2020-01-25 1517 LZ2PS         599 0122   F5LHV         599 44       
QSO: 14010 CW 2020-01-25 1520 LZ2PS         599 0123   F4KJP/P       599 08       
QSO: 14010 CW 2020-01-25 1530 LZ2PS         599 0124   F5VBU         599 66       
QSO: 14010 CW 2020-01-25 1538 LZ2PS         599 0125   F8KID/P       599 54       
QSO: 14010 CW 2020-01-25 1541 LZ2PS         599 0126   F6DEV         599 09       
QSO: 14010 CW 2020-01-25 1603 LZ2PS         599 0127   F6EJN         599 81       
QSO: 14010 CW 2020-01-25 1606 LZ2PS         599 0128   F6EYB         599 40       
QSO: 14010 CW 2020-01-25 1610 LZ2PS         599 0129   F6KMC         599 47       
QSO: 14010 CW 2020-01-26 0800 LZ2PS         599 0130   F6GCT         599 77       
QSO: 14010 CW 2020-01-26 0814 LZ2PS         599 0131   F5NSO         599 60       
QSO: 14010 CW 2020-01-26 0826 LZ2PS         599 0132   F5LLN         599 59       
QSO: 14010 CW 2020-01-26 1000 LZ2PS         599 0133   F5KKD         599 93       
QSO: 14010 CW 2020-01-26 1002 LZ2PS         599 0134   F5JYC         599 65       
QSO: 14010 CW 2020-01-26 1005 LZ2PS         599 0135   F6KMX         599 94       
QSO: 14010 CW 2020-01-26 1013 LZ2PS         599 0136   F6HHR         599 62       
QSO: 14010 CW 2020-01-26 1017 LZ2PS         599 0137   F4KLC         599 21       
QSO: 14010 CW 2020-01-26 1025 LZ2PS         599 0138   F5DAN         599 94       
QSO: 14010 CW 2020-01-26 1028 LZ2PS         599 0139   F5KLE         599 30       
QSO: 14010 CW 2020-01-26 1040 LZ2PS         599 0140   F6KBR         599 66       
QSO: 14010 CW 2020-01-26 1054 LZ2PS         599 0141   F6BGH         599 57       
