START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  7000 PH 2014-10-25 0011 LY7A          59  15     TM7G          59  14     1
QSO:  7000 PH 2014-10-25 0012 LY7A          59  15     TC7V          59  20     1
QSO: 14174 PH 2014-10-25 0012 LY7A          59  15     P40L          59  9      1
QSO:  1800 PH 2014-10-25 0012 LY7A          59  15     YU0T          59  15     1
QSO:  1800 PH 2014-10-25 0012 LY7A          59  15     LZ9W          59  20     1
QSO:  3500 PH 2014-10-25 0012 LY7A          59  15     G3M           59  14     1
QSO:  1800 PH 2014-10-25 0013 LY7A          59  15     EU1WW         59  16     1
QSO: 14174 PH 2014-10-25 0013 LY7A          59  15     9K9Z          59  21     1
QSO:  3500 PH 2014-10-25 0013 LY7A          59  15     4X2M          59  20     1
QSO:  7000 PH 2014-10-25 0013 LY7A          59  15     UA4M          59  16     1
QSO:  3500 PH 2014-10-25 0013 LY7A          59  15     DP6T          59  14     1
QSO: 21000 PH 2014-10-25 0013 LY7A          59  15     K4VV          59  05     1
QSO: 14174 PH 2014-10-25 0013 LY7A          59  15     G5O           59  14     1
QSO:  3500 PH 2014-10-25 0014 LY7A          59  15     OK2MBP        59  15     1
QSO:  3500 PH 2014-10-25 0014 LY7A          59  15     HG1G          59  15     1
QSO:  7000 PH 2014-10-25 0014 LY7A          59  15     A65BP         59  21     1
QSO:  3500 PH 2014-10-25 0014 LY7A          59  15     UA4ATB        59  16     1
QSO:  7000 PH 2014-10-25 0014 LY7A          59  15     CR2X          59  14     1
QSO: 14174 PH 2014-10-25 0014 LY7A          59  15     JA3YBK        59  25     1
QSO:  3500 PH 2014-10-25 0014 LY7A          59  15     S51C          59  15     1
QSO:  1800 PH 2014-10-25 0014 LY7A          59  15     OT5A          59  14     1
QSO:  3500 PH 2014-10-25 0015 LY7A          59  15     YT9M          59  15     1
QSO:  3500 PH 2014-10-25 0015 LY7A          59  15     SQ8MFB        59  15     1
QSO:  3500 PH 2014-10-25 0015 LY7A          59  15     RV7M          59  16     1
QSO:  7000 PH 2014-10-25 0015 LY7A          59  15     OK5W          59  15     1
QSO: 14174 PH 2014-10-25 0015 LY7A          59  15     A71CO         59  21     1
QSO:  3500 PH 2014-10-25 0015 LY7A          59  15     9A2EU         59  15     1
QSO:  7000 PH 2014-10-25 0015 LY7A          59  15     EF1W          59  14     1
QSO:  3500 PH 2014-10-25 0015 LY7A          59  15     P33W          59  20     1
QSO:  1800 PH 2014-10-25 0015 LY7A          59  15     ER2RM         59  16     1
QSO:  3500 PH 2014-10-25 0016 LY7A          59  15     UT5UUV        59  16     1
QSO:  3500 PH 2014-10-25 0016 LY7A          59  15     9A5G          59  15     1
QSO:  7000 PH 2014-10-25 0016 LY7A          59  15     SV8/HA5OV     59  20     1
QSO:  3500 PH 2014-10-25 0016 LY7A          59  15     PA0AA         59  14     1
QSO:  1800 PH 2014-10-25 0016 LY7A          59  15     OK1KQH        59  15     1
QSO:  7000 PH 2014-10-25 0016 LY7A          59  15     ED5O          59  14     1
QSO:  3500 PH 2014-10-25 0016 LY7A          59  15     DL2CC         59  14     1
