START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: UA4NX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 29120
LOCATION: UA
CREATED-BY: UR5EQF log v.3.31-60
NAME: Eduard
SOAPBOX: ICOM IC-718 50w  ANT 80m DIPOL, 40-10m - GP
QSO: 21076 PM 2015-03-14 1725 UA4NX         599 020    EA8TC         599 TF
QSO: 21072 PM 2015-03-14 1729 UA4NX         599 021    EA7HY         599 CA
QSO: 21072 PM 2015-03-14 1736 UA4NX         599 022    EC5JC         599 A
QSO: 21073 PM 2015-03-14 1738 UA4NX         599 023    ED1B          599 O
QSO: 21074 PM 2015-03-14 1740 UA4NX         599 024    EC1DBO        599 PO
QSO: 21077 PM 2015-03-14 1745 UA4NX         599 025    EA1MI         599 SG
QSO: 21077 PM 2015-03-14 1747 UA4NX         599 026    EA3EZD        599 B
QSO: 21077 PM 2015-03-14 1750 UA4NX         599 027    EA4FJL        599 M
QSO: 21072 PM 2015-03-15 0406 UA4NX         599 028    R0CAF         599 030
QSO: 21071 PM 2015-03-15 0408 UA4NX         599 029    UA0UK         599 032
QSO: 14073 PM 2015-03-15 0411 UA4NX         599 030    YO9AGN        599 082
QSO:  7044 PM 2015-03-15 0412 UA4NX         599 031    PI4CG         599 409
QSO:  7044 PM 2015-03-15 0414 UA4NX         599 032    RZ3LA         599 088
QSO:  7046 PM 2015-03-15 0418 UA4NX         599 033    R4CO          599 042
QSO:  7046 PM 2015-03-15 0419 UA4NX         599 034    RD3ZQ         599 249
QSO:  7046 PM 2015-03-15 0419 UA4NX         599 035    RA3E          599 141
QSO:  7046 PM 2015-03-15 0421 UA4NX         599 036    YO3CBZ        599 098
QSO:  7046 PM 2015-03-15 0422 UA4NX         599 037    RX6BS         599 197
QSO:  7046 PM 2015-03-15 0424 UA4NX         599 038    SQ1BVG/2      599 178
QSO:  7045 PM 2015-03-15 0426 UA4NX         599 039    HA1AD         599 81
QSO: 14073 PM 2015-03-15 0428 UA4NX         599 040    4L1BR         599 080
QSO: 14073 PM 2015-03-15 0429 UA4NX         599 041    YU7AU         599 099
QSO: 14073 PM 2015-03-15 0430 UA4NX         599 042    EA8TC         599 TF
QSO: 14075 PM 2015-03-15 0431 UA4NX         599 043    UI9O          599 139
QSO: 14076 PM 2015-03-15 0433 UA4NX         599 044    RW0BT         599 059
QSO: 14076 PM 2015-03-15 0436 UA4NX         599 045    UR5FOA        599 193
QSO: 14076 PM 2015-03-15 0437 UA4NX         599 046    UA9OBN        599 038
QSO: 21073 PM 2015-03-15 0442 UA4NX         599 047    UN7GDQ        599 034
QSO: 21074 PM 2015-03-15 0443 UA4NX         599 048    UN7DA         599 046
QSO: 21074 PM 2015-03-15 0445 UA4NX         599 049    JS1IFK        599 045
QSO: 21074 PM 2015-03-15 0447 UA4NX         599 049    JI1ANI        599 040
QSO:  7044 PM 2015-03-15 0449 UA4NX         599 050    UA3PI         599 253
QSO:  7045 PM 2015-03-15 0450 UA4NX         599 051    UR4MG         599 142
QSO:  7044 PM 2015-03-15 0450 UA4NX         599 052    RT3P          599 418
QSO:  7046 PM 2015-03-15 0454 UA4NX         599 053    OM7AG         599 021
QSO:  7045 PM 2015-03-15 0454 UA4NX         599 054    UR3AHF        599 136
QSO:  7042 PM 2015-03-15 0457 UA4NX         599 055    EW8OM         599 162
QSO:  7042 PM 2015-03-15 0500 UA4NX         599 056    S50P          599 212
QSO: 14075 PM 2015-03-15 0506 UA4NX         599 057    PI4CG         599 432
QSO: 14074 PM 2015-03-15 0508 UA4NX         599 058    LZ2DF         599 110
QSO: 14076 PM 2015-03-15 0519 UA4NX         599 059    UN7DA         599 064
QSO: 21075 PM 2015-03-15 0526 UA4NX         599 060    SV2FLQ/A      599 253
QSO: 21074 PM 2015-03-15 0528 UA4NX         599 061    UA9OJO        599 026
QSO: 14075 PM 2015-03-15 0537 UA4NX         599 062    CT1BXT        599 67
QSO: 14075 PM 2015-03-15 0539 UA4NX         599 063    EA2RCF        599 VI
QSO: 14072 PM 2015-03-15 0543 UA4NX         599 064    EA6ALW        599 IB
QSO: 14072 PM 2015-03-15 0545 UA4NX         599 065    SP3SLO        599 071
QSO:  7044 PM 2015-03-15 0549 UA4NX         599 066    ON6NL         599 430
QSO:  7045 PM 2015-03-15 0554 UA4NX         599 067    YL2NN         599 203
QSO: 14073 PM 2015-03-15 0559 UA4NX         599 068    DL7UXG        599 290
QSO: 14073 PM 2015-03-15 0600 UA4NX         599 069    UX0DL         599 349
QSO: 14073 PM 2015-03-15 0602 UA4NX         599 070    RU6BI         599 080
QSO: 14073 PM 2015-03-15 0602 UA4NX         599 071    IQ2CU         599 238
QSO: 14073 PM 2015-03-15 0603 UA4NX         599 072    RA0JBL        599 080
QSO: 14073 PM 2015-03-15 0605 UA4NX         599 073    US6CQ         599 227
QSO: 14073 PM 2015-03-15 0606 UA4NX         599 074    HA5KN         599 098
QSO: 14073 PM 2015-03-15 0608 UA4NX         599 075    UT3QD         599 085
QSO: 14073 PM 2015-03-15 0609 UA4NX         599 076    SB0A          599 232
QSO: 14076 PM 2015-03-15 0614 UA4NX         599 077    EA3JW         599 B
QSO: 14076 PM 2015-03-15 0615 UA4NX         599 078    EE7Y          599 H
QSO: 21075 PM 2015-03-15 0618 UA4NX         599 079    TA4/OH2HOD    599 036
QSO: 21075 PM 2015-03-15 0619 UA4NX         599 080    EA2RCF        599 VI
QSO: 21074 PM 2015-03-15 0626 UA4NX         599 081    RX0AF         599 059
QSO: 14073 PM 2015-03-15 0637 UA4NX         599 082    Z39A          599 062
QSO: 14073 PM 2015-03-15 0645 UA4NX         599 083    RX0AF         599 075
QSO: 14072 PM 2015-03-15 0646 UA4NX         599 084    EC5JC         599 A
QSO: 14076 PM 2015-03-15 0648 UA4NX         599 085    9A/R3FC       599 063
QSO: 14080 PM 2015-03-15 0650 UA4NX         599 086    UX7QV         599 328
QSO: 21075 PM 2015-03-15 0804 UA4NX         599 087    EA7ESH        599 CA
QSO: 21072 PM 2015-03-15 0806 UA4NX         599 088    YO5NY         599 073
QSO: 21075 PM 2015-03-15 0811 UA4NX         599 089    EC7ABV        599 CA
QSO: 21075 PM 2015-03-15 0813 UA4NX         599 090    S50P          599 172
QSO: 21075 PM 2015-03-15 0814 UA4NX         599 091    F4FDR         599 196
QSO: 14071 PM 2015-03-15 0821 UA4NX         599 092    EA3EZD        599 B
QSO: 14076 PM 2015-03-15 0824 UA4NX         599 093    ED3D          599 GI
QSO: 14076 PM 2015-03-15 0826 UA4NX         599 094    PA4PS         599 207
QSO: 14075 PM 2015-03-15 0833 UA4NX         599 095    IT9VCE        599 051
QSO: 14076 PM 2015-03-15 0836 UA4NX         599 096    UR4CU         599 108
QSO: 28123 PM 2015-03-15 1254 UA4NX         599 097    G3LHJ         599 364
QSO: 21076 PM 2015-03-15 1257 UA4NX         599 098    OK1DEZ        599 183
QSO: 21075 PM 2015-03-15 1259 UA4NX         599 099    EM2G          599 164
QSO: 21076 PM 2015-03-15 1301 UA4NX         599 100    ED4R          599 M
QSO: 21071 PM 2015-03-15 1306 UA4NX         599 101    EA5DCL        599 MU
QSO: 14072 PM 2015-03-15 1310 UA4NX         599 102    SP7SMF        599 115
QSO: 28124 PM 2015-03-15 1316 UA4NX         599 103    S57DX         599 176
QSO: 28125 PM 2015-03-15 1318 UA4NX         599 104    SV2FLQ/A      599 381
QSO: 28126 PM 2015-03-15 1320 UA4NX         599 105    EA8CNR        599 GC
QSO: 21075 PM 2015-03-15 1325 UA4NX         599 106    SP9CTS        599 213
QSO: 21073 PM 2015-03-15 1331 UA4NX         599 107    EA7IZZ        599 CA
QSO: 21072 PM 2015-03-15 1333 UA4NX         599 108    EA2DNR        599 BI
QSO: 21073 PM 2015-03-15 1336 UA4NX         599 109    EA1SB         599 LE
QSO: 21072 PM 2015-03-15 1341 UA4NX         599 110    UR5FBM        599 473
QSO: 21072 PM 2015-03-15 1342 UA4NX         599 111    LZ5QZ         599 129
QSO: 21072 PM 2015-03-15 1343 UA4NX         599 112    PC4H          599 118
QSO: 21072 PM 2015-03-15 1344 UA4NX         599 113    YO5NY         599 143
QSO: 21072 PM 2015-03-15 1345 UA4NX         599 114    UA0SBQ/QRP    599 019
QSO: 21072 PM 2015-03-15 1345 UA4NX         599 115    SQ7B          599 305
QSO: 21072 PM 2015-03-15 1346 UA4NX         599 116    UX0SX         599 217
QSO: 21072 PM 2015-03-15 1347 UA4NX         599 117    PI3CVI        599 07
QSO: 21072 PM 2015-03-15 1348 UA4NX         599 118    YO4BEW        599 979
QSO: 21074 PM 2015-03-15 1352 UA4NX         599 120    7Z1OO         599 013
QSO: 21079 PM 2015-03-15 1354 UA4NX         599 121    OK5NW         599 053
QSO: 28121 PM 2015-03-15 1358 UA4NX         599 122    IW3FVZ        599 157
QSO: 28123 PM 2015-03-15 1401 UA4NX         599 123    LW9ETQ        599 078
QSO: 28124 PM 2015-03-15 1407 UA4NX         599 123    EA8TC         599 TF
QSO: 14075 PM 2015-03-15 1410 UA4NX         599 124    PD0ME         599 121
QSO: 14074 PM 2015-03-15 1412 UA4NX         599 125    LY2BAA        599 120
QSO: 14076 PM 2015-03-15 1413 UA4NX         599 126    OH2ET         599 173
QSO: 14077 PM 2015-03-15 1414 UA4NX         599 127    ED1B          599 O
QSO: 14074 PM 2015-03-15 1420 UA4NX         599 128    SQ1EIC        599 220
QSO: 14074 PM 2015-03-15 1420 UA4NX         599 129    UN8CC         599 053
QSO: 14074 PM 2015-03-15 1421 UA4NX         599 130    UT2GA         599 443
QSO: 14074 PM 2015-03-15 1422 UA4NX         599 131    IK4JQQ        599 075
QSO: 14074 PM 2015-03-15 1423 UA4NX         599 132    PA3CVI        599 088
QSO: 14074 PM 2015-03-15 1424 UA4NX         599 133    UN7BCF        599 190
QSO: 14074 PM 2015-03-15 1424 UA4NX         599 134    JA1AYO        599 103
QSO: 14074 PM 2015-03-15 1429 UA4NX         599 135    RX6BS         599 331
QSO: 14074 PM 2015-03-15 1429 UA4NX         599 136    DG0CG         599 297
QSO: 14074 PM 2015-03-15 1430 UA4NX         599 137    YO7CVL        599 149
QSO: 14074 PM 2015-03-15 1431 UA4NX         599 138    RD3ZQ         599 444
QSO: 14073 PM 2015-03-15 1433 UA4NX         599 139    S50P          599 257
QSO: 14073 PM 2015-03-15 1435 UA4NX         599 140    RU3EJ         599 073
QSO: 28124 PM 2015-03-15 1436 UA4NX         599 141    F5RD          599 350
QSO: 28125 PM 2015-03-15 1438 UA4NX         599 142    9A1CRT        599 013
QSO: 28125 PM 2015-03-15 1439 UA4NX         599 143    IQ2CJ         599 298
QSO: 28124 PM 2015-03-15 1441 UA4NX         599 144    IK7BEF        599 060
QSO: 21071 PM 2015-03-15 1446 UA4NX         599 145    YO9CWY        599 159
QSO: 21071 PM 2015-03-15 1447 UA4NX         599 146    EC7AT         599 AL
QSO: 21071 PM 2015-03-15 1448 UA4NX         599 147    OK1PMA        599 197
QSO: 21073 PM 2015-03-15 1450 UA4NX         599 148    EF3C          599 B
QSO: 21073 PM 2015-03-15 1453 UA4NX         599 149    EA5FIV        599 A
QSO: 21072 PM 2015-03-15 1454 UA4NX         599 150    EA4DVE        599 M
QSO: 21074 PM 2015-03-15 1458 UA4NX         599 151    EA2XR         599 BI
QSO: 21073 PM 2015-03-15 1459 UA4NX         599 152    E21YDP        599 162
QSO: 21072 PM 2015-03-15 1500 UA4NX         599 152    UX0DL         599 579
QSO: 21073 PM 2015-03-15 1501 UA4NX         599 153    PA2PKZ        599 55
QSO: 21076 PM 2015-03-15 1503 UA4NX         599 154    EA4GB         599 M
QSO: 21077 PM 2015-03-15 1507 UA4NX         599 155    SP5TAZ        599 074
QSO: 21070 PM 2015-03-15 1510 UA4NX         599 156    EA2KK         599 BI
QSO: 21070 PM 2015-03-15 1511 UA4NX         599 157    EA5ICP        599 MU
QSO: 21071 PM 2015-03-15 1513 UA4NX         599 158    EA4JJ         599 M
QSO: 21072 PM 2015-03-15 1514 UA4NX         599 159    EA7GTJ        599 AL
QSO: 21073 PM 2015-03-15 1517 UA4NX         599 160    EA5HUS        599 V
QSO: 21074 PM 2015-03-15 1518 UA4NX         599 161    EA7GV         599 GR
QSO: 21075 PM 2015-03-15 1522 UA4NX         599 162    DO1HOF        599 170
QSO: 14072 PM 2015-03-15 1529 UA4NX         599 163    EE4EA         599 GU
QSO: 14074 PM 2015-03-15 1532 UA4NX         599 164    IW3GST        599 214
QSO: 14075 PM 2015-03-15 1534 UA4NX         599 165    EA3KU         599 T
QSO: 14076 PM 2015-03-15 1535 UA4NX         599 166    SP9BGS        599 182
QSO: 14079 PM 2015-03-15 1539 UA4NX         599 167    EA2BER        599 BI
QSO: 14079 PM 2015-03-15 1542 UA4NX         599 168    OO9O          599 265
QSO: 14080 PM 2015-03-15 1543 UA4NX         599 169    PA4B          599 102
QSO: 21075 PM 2015-03-15 1551 UA4NX         599 170    HA6NL         599 602
QSO: 21076 PM 2015-03-15 1552 UA4NX         599 171    EA4EQD        599 M
QSO: 21076 PM 2015-03-15 1553 UA4NX         599 172    EA7JOY        599 SE
QSO: 21076 PM 2015-03-15 1555 UA4NX         599 173    EA5IIK        599 CS
END-OF-LOG:
