START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: EU6AA
CLAIMED-SCORE: 14141
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CREATED-BY: UR5EQF log v.3.31-47
NAME: Victor Kostyuk
SOAPBOX: TRX: FT-840, Pwr - 100W,  Ant: Delata Loop 168m
QSO:  7000 PM 2015-03-15 0550 EU6AA         599 061    SP8QC         599 200
QSO:  7000 PM 2015-03-15 0551 EU6AA         599 062    US6CQ         599 218
QSO:  7000 PM 2015-03-15 0552 EU6AA         599 063    ON6NL         599 435
QSO:  7000 PM 2015-03-15 0555 EU6AA         599 064    YT2AAA        599 074
QSO: 14000 PM 2015-03-15 0600 EU6AA         599 065    A71MM         599 176
QSO: 14000 PM 2015-03-15 0602 EU6AA         599 066    RK9DO         599 048
QSO: 21000 PM 2015-03-15 0604 EU6AA         599 067    UN4PG         599 049
QSO: 21000 PM 2015-03-15 0605 EU6AA         599 068    RW0SR         599 042
QSO: 14000 PM 2015-03-15 0608 EU6AA         599 069    Z39A          599 038
QSO: 14000 PM 2015-03-15 0611 EU6AA         599 070    UT5EPP        599 110
QSO: 14000 PM 2015-03-15 0624 EU6AA         599 071    PD1ALW        599 069
QSO: 21000 PM 2015-03-15 0627 EU6AA         599 072    EA2RCF        599 VI
QSO: 21000 PM 2015-03-15 0629 EU6AA         599 073    UN7BCF        599 114
QSO: 21000 PM 2015-03-15 0734 EU6AA         599 074    RA9AU         599 134
QSO: 21000 PM 2015-03-15 0735 EU6AA         599 075    UA9AFS        599 103
QSO: 21000 PM 2015-03-15 0737 EU6AA         599 076    JH7RTQ        599 109
QSO: 14000 PM 2015-03-15 0738 EU6AA         599 077    9A/R3FC       599 085
QSO: 14000 PM 2015-03-15 1149 EU6AA         599 078    PA2IP         599 279
QSO: 14000 PM 2015-03-15 1150 EU6AA         599 079    2E0VDS        599 148
QSO: 14000 PM 2015-03-15 1151 EU6AA         599 080    PI4CG         599 616
QSO: 21000 PM 2015-03-15 1153 EU6AA         599 081    EA2DNR        599 BI
QSO: 21000 PM 2015-03-15 1155 EU6AA         599 082    IZ8IFL        599 154
QSO: 21000 PM 2015-03-15 1155 EU6AA         599 083    LZ5QZ         599 126
QSO: 21000 PM 2015-03-15 1215 EU6AA         599 084    SV7CUD        599 095
QSO: 21000 PM 2015-03-15 1215 EU6AA         599 085    OO9O          599 209
QSO: 21000 PM 2015-03-15 1216 EU6AA         599 086    EA3XP         599 B
QSO: 21000 PM 2015-03-15 1218 EU6AA         599 087    EC1DBO        599 PO
QSO: 21000 PM 2015-03-15 1218 EU6AA         599 088    IQ2CU         599 319
QSO: 21000 PM 2015-03-15 1219 EU6AA         599 089    RK9AK         599 180
QSO: 21000 PM 2015-03-15 1221 EU6AA         599 090    RA9CUU        599 110
QSO: 21000 PM 2015-03-15 1238 EU6AA         599 091    IN3BFW        599 178
QSO: 21000 PM 2015-03-15 1242 EU6AA         599 092    IN3JJI        599 143
QSO: 21000 PM 2015-03-15 1243 EU6AA         599 093    EA4EQD        599 M
QSO: 21000 PM 2015-03-15 1248 EU6AA         599 094    GI7AXB        599 092
QSO: 21000 PM 2015-03-15 1249 EU6AA         599 095    UA6XES        599 398
QSO: 21000 PM 2015-03-15 1250 EU6AA         599 096    EA7GV         599 GR
QSO: 21000 PM 2015-03-15 1250 EU6AA         599 097    PC9T          599 137
QSO: 21000 PM 2015-03-15 1256 EU6AA         599 098    ED4R          599 M
QSO: 21000 PM 2015-03-15 1259 EU6AA         599 099    UA9TK         599 083
QSO: 21000 PM 2015-03-15 1305 EU6AA         599 100    EA5DCL        599 MU
QSO: 21000 PM 2015-03-15 1306 EU6AA         599 101    EC5JC         599 A
QSO: 21000 PM 2015-03-15 1316 EU6AA         599 102    LZ137LO       599 702
QSO: 21000 PM 2015-03-15 1317 EU6AA         599 103    S51AF         599 160
QSO: 21000 PM 2015-03-15 1318 EU6AA         599 104    PA4PS         599 347
QSO: 21000 PM 2015-03-15 1319 EU6AA         599 105    OK1FHI        599 290
QSO: 21000 PM 2015-03-15 1320 EU6AA         599 106    YO7CVL        599 111
QSO: 21000 PM 2015-03-15 1323 EU6AA         599 107    UT0FC         599 112
QSO: 14000 PM 2015-03-15 1445 EU6AA         599 108    PD0ME         599 143
QSO: 14000 PM 2015-03-15 1447 EU6AA         599 109    UT2GA         599 457
QSO: 14000 PM 2015-03-15 1448 EU6AA         599 110    ED1B          599 O
QSO: 14000 PM 2015-03-15 1449 EU6AA         599 111    OM3KWT        599 272
QSO: 14000 PM 2015-03-15 1450 EU6AA         599 112    DH6BH         599 106
QSO: 14000 PM 2015-03-15 1450 EU6AA         599 113    HA5KN         599 183
QSO: 14000 PM 2015-03-15 1451 EU6AA         599 114    UX7QV         599 489
QSO:  7000 PM 2015-03-15 1456 EU6AA         599 115    HG6C          599 154
QSO:  7000 PM 2015-03-15 1457 EU6AA         599 116    RD3ZQ         599 451
QSO:  7000 PM 2015-03-15 1520 EU6AA         599 117    EW8OF         599 250
QSO:  7000 PM 2015-03-15 1520 EU6AA         599 118    RX6BS         599 344
QSO:  7000 PM 2015-03-15 1521 EU6AA         599 119    OH9UFO        599 264
QSO:  7000 PM 2015-03-15 1522 EU6AA         599 120    LY2PAD        599 189
QSO:  7000 PM 2015-03-15 1525 EU6AA         599 121    LY4K          599 038
QSO:  7000 PM 2015-03-15 1525 EU6AA         599 122    RV3VL         599 095
QSO:  7000 PM 2015-03-15 1526 EU6AA         599 123    YO5COG        599 125
QSO:  7000 PM 2015-03-15 1529 EU6AA         599 124    UR4MG         599 180
QSO:  7000 PM 2015-03-15 1530 EU6AA         599 125    YU7AOP        599 293
QSO:  7000 PM 2015-03-15 1531 EU6AA         599 126    SO5MAX        599 001
QSO:  7000 PM 2015-03-15 1532 EU6AA         599 127    RT3P          599 812
QSO: 14000 PM 2015-03-15 1534 EU6AA         599 128    A92AA         599 151
QSO: 14000 PM 2015-03-15 1537 EU6AA         599 129    EA3JW         599 B
QSO: 14000 PM 2015-03-15 1538 EU6AA         599 130    EA3KU         599 T
QSO: 14000 PM 2015-03-15 1540 EU6AA         599 131    SP9OHL        599 225
QSO: 14000 PM 2015-03-15 1543 EU6AA         599 132    SP9BGS        599 190
QSO: 14000 PM 2015-03-15 1545 EU6AA         599 133    OO9O          599 267
QSO: 21000 PM 2015-03-15 1546 EU6AA         599 134    EA4GB         599 M
QSO: 21000 PM 2015-03-15 1551 EU6AA         599 135    EA2XR         599 BI
QSO: 21000 PM 2015-03-15 1553 EU6AA         599 136    G0HDV         599 320
QSO: 21000 PM 2015-03-15 1553 EU6AA         599 137    EA7JOY        599 SE
QSO: 21000 PM 2015-03-15 1556 EU6AA         599 138    IK5FKF        599 322
QSO: 21000 PM 2015-03-15 1557 EU6AA         599 139    EB1BCG        599 SO
END-OF-LOG:
