START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.229 [RUS]
CALLSIGN: UT2UB
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 996810
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CLUB: Bleck Sea Contest Club
NAME: Andrej Lyakin
LOCATION: DX
CATEGORY-TRANSMITTER: ONE
QSO:  7040 CW 2011-11-26 0506 UT2UB         599 16     OL1C          599 15
QSO:  7042 CW 2011-11-26 0507 UT2UB         599 16     UN0L          599 17
QSO:  7042 CW 2011-11-26 0507 UT2UB         599 16     OK3R          599 15
QSO:  7047 CW 2011-11-26 0508 UT2UB         599 16     K8PO          599 5
QSO:  7049 CW 2011-11-26 0513 UT2UB         599 16     UA9FGJ        599 17
QSO:  7053 CW 2011-11-26 0514 UT2UB         599 16     SJ2W          599 14
QSO:  7056 CW 2011-11-26 0516 UT2UB         599 16     N8BJQ         599 4
QSO:  7056 CW 2011-11-26 0517 UT2UB         599 16     UA9APA        599 17
QSO:  7056 CW 2011-11-26 0517 UT2UB         599 16     VE6WZ         599 4
QSO:  7056 CW 2011-11-26 0517 UT2UB         599 16     VA2UP         599 5
QSO:  7056 CW 2011-11-26 0518 UT2UB         599 16     UV3QF         599 16
QSO:  7056 CW 2011-11-26 0518 UT2UB         599 16     RA3ID         599 16
QSO:  7056 CW 2011-11-26 0519 UT2UB         599 16     WA3F          599 5
QSO:  7056 CW 2011-11-26 0520 UT2UB         599 16     S53RA         599 15
QSO:  7056 CW 2011-11-26 0520 UT2UB         599 16     E73ECJ        599 15
QSO:  7056 CW 2011-11-26 0521 UT2UB         599 16     N3RR          599 5
QSO:  7059 CW 2011-11-26 0526 UT2UB         599 16     K0IR          599 4
QSO:  7060 CW 2011-11-26 0527 UT2UB         599 16     W9SN          599 4
QSO:  7060 CW 2011-11-26 0527 UT2UB         599 16     IC8FBU        599 15
QSO:  7065 CW 2011-11-26 0529 UT2UB         599 16     TM4Q          599 14
QSO:  7067 CW 2011-11-26 0530 UT2UB         599 16     OG1M          599 15
QSO:  7069 CW 2011-11-26 0532 UT2UB         599 16     PW7T          599 11
QSO:  7071 CW 2011-11-26 0534 UT2UB         599 16     C6AQQ         599 8
QSO:  7074 CW 2011-11-26 0535 UT2UB         599 16     SP9JZT        599 15
QSO:  7076 CW 2011-11-26 0536 UT2UB         599 16     LY2W          599 15
QSO:  7079 CW 2011-11-26 0538 UT2UB         599 16     OE3K          599 15
QSO:  7080 CW 2011-11-26 0539 UT2UB         599 16     K9CT          599 4
QSO:  7085 CW 2011-11-26 0540 UT2UB         599 16     IK3UNA/1      599 15
QSO:  7086 CW 2011-11-26 0541 UT2UB         599 16     IT9INO        599 15
QSO:  7087 CW 2011-11-26 0542 UT2UB         599 16     K6XX          599 3
QSO:  7004 CW 2011-11-26 0544 UT2UB         599 16     CR3L          599 33
QSO:  7007 CW 2011-11-26 0545 UT2UB         599 16     HB9CA         599 14
QSO:  7007 CW 2011-11-26 0546 UT2UB         599 16     W1WEF         599 5
QSO:  7011 CW 2011-11-26 0548 UT2UB         599 16     NR5M          599 4
QSO:  7015 CW 2011-11-26 0551 UT2UB         599 16     W2FU          599 5
QSO:  7016 CW 2011-11-26 0552 UT2UB         599 16     K0EJ          599 4
QSO:  7024 CW 2011-11-26 0555 UT2UB         599 16     9A1P          599 15
QSO:  7024 CW 2011-11-26 0556 UT2UB         599 16     LN5O          599 14
QSO: 28000 CW 2011-11-26 0600 UT2UB         599 16     RV9YZ         599 18
QSO: 28002 CW 2011-11-26 0602 UT2UB         599 16     ZM1A          599 32
QSO: 28002 CW 2011-11-26 0604 UT2UB         599 16     XV1X          599 26
QSO: 28003 CW 2011-11-26 0604 UT2UB         599 16     BA7JS         599 24
QSO: 28005 CW 2011-11-26 0606 UT2UB         599 16     UN6P          599 17
QSO: 28010 CW 2011-11-26 0610 UT2UB         599 16     9K2RA         599 21
QSO: 28013 CW 2011-11-26 0611 UT2UB         599 16     A73A          599 21
QSO: 28013 CW 2011-11-26 0612 UT2UB         599 16     JA3YBK        599 25
QSO: 28016 CW 2011-11-26 0613 UT2UB         599 16     RT0Q          599 19
QSO: 28017 CW 2011-11-26 0614 UT2UB         599 16     UA9LAO        599 17
QSO: 28022 CW 2011-11-26 0618 UT2UB         599 16     RK9QWM        599 17
QSO: 28024 CW 2011-11-26 0658 UT2UB         599 16     SJ2W          599 14
QSO: 28025 CW 2011-11-26 0658 UT2UB         599 16     ZS4TX         599 38
QSO: 28025 CW 2011-11-26 0659 UT2UB         599 16     HS0ZGQ        599 26
QSO: 28026 CW 2011-11-26 0700 UT2UB         599 16     B3C           599 24
QSO: 28035 CW 2011-11-26 0705 UT2UB         599 16     RT9U          599 18
QSO: 28038 CW 2011-11-26 0706 UT2UB         599 16     BD5WW         599 24
QSO: 28039 CW 2011-11-26 0707 UT2UB         599 16     RW0AJ         599 18
QSO: 28040 CW 2011-11-26 0708 UT2UB         599 16     RG9A          599 17
QSO: 28057 CW 2011-11-26 0712 UT2UB         599 16     JR3QHQ        599 25
QSO: 28058 CW 2011-11-26 0713 UT2UB         599 16     JA6WIF        599 25
QSO: 28059 CW 2011-11-26 0713 UT2UB         599 16     A45XR         599 21
QSO: 28056 CW 2011-11-26 0715 UT2UB         599 16     VK6AA         599 29
QSO: 28057 CW 2011-11-26 0715 UT2UB         599 16     JH4UYB        599 25
QSO: 28058 CW 2011-11-26 0716 UT2UB         599 16     JE1LFX        599 25
QSO: 28060 CW 2011-11-26 0718 UT2UB         599 16     JA6LCJ        599 25
QSO: 28061 CW 2011-11-26 0719 UT2UB         599 16     JA1ZGP        599 25
QSO: 28061 CW 2011-11-26 0720 UT2UB         599 16     JA1YPA        599 25
QSO: 28066 CW 2011-11-26 0721 UT2UB         599 16     JH6QFJ        599 25
