START-OF-LOG: 3.0
CALLSIGN: VE2GT
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4292
NAME: Pierre Jolin
LOCATION: QC
OPERATORS: VE2GT
CLUB: Contest Group du Quebec
CERTIFICATE: NO
CREATED-BY: GenLog v8.18
SOAPBOX: single op low 40m non asss,, + 1 DUPE
QSO:  1800 PH 2015-10-24 0741 VE2GT         59  05     CF3A          59  04
QSO:  1800 PH 2015-10-24 0743 VE2GT         59  05     VE2IDX        59  02
QSO:  3500 PH 2015-10-24 0747 VE2GT         59  05     VE4VT         59  04
QSO:  3500 PH 2015-10-24 0749 VE2GT         59  05     N0NI          59  04
QSO:  3500 PH 2015-10-24 0750 VE2GT         59  05     K9CT          59  04
QSO:  3500 PH 2015-10-24 0752 VE2GT         59  05     KM5VI         59  04
QSO:  3500 PH 2015-10-24 0759 VE2GT         59  05     TO4K          59  08
QSO:  3500 PH 2015-10-24 0802 VE2GT         59  05     CR2X          59  14
QSO:  3500 PH 2015-10-24 0808 VE2GT         59  05     VE2IDX        59  02
QSO:  3500 PH 2015-10-24 0811 VE2GT         59  05     W9RE          59  04
QSO:  7000 PH 2015-10-24 0825 VE2GT         59  05     HC0E          59  10
QSO:  7000 PH 2015-10-24 0835 VE2GT         59  05     N0NI          59  04
QSO:  7000 PH 2015-10-24 0850 VE2GT         59  05     AD4Z          59  05
QSO:  7000 PH 2015-10-24 0852 VE2GT         59  05     V26B          59  08
QSO:  7000 PH 2015-10-24 0855 VE2GT         59  05     K6XX          59  03
QSO:  7000 PH 2015-10-24 0900 VE2GT         59  05     K9CT          59  04
QSO:  7000 PH 2015-10-24 0913 VE2GT         59  05     KH7T          59  31
QSO:  7000 PH 2015-10-24 0924 VE2GT         59  05     K4JPD         59  05
QSO:  7000 PH 2015-10-24 0925 VE2GT         59  05     HI3TEJ        59  08
QSO: 14000 PH 2015-10-24 0931 VE2GT         59  05     PJ4X          59  09
QSO: 14000 PH 2015-10-24 0934 VE2GT         59  05     HK1NA         59  09
QSO:  3500 PH 2015-10-24 0953 VE2GT         59  05     VE2JCW        59  05
QSO:  7000 PH 2015-10-24 1018 VE2GT         59  05     W3LPL         59  05
QSO:  7000 PH 2015-10-24 1040 VE2GT         59  05     K3CR          59  05
QSO:  7000 PH 2015-10-24 1049 VE2GT         59  05     6Y9X          59  08
QSO:  7000 PH 2015-10-24 1053 VE2GT         59  05     P49Y          59  09
QSO: 14000 PH 2015-10-24 1059 VE2GT         59  05     AA1K          59  05
QSO: 14000 PH 2015-10-24 1100 VE2GT         59  05     W4RM          59  05
QSO: 14000 PH 2015-10-24 1100 VE2GT         59  05     TM6M          59  14
QSO: 14000 PH 2015-10-24 1108 VE2GT         59  05     TO2M          59  08
QSO: 14000 PH 2015-10-24 1111 VE2GT         59  05     DF0HQ         59  14
QSO: 14000 PH 2015-10-24 1115 VE2GT         59  05     TF3CW         59  40
QSO: 14000 PH 2015-10-24 1123 VE2GT         59  05     ES2EZ         59  15
QSO: 14000 PH 2015-10-24 1128 VE2GT         59  05     CR5C          59  14
QSO: 14000 PH 2015-10-24 1140 VE2GT         59  05     OH1F          59  15
QSO: 14000 PH 2015-10-24 1140 VE2GT         59  05     CN2AA         59  33
QSO: 14000 PH 2015-10-24 1144 VE2GT         59  05     DP6T          59  14
QSO: 14000 PH 2015-10-24 1153 VE2GT         59  05     EI2CN         59  14
QSO: 14000 PH 2015-10-24 1207 VE2GT         59  05     OM7M          59  15
QSO: 14000 PH 2015-10-24 1208 VE2GT         59  05     SK7K          59  14
QSO: 21000 PH 2015-10-24 1212 VE2GT         59  05     9A1A          59  15
QSO: 21000 PH 2015-10-24 1218 VE2GT         59  05     IK0PHY        59  15
QSO: 21000 PH 2015-10-24 1228 VE2GT         59  05     SO9T          59  15
QSO: 21000 PH 2015-10-24 1230 VE2GT         59  05     RU1A          59  16
QSO: 21000 PH 2015-10-24 1231 VE2GT         59  05     IB3A          59  15
QSO: 21000 PH 2015-10-24 1233 VE2GT         59  05     FM5EB         59  08
QSO: 21000 PH 2015-10-24 1245 VE2GT         59  05     SN7D          59  15
QSO: 21000 PH 2015-10-24 1248 VE2GT         59  05     EE5T          59  14
QSO: 21000 PH 2015-10-24 1254 VE2GT         59  05     YL7A          59  15
QSO: 21000 PH 2015-10-24 1255 VE2GT         59  05     F4ENK         59  14
QSO: 21000 PH 2015-10-24 1304 VE2GT         59  05     PI4ZU         59  14
QSO: 21000 PH 2015-10-24 1307 VE2GT         59  05     HB9TJR        59  14
QSO: 21000 PH 2015-10-24 1311 VE2GT         59  05     Z32AJA        59  15
QSO: 21000 PH 2015-10-24 1313 VE2GT         59  05     OL5A          59  15
QSO: 21000 PH 2015-10-24 1316 VE2GT         59  05     PJ4Q          59  09
QSO: 21000 PH 2015-10-24 1317 VE2GT         59  05     SQ6H          59  15
QSO: 21000 PH 2015-10-24 1320 VE2GT         59  05     PX2A          59  11
QSO: 28000 PH 2015-10-24 1325 VE2GT         59  05     HG0ITU        59  15
QSO: 28000 PH 2015-10-24 1327 VE2GT         59  05     IK3SCB        59  15
QSO: 28000 PH 2015-10-24 1329 VE2GT         59  05     P40A          59  09
QSO: 28000 PH 2015-10-24 1332 VE2GT         59  05     EE5T          59  14
QSO: 28000 PH 2015-10-24 1334 VE2GT         59  05     P49Y          59  09
QSO: 28000 PH 2015-10-24 1346 VE2GT         59  05     EW6W          59  16
QSO: 28000 PH 2015-10-24 1348 VE2GT         59  05     9A7A          59  15
QSO: 28000 PH 2015-10-24 1350 VE2GT         59  05     S58D          59  15
QSO: 28000 PH 2015-10-24 1351 VE2GT         59  05     SO4B          59  15
QSO: 28000 PH 2015-10-24 1354 VE2GT         59  05     WP4SD         59  08
QSO: 28000 PH 2015-10-24 1358 VE2GT         59  05     II9P          59  15
QSO: 28000 PH 2015-10-24 1410 VE2GT         59  05     HI3TEJ        59  08
QSO: 28000 PH 2015-10-24 1414 VE2GT         59  05     DK0WRTC       59  14
QSO: 28000 PH 2015-10-24 1416 VE2GT         59  05     NV9L          59  04
QSO: 28000 PH 2015-10-24 2028 VE2GT         59  05     PY2KJ         59  11
QSO: 28000 PH 2015-10-24 2030 VE2GT         59  05     VP5S          59  08
QSO: 28000 PH 2015-10-24 2044 VE2GT         59  05     HC0E          59  10
QSO: 28000 PH 2015-10-24 2045 VE2GT         59  05     LT1F          59  13
QSO: 28000 PH 2015-10-24 2046 VE2GT         59  05     CO6LP         59  08
QSO: 28000 PH 2015-10-24 2059 VE2GT         59  05     VE5PV         59  04
QSO: 21000 PH 2015-10-25 0139 VE2GT         59  05     VE7SCC        59  03
QSO: 14000 PH 2015-10-25 0157 VE2GT         59  05     RU1A          59  16
QSO: 14000 PH 2015-10-25 0159 VE2GT         59  05     KP3Z          59  08
QSO: 14000 PH 2015-10-25 0204 VE2GT         59  05     VE7FC         59  03
QSO: 14000 PH 2015-10-25 0209 VE2GT         59  05     HI3K          59  08
QSO: 14000 PH 2015-10-25 0210 VE2GT         59  05     WD5K          59  04
QSO: 14000 PH 2015-10-25 0212 VE2GT         59  05     V26B          59  08
QSO: 14000 PH 2015-10-25 0228 VE2GT         59  05     HI3TT         59  08
QSO: 14000 PH 2015-10-25 0229 VE2GT         59  05     VP5DX         59  08
QSO: 14000 PH 2015-10-25 0232 VE2GT         59  05     KM5VI         59  04
QSO: 14000 PH 2015-10-25 0235 VE2GT         59  05     KH6/AA4V      59  31
QSO: 14000 PH 2015-10-25 0236 VE2GT         59  05     K5TR          59  04
QSO: 14000 PH 2015-10-25 0237 VE2GT         59  05     W7VJ          59  03
QSO:  3500 PH 2015-10-25 0252 VE2GT         59  05     CN2R          59  33
QSO: 14000 PH 2015-10-25 0258 VE2GT         59  05     6Y9X          59  08
QSO: 14000 PH 2015-10-25 0308 VE2GT         59  05     C4A           59  20
QSO: 14000 PH 2015-10-25 0310 VE2GT         59  05     OZ7X          59  14
QSO: 14000 PH 2015-10-25 0318 VE2GT         59  05     OH5Z          59  15
QSO: 14000 PH 2015-10-25 0320 VE2GT         59  05     OH0X          59  15
QSO: 14000 PH 2015-10-25 0338 VE2GT         59  05     CN3A          59  33
QSO: 14000 PH 2015-10-25 0355 VE2GT         59  05     TO4K          59  08
QSO: 14000 PH 2015-10-25 0406 VE2GT         59  05     LT1F          59  13
QSO: 14000 PH 2015-10-25 0429 VE2GT         59  05     FY5KE         59  09
QSO: 14000 PH 2015-10-25 0431 VE2GT         59  05     OG7A          59  15
QSO: 14000 PH 2015-10-25 0445 VE2GT         59  05     EF8R          59  33
QSO:  7000 PH 2015-10-25 0527 VE2GT         59  05     EF7X          59  14
QSO:  7000 PH 2015-10-25 0528 VE2GT         59  05     V47T          59  08
QSO:  7000 PH 2015-10-25 0531 VE2GT         59  05     EI9E          59  14
QSO:  7000 PH 2015-10-25 0533 VE2GT         59  05     PI4COM        59  14
QSO:  7000 PH 2015-10-25 0548 VE2GT         59  05     9A2L          59  15
QSO:  7000 PH 2015-10-25 0553 VE2GT         59  05     9A9R          59  15
QSO:  7000 PH 2015-10-25 0555 VE2GT         59  05     EA6SA         59  14
QSO:  7000 PH 2015-10-25 0605 VE2GT         59  05     CR6P          59  14
QSO:  7000 PH 2015-10-25 0634 VE2GT         59  05     CR3A          59  33
QSO:  7000 PH 2015-10-25 0636 VE2GT         59  05     CN2AA         59  33
QSO:  7000 PH 2015-10-25 0650 VE2GT         59  05     YV5PM         59  09
QSO:  7000 PH 2015-10-25 0652 VE2GT         59  05     P40W          59  09
QSO:  7000 PH 2015-10-25 0700 VE2GT         59  05     NP4A          59  08
QSO:  7000 PH 2015-10-25 0712 VE2GT         59  05     AB9H          59  04
QSO:  3500 PH 2015-10-25 0719 VE2GT         59  05     W2FU          59  05
QSO: 14000 PH 2015-10-25 1427 VE2GT         59  05     DL0CS         59  14
QSO: 28000 PH 2015-10-25 1428 VE2GT         59  05     KP2XX         59  08
QSO: 28000 PH 2015-10-25 1431 VE2GT         59  05     KP4/W2RE      59  08
QSO: 28000 PH 2015-10-25 1434 VE2GT         59  05     EE3A          59  14
QSO: 28000 PH 2015-10-25 1434 VE2GT         59  05     PJ4X          59  09
QSO: 28000 PH 2015-10-25 1442 VE2GT         59  05     IR4E          59  15
QSO: 28000 PH 2015-10-25 1448 VE2GT         59  05     9A1P          59  15
QSO: 28000 PH 2015-10-25 1450 VE2GT         59  05     NP2X          59  08
QSO: 28000 PH 2015-10-25 1455 VE2GT         59  05     OM0M          59  15
QSO: 28000 PH 2015-10-25 1456 VE2GT         59  05     OK7O          59  15
QSO: 28000 PH 2015-10-25 1459 VE2GT         59  05     OH1S          59  15
QSO: 21000 PH 2015-10-25 1514 VE2GT         59  05     N7DD          59  03
QSO: 28000 PH 2015-10-25 1515 VE2GT         59  05     N4OX          59  05
QSO: 28000 PH 2015-10-25 1517 VE2GT         59  05     HB2T          59  14
QSO: 28000 PH 2015-10-25 1520 VE2GT         59  05     9A1A          59  15
QSO: 28000 PH 2015-10-25 1523 VE2GT         59  05     ZF2AH         59  08
QSO: 28000 PH 2015-10-25 1524 VE2GT         59  05     W5PR          59  04
QSO: 28000 PH 2015-10-25 1525 VE2GT         59  05     IK2YCW        59  15
QSO: 28000 PH 2015-10-25 1528 VE2GT         59  05     IW2HAJ        59  15
QSO: 28000 PH 2015-10-25 1550 VE2GT         59  05     IO9A          59  15
QSO: 28000 PH 2015-10-25 1551 VE2GT         59  05     IR4X          59  15
QSO: 28000 PH 2015-10-25 1558 VE2GT         59  05     S53EO         59  15
QSO: 28000 PH 2015-10-25 1613 VE2GT         59  05     HK1NA         59  09
QSO: 28000 PH 2015-10-25 1623 VE2GT         59  05     DR2W          59  14
QSO: 28000 PH 2015-10-25 1624 VE2GT         59  05     EA3CCN        59  14
QSO: 28000 PH 2015-10-25 1632 VE2GT         59  05     IR4M          59  15
QSO: 28000 PH 2015-10-25 1635 VE2GT         59  05     ED1R          59  14
QSO: 28000 PH 2015-10-25 1637 VE2GT         59  05     EA5DFV        59  14
QSO: 28000 PH 2015-10-25 1639 VE2GT         59  05     EE5M          59  14
QSO: 28000 PH 2015-10-25 1706 VE2GT         59  05     OA4SS         59  10
QSO: 21000 PH 2015-10-25 1710 VE2GT         59  05     VE6SV         59  04
QSO: 21000 PH 2015-10-25 1712 VE2GT         59  05     4A5XX         59  06
QSO: 21000 PH 2015-10-25 1718 VE2GT         59  05     N7AT          59  03
QSO: 21000 PH 2015-10-25 1731 VE2GT         59  05     TK/PB8DX      59  15
QSO: 21000 PH 2015-10-25 1732 VE2GT         59  05     N5DX          59  04
QSO: 21000 PH 2015-10-25 1733 VE2GT         59  05     EE2K          59  14
QSO: 21000 PH 2015-10-25 1738 VE2GT         59  05     IW2HAJ        59  15
QSO: 21000 PH 2015-10-25 1740 VE2GT         59  05     EC7WR         59  14
QSO: 21000 PH 2015-10-25 1757 VE2GT         59  05     F6DZU         59  14
QSO: 21000 PH 2015-10-25 1757 VE2GT         59  05     WW4LL         59  05
QSO: 21000 PH 2015-10-25 1759 VE2GT         59  05     GW0RYT        59  14
QSO: 21000 PH 2015-10-25 1801 VE2GT         59  05     YT8WW         59  15
QSO: 21000 PH 2015-10-25 1805 VE2GT         59  05     II9P          59  15
QSO: 21000 PH 2015-10-25 1817 VE2GT         59  05     S0S           59  33
QSO: 21000 PH 2015-10-25 1820 VE2GT         59  05     9A5Y          59  15
QSO: 21000 PH 2015-10-25 1823 VE2GT         59  05     EI7M          59  14
QSO: 21000 PH 2015-10-25 1825 VE2GT         59  05     MI0SMK        59  14
QSO: 21000 PH 2015-10-25 1835 VE2GT         59  05     CR2A          59  14
QSO: 21000 PH 2015-10-25 1841 VE2GT         59  05     CT7AIU        59  14
QSO: 21000 PH 2015-10-25 1844 VE2GT         59  05     K0EA          59  04
QSO: 21000 PH 2015-10-25 1847 VE2GT         59  05     ED5O          59  14
QSO: 21000 PH 2015-10-25 1849 VE2GT         59  05     DL2ARD        59  14
QSO: 21000 PH 2015-10-25 1851 VE2GT         59  05     S59A          59  15
QSO: 21000 PH 2015-10-25 1851 VE2GT         59  05     ED3X          59  14
QSO: 21000 PH 2015-10-25 1852 VE2GT         59  05     K5TR          59  04
QSO: 21000 PH 2015-10-25 1854 VE2GT         59  05     ED9K          59  33
QSO: 21000 PH 2015-10-25 1855 VE2GT         59  05     CN2R          59  33
QSO: 21000 PH 2015-10-25 1859 VE2GT         59  05     OK2D          59  15
QSO: 21000 PH 2015-10-25 1903 VE2GT         59  05     IR4M          59  15
QSO: 21000 PH 2015-10-25 1905 VE2GT         59  05     OH0V          59  15
QSO: 21000 PH 2015-10-25 1907 VE2GT         59  05     ES5TV         59  15
QSO: 21000 PH 2015-10-25 1910 VE2GT         59  05     EI6JK         59  14
QSO: 21000 PH 2015-10-25 1912 VE2GT         59  05     KN5TX         59  04
QSO: 21000 PH 2015-10-25 1916 VE2GT         59  05     DJ8OG         59  14
QSO: 21000 PH 2015-10-25 1921 VE2GT         59  05     K0OU          59  04
QSO: 21000 PH 2015-10-25 1922 VE2GT         59  05     OK7O          59  15
QSO: 21000 PH 2015-10-25 1925 VE2GT         59  05     YV4NN         59  09
QSO: 21000 PH 2015-10-25 1925 VE2GT         59  05     K9CT          59  04
QSO: 21000 PH 2015-10-25 1927 VE2GT         59  05     AB4GG         59  04
QSO: 21000 PH 2015-10-25 1930 VE2GT         59  05     V26B          59  08
QSO: 21000 PH 2015-10-25 1931 VE2GT         59  05     TO4K          59  08
QSO: 21000 PH 2015-10-25 1932 VE2GT         59  05     KP2M          59  08
QSO: 28000 PH 2015-10-25 1941 VE2GT         59  05     VE5UO         59  04
QSO: 28000 PH 2015-10-25 1943 VE2GT         59  05     EF8R          59  33
QSO: 28000 PH 2015-10-25 1946 VE2GT         59  05     CO6HK         59  08
QSO: 21000 PH 2015-10-25 1954 VE2GT         59  05     FY5KE         59  09
QSO: 21000 PH 2015-10-25 2001 VE2GT         59  05     PY5DC         59  11
QSO: 21000 PH 2015-10-25 2012 VE2GT         59  05     NQ4I          59  05
QSO: 21000 PH 2015-10-25 2016 VE2GT         59  05     ED8W          59  33
QSO: 21000 PH 2015-10-25 2018 VE2GT         59  05     AD4Z          59  05
QSO: 21000 PH 2015-10-25 2020 VE2GT         59  05     CR3A          59  33
QSO: 21000 PH 2015-10-25 2025 VE2GT         59  05     N0NI          59  04
QSO: 14000 PH 2015-10-25 2028 VE2GT         59  05     N0NI          59  04
QSO: 21000 PH 2015-10-25 2030 VE2GT         59  05     ZW5B          59  11
QSO: 21000 PH 2015-10-25 2055 VE2GT         59  05     ZY2A          59  11
QSO: 21000 PH 2015-10-25 2056 VE2GT         59  05     VP9I          59  05
QSO: 21000 PH 2015-10-25 2057 VE2GT         59  05     KV0Q          59  04
QSO: 21000 PH 2015-10-25 2059 VE2GT         59  05     KL7RA         59  01
QSO: 21000 PH 2015-10-25 2114 VE2GT         59  05     HI3TEJ        59  08
QSO: 21000 PH 2015-10-25 2119 VE2GT         59  05     YV8AD         59  09
QSO: 21000 PH 2015-10-25 2121 VE2GT         59  05     CB1H          59  12
QSO: 21000 PH 2015-10-25 2124 VE2GT         59  05     CR6T          59  14
QSO: 21000 PH 2015-10-25 2125 VE2GT         59  05     VE4VT         59  04
QSO: 21000 PH 2015-10-25 2127 VE2GT         59  05     PJ2T          59  09
QSO: 21000 PH 2015-10-25 2128 VE2GT         59  05     JA2PAC        59  25
QSO: 21000 PH 2015-10-25 2132 VE2GT         59  05     PY5ZD         59  11
QSO: 21000 PH 2015-10-25 2137 VE2GT         59  05     8P5A          59  08
QSO: 21000 PH 2015-10-25 2138 VE2GT         59  05     P40W          59  09
QSO: 21000 PH 2015-10-25 2139 VE2GT         59  05     YV4NN         59  09
QSO: 21000 PH 2015-10-25 2141 VE2GT         59  05     P40A          59  09
QSO: 21000 PH 2015-10-25 2152 VE2GT         59  05     HC0E          59  10
QSO: 21000 PH 2015-10-25 2154 VE2GT         59  05     YV4YC         59  09
QSO: 28000 PH 2015-10-25 2157 VE2GT         59  05     N5RZ          59  04
QSO: 28000 PH 2015-10-25 2204 VE2GT         59  05     T42US         59  08
QSO: 21000 PH 2015-10-25 2226 VE2GT         59  05     LP1H          59  13
QSO: 21000 PH 2015-10-25 2227 VE2GT         59  05     OH8X          59  15
QSO: 21000 PH 2015-10-25 2228 VE2GT         59  05     W4DXX         59  05
QSO: 21000 PH 2015-10-25 2230 VE2GT         59  05     CB3W          59  12
QSO: 21000 PH 2015-10-25 2237 VE2GT         59  05     YN5Z          59  07
QSO: 21000 PH 2015-10-25 2254 VE2GT         59  05     JJ0JML        59  25
QSO: 21000 PH 2015-10-25 2318 VE2GT         59  05     JR3NZC        59  25
QSO: 21000 PH 2015-10-25 2321 VE2GT         59  05     KH6J          59  31
QSO: 21000 PH 2015-10-25 2324 VE2GT         59  05     JA7YRR        59  25
QSO: 14000 PH 2015-10-25 2331 VE2GT         59  05     KL7RA         59  01
QSO: 14000 PH 2015-10-25 2341 VE2GT         59  05     HI3TEJ        59  08
QSO: 14000 PH 2015-10-25 2353 VE2GT         59  05     KP2M          59  08
QSO: 14000 PH 2015-10-25 2359 VE2GT         59  05     PX2A          59  11
END-OF-LOG:
