START-OF-LOG: 3.0
CALLSIGN: ZL3PAH
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Phil Holliday
LOCATION: DX
OPERATORS: ZL3PAH
CLUB: Quake Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7177.0
SOAPBOX: poor condx, spent a lot of time chasing FOC stations
QSO:  3520 CW 2018-05-26 0534 ZL3PAH        599 0021   KN3A          599 0234
QSO:  3526 CW 2018-05-26 0536 ZL3PAH        599 0022   CS2C          599 0337
QSO:  3534 CW 2018-05-26 0543 ZL3PAH        599 0023   LU8DPM        599 0064
QSO:  3538 CW 2018-05-26 0628 ZL3PAH        599 0024   8P5A          599 1046
QSO:  3523 CW 2018-05-26 0641 ZL3PAH        599 0025   KP2M          599 0093
QSO:  3521 CW 2018-05-26 0646 ZL3PAH        599 0026   NR4M          599 0255
QSO:  3535 CW 2018-05-26 0650 ZL3PAH        599 0027   KC7V          599 0031
QSO:  7027 CW 2018-05-26 0910 ZL3PAH        599 0028   VK7CW         599 0189
QSO:  7025 CW 2018-05-26 0911 ZL3PAH        599 0029   KJ0D          599 0394
QSO:  7026 CW 2018-05-26 0911 ZL3PAH        599 0030   NN5P          599 0356
QSO:  7031 CW 2018-05-26 0914 ZL3PAH        599 0031   VA7DX         599 0647
QSO:  7033 CW 2018-05-26 0916 ZL3PAH        599 0032   HQ9X          599 0532
QSO:  7035 CW 2018-05-26 0917 ZL3PAH        599 0033   KY0W          599 0242
QSO:  7036 CW 2018-05-26 0918 ZL3PAH        599 0034   KH6LC         599 0346
QSO:  7039 CW 2018-05-26 0919 ZL3PAH        599 0035   KN7NV         599 0419
QSO:  7040 CW 2018-05-26 0921 ZL3PAH        599 0036   VK3FY         599 0228
QSO:  3525 CW 2018-05-26 0922 ZL3PAH        599 0037   K1KI          599 0365
QSO:  3527 CW 2018-05-26 0923 ZL3PAH        599 0038   KJ0D          599 0098
QSO:  3532 CW 2018-05-26 0925 ZL3PAH        599 0039   KU6W          599 0525
QSO:  3539 CW 2018-05-26 0927 ZL3PAH        599 0040   KL7SB         599 0926
QSO:  3530 CW 2018-05-26 0928 ZL3PAH        599 0041   NA6O          599 0199
QSO:  7025 CW 2018-05-26 0931 ZL3PAH        599 0042   VK6LW         599 0270
QSO:  7017 CW 2018-05-26 0932 ZL3PAH        599 0043   KC7V          599 0523
QSO:  7015 CW 2018-05-26 0935 ZL3PAH        599 0044   VA7ST         599 0479
QSO:  7020 CW 2018-05-26 0937 ZL3PAH        599 0045   N5RZ          599 0404
QSO:  7021 CW 2018-05-26 0939 ZL3PAH        599 0046   6Y6N          599 0957
QSO:  7022 CW 2018-05-26 0941 ZL3PAH        599 0047   NA6O          599 0450
QSO:  7028 CW 2018-05-26 0943 ZL3PAH        599 0048   VE7GL         599 0124
QSO:  7028 CW 2018-05-26 0945 ZL3PAH        599 0049   BD1RX         599 0030
QSO:  7046 CW 2018-05-26 0948 ZL3PAH        599 0050   PZ5XX         599 0522
QSO:  3517 CW 2018-05-26 0950 ZL3PAH        599 0051   VK7CW         599 0215
QSO:  3531 CW 2018-05-26 0952 ZL3PAH        599 0052   N4TB          599 0105
QSO:  3525 CW 2018-05-26 0953 ZL3PAH        599 0053   K9CT          599 0076
QSO: 14042 CW 2018-05-26 1001 ZL3PAH        599 0054   RN0D          599 0536
QSO: 14034 CW 2018-05-26 1003 ZL3PAH        599 0055   NW7R          599 0640
QSO: 14046 CW 2018-05-27 0434 ZL3PAH        599 0056   LY80FOC       599 0432
QSO:  7030 CW 2018-05-27 0449 ZL3PAH        599 0057   II0FOC        599 0548
QSO:  7036 CW 2018-05-27 0513 ZL3PAH        599 0058   F5VHY         599 1032
QSO:  7038 CW 2018-05-27 0515 ZL3PAH        599 0059   NY4A          599 2272
QSO:  7044 CW 2018-05-27 0523 ZL3PAH        599 0060   OE2BZL        599 0773
QSO:  7031 CW 2018-05-27 0708 ZL3PAH        599 0061   VC3J          599 1333
QSO:  7026 CW 2018-05-27 0709 ZL3PAH        599 0062   CR3W          599 1177
QSO:  7038 CW 2018-05-27 0710 ZL3PAH        599 0063   NQ2F          599 1103
QSO:  3520 CW 2018-05-27 0714 ZL3PAH        599 0064   K7HP          599 0485
QSO:  3522 CW 2018-05-27 0720 ZL3PAH        599 0065   ZL1T          599 0035
QSO:  3522 CW 2018-05-27 0724 ZL3PAH        599 0066   PX2MTV        599 0297
QSO:  3522 CW 2018-05-27 0725 ZL3PAH        599 0067   VK2KJJ        599 0009
QSO:  3522 CW 2018-05-27 0726 ZL3PAH        599 0068   K5CAO         599 0076
QSO:  3522 CW 2018-05-27 0727 ZL3PAH        599 0069   W7YAQ         599 1079
QSO:  3522 CW 2018-05-27 0730 ZL3PAH        599 0070   K5HK          599 0043
QSO:  3522 CW 2018-05-27 0732 ZL3PAH        599 0071   KI6RRN        599 1449
QSO:  3522 CW 2018-05-27 0733 ZL3PAH        599 0072   VK3AUQ        599 0043
QSO:  7025 CW 2018-05-27 0751 ZL3PAH        599 0073   VK4TT         599 0042
END-OF-LOG:
