START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: HB9CAT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
GRID-LOCATOR: JN46PN
CLAIMED-SCORE: 1075052
NAME: Marco Zollinger
OPERATORS: HB9CAT
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: DXLog.net v2.4.23
SOAPBOX: mostly S&P, multi-band vertical in the middle of the alps
QSO:  7020 CW 2020-05-30 0110 HB9CAT        599 0052   OM0R          599 0111   0
QSO:  7021 CW 2020-05-30 0111 HB9CAT        599 0053   CJ3A          599 0173   0
QSO: 14024 CW 2020-05-30 0112 HB9CAT        599 0054   SO4M          599 0127   0
QSO:  7022 CW 2020-05-30 0113 HB9CAT        599 0055   HG1A          599 0113   0
QSO:  7022 CW 2020-05-30 0114 HB9CAT        599 0056   AD3PA         599 0074   0
QSO:  7023 CW 2020-05-30 0114 HB9CAT        599 0057   9A5D          599 0143   0
QSO:  7023 CW 2020-05-30 0115 HB9CAT        599 0058   N4CW          599 0126   0
QSO:  7025 CW 2020-05-30 0117 HB9CAT        599 0059   OM6NM         599 0132   0
QSO:  7025 CW 2020-05-30 0117 HB9CAT        599 0060   OK2D          599 0160   0
QSO:  7026 CW 2020-05-30 0118 HB9CAT        599 0061   S55T          599 0160   0
QSO:  7026 CW 2020-05-30 0118 HB9CAT        599 0062   HA8A          599 0204   0
QSO:  7027 CW 2020-05-30 0119 HB9CAT        599 0063   S55OO         599 0036   0
QSO:  7027 CW 2020-05-30 0120 HB9CAT        599 0064   EB5A          599 0188   0
QSO:  7028 CW 2020-05-30 0120 HB9CAT        599 0065   4O3A          599 0159   0
QSO:  7031 CW 2020-05-30 0122 HB9CAT        599 0066   EC3A          599 0109   0
QSO:  7031 CW 2020-05-30 0122 HB9CAT        599 0067   SN3A          599 0172   0
QSO:  7034 CW 2020-05-30 0123 HB9CAT        599 0068   LZ5R          599 0371   0
QSO:  7034 CW 2020-05-30 0123 HB9CAT        599 0069   RM2U          599 0159   0
QSO:  7034 CW 2020-05-30 0124 HB9CAT        599 0070   RC9J          599 0045   0
QSO:  7035 CW 2020-05-30 0124 HB9CAT        599 0071   W3KL          599 0099   0
QSO:  7036 CW 2020-05-30 0125 HB9CAT        599 0072   RT4F          599 0164   0
QSO:  7036 CW 2020-05-30 0126 HB9CAT        599 0073   LY7Z          599 0170   0
QSO:  7036 CW 2020-05-30 0126 HB9CAT        599 0074   SN7Q          599 0161   0
QSO:  7037 CW 2020-05-30 0127 HB9CAT        599 0075   OE3K          599 0189   0
QSO:  7037 CW 2020-05-30 0127 HB9CAT        599 0076   OH3FM         599 0111   0
QSO:  7038 CW 2020-05-30 0127 HB9CAT        599 0077   UT5C          599 0206   0
QSO:  7038 CW 2020-05-30 0128 HB9CAT        599 0078   LZ6Y          599 0103   0
QSO:  7038 CW 2020-05-30 0128 HB9CAT        599 0079   KE1J          599 0163   0
QSO:  7039 CW 2020-05-30 0129 HB9CAT        599 0080   K9NR          599 0142   0
QSO:  7041 CW 2020-05-30 0130 HB9CAT        599 0081   EA6FO         599 0086   0
QSO:  7041 CW 2020-05-30 0132 HB9CAT        599 0082   UB7K          599 0238   0
QSO:  7042 CW 2020-05-30 0133 HB9CAT        599 0083   DJ0SP         599 0136   0
QSO:  7042 CW 2020-05-30 0134 HB9CAT        599 0084   K1ESE         599 0145   0
QSO:  7044 CW 2020-05-30 0135 HB9CAT        599 0085   LZ3FN         599 0144   0
QSO:  7045 CW 2020-05-30 0135 HB9CAT        599 0086   VE9AA         599 0158   0
QSO:  7044 CW 2020-05-30 0136 HB9CAT        599 0087   ND3D          599 0171   0
QSO:  7045 CW 2020-05-30 0136 HB9CAT        599 0088   LZ9W          599 0174   0
QSO:  7045 CW 2020-05-30 0136 HB9CAT        599 0089   SM0HRP        599 0096   0
QSO:  7046 CW 2020-05-30 0137 HB9CAT        599 0090   N1RR          599 0124   0
QSO:  7047 CW 2020-05-30 0137 HB9CAT        599 0091   W9RNY         599 0145   0
QSO:  7047 CW 2020-05-30 0138 HB9CAT        599 0092   LY5R          599 0175   0
QSO:  7048 CW 2020-05-30 0140 HB9CAT        599 0093   NB1N          599 0145   0
QSO:  7048 CW 2020-05-30 0141 HB9CAT        599 0094   CG3EJ         599 0164   0
QSO:  7049 CW 2020-05-30 0142 HB9CAT        599 0095   N3BB          599 0034   0
QSO:  7051 CW 2020-05-30 0143 HB9CAT        599 0096   II9P          599 0286   0
QSO:  7052 CW 2020-05-30 0143 HB9CAT        599 0097   AK1W          599 0239   0
QSO:  7054 CW 2020-05-30 0144 HB9CAT        599 0098   WT7V          599 0185   0
QSO:  7054 CW 2020-05-30 0145 HB9CAT        599 0099   UW7LL         599 0133   0
QSO:  7055 CW 2020-05-30 0145 HB9CAT        599 0100   S57K          599 0247   0
QSO:  7056 CW 2020-05-30 0147 HB9CAT        599 0101   NM1JY         599 0183   0
QSO: 14026 CW 2020-05-30 0149 HB9CAT        599 0102   F5MXQ         599 0005   0
QSO:  3540 CW 2020-05-30 0150 HB9CAT        599 0103   SK0QO         599 0120   0
QSO:  3541 CW 2020-05-30 0151 HB9CAT        599 0104   EV1R          599 0140   0
QSO:  3542 CW 2020-05-30 0152 HB9CAT        599 0105   8S0DX         599 0022   0
QSO:  3544 CW 2020-05-30 0152 HB9CAT        599 0106   EW8DX         599 0171   0
QSO:  3545 CW 2020-05-30 0153 HB9CAT        599 0107   UX1UX         599 0152   0
QSO:  3546 CW 2020-05-30 0154 HB9CAT        599 0108   9A0AA         599 0129   0
QSO:  3547 CW 2020-05-30 0154 HB9CAT        599 0109   YP8T          599 0166   0
QSO:  3549 CW 2020-05-30 0155 HB9CAT        599 0110   SM5IMO        599 0094   0
QSO:  3548 CW 2020-05-30 0156 HB9CAT        599 0111   YU5T          599 0119   0
QSO:  7059 CW 2020-05-30 0157 HB9CAT        599 0112   KU8E          599 0178   0
QSO:  7000 CW 2020-05-30 0158 HB9CAT        599 0113   KT6V          599 0203   0
QSO:  7002 CW 2020-05-30 0159 HB9CAT        599 0114   AC1U          599 0191   0
QSO:  7003 CW 2020-05-30 0200 HB9CAT        599 0115   WM3T          599 0286   0
QSO:  7006 CW 2020-05-30 0201 HB9CAT        599 0116   OL3Z          599 0200   0
QSO:  7007 CW 2020-05-30 0201 HB9CAT        599 0117   NR4M          599 0213   0
QSO:  7008 CW 2020-05-30 0202 HB9CAT        599 0118   NY4A          599 0324   0
QSO:  7008 CW 2020-05-30 0203 HB9CAT        599 0119   WW1X          599 0245   0
QSO:  7010 CW 2020-05-30 0203 HB9CAT        599 0120   AB3CX         599 0234   0
QSO:  7010 CW 2020-05-30 0204 HB9CAT        599 0121   G4BUO         599 0237   0
QSO:  7011 CW 2020-05-30 0205 HB9CAT        599 0122   RG2A          599 0055   0
QSO:  7012 CW 2020-05-30 0205 HB9CAT        599 0123   TM2Y          599 0249   0
QSO:  7012 CW 2020-05-30 0206 HB9CAT        599 0124   VE3JM         599 0273   0
QSO:  7015 CW 2020-05-30 0207 HB9CAT        599 0125   NU5A          599 0329   0
QSO:  7016 CW 2020-05-30 0208 HB9CAT        599 0126   KP2M          599 0371   0
QSO:  7016 CW 2020-05-30 0209 HB9CAT        599 0127   S52AW         599 0297   0
QSO:  7017 CW 2020-05-30 0209 HB9CAT        599 0128   HG3R          599 0285   0
QSO:  7017 CW 2020-05-30 0209 HB9CAT        599 0129   UR7GO         599 0235   0
QSO:  7018 CW 2020-05-30 0210 HB9CAT        599 0130   IU1LCU        599 0133   0
QSO:  7020 CW 2020-05-30 0211 HB9CAT        599 0131   K3CCR         599 0154   0
QSO:  7021 CW 2020-05-30 0211 HB9CAT        599 0132   R4KO          599 0167   0
QSO:  7023 CW 2020-05-30 0212 HB9CAT        599 0133   G5W           599 0271   0
QSO:  7025 CW 2020-05-30 0213 HB9CAT        599 0134   WU3A          599 0226   0
QSO:  7027 CW 2020-05-30 0214 HB9CAT        599 0135   HB5E          599 0223   0
QSO:  7029 CW 2020-05-30 0214 HB9CAT        599 0136   AA3B          599 0396   0
QSO:  7031 CW 2020-05-30 0215 HB9CAT        599 0137   VC2A          599 0303   0
QSO:  7030 CW 2020-05-30 0215 HB9CAT        599 0138   US1Q          599 0379   0
QSO:  7031 CW 2020-05-30 0216 HB9CAT        599 0139   MU2K          599 0307   0
QSO:  7032 CW 2020-05-30 0217 HB9CAT        599 0140   KW1K          599 0187   0
QSO:  7032 CW 2020-05-30 0218 HB9CAT        599 0141   UW2M          599 0355   0
QSO:  7032 CW 2020-05-30 0219 HB9CAT        599 0142   CR6K          599 0507   0
QSO:  7035 CW 2020-05-30 0220 HB9CAT        599 0143   II3R          599 0202   0
QSO:  7035 CW 2020-05-30 0220 HB9CAT        599 0144   YL7X          599 0184   0
QSO:  7034 CW 2020-05-30 0221 HB9CAT        599 0145   WG3J          599 0172   0
QSO:  7036 CW 2020-05-30 0223 HB9CAT        599 0146   HG6N          599 0373   0
QSO:  7037 CW 2020-05-30 0223 HB9CAT        599 0147   RL3T          599 0067   0
QSO:  7039 CW 2020-05-30 0223 HB9CAT        599 0148   DK5KK         599 0249   0
QSO:  7039 CW 2020-05-30 0224 HB9CAT        599 0149   YU7KW         599 0202   0
QSO:  7040 CW 2020-05-30 0225 HB9CAT        599 0150   YP3A          599 0168   0
QSO:  7041 CW 2020-05-30 0226 HB9CAT        599 0151   I2WIJ         599 0272   0
QSO:  7042 CW 2020-05-30 0229 HB9CAT        599 0152   UW1M          599 0289   0
QSO:  7043 CW 2020-05-30 0229 HB9CAT        599 0153   EW5Z          599 0241   0
QSO:  7044 CW 2020-05-30 0229 HB9CAT        599 0154   RC6U          599 0065   0
QSO:  7046 CW 2020-05-30 0231 HB9CAT        599 0155   IR1G          599 0358   0
QSO:  7046 CW 2020-05-30 0232 HB9CAT        599 0156   W1MD          599 0243   0
QSO:  7047 CW 2020-05-30 0233 HB9CAT        599 0157   NN5P          599 0281   0
QSO:  7047 CW 2020-05-30 0234 HB9CAT        599 0158   RA4AR         599 0028   0
QSO:  7048 CW 2020-05-30 0234 HB9CAT        599 0159   DJ9DZ         599 0200   0
QSO:  7049 CW 2020-05-30 0235 HB9CAT        599 0160   WP2DX         599 0214   0
QSO:  7049 CW 2020-05-30 0236 HB9CAT        599 0161   LN8W          599 0228   0
QSO:  7052 CW 2020-05-30 0237 HB9CAT        599 0162   HA7UI         599 0197   0
QSO:  7053 CW 2020-05-30 0237 HB9CAT        599 0163   EU8F          599 0106   0
QSO:  7057 CW 2020-05-30 0239 HB9CAT        599 0164   US7IA         599 0097   0
QSO:  7062 CW 2020-05-30 0240 HB9CAT        599 0165   WW2Y          599 0435   0
QSO:  7062 CW 2020-05-30 0240 HB9CAT        599 0166   CG9ML         599 0181   0
QSO:  7063 CW 2020-05-30 0241 HB9CAT        599 0167   TI7W          599 0395   0
QSO:  7063 CW 2020-05-30 0242 HB9CAT        599 0168   3V8SS         599 0203   0
QSO:  7063 CW 2020-05-30 0242 HB9CAT        599 0169   W8FJ          599 0198   0
QSO:  7065 CW 2020-05-30 0243 HB9CAT        599 0170   KM9P          599 0366   0
QSO:  3553 CW 2020-05-30 0249 HB9CAT        599 0171   DL5AXX        599 0430   0
QSO:  3560 CW 2020-05-30 0249 HB9CAT        599 0172   E79D          599 0141   0
QSO:  3564 CW 2020-05-30 0250 HB9CAT        599 0173   PA3AAV        599 0172   0
QSO:  3549 CW 2020-05-30 0252 HB9CAT        599 0174   DL0WW         599 0121   0
QSO:  3545 CW 2020-05-30 0255 HB9CAT        599 0175   W4NF          599 0212   0
QSO:  3544 CW 2020-05-30 0256 HB9CAT        599 0176   DK3YD         599 0201   0
QSO:  7001 CW 2020-05-30 0259 HB9CAT        599 0177   NB4N          599 0266   0
QSO:  7015 CW 2020-05-30 0259 HB9CAT        599 0178   4X6FR         599 0367   0
QSO:  7048 CW 2020-05-30 0300 HB9CAT        599 0179   AF4WY         599 0046   0
QSO:  7029 CW 2020-05-30 0301 HB9CAT        599 0180   AJ3AA         599 0542   0
QSO:  7031 CW 2020-05-30 0303 HB9CAT        599 0181   DK7A          599 0154   0
QSO:  7071 CW 2020-05-30 0303 HB9CAT        599 0182   DK8ZZ         599 0262   0
QSO:  7015 CW 2020-05-30 0304 HB9CAT        599 0183   DL6FBL        599 0509   0
QSO:  7043 CW 2020-05-30 0306 HB9CAT        599 0184   EI20C         599 0468   0
QSO:  7019 CW 2020-05-30 0307 HB9CAT        599 0185   FM5BH         599 0269   0
QSO:  7014 CW 2020-05-30 0307 HB9CAT        599 0186   HA3OU         599 0169   0
QSO:  7055 CW 2020-05-30 0308 HB9CAT        599 0187   HG7T          599 0321   0
QSO:  7023 CW 2020-05-30 0311 HB9CAT        599 0188   KD4D          599 0370   0
QSO:  7053 CW 2020-05-30 0311 HB9CAT        599 0189   SX1T          599 0099   0
QSO:  7028 CW 2020-05-30 0312 HB9CAT        599 0190   NQ2F          599 0324   0
QSO:  7004 CW 2020-05-30 0315 HB9CAT        599 0191   SJ0X          599 0377   0
QSO:  7005 CW 2020-05-30 0316 HB9CAT        599 0192   VC3N          599 0331   0
QSO:  7010 CW 2020-05-30 0318 HB9CAT        599 0193   N9GB          599 0154   0
QSO:  7013 CW 2020-05-30 0318 HB9CAT        599 0194   RA5G          599 0566   0
QSO:  7020 CW 2020-05-30 0320 HB9CAT        599 0195   NN7CW         599 0252   0
QSO:  7022 CW 2020-05-30 0320 HB9CAT        599 0196   YO5PBW        599 0100   0
QSO:  7024 CW 2020-05-30 0321 HB9CAT        599 0197   RV1AW         599 0219   0
QSO:  7035 CW 2020-05-30 0322 HB9CAT        599 0198   SP8R          599 0408   0
QSO:  7036 CW 2020-05-30 0323 HB9CAT        599 0199   IO6A          599 0289   0
QSO:  7036 CW 2020-05-30 0323 HB9CAT        599 0200   S58Q          599 0171   0
QSO:  7037 CW 2020-05-30 0323 HB9CAT        599 0201   IK0YVV        599 0070   0
QSO:  7038 CW 2020-05-30 0324 HB9CAT        599 0202   IZ8GCB        599 0193   0
QSO:  7042 CW 2020-05-30 0326 HB9CAT        599 0203   DQ4Q          599 0338   0
QSO:  7045 CW 2020-05-30 0327 HB9CAT        599 0204   LZ8E          599 0325   0
QSO:  7043 CW 2020-05-30 0328 HB9CAT        599 0205   DM7C          599 0008   0
QSO:  7048 CW 2020-05-30 0328 HB9CAT        599 0206   US2YW         599 0381   0
QSO:  7052 CW 2020-05-30 0329 HB9CAT        599 0207   S50G          599 0530   0
QSO:  7053 CW 2020-05-30 0329 HB9CAT        599 0208   ES7GM         599 0382   0
QSO:  7055 CW 2020-05-30 0330 HB9CAT        599 0209   OH1VR         599 0088   0
QSO:  7056 CW 2020-05-30 0331 HB9CAT        599 0210   II2S          599 0473   0
QSO:  7057 CW 2020-05-30 0335 HB9CAT        599 0211   AC0C          599 0349   0
QSO:  7057 CW 2020-05-30 0335 HB9CAT        599 0212   KT3M          599 0333   0
QSO:  7057 CW 2020-05-30 0336 HB9CAT        599 0213   WK1Q          599 0346   0
QSO:  7067 CW 2020-05-30 0337 HB9CAT        599 0214   DM1A          599 0505   0
QSO:  7067 CW 2020-05-30 0338 HB9CAT        599 0215   LY9A          599 0297   0
QSO:  7068 CW 2020-05-30 0339 HB9CAT        599 0216   K4XL          599 0238   0
QSO:  7069 CW 2020-05-30 0340 HB9CAT        599 0217   OG6N          599 0296   0
QSO:  7069 CW 2020-05-30 0340 HB9CAT        599 0218   OG30YL        599 0186   0
QSO:  7072 CW 2020-05-30 0341 HB9CAT        599 0219   J42L          599 0355   0
QSO:  7080 CW 2020-05-30 0342 HB9CAT        599 0220   WP4X          599 0476   0
QSO:  7082 CW 2020-05-30 0343 HB9CAT        599 0221   NA8V          599 0423   0
QSO:  7083 CW 2020-05-30 0344 HB9CAT        599 0222   OP7B          599 0062   0
QSO:  7084 CW 2020-05-30 0345 HB9CAT        599 0223   IO4X          599 0283   0
QSO:  7087 CW 2020-05-30 0346 HB9CAT        599 0224   IT9RZU        599 0195   0
QSO:  7090 CW 2020-05-30 0347 HB9CAT        599 0225   AC3BU         599 0368   0
QSO:  7093 CW 2020-05-30 0351 HB9CAT        599 0226   8P5A          599 0259   0
QSO: 14001 CW 2020-05-30 0352 HB9CAT        599 0227   UP2L          599 0684   0
QSO:  3541 CW 2020-05-30 0354 HB9CAT        599 0228   MI5I          599 0111   0
QSO:  3541 CW 2020-05-30 0357 HB9CAT        599 0229   LY6A          599 0191   0
QSO:  3546 CW 2020-05-30 0358 HB9CAT        599 0230   ON6NL         599 0073   0
QSO:  3550 CW 2020-05-30 0401 HB9CAT        599 0231   HF10ZPM       599 0057   0
QSO:  3554 CW 2020-05-30 0401 HB9CAT        599 0232   DL4ZA         599 0050   0
QSO:  3557 CW 2020-05-30 0402 HB9CAT        599 0233   E72U          599 0021   0
QSO:  7001 CW 2020-05-30 0403 HB9CAT        599 0234   NX3U          599 0418   0
QSO:  7005 CW 2020-05-30 0405 HB9CAT        599 0235   SV2BXA        599 0025   0
QSO:  7007 CW 2020-05-30 0405 HB9CAT        599 0236   EO3Q          599 0245   0
QSO:  7012 CW 2020-05-30 0406 HB9CAT        599 0237   OP6A          599 0229   0
QSO:  7018 CW 2020-05-30 0703 HB9CAT        599 0238   OL6P          599 0387   0
QSO: 14002 CW 2020-05-30 0705 HB9CAT        599 0239   RT8U          599 0585   0
QSO: 14003 CW 2020-05-30 0705 HB9CAT        599 0240   R3AP          599 0454   0
QSO: 14004 CW 2020-05-30 0706 HB9CAT        599 0241   UA3EDQ        599 0291   0
QSO: 14005 CW 2020-05-30 0706 HB9CAT        599 0242   UV5U          599 0587   0
QSO: 14010 CW 2020-05-30 0708 HB9CAT        599 0243   UY7C          599 0419   0
QSO: 14015 CW 2020-05-30 0709 HB9CAT        599 0244   EU5C          599 0154   0
QSO:  7002 CW 2020-05-30 0710 HB9CAT        599 0245   MX3W          599 0026   0
QSO:  7010 CW 2020-05-30 0711 HB9CAT        599 0246   9A1CCY        599 0434   0
QSO:  7014 CW 2020-05-30 0711 HB9CAT        599 0247   DK2FG         599 0188   0
QSO:  7014 CW 2020-05-30 0712 HB9CAT        599 0248   OR1Z          599 0074   0
QSO:  7015 CW 2020-05-30 0713 HB9CAT        599 0249   F6HJO         599 0031   0
QSO:  7016 CW 2020-05-30 0713 HB9CAT        599 0250   HA2KMR        599 0315   0
QSO:  7022 CW 2020-05-30 0715 HB9CAT        599 0251   IW3FVZ        599 0121   0
QSO:  7023 CW 2020-05-30 0715 HB9CAT        599 0252   DL7JV         599 0105   0
QSO:  7023 CW 2020-05-30 0716 HB9CAT        599 0253   OK1HFP        599 0171   0
QSO:  7028 CW 2020-05-30 0717 HB9CAT        599 0254   OU2V          599 0220   0
QSO:  7032 CW 2020-05-30 0718 HB9CAT        599 0255   LZ4A          599 0038   0
QSO:  7033 CW 2020-05-30 0720 HB9CAT        599 0256   SP5AUC        599 0196   0
QSO:  7035 CW 2020-05-30 0720 HB9CAT        599 0257   PA5KT         599 0197   0
QSO:  7045 CW 2020-05-30 0722 HB9CAT        599 0258   EW1P          599 0300   0
QSO: 28004 CW 2020-05-30 0723 HB9CAT        599 0259   EF5U          599 0090   0
QSO: 28009 CW 2020-05-30 0723 HB9CAT        599 0260   LZ73TRC       599 0322   0
QSO: 28011 CW 2020-05-30 0725 HB9CAT        599 0261   LA0CX         599 0082   0
QSO: 28032 CW 2020-05-30 0726 HB9CAT        599 0262   EV1R          599 0495   0
QSO: 28032 CW 2020-05-30 0727 HB9CAT        599 0263   GM3F          599 0161   0
QSO: 28044 CW 2020-05-30 0728 HB9CAT        599 0264   YU1LA         599 0004   0
QSO: 28049 CW 2020-05-30 0729 HB9CAT        599 0265   OH6AC         599 0178   0
QSO: 21008 CW 2020-05-30 0730 HB9CAT        599 0266   RX3N          599 0099   0
QSO: 21021 CW 2020-05-30 0731 HB9CAT        599 0267   OZ7A          599 0943   0
QSO: 21024 CW 2020-05-30 0733 HB9CAT        599 0268   RA9P          599 0725   0
QSO: 21035 CW 2020-05-30 0734 HB9CAT        599 0269   IK3UNA        599 0262   0
QSO: 21048 CW 2020-05-30 0736 HB9CAT        599 0270   OH7KBF        599 0035   0
QSO: 21053 CW 2020-05-30 0736 HB9CAT        599 0271   YO9HP         599 0255   0
QSO: 21057 CW 2020-05-30 0737 HB9CAT        599 0272   ES6Q          599 0035   0
QSO: 28043 CW 2020-05-30 0738 HB9CAT        599 0273   OG55W         599 0211   0
QSO: 28029 CW 2020-05-30 0739 HB9CAT        599 0274   LA5LJA        599 0080   0
QSO: 28026 CW 2020-05-30 0740 HB9CAT        599 0275   OH5Z          599 0276   0
QSO: 14028 CW 2020-05-30 0742 HB9CAT        599 0276   YR9F          599 0278   0
QSO: 14029 CW 2020-05-30 0742 HB9CAT        599 0277   UA5C          599 0600   0
QSO: 14030 CW 2020-05-30 0743 HB9CAT        599 0278   OH9W          599 0292   0
QSO: 14031 CW 2020-05-30 0743 HB9CAT        599 0279   YT3X          599 0926   0
QSO: 14032 CW 2020-05-30 0744 HB9CAT        599 0280   RU8T          599 0339   0
QSO: 14033 CW 2020-05-30 0744 HB9CAT        599 0281   YL2VW         599 0542   0
QSO: 14046 CW 2020-05-30 0746 HB9CAT        599 0282   HG8R          599 0617   0
QSO: 14047 CW 2020-05-30 0747 HB9CAT        599 0283   OH0T          599 0597   0
QSO: 14049 CW 2020-05-30 0747 HB9CAT        599 0284   OE2S          599 0222   0
QSO: 14049 CW 2020-05-30 0748 HB9CAT        599 0285   ES2MC         599 0532   0
QSO: 14052 CW 2020-05-30 0749 HB9CAT        599 0286   SP2GMA        599 0270   0
QSO: 14055 CW 2020-05-30 0750 HB9CAT        599 0287   PI30COM       599 0135   0
QSO: 14061 CW 2020-05-30 0751 HB9CAT        599 0288   IF9A          599 0174   0
QSO: 14050 CW 2020-05-30 0754 HB9CAT        599 0289   9A7A          599 1232   0
QSO: 14050 CW 2020-05-30 0754 HB9CAT        599 0290   SP3A          599 0184   0
QSO: 14050 CW 2020-05-30 0754 HB9CAT        599 0291   S51RJ         599 0173   0
QSO: 14050 CW 2020-05-30 0755 HB9CAT        599 0292   HG4I          599 0393   0
QSO: 14050 CW 2020-05-30 0755 HB9CAT        599 0293   F8FCA         599 0004   0
