START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: KA6WKE
LOCATION: SDG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 15792
NAME: Mark Schoonover
OPERATORS: KA6WKE
CLUB: SOUTHERN CALIFORNIA CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8418.0
SOAPBOX: Mostly in and out of the shack this weekend. 20M Friday night was
SOAPBOX: a real surprise staying up past its normal bedtime these past few
SOAPBOX: years. Put in new antennas - Cobweb at 23' and a new 160-40m that
SOAPBOX: didn't want to behave on 80M. Worked many VE , a few KH6/7 and a
SOAPBOX: single XE off the cobweb with Chile & Argentina on 40M.
SOAPBOX: IC-7600 100 watts into MFJ-1836H@23' // 33' Inverted L
QSO: 14003 CW 2020-05-30 2250 KA6WKE        599 0096   NY4A          599 1874
QSO: 14067 CW 2020-05-30 2308 KA6WKE        599 0097   W4NZ          599 0928
QSO: 14061 CW 2020-05-30 2311 KA6WKE        599 0098   N1TO          599 1096
QSO: 14059 CW 2020-05-30 2316 KA6WKE        599 0099   N0AT          599 0810
QSO: 14057 CW 2020-05-30 2318 KA6WKE        599 0100   K3MD          599 0971
QSO: 14051 CW 2020-05-30 2322 KA6WKE        599 0101   N8PW          599 0363
QSO: 14031 CW 2020-05-30 2327 KA6WKE        599 0102   WR3O          599 2032
QSO: 14063 CW 2020-05-30 2345 KA6WKE        599 0103   NS4X          599 0254
QSO: 14063 CW 2020-05-30 2348 KA6WKE        599 0104   K7SS          599 0322
QSO: 14054 CW 2020-05-30 2357 KA6WKE        599 0105   K0NM          599 0868
QSO: 14051 CW 2020-05-30 2359 KA6WKE        599 0106   AC0C          599 0908
QSO: 14030 CW 2020-05-31 0006 KA6WKE        599 0107   AD0LI         599 0606
QSO: 14055 CW 2020-05-31 0237 KA6WKE        599 0108   WA8ZBT        599 0209
QSO: 14048 CW 2020-05-31 0240 KA6WKE        599 0109   KM8W          599 1343
QSO: 14047 CW 2020-05-31 0241 KA6WKE        599 0110   WS7W          599 1087
QSO: 14040 CW 2020-05-31 0245 KA6WKE        599 0111   WS9M          599 0617
QSO: 14038 CW 2020-05-31 0248 KA6WKE        599 0112   NO6T          599 2857
QSO: 14029 CW 2020-05-31 0253 KA6WKE        599 0113   WV4P          599 1062
QSO: 14006 CW 2020-05-31 0257 KA6WKE        599 0114   KW7Y          599 1679
QSO: 14028 CW 2020-05-31 0304 KA6WKE        599 0115   KN7T          599 0556
QSO: 14010 CW 2020-05-31 0307 KA6WKE        599 0116   N7TU          599 0811
QSO: 14067 CW 2020-05-31 0309 KA6WKE        599 0117   VB7C          599 0958
QSO: 14059 CW 2020-05-31 0310 KA6WKE        599 0118   VA7KO         599 0674
QSO: 14039 CW 2020-05-31 0316 KA6WKE        599 0119   K8GL          599 1084
QSO: 14014 CW 2020-05-31 0324 KA6WKE        599 0120   KJ9C          599 0019
END-OF-LOG:
