START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: HB9MXY
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15656
CREATED-BY: UcxLog 7.83
NAME: Rudolf Alther
SOAPBOX: RIG ICOM-7200, 100 W, Antennas 2 element SteppIR resp. 40/80 Trap
SOAPBOX: Dipol, both 12 m over ground. Tnx to staff behind the contest and to
SOAPBOX: the organisator. Hpe cu next year, 73 de HB9MXY, Rudolf
QSO:  7061 RY 2018-04-07 2013 HB9MXY        599 033    EA7HAB        599 GR
QSO:  7060 RY 2018-04-07 2018 HB9MXY        599 034    IK8UND        599 124
QSO:  7057 RY 2018-04-07 2021 HB9MXY        599 035    RF9C          599 132
QSO:  7056 RY 2018-04-07 2023 HB9MXY        599 036    OH8WW         599 196
QSO:  7055 RY 2018-04-07 2024 HB9MXY        599 037    G0RPM         599 014
QSO:  7056 RY 2018-04-07 2025 HB9MXY        599 038    G0HDV         599 112
QSO:  7052 RY 2018-04-07 2033 HB9MXY        599 039    GW5NF         599 029
QSO:  7042 RY 2018-04-08 0651 HB9MXY        599 040    EA4HAM        599 M
QSO:  7044 RY 2018-04-08 0656 HB9MXY        599 041    9A1RBZ        599 370
QSO:  7044 RY 2018-04-08 0657 HB9MXY        599 042    EA4URE        599 HQ
QSO:  7047 RY 2018-04-08 0700 HB9MXY        599 043    EB5CUZ        599 CS
QSO:  7049 RY 2018-04-08 0702 HB9MXY        599 044    EA1EXE        599 O
QSO:  7049 RY 2018-04-08 0705 HB9MXY        599 045    HG3FMZ        599 074
QSO:  7051 RY 2018-04-08 0707 HB9MXY        599 046    EA4ESI        599 M
QSO:  7054 RY 2018-04-08 0708 HB9MXY        599 047    EB2RA         599 HU
QSO:  7054 RY 2018-04-08 0710 HB9MXY        599 048    EA1VM         599 P
QSO:  7058 RY 2018-04-08 0712 HB9MXY        599 049    EA3JW         599 B
QSO:  7060 RY 2018-04-08 0713 HB9MXY        599 050    OZ11A         599 293
QSO:  7061 RY 2018-04-08 0714 HB9MXY        599 051    4U1A          599 156
QSO:  7059 RY 2018-04-08 0716 HB9MXY        599 052    YU7RIM        599 078
QSO:  7058 RY 2018-04-08 0718 HB9MXY        599 053    YO4FPF        599 178
QSO:  7056 RY 2018-04-08 0722 HB9MXY        599 054    LB1AH         599 340
QSO:  7054 RY 2018-04-08 0726 HB9MXY        599 055    HG1G          599 162
QSO:  7053 RY 2018-04-08 0731 HB9MXY        599 056    EA5ERA        599 V
QSO:  7052 RY 2018-04-08 0733 HB9MXY        599 057    EA5EN         599 MU
QSO:  7051 RY 2018-04-08 0737 HB9MXY        599 058    LY6A          599 132
QSO:  7055 RY 2018-04-08 0741 HB9MXY        599 059    DL5YM         599 033
QSO:  7054 RY 2018-04-08 0742 HB9MXY        599 060    EA2KK         599 BI
QSO:  7050 RY 2018-04-08 0745 HB9MXY        599 061    EE1I          599 LE
QSO:  7048 RY 2018-04-08 0749 HB9MXY        599 062    EA2BFM        599 BI
QSO:  7050 RY 2018-04-08 0752 HB9MXY        599 063    PA4O          599 084
QSO:  7046 RY 2018-04-08 0753 HB9MXY        599 064    PA7WW         599 085
QSO:  7052 RY 2018-04-08 0800 HB9MXY        599 065    SQ6PLE        599 298
QSO:  7055 RY 2018-04-08 0803 HB9MXY        599 066    ED2R          599 VI
QSO:  7058 RY 2018-04-08 0806 HB9MXY        599 067    DL3DRN        599 113
QSO:  7057 RY 2018-04-08 0807 HB9MXY        599 068    DL1DTL        599 148
QSO:  7054 RY 2018-04-08 0809 HB9MXY        599 069    OK2UHP        599 095
QSO:  7048 RY 2018-04-08 0813 HB9MXY        599 070    9A9TT         599 013
QSO:  7043 RY 2018-04-08 0819 HB9MXY        599 071    EC5JC         599 A
QSO:  7045 RY 2018-04-08 0821 HB9MXY        599 072    EF1A          599 C
QSO:  7046 RY 2018-04-08 0822 HB9MXY        599 073    EA3KU         599 T
QSO:  7047 RY 2018-04-08 0823 HB9MXY        599 074    OK1ZE         599 065
QSO: 14083 RY 2018-04-08 0850 HB9MXY        599 075    RW3XZ         599 203
QSO: 14082 RY 2018-04-08 0854 HB9MXY        599 076    EM0I          599 667
QSO: 14080 RY 2018-04-08 0856 HB9MXY        599 077    YO4FPF        599 221
QSO: 14088 RY 2018-04-08 0906 HB9MXY        599 078    UV7E          599 143
QSO: 14091 RY 2018-04-08 0910 HB9MXY        599 079    YL2CI         599 241
QSO: 14095 RY 2018-04-08 0913 HB9MXY        599 080    OH7MJU        599 157
QSO: 14096 RY 2018-04-08 0917 HB9MXY        599 081    OH2HAN        599 538
QSO: 14100 RY 2018-04-08 0921 HB9MXY        599 082    LZ2YO         599 228
QSO: 14101 RY 2018-04-08 0923 HB9MXY        599 083    RG9A          599 771
QSO: 14105 RY 2018-04-08 0929 HB9MXY        599 084    RW4NN         599 150
QSO: 14109 RY 2018-04-08 0933 HB9MXY        599 085    OH8WW         599 454
QSO: 14110 RY 2018-04-08 0936 HB9MXY        599 086    R3PV          599 056
QSO: 14103 RY 2018-04-08 0940 HB9MXY        599 087    R3LC          599 036
QSO: 14090 RY 2018-04-08 0950 HB9MXY        599 088    UT5EPP        599 462
QSO: 14088 RY 2018-04-08 0952 HB9MXY        599 089    OH8KVY        599 077
QSO: 14086 RY 2018-04-08 0959 HB9MXY        599 090    EF1A          599 C
QSO: 14092 RY 2018-04-08 1005 HB9MXY        599 091    RA3Y          599 399
QSO: 14094 RY 2018-04-08 1007 HB9MXY        599 092    EA4GOY        599 TO
QSO: 14095 RY 2018-04-08 1009 HB9MXY        599 093    EF5T          599 MU
QSO: 14106 RY 2018-04-08 1015 HB9MXY        599 094    US1VS         599 144
QSO: 14109 RY 2018-04-08 1018 HB9MXY        599 095    UN6LN         599 146
QSO: 14111 RY 2018-04-08 1020 HB9MXY        599 096    YO4NF         599 282
QSO: 14112 RY 2018-04-08 1022 HB9MXY        599 097    YO9HP         599 610
QSO: 14105 RY 2018-04-08 1032 HB9MXY        599 098    EA4BAS        599 M
QSO: 14105 RY 2018-04-08 1035 HB9MXY        599 099    EA5SM         599 A
QSO: 14099 RY 2018-04-08 1041 HB9MXY        599 100    UR5R          599 256
QSO: 14102 RY 2018-04-08 1421 HB9MXY        599 101    UR4CU         599 097
QSO: 14082 RY 2018-04-08 1426 HB9MXY        599 102    EC1RCB        599 PO
QSO: 14093 RY 2018-04-08 1437 HB9MXY        599 103    EA5BY         599 A
QSO: 14092 RY 2018-04-08 1439 HB9MXY        599 104    EC5AC         599 A
QSO: 14102 RY 2018-04-08 1445 HB9MXY        599 105    EA5EN         599 MU
QSO: 14110 RY 2018-04-08 1450 HB9MXY        599 106    W1TO          599 062
QSO: 14109 RY 2018-04-08 1452 HB9MXY        599 107    RD3ZQ         599 183
QSO:  7054 RY 2018-04-08 1526 HB9MXY        599 108    EA3HKA        599 B
QSO:  7056 RY 2018-04-08 1530 HB9MXY        599 109    SM5S          599 122
QSO:  7058 RY 2018-04-08 1531 HB9MXY        599 110    YO9HP         599 736
QSO:  7059 RY 2018-04-08 1533 HB9MXY        599 111    OK2HBR        599 303
QSO:  7060 RY 2018-04-08 1535 HB9MXY        599 112    MM3AWD        599 339
QSO:  7056 RY 2018-04-08 1537 HB9MXY        599 113    IZ7GEG        599 172
QSO:  7055 RY 2018-04-08 1539 HB9MXY        599 114    LA2XNA        599 286
QSO:  7055 RY 2018-04-08 1542 HB9MXY        599 115    PA3DBS        599 201
QSO:  7058 RY 2018-04-08 1544 HB9MXY        599 116    OH2HAN        599 789
END-OF-LOG:
