START-OF-LOG: 3.0
CALLSIGN: KE4KMG
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 37412
NAME: Michael K. Boyea
LOCATION: TN
OPERATORS: KE4KMG
CLUB: TENNESSEE CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7591.0
SOAPBOX: Still using a Alpha Delta Antenna.  Weather concerns also.
QSO:  3754 PH 2019-03-30 0726 KE4KMG        59  0037   VA3SWG        59  0099
QSO:  3729 PH 2019-03-30 0728 KE4KMG        59  0038   VC6V          59  0323
QSO:  3762 PH 2019-03-30 0730 KE4KMG        59  0039   VC2Z          59  0318
QSO:  3726 PH 2019-03-30 0731 KE4KMG        59  0040   PJ2T          59  0168
QSO:  7171 PH 2019-03-30 0739 KE4KMG        59  0041   VK4KW         59  0112
QSO:  7223 PH 2019-03-30 0741 KE4KMG        59  0042   PJ4K          59  1460
QSO:  7221 PH 2019-03-30 0742 KE4KMG        59  0043   P40L          59  0971
QSO:  7178 PH 2019-03-30 0746 KE4KMG        59  0044   ZX5J          59  0811
QSO:  7205 PH 2019-03-30 0749 KE4KMG        59  0045   ZM1A          59  0116
QSO:  7209 PH 2019-03-30 0755 KE4KMG        59  0046   VP5P          59  0447
QSO:  3797 PH 2019-03-30 0806 KE4KMG        59  0047   KS5Z          59  0239
QSO:  3803 PH 2019-03-30 0808 KE4KMG        59  0048   WI0WA         59  0496
QSO:  3736 PH 2019-03-30 0809 KE4KMG        59  0049   K5RX          59  0120
QSO:  3722 PH 2019-03-30 0809 KE4KMG        59  0050   WX3B          59  0453
QSO: 14318 PH 2019-03-31 1347 KE4KMG        59  0051   EW6W          59  2388
QSO: 14280 PH 2019-03-31 1348 KE4KMG        59  0052   DL2ARD        59  1960
QSO: 14299 PH 2019-03-31 1350 KE4KMG        59  0053   RT5K          59  2641
QSO: 14187 PH 2019-03-31 1352 KE4KMG        59  0054   F5USK         59  1418
QSO: 14206 PH 2019-03-31 1355 KE4KMG        59  0055   RK7A          59  2774
QSO: 14209 PH 2019-03-31 1359 KE4KMG        59  0056   YL6W          59  2062
QSO: 14309 PH 2019-03-31 1400 KE4KMG        59  0057   OE6Z          59  1673
QSO: 14320 PH 2019-03-31 1402 KE4KMG        59  0058   OK7W          59  1592
QSO: 14324 PH 2019-03-31 1403 KE4KMG        59  0059   VE9CB         59  2421
QSO: 14334 PH 2019-03-31 1404 KE4KMG        59  0060   S50K          59  1822
QSO: 14275 PH 2019-03-31 1413 KE4KMG        59  0061   II8K          59  2706
QSO: 14292 PH 2019-03-31 1414 KE4KMG        59  0062   EC2DX         59  2452
QSO: 14168 PH 2019-03-31 1421 KE4KMG        59  0063   M7K           59  1867
QSO: 14172 PH 2019-03-31 1425 KE4KMG        59  0064   LZ73A         59  4267
QSO: 14192 PH 2019-03-31 1428 KE4KMG        59  0065   P40L          59  3865
QSO: 14232 PH 2019-03-31 1431 KE4KMG        59  0066   EI19RE        59  2098
QSO: 14211 PH 2019-03-31 1437 KE4KMG        59  0067   IR6T          59  1556
QSO: 14232 PH 2019-03-31 1441 KE4KMG        59  0068   EI91RE        59  2119
QSO: 14236 PH 2019-03-31 1448 KE4KMG        59  0069   WZ4F          59  1632
QSO: 14238 PH 2019-03-31 1449 KE4KMG        59  0070   9A5Y          59  3217
QSO: 14233 PH 2019-03-31 1450 KE4KMG        59  0071   DK2OY         59  1893
QSO: 14277 PH 2019-03-31 1451 KE4KMG        59  0072   OU2V          59  0906
QSO: 14192 PH 2019-03-31 1455 KE4KMG        59  0073   OT5A          59  0697
QSO:  7233 PH 2019-03-31 1505 KE4KMG        59  0074   VE4EA         59  1191
QSO: 14278 PH 2019-03-31 1509 KE4KMG        59  0075   OM70KAP       59  1929
QSO: 14159 PH 2019-03-31 1516 KE4KMG        59  0076   WA1Z          59  2886
QSO: 14152 PH 2019-03-31 1517 KE4KMG        59  0077   AC1U          59  2365
QSO: 14162 PH 2019-03-31 1517 KE4KMG        59  0078   K1LZ          59  3205
QSO: 14191 PH 2019-03-31 1518 KE4KMG        59  0079   PJ4K          59  4158
QSO: 14183 PH 2019-03-31 1520 KE4KMG        59  0080   N7DD          59  0651
QSO: 14164 PH 2019-03-31 1521 KE4KMG        59  0081   NN2DX         59  2930
QSO: 14201 PH 2019-03-31 1524 KE4KMG        59  0082   YL2SM         59  1364
QSO: 14214 PH 2019-03-31 1525 KE4KMG        59  0083   VA5AA         59  0472
QSO: 14224 PH 2019-03-31 1527 KE4KMG        59  0084   IB9A          59  1728
QSO: 14227 PH 2019-03-31 1528 KE4KMG        59  0085   KQ2M          59  2706
QSO: 14233 PH 2019-03-31 1530 KE4KMG        59  0086   VY0AA         59  0710
QSO: 14240 PH 2019-03-31 1531 KE4KMG        59  0087   VC6V          59  1439
QSO: 14242 PH 2019-03-31 1532 KE4KMG        59  0088   TI0RC         59  0285
QSO: 14247 PH 2019-03-31 1534 KE4KMG        59  0089   9A1A          59  1989
QSO: 14249 PH 2019-03-31 1535 KE4KMG        59  0090   II9P          59  1968
QSO: 14251 PH 2019-03-31 1536 KE4KMG        59  0091   N6JS          59  1187
QSO: 14257 PH 2019-03-31 1536 KE4KMG        59  0092   NP2P          59  2082
QSO: 14264 PH 2019-03-31 1538 KE4KMG        59  0093   K7JQ          59  0234
QSO: 14268 PH 2019-03-31 1538 KE4KMG        59  0094   TM6M          59  4427
QSO: 14272 PH 2019-03-31 1540 KE4KMG        59  0095   EA5DFV        59  1716
QSO: 14277 PH 2019-03-31 1541 KE4KMG        59  0096   ES5TV         59  3546
QSO: 14293 PH 2019-03-31 1543 KE4KMG        59  0097   F4FFZ         59  1127
QSO: 14295 PH 2019-03-31 1543 KE4KMG        59  0098   E7DX          59  3051
QSO: 14317 PH 2019-03-31 1545 KE4KMG        59  0099   PJ4R          59  1986
QSO: 14321 PH 2019-03-31 1547 KE4KMG        59  0100   IO5O          59  3608
QSO: 14328 PH 2019-03-31 1547 KE4KMG        59  0101   HG7T          59  1568
QSO: 14330 PH 2019-03-31 1548 KE4KMG        59  0102   TM29X         59  1180
QSO: 14341 PH 2019-03-31 1548 KE4KMG        59  0103   S57DX         59  1736
QSO: 14345 PH 2019-03-31 1549 KE4KMG        59  0104   YT1A          59  1587
QSO: 14223 PH 2019-03-31 1550 KE4KMG        59  0105   J42L          59  1961
QSO: 14199 PH 2019-03-31 1554 KE4KMG        59  0106   II2S          59  1021
QSO: 14255 PH 2019-03-31 1600 KE4KMG        59  0107   V31VP         59  1795
QSO: 14302 PH 2019-03-31 1605 KE4KMG        59  0108   YL7X          59  1091
QSO: 14307 PH 2019-03-31 1605 KE4KMG        59  0109   IO9R          59  0967
QSO: 14204 PH 2019-03-31 1607 KE4KMG        59  0110   9A73A         59  2437
END-OF-LOG:
