START-OF-LOG: 3.0
CALLSIGN: GM4UYZ
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 11040
NAME: Bob Glasgow
LOCATION: DX
OPERATORS: GM4UYZ
CLUB: Cockenzie and Port Seton ARC
CERTIFICATE: NO
CREATED-BY: Win-Test 4.28.0
SOAPBOX: A bit of a struggle but enjoyable all the same
QSO: 14215 PH 2019-03-30 1119 GM4UYZ        59  0030   YP8T          59  793
QSO: 14246 PH 2019-03-30 1122 GM4UYZ        59  0031   9A1A          59  469
QSO: 14269 PH 2019-03-30 1124 GM4UYZ        59  0032   SP8K          59  443
QSO: 14280 PH 2019-03-30 1126 GM4UYZ        59  0033   UR3GU         59  455
QSO: 14259 PH 2019-03-30 1129 GM4UYZ        59  0034   YT3X          59  481
QSO: 14261 PH 2019-03-30 1131 GM4UYZ        59  0035   IB9A          59  383
QSO: 14284 PH 2019-03-30 1132 GM4UYZ        59  0036   ES5TV         59  1367
QSO: 14309 PH 2019-03-30 1136 GM4UYZ        59  0037   EE5T          59  024
QSO: 14311 PH 2019-03-30 1138 GM4UYZ        59  0038   LY5Y          59  447
QSO: 14337 PH 2019-03-30 1139 GM4UYZ        59  0039   UR2Y          59  272
QSO: 14342 PH 2019-03-30 1140 GM4UYZ        59  0040   OG7A          59  779
QSO: 14113 PH 2019-03-30 1144 GM4UYZ        59  0041   RD4F          59  419
QSO: 14129 PH 2019-03-30 1204 GM4UYZ        59  0042   I8CZW         59  695
QSO: 14155 PH 2019-03-30 1206 GM4UYZ        59  0043   RM3DA         59  591
QSO: 14166 PH 2019-03-30 1207 GM4UYZ        59  0044   YP0C          59  735
QSO: 14185 PH 2019-03-30 1210 GM4UYZ        59  0045   II9P          59  500
QSO: 14232 PH 2019-03-30 1212 GM4UYZ        59  0046   RQ5D          59  821
QSO: 14237 PH 2019-03-30 1213 GM4UYZ        59  0047   UT4U          59  674
QSO: 14279 PH 2019-03-30 1215 GM4UYZ        59  0048   YL6W          59  673
QSO: 14287 PH 2019-03-30 1216 GM4UYZ        59  0049   SN8K          59  511
QSO: 14289 PH 2019-03-30 1218 GM4UYZ        59  0050   II8K          59  899
QSO: 14319 PH 2019-03-30 1222 GM4UYZ        59  0051   EV1R          59  650
QSO: 14336 PH 2019-03-30 1223 GM4UYZ        59  0052   OE6Z          59  529
QSO: 14132 PH 2019-03-30 1226 GM4UYZ        59  0053   UI5R          59  169
QSO: 14137 PH 2019-03-30 1227 GM4UYZ        59  0054   UA5C          59  341
QSO:  7065 PH 2019-03-30 1231 GM4UYZ        59  0055   RW2F          59  992
QSO:  7122 PH 2019-03-30 1233 GM4UYZ        59  0056   PA6AA         59  507
QSO:  7179 PH 2019-03-30 1324 GM4UYZ        59  0057   OH5Q          59  183
QSO:  7185 PH 2019-03-30 1326 GM4UYZ        59  0058   OL9Z          59  708
QSO:  7175 PH 2019-03-30 1327 GM4UYZ        59  0059   OM70KAP       59  1169
QSO:  7161 PH 2019-03-30 1333 GM4UYZ        59  0060   LX/G1TPA      59  089
QSO:  7182 PH 2019-03-30 1335 GM4UYZ        59  0061   OT5A          59  571
QSO:  7177 PH 2019-03-30 1340 GM4UYZ        59  0062   9A1A          59  1100
QSO: 14118 PH 2019-03-30 1345 GM4UYZ        59  0063   IW1CHX        59  247
QSO: 14135 PH 2019-03-30 1348 GM4UYZ        59  0064   IU4CHE        59  081
QSO: 14159 PH 2019-03-30 1355 GM4UYZ        59  0065   LZ2JA         59  241
QSO: 14116 PH 2019-03-30 1357 GM4UYZ        59  0066   EA2DNR        59  315
QSO: 14196 PH 2019-03-30 1401 GM4UYZ        59  0067   HG5A          59  1071
QSO: 14198 PH 2019-03-30 1403 GM4UYZ        59  0068   UZ0U          59  513
QSO: 14262 PH 2019-03-30 1406 GM4UYZ        59  0069   Z3B           59  116
QSO: 14264 PH 2019-03-30 1407 GM4UYZ        59  0070   IO5O          59  1449
QSO: 14260 PH 2019-03-30 1409 GM4UYZ        59  0071   LZ73A         59  1947
QSO: 14273 PH 2019-03-30 1413 GM4UYZ        59  0072   E7DX          59  1117
QSO: 14295 PH 2019-03-30 1415 GM4UYZ        59  0073   RT2C          59  1246
QSO: 14296 PH 2019-03-30 1421 GM4UYZ        59  0074   RL4F          59  347
QSO: 14306 PH 2019-03-30 1422 GM4UYZ        59  0075   EC1KR         59  805
QSO: 14312 PH 2019-03-30 1423 GM4UYZ        59  0076   RT5K          59  1348
QSO: 14150 PH 2019-03-30 1426 GM4UYZ        59  0077   NN2DX         59  1285
QSO: 14170 PH 2019-03-30 1427 GM4UYZ        59  0078   9A1CPB        59  968
QSO: 14185 PH 2019-03-30 1429 GM4UYZ        59  0079   LZ9W          59  741
QSO: 14283 PH 2019-03-30 1432 GM4UYZ        59  0080   UT7CR         59  774
QSO:  7141 PH 2019-03-30 1436 GM4UYZ        59  0081   ON7MV         59  296
QSO:  7124 PH 2019-03-30 1444 GM4UYZ        59  0082   YL6Z          59  223
QSO: 14280 PH 2019-03-30 1455 GM4UYZ        59  0083   CN4P          59  398
QSO: 14262 PH 2019-03-30 1504 GM4UYZ        59  0084   IR8D          59  565
QSO: 14181 PH 2019-03-30 1512 GM4UYZ        59  0085   YO3VU         59  176
QSO:  3732 PH 2019-03-30 1811 GM4UYZ        59  0086   OL4C          59  989
QSO:  7161 PH 2019-03-30 1815 GM4UYZ        59  0087   OK5Z          59  1231
QSO: 14296 PH 2019-03-31 0920 GM4UYZ        59  0088   SX2AIU        59  905
QSO: 14128 PH 2019-03-31 0925 GM4UYZ        59  0089   RZ3Q          59  1582
QSO: 14148 PH 2019-03-31 0929 GM4UYZ        59  0090   4U73B         59  668
QSO: 14148 PH 2019-03-31 0944 GM4UYZ        59  0091   YT5A          59  1072
QSO: 14183 PH 2019-03-31 0945 GM4UYZ        59  0092   ES7A          59  1870
QSO: 14337 PH 2019-03-31 0947 GM4UYZ        59  0093   S50K          59  1559
QSO: 14319 PH 2019-03-31 0949 GM4UYZ        59  0094   OK7W          59  1289
QSO: 14305 PH 2019-03-31 0950 GM4UYZ        59  0095   HA3DX         59  718
QSO: 14304 PH 2019-03-31 0952 GM4UYZ        59  0096   YL2CI         59  498
QSO: 14302 PH 2019-03-31 0954 GM4UYZ        59  0097   OH3Z          59  645
QSO: 14237 PH 2019-03-31 1002 GM4UYZ        59  0098   EW5Z          59  2043
QSO: 14324 PH 2019-03-31 1006 GM4UYZ        59  0099   OL7T          59  1310
QSO: 14316 PH 2019-03-31 1012 GM4UYZ        59  0100   YL7X          59  634
END-OF-LOG:
